unit,nace_r2,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_EMP,C_HTC_MH,NL	3.1 b	2.7 	2.5 b	2.5 b	2.6 	2.7 b	2.7 	2.8 	2.9 	2.8 
PC_EMP,C_HTC_MH,NO	3.5 b	3.5 	3.4 	3.2 	2.9 	2.8 	3.0 	3.0 	2.9 	2.7 
PC_EMP,C_HTC_MH,PL	5.4 b	4.8 	4.6 b	4.8 	4.9 	5.0 	5.2 	5.3 	5.7 	5.9 
PC_EMP,C_HTC_MH,PT	3.0 b	3.0 	2.8 	2.9 b	2.8 	2.7 	3.0 	3.0 	3.1 	3.3 
PC_EMP,C_HTC_MH,RO	5.0 b	4.6 	4.4 b	4.7 	4.5 	4.8 	5.3 	5.6 	5.8 	5.9 
PC_EMP,C_HTC_MH,SE	5.5 b	5.0 	4.7 	4.6 	4.5 	4.4 	4.3 	4.4 	4.4 	4.3 
PC_EMP,C_HTC_MH,SI	9.1 b	8.5 	8.6 	8.2 	7.8 	8.3 	8.6 	9.4 	9.6 	9.8 
PC_EMP,C_HTC_MH,SK	10.2 b	8.6 b	8.6 	9.7 b	10.2 	9.8 	9.4 	10.6 	10.8 	11.2 
PC_EMP,C_HTC_MH,TR	: 	3.0 	3.0 	3.0 	3.0 	3.1 	3.2 b	3.3 	3.3 	3.3 
PC_EMP,C_HTC_MH,UK	4.7 b	3.7 	3.7 	3.8 	3.8 	3.7 	3.7 	3.6 	3.6 	3.6 
PC_EMP,KIS,AT	35.0 b	36.6 	37.2 	36.4 	36.7 	37.6 	37.9 	38.3 	38.0 	38.9 
PC_EMP,KIS,BE	45.3 b	46.1 	46.1 	46.2 b	47.6 	46.7 	47.5 	47.6 	48.2 	48.8 b
PC_EMP,KIS,BG	27.2 b	28.0 	28.9 b	29.4 b	29.9 	30.4 	30.7 	31.2 	31.0 	30.1 
PC_EMP,KIS,CH	40.9 b	42.8 	40.8 b	41.0 	42.2 	42.8 	43.8 	44.7 	45.3 	46.0 
PC_EMP,KIS,CY	34.5 b	33.8 b	35.4 	35.8 	36.1 	38.3 	39.9 	38.6 	38.9 	38.9 
PC_EMP,KIS,CZ	29.7 b	30.8 	31.8 	31.6 b	32.0 	32.6 	32.6 	32.0 	32.9 	33.3 
PC_EMP,KIS,DE	38.7 b	39.5 	40.2 b	40.3 b	40.5 	39.6 	39.7 	40.0 	40.4 	40.4 
PC_EMP,KIS,DK	45.8 b	48.3 	49.6 	49.3 	49.2 	49.3 	49.5 	48.3 	48.0 b	47.6 b
PC_EMP,KIS,EA18	37.4 b	38.3 	38.9 	39.3 	39.6 	39.6 	40.0 	40.1 	40.2 	40.2 
PC_EMP,KIS,EA19	37.3 b	38.3 	38.9 	39.2 	39.5 	39.5 	39.9 	40.0 	40.1 	40.1 
PC_EMP,KIS,EE	31.3 b	35.1 	35.3 	34.3 	35.0 	35.5 	36.1 	35.8 	35.8 	35.5 
PC_EMP,KIS,EL	32.5 b	32.8 b	33.4 	34.7 	36.3 	36.7 	36.2 	35.9 	36.4 	36.2 
PC_EMP,KIS,ES	30.9 b	33.4 	34.9 	35.6 	36.1 	35.9 	36.2 	35.9 	35.9 	35.9 
PC_EMP,KIS,EU27	37.1 b	38.2 	38.8 	39.1 	39.3 	39.5 	39.8 	40.0 	40.0 	40.1 
PC_EMP,KIS,EU28	37.0 b	38.1 	38.7 	39.0 	39.3 	39.4 	39.7 	39.9 	40.0 	40.0 
PC_EMP,KIS,FI	41.5 b	42.6 	42.9 	44.1 	44.3 	44.4 	45.1 	45.4 	45.0 	45.8 
PC_EMP,KIS,FR	43.0 b	43.4 	43.8 	44.2 	44.5 	44.7 	45.7 b	46.2 	46.0 	46.0 
PC_EMP,KIS,HR	27.1 b	28.8 	30.2 	29.5 	30.8 	32.8 	33.5 	33.5 	34.0 	34.5 
PC_EMP,KIS,HU	33.2 b	34.4 	35.1 	34.5 	35.1 	36.1 	35.7 	35.9 	36.1 	35.1 
PC_EMP,KIS,IE	40.2 b	43.2 	44.6 	45.1 	45.5 	45.3 	45.4 	44.9 	44.4 	44.3 b
PC_EMP,KIS,IS	48.4 b	49.3 	49.8 	48.1 	48.2 	48.1 	47.9 	48.3 	48.1 	48.9 
PC_EMP,KIS,IT	33.6 b	33.8 	34.0 	34.1 	33.9 	34.2 	34.5 	34.5 	34.6 	34.7 
PC_EMP,KIS,LT	30.6 b	32.8 	34.2 	34.0 	33.6 	33.1 	32.8 	33.8 	34.5 	34.3 
PC_EMP,KIS,LU	54.2 b	55.9 b	55.2 	55.8 	57.0 	57.2 	58.3 	52.1 b	51.5 	48.5 
PC_EMP,KIS,LV	32.2 b	34.7 	35.0 	35.3 	36.5 	36.1 	35.7 	36.0 	36.2 	37.3 
PC_EMP,KIS,ME	: 	: 	: 	36.3 	36.7 	36.6 	34.8 	35.6 	36.4 	36.4 
PC_EMP,KIS,MK	: 	: 	: 	26.1 	26.8 	25.6 	25.5 	26.0 	26.8 	26.4 
PC_EMP,KIS,MT	39.7 b	40.0 	40.2 	42.3 	45.1 	44.1 	44.4 	46.3 	45.9 	46.4 
PC_EMP,KIS,NL	46.9 b	46.1 	45.4 b	45.3 b	45.3 	46.7 b	46.6 	46.3 	46.0 	45.0 
PC_EMP,KIS,NO	47.5 b	50.4 	51.2 	51.2 	51.3 	51.2 	51.2 	51.0 	51.8 	52.0 
PC_EMP,KIS,PL	28.3 b	29.5 	30.1 b	30.0 	30.6 	31.2 	31.4 	31.2 	30.9 	31.3 
PC_EMP,KIS,PT	28.4 b	29.4 	30.2 	31.8 b	32.7 	33.5 	34.9 	35.9 	35.9 	35.5 
PC_EMP,KIS,RO	19.0 b	19.8 	19.8 b	20.6 	20.4 	20.1 	20.0 	21.8 	22.0 	22.3 
PC_EMP,KIS,SE	49.6 b	50.3 	50.6 	51.2 	51.5 	51.7 	52.5 	52.8 	53.2 	53.5 
PC_EMP,KIS,SI	31.2 b	32.3 	33.5 	34.5 	35.2 	34.4 	34.7 	35.1 	35.6 	35.6 
PC_EMP,KIS,SK	29.6 b	31.0 b	32.3 	32.3 b	31.9 	32.8 	34.0 	33.8 	33.6 	34.4 
PC_EMP,KIS,TR	: 	18.5 	18.3 	18.4 	19.8 	20.1 	20.7 b	21.8 	22.8 	22.6 
PC_EMP,KIS,UK	46.2 b	48.4 	48.6 	48.6 	48.5 	48.7 	48.7 	49.1 	49.0 	49.1 
PC_EMP,TOT,AT	40.0 b	41.6 	42.3 	41.9 	42.5 	43.4 	43.8 	44.5 	44.0 	44.8 
PC_EMP,TOT,BE	51.2 b	51.3 	51.4 	51.4 b	52.6 	51.4 	52.3 	52.2 	52.7 	53.0 b
PC_EMP,TOT,BG	31.4 b	31.6 	32.2 b	32.8 b	33.5 	34.3 	34.4 	35.1 	35.0 	33.9 
PC_EMP,TOT,CH	47.4 b	49.1 	47.0 b	47.2 	48.2 	48.8 	49.7 	50.3 	50.9 	51.7 
PC_EMP,TOT,CY	35.3 b	34.5 b	36.0 	36.5 	36.8 	39.3 	40.8 	39.4 	39.7 	39.7 
PC_EMP,TOT,CZ	39.9 b	40.3 	41.3 	41.5 b	42.6 	43.1 	43.8 	43.2 	44.4 	44.7 
PC_EMP,TOT,DE	48.6 b	49.4 	49.9 b	50.1 b	50.2 	49.2 	49.4 	49.9 	50.2 	50.2 
PC_EMP,TOT,DK	51.3 b	53.3 	54.8 	54.7 	54.3 	54.3 	54.5 	53.4 	53.0 b	52.6 b
PC_EMP,TOT,EA18	43.6 b	44.4 	44.8 	45.3 	45.6 	45.6 	46.0 	46.2 	46.3 	46.3 
PC_EMP,TOT,EA19	43.5 b	44.3 	44.8 	45.2 	45.5 	45.5 	45.9 	46.1 	46.2 	46.2 
PC_EMP,TOT,EE	35.3 b	39.2 	38.8 	38.7 	39.2 	39.6 	39.6 	39.4 	39.8 	39.3 
PC_EMP,TOT,EL	34.2 b	34.3 b	34.9 	36.1 	37.6 	37.9 	37.4 	37.2 	37.8 	37.5 
PC_EMP,TOT,ES	34.9 b	37.2 	38.7 	39.4 	39.9 	39.8 	40.1 	39.9 	39.8 	40.0 
PC_EMP,TOT,EU27	43.0 b	43.8 	44.3 	44.7 	44.9 	45.1 	45.5 	45.8 	45.8 	45.9 
PC_EMP,TOT,EU28	42.9 b	43.7 	44.2 	44.6 	44.9 	45.0 	45.4 	45.6 	45.8 	45.8 
PC_EMP,TOT,FI	47.5 b	48.2 	48.3 	49.4 	49.6 	49.5 	50.1 	50.1 	49.8 	50.7 
PC_EMP,TOT,FR	48.4 b	48.5 	48.6 	49.0 	49.1 	49.2 	50.1 b	50.6 	50.4 	50.5 
PC_EMP,TOT,HR	30.9 b	32.1 	33.3 	33.3 	34.6 	36.4 	36.8 	36.7 	37.4 	38.2 
PC_EMP,TOT,HU	41.8 b	42.2 	43.3 	43.2 	43.5 	44.6 	44.6 	45.0 	45.6 	44.9 
PC_EMP,TOT,IE	44.9 b	48.1 	49.6 	50.1 	50.5 	50.4 	50.3 	50.1 	49.7 	48.7 b
PC_EMP,TOT,IS	49.7 b	50.9 	51.2 	49.5 	49.6 	49.6 	49.6 	49.8 	49.8 	50.2 
PC_EMP,TOT,IT	39.6 b	39.8 	39.8 	39.9 	39.8 	40.1 	40.5 	40.6 	40.7 	40.7 
PC_EMP,TOT,LT	32.7 b	34.9 	36.0 	35.7 	35.4 	34.9 	34.7 	35.9 	36.6 	36.5 
PC_EMP,TOT,LU	55.1 b	56.8 b	56.2 	56.5 	57.9 	58.1 	59.6 	52.9 b	52.3 	49.1 
PC_EMP,TOT,LV	34.1 b	36.1 	36.3 	36.6 	38.0 	37.9 	37.3 	37.6 	38.0 	39.0 
PC_EMP,TOT,ME	: 	: 	: 	: u	: u	: u	: u	: u	: u	: u
PC_EMP,TOT,MK	: 	: 	: 	27.8 	28.2 	27.0 	27.6 	28.7 	29.7 	30.0 
PC_EMP,TOT,MT	44.5 b	44.3 	44.5 	46.5 	48.9 	48.0 	48.4 	49.7 	49.6 	50.0 
PC_EMP,TOT,NL	50.0 b	48.8 	47.9 b	47.8 b	47.9 	49.4 b	49.3 	49.1 	48.9 	47.8 
PC_EMP,TOT,NO	51.0 b	53.9 	54.6 	54.4 	54.2 	54.0 	54.2 	54.0 	54.7 	54.7 
PC_EMP,TOT,PL	33.7 b	34.3 	34.7 b	34.8 	35.5 	36.2 	36.6 	36.5 	36.6 	37.2 
PC_EMP,TOT,PT	31.4 b	32.4 	33.0 	34.7 b	35.5 	36.2 	37.9 	38.9 	39.0 	38.8 
PC_EMP,TOT,RO	24.0 b	24.4 	24.2 b	25.3 	24.9 	24.9 	25.3 	27.4 	27.8 	28.2 
PC_EMP,TOT,SE	55.1 b	55.3 	55.3 	55.8 	56.0 	56.1 	56.8 	57.2 	57.6 	57.8 
PC_EMP,TOT,SI	40.3 b	40.8 	42.1 	42.7 	43.0 	42.7 	43.3 	44.5 	45.2 	45.4 
PC_EMP,TOT,SK	39.8 b	39.6 b	40.9 	42.0 b	42.1 	42.6 	43.4 	44.4 	44.4 	45.6 
PC_EMP,TOT,TR	: 	21.5 	21.3 	21.4 	22.8 	23.2 	23.9 b	25.1 	26.1 	25.9 
PC_EMP,TOT,UK	50.9 b	52.1 	52.3 	52.4 	52.3 	52.4 	52.4 	52.7 	52.6 	52.7 
