fin_source,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
GRNT_NGO,BE	81.3 	157.7 	78.3 	146.2 	145.2 	200.5 	199.9 	249.7 	245.2 	270.6 	284.1 	373.0 	: 	500.0 	349.6 	349.9 	234.7 
GRNT_NGO,CH	172.7 	200.8 	214.1 	247.7 	254.2 	266.8 	320.0 	214.3 	270.6 	256.0 	312.2 	334.6 	367.8 	378.7 	408.0 	486.6 	498.1 
GRNT_NGO,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.9 	: 	: 	: 	: 	: 	: 	: 
GRNT_NGO,DE	915.7 	902.6 	870.8 	891.3 	923.0 	1224.2 	1073.2 	927.5 	1105.2 	981.5 	1104.2 	1147.8 	1088.9 	1065.9 	1147.0 	1244.7 	1286.2 
GRNT_NGO,DK	34.8 	18.9 	: 	: 	46.8 	65.0 	58.0 	68.4 	87.5 	83.1 	134.1 	142.0 	55.3 	64.0 	129.1 	14.2 	81.6 
GRNT_NGO,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.3 	-0.4 	: 
GRNT_NGO,EL	: 	: 	5.9 	6.7 	13.8 	0.4 	7.7 	4.9 	1.3 	1.4 	7.8 	0.1 	0.5 	: 	: 	: 	: 
GRNT_NGO,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.3 	0.4 	: 	: 	553.8 
GRNT_NGO,EU15	2187.9 	1962.7 	1787.6 	2101.6 	2115.2 	2896.0 	2492.8 	2434.7 	2362.6 	2386.1 	2944.1 	2914.5 	2778.0 	3803.3 	2356.8 	2272.7 	4021.2 
GRNT_NGO,EU28	2187.9 	1962.7 	1787.6 	2101.6 	2115.2 	2896.0 	2492.8 	2434.7 	2362.6 	2387.0 	2944.1 	2914.5 	2778.0 	3803.3 	2356.5 	2272.2 	4021.3 
GRNT_NGO,FI	5.3 	9.6 	11.0 	11.1 	10.9 	13.1 	20.0 	14.7 	8.6 	12.4 	10.3 	10.0 	12.9 	12.1 	75.2 	42.9 	99.7 
GRNT_NGO,IE	97.3 	112.8 	91.0 	250.4 	188.1 	247.4 	269.6 	232.4 	185.9 	130.7 	226.3 	380.7 	115.1 	65.8 	291.7 	459.0 	444.9 
GRNT_NGO,IT	39.6 	36.3 	: 	24.0 	39.5 	75.3 	98.1 	46.0 	71.6 	116.4 	113.4 	79.7 	71.1 	43.5 	90.9 	115.3 	75.0 
GRNT_NGO,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.1 	: 
GRNT_NGO,LU	6.5 	5.6 	1.6 	6.0 	5.1 	6.5 	6.6 	6.2 	7.3 	9.2 	6.6 	5.4 	: 	: 	: 	: 	: 
GRNT_NGO,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	: 
GRNT_NGO,NL	330.8 	267.6 	271.4 	334.7 	331.1 	339.6 	220.5 	250.4 	224.4 	388.4 	495.3 	165.7 	411.2 	1139.9 	124.2 	34.6 	1238.5 
GRNT_NGO,NO	193.4 	234.1 	477.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GRNT_NGO,PT	: 	5.5 	3.6 	3.5 	2.2 	5.2 	2.9 	1.2 	1.0 	3.2 	3.7 	3.8 	5.1 	5.6 	5.2 	12.1 	6.8 
GRNT_NGO,SE	28.0 	18.0 	20.4 	20.7 	24.6 	23.3 	9.6 	56.7 	17.1 	53.3 	167.1 	22.4 	14.9 	8.0 	: 	: 	: 
GRNT_NGO,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1 
GRNT_NGO,TR	: 	: 	: 	: 	: 	45.6 	62.3 	33.3 	49.2 	78.1 	79.7 	143.3 	86.9 	175.1 	246.6 	428.8 	591.9 
GRNT_NGO,UK	580.2 	364.8 	372.9 	343.8 	313.6 	583.4 	432.2 	487.0 	314.3 	235.8 	265.2 	453.2 	798.1 	765.1 	: 	: 	: 
ODA,AT	476.1 	706.9 	550.1 	446.2 	544.8 	1264.6 	1193.4 	1319.6 	1165.0 	818.6 	911.5 	798.4 	860.6 	882.1 	929.3 	1192.9 	1477.5 
ODA,BE	887.5 	968.4 	1133.2 	1638.4 	1176.4 	1578.1 	1574.5 	1423.3 	1622.0 	1870.9 	2265.9 	2016.8 	1801.7 	1731.1 	1841.3 	1716.3 	2078.0 
ODA,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	30.5 	34.8 	31.1 	37.4 	36.6 	36.9 	61.1 
ODA,CH	964.0 	1014.1 	992.9 	1148.8 	1242.4 	1424.0 	1311.3 	1229.4 	1385.4 	1656.2 	1734.9 	2191.8 	2375.6 	2409.5 	2651.1 	3181.0 	3236.5 
ODA,CY	: 	: 	: 	: 	: 	12.1 	20.7 	25.5 	25.5 	32.6 	38.6 	27.0 	19.5 	15.4 	13.9 	16.4 	: 
ODA,CZ	17.5 	29.6 	48.0 	80.0 	87.0 	108.6 	128.1 	130.5 	169.4 	153.9 	171.7 	179.9 	170.9 	158.8 	159.7 	179.4 	235.1 
