sectperf,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
GOV,PC_GDP,DE	0.32 	0.33 d	0.33 d	0.33 d	0.33 d	0.34 d	0.34 d	0.34 d	0.36 d	0.4 d	0.4 d	0.41 d	0.41 d	0.42 d	0.42 d	0.41 d	0.4 d
GOV,PC_GDP,DK	0.28 	0.27 	0.18 b	0.18 	0.17 	0.15 	0.16 	0.08 b	0.07 	0.06 	0.06 	0.06 	0.07 	0.07 	0.07 	0.07 p	0.06 e
GOV,PC_GDP,EA19	0.26 e	0.26 e	0.26 e	0.26 e	0.26 	0.26 	0.26 	0.25 	0.26 	0.29 	0.27 	0.27 	0.28 	0.28 	0.28 	0.28 	0.27 p
GOV,PC_GDP,EE	0.14 	0.1 	0.12 	0.12 	0.11 	0.1 	0.15 	0.09 	0.15 	0.15 	0.17 	0.19 	0.2 	0.15 	0.16 	0.16 	0.15 
GOV,PC_GDP,EL	: 	0.12 	: 	0.11 	0.1 e	0.12 	0.12 e	0.12 e	0.23 be	0.16 e	0.14 e	0.16 	0.17 	0.23 	0.23 	0.27 	0.25 
GOV,PC_GDP,ES	0.14 	0.14 	0.15 	0.16 	0.17 	0.19 	0.2 	0.22 	0.24 	0.27 	0.27 	0.26 	0.25 	0.24 	0.23 	0.23 	0.22 
GOV,PC_GDP,EU28	0.24 e	0.24 e	0.23 e	0.23 e	0.23 	0.24 	0.23 	0.23 	0.24 	0.26 	0.25 	0.25 	0.25 	0.25 	0.24 	0.24 	0.23 p
GOV,PC_GDP,FI	0.34 	0.33 	0.34 	0.32 	0.31 	0.32 	0.31 	0.28 	0.29 	0.34 	0.34 	0.32 	0.31 	0.29 	0.27 	0.24 	0.22 
GOV,PC_GDP,FR	0.36 b	0.35 	0.36 	0.35 	0.35 	0.36 	0.34 	0.33 	0.33 	0.36 	0.3 b	0.3 	0.29 	0.29 	0.29 	0.29 p	0.29 p
GOV,PC_GDP,HR	: 	: 	0.21 	0.21 	0.22 	0.21 	0.2 	0.2 	0.22 	0.23 	0.2 	0.21 	0.21 d	0.21 d	0.2 d	0.21 d	0.18 b
GOV,PC_GDP,HU	0.21 d	0.24 d	0.32 d	0.29 d	0.25 bd	0.26 d	0.25 d	0.23 d	0.23 d	0.23 d	0.21 d	0.19 d	0.18 d	0.21 d	0.19 d	0.18 d	0.16 d
GOV,PC_GDP,IE	0.09 	0.09 	0.09 	0.09 	0.09 	0.09 	0.08 	0.09 	0.09 	0.08 	0.08 	0.08 	0.08 	0.07 	0.07 	0.05 	0.05 
GOV,PC_GDP,IS	0.66 e	0.58 	0.7 e	0.68 	: 	0.64 	0.6 	0.46 	0.45 	0.58 	: 	0.44 be	: 	0.12 b	0.12 	0.11 	0.1 
GOV,PC_GDP,IT	0.19 	0.19 	0.19 	0.19 	0.19 	0.18 	0.19 	0.16 	0.15 	0.16 	0.17 	0.16 	0.19 	0.18 	0.18 	0.18 	0.17 p
GOV,PC_GDP,JP	0.29 	0.28 	0.29 	0.28 	0.29 	0.26 	0.27 	0.26 	0.28 	0.3 	0.28 	0.27 	0.28 	0.3 	0.28 	0.26 	: 
GOV,PC_GDP,KR	0.29 d	0.29 d	0.3 d	0.3 d	0.31 d	0.31 d	0.33 d	0.35 b	0.38 	0.43 	0.44 	0.44 	0.45 	0.45 	0.48 	0.5 	: 
