n_item,unit,sex,age,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
GE3,PC,T,Y_GE65,CY	38.2 	44.2 	34.0 b	28.1 	24.8 	27.7 	26.6 	27.0 	25.1 	21.7 	19.4 	18.3 
GE3,PC,T,Y_GE65,CZ	19.8 	16.7 	17.3 	15.9 	14.2 	15.4 	17.4 	16.6 	15.8 	13.1 	10.7 	9.7 
GE3,PC,T,Y_GE65,DE	7.0 	6.8 	7.7 	6.8 	5.9 	8.0 	7.8 	7.6 	7.6 	6.7 	7.0 	6.7 
GE3,PC,T,Y_GE65,DK	3.7 	3.6 	3.0 	2.7 	2.8 	2.3 	2.4 	3.3 	4.2 	2.8 	3.4 	2.8 
GE3,PC,T,Y_GE65,EA18	11.9 	11.5 	11.4 	10.5 	10.6 	12.3 	12.8 	11.9 	11.9 	11.4 	11.5 	10.7 e
GE3,PC,T,Y_GE65,EA19	12.3 	11.8 	11.6 	10.7 	10.9 	12.6 	13.1 	12.2 	12.1 	11.6 	11.7 	10.9 e
GE3,PC,T,Y_GE65,EE	21.4 	20.3 	14.8 b	14.9 	17.3 	16.9 	20.1 	18.6 	17.1 b	14.7 	14.1 	15.0 
GE3,PC,T,Y_GE65,EL	31.2 	28.9 	29.7 	25.5 	25.8 	28.4 	29.4 	31.1 	35.7 	34.9 	34.4 	32.3 
GE3,PC,T,Y_GE65,ES	12.7 	10.8 	7.0 	8.0 	9.9 	8.3 	10.6 	8.6 	9.9 	9.3 	8.2 	8.7 
GE3,PC,T,Y_GE65,EU27	17.2 e	16.4 	15.5 	14.5 e	14.2 	15.3 	15.7 	14.8 	14.2 	13.1 	12.7 	13.1 e
GE3,PC,T,Y_GE65,EU28	: 	: 	: 	: 	14.4 	15.4 	15.9 	15.0 	14.3 	13.2 	12.8 	13.1 e
GE3,PC,T,Y_GE65,FI	7.8 	8.0 	8.4 	6.7 	5.6 	5.8 	5.1 	4.3 	4.9 	5.1 	5.3 	5.7 
GE3,PC,T,Y_GE65,FR	9.1 	8.0 	9.0 	9.1 	8.0 	8.1 	7.3 	7.0 	7.1 	6.7 	7.3 	6.9 
GE3,PC,T,Y_GE65,HR	: 	: 	: 	: 	33.9 	34.9 	34.4 	35.2 	32.5 	32.7 	30.1 	: 
GE3,PC,T,Y_GE65,HU	36.4 	37.0 	35.4 	35.2 	33.0 	36.6 	39.3 	37.6 	33.4 	29.4 	23.3 	24.8 
GE3,PC,T,Y_GE65,IE	5.7 	4.2 	7.0 	9.0 	6.1 	9.7 	10.7 	10.8 	9.1 	8.2 	8.5 	: 
GE3,PC,T,Y_GE65,IS	4.3 	3.9 	1.5 b	1.2 	2.0 	1.4 	2.5 	1.4 	2.5 	2.1 	3.3 p	: 
GE3,PC,T,Y_GE65,IT	13.0 	14.2 	14.4 	13.4 	14.8 	21.8 	23.4 	20.4 	18.4 	19.4 	20.1 	16.8 
GE3,PC,T,Y_GE65,LT	51.3 	38.6 	33.7 b	36.3 	43.8 	45.9 	44.7 	41.2 	38.7 	36.9 	36.9 	36.2 
GE3,PC,T,Y_GE65,LU	0.7 	1.0 	1.2 	1.9 	1.2 	1.6 	1.7 	2.8 	1.0 	2.3 	2.0 b	2.9 
GE3,PC,T,Y_GE65,LV	63.0 	59.1 	50.0 b	47.5 	49.4 	52.3 	49.7 	45.9 	41.3 	34.8 	31.5 	29.7 
GE3,PC,T,Y_GE65,MK	: 	: 	: 	: 	: 	: 	63.4 	60.6 	54.1 	55.0 	53.0 	: 
GE3,PC,T,Y_GE65,MT	11.9 	12.7 	14.3 	14.1 	13.6 	12.6 	16.6 	16.9 	18.7 	12.7 	9.2 	6.9 
GE3,PC,T,Y_GE65,NL	2.8 	3.1 	3.4 	2.6 	3.4 	2.9 	3.3 	3.9 	4.1 	3.2 	4.3 b	4.2 
GE3,PC,T,Y_GE65,NO	1.9 	1.5 	1.2 	1.0 	1.5 	1.8 	1.1 	2.0 	0.6 	1.0 	1.2 	0.9 
GE3,PC,T,Y_GE65,PL	47.1 	40.6 	38.6 b	33.8 	32.3 	30.1 	30.0 	25.3 	23.1 	17.3 	14.7 	14.4 
GE3,PC,T,Y_GE65,PT	29.6 	27.5 	27.8 	24.6 	24.4 	21.3 	21.7 	23.1 	25.2 	22.2 	18.9 	19.8 
GE3,PC,T,Y_GE65,RO	: 	67.0 	57.1 	53.6 	51.9 	49.0 	49.5 	50.1 	47.1 	41.5 	42.6 	39.9 
GE3,PC,T,Y_GE65,RS	: 	: 	: 	: 	: 	: 	: 	46.6 	46.2 	44.9 	40.8 	: 
GE3,PC,T,Y_GE65,SE	3.2 	3.1 	3.2 b	3.4 	3.0 	3.0 	1.7 	1.5 	1.0 	2.0 	1.5 	1.6 
GE3,PC,T,Y_GE65,SI	18.4 	18.4 	20.5 	18.1 	18.4 	19.5 	17.4 	18.2 	18.6 	15.6 	14.1 	14.2 
GE3,PC,T,Y_GE65,SK	44.1 	41.7 	37.0 	30.0 	28.2 	23.5 	27.4 	26.5 	25.4 	25.0 	22.9 	21.3 
GE3,PC,T,Y_GE65,TR	68.8 	68.2 	69.7 	66.9 	69.4 	68.5 	65.3 	59.3 b	42.0 	47.9 	: 	: 
GE3,PC,T,Y_GE65,UK	4.8 	4.9 	4.8 	4.9 u	4.4 	5.1 	5.8 b	6.5 	6.0 	5.4 	4.2 	: 
GE3,PC,T,Y_LT18,AT	12.2 	12.0 	14.7 b	12.7 	13.1 	13.2 	13.6 	13.0 	13.9 	10.3 	11.7 	10.1 
GE3,PC,T,Y_LT18,BE	17.3 	15.4 	14.2 	15.1 	15.5 	17.7 	17.0 	14.6 	14.6 	15.7 	15.4 	15.1 
GE3,PC,T,Y_LT18,BG	70.1 	70.4 	54.3 b	57.9 	58.5 	60.4 	62.6 	59.9 	48.4 b	49.5 	48.1 b	44.1 
GE3,PC,T,Y_LT18,CH	: 	8.2 	7.3 	8.4 	8.2 	4.4 	4.8 	4.9 	6.0 b	6.1 	7.8 	: 
GE3,PC,T,Y_LT18,CY	30.1 	28.1 	23.3 b	25.1 	29.7 	33.8 	33.4 	39.8 	39.1 	38.8 	33.0 	32.7 
GE3,PC,T,Y_LT18,CZ	23.4 	19.5 	18.8 	18.0 	18.9 	19.3 	19.2 	16.4 	19.7 	16.7 	14.2 	11.0 
GE3,PC,T,Y_LT18,DE	17.1 	14.0 	15.6 	14.6 	12.5 	13.2 	11.4 	12.3 	11.9 	11.0 	10.6 	9.8 
GE3,PC,T,Y_LT18,DK	9.3 	8.3 	6.0 	5.7 	6.7 	7.9 	8.5 	9.5 	7.3 	8.5 	7.1 	7.5 
GE3,PC,T,Y_LT18,EA18	16.4 	15.1 	16.2 	16.9 	16.9 	17.3 	18.5 	18.5 	18.4 	17.1 	16.0 	14.2 e
GE3,PC,T,Y_LT18,EA19	16.7 	15.2 	16.3 	16.9 	17.1 	17.4 	18.7 	18.7 	18.5 	17.2 	16.0 	14.3 e
GE3,PC,T,Y_LT18,EE	18.5 	14.3 	12.8 b	19.8 	24.6 	23.3 	21.0 	19.5 	15.0 b	13.1 	10.5 	10.7 
GE3,PC,T,Y_LT18,EL	21.6 	20.0 	18.7 	24.4 	25.3 	29.2 	34.8 	39.9 	41.9 	45.0 	42.3 	38.3 
GE3,PC,T,Y_LT18,ES	16.6 	12.7 	14.9 	18.5 	20.3 	15.6 	19.4 	21.8 	21.7 	20.3 	18.7 	14.6 
GE3,PC,T,Y_LT18,EU27	21.9 e	20.3 	20.1 	19.9 e	20.8 	21.0 	22.8 	22.3 	21.0 	19.4 	17.9 	15.8 e
