landcover,unit,geo\time	2009 	2012 	2015 
LCA,I12,LV	: 	100.0 	103.0 
LCA,I12,MT	: 	100.0 	100.0 
LCA,I12,NL	: 	100.0 	105.7 
LCA,I12,PL	: 	100.0 	103.9 
LCA,I12,PT	: 	100.0 	102.6 
LCA,I12,RO	: 	100.0 	105.4 
LCA,I12,SE	: 	100.0 	107.1 
LCA,I12,SI	: 	100.0 	102.8 
LCA,I12,SK	: 	100.0 	107.3 
LCA,I12,UK	: 	100.0 	105.1 
LCA,KM2,AT	3291 	3483 	3589 
LCA,KM2,BE	3042 	3325 	3493 
LCA,KM2,BG	: 	1913 	2050 
LCA,KM2,CY	: 	473 	495 
LCA,KM2,CZ	3361 	3478 	3647 
LCA,KM2,DE	24472 	25259 	26404 
LCA,KM2,DK	2779 	2872 	2968 
LCA,KM2,EE	814 	852 	897 
LCA,KM2,EL	3824 	4290 	4487 
LCA,KM2,ES	15761 	16392 	16960 
LCA,KM2,EU27	: 	174061 	181043 
LCA,KM2,EU28	: 	: 	183122 
LCA,KM2,EU_V	160770 	166733 	173295 
LCA,KM2,FI	5134 	5326 	5531 
LCA,KM2,FR	27847 	28574 	29415 
LCA,KM2,HR	: 	: 	2079 
LCA,KM2,HU	3351 	3536 	3814 
LCA,KM2,IE	2581 	2671 	2684 
LCA,KM2,IT	19815 	20346 	20837 
LCA,KM2,LT	1693 	1729 	1795 
LCA,KM2,LU	230 	252 	255 
LCA,KM2,LV	1000 	1018 	1049 
LCA,KM2,MT	: 	75 	75 
LCA,KM2,NL	4047 	4290 	4535 
LCA,KM2,PL	10059 	10364 	10770 
LCA,KM2,PT	4511 	4625 	4744 
LCA,KM2,RO	: 	4867 	5129 
LCA,KM2,SE	6586 	6810 	7295 
LCA,KM2,SI	609 	645 	663 
LCA,KM2,SK	1272 	1361 	1461 
LCA,KM2,UK	14693 	15233 	16003 
LCA,M2_HAB,AT	394.4 	413.2 	415.7 
LCA,M2_HAB,BE	281.8 	298.8 	309.8 
LCA,M2_HAB,BG	: 	261.8 	285.6 
LCA,M2_HAB,CY	: 	547.5 	584 
LCA,M2_HAB,CZ	321.8 	330.9 	345.8 
LCA,M2_HAB,DE	298.8 	314.1 	323.2 
LCA,M2_HAB,DK	503.2 	513.6 	522.2 
LCA,M2_HAB,EE	610 	644.1 	681.9 
LCA,M2_HAB,EL	368.9 	388.4 	414.7 
LCA,M2_HAB,ES	365.7 	368.3 	384.2 
LCA,M2_HAB,EU27	: 	351.2 	361.9 
LCA,M2_HAB,EU28	: 	: 	363 
LCA,M2_HAB,EU_V	347.3 	357 	367.2 
LCA,M2_HAB,FI	966.6 	983.8 	1009.4 
LCA,M2_HAB,FR	444.7 	449.7 	456.2 
LCA,M2_HAB,HR	: 	: 	494.1 
LCA,M2_HAB,HU	334.3 	356.4 	387.5 
LCA,M2_HAB,IE	569.1 	582.3 	577.6 
LCA,M2_HAB,IT	335.3 	341.7 	343.1 
LCA,M2_HAB,LT	535.3 	578.7 	617.9 
LCA,M2_HAB,LU	462 	474.6 	447.7 
LCA,M2_HAB,LV	466.9 	500.4 	530.5 
LCA,M2_HAB,MT	: 	178.8 	173.7 
LCA,M2_HAB,NL	244.8 	256 	267.7 
LCA,M2_HAB,PL	263.7 	272.3 	283.5 
LCA,M2_HAB,PT	448.6 	462.3 	481.4 
LCA,M2_HAB,RO	: 	242.6 	258.8 
LCA,M2_HAB,SE	708.3 	715.4 	744.4 
LCA,M2_HAB,SI	298.6 	313.5 	321.3 
LCA,M2_HAB,SK	236.2 	251.7 	269.4 
LCA,M2_HAB,UK	235.9 	239.1 	245.7 
