s_adj,indic,geo\time	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 
SA,BS-CSMCI-BAL,EA19	-1.1 	0.0 	0.5 	1.4 	0.1 	0.1 	0.3 	0.2 	-0.6 	-0.5 	-1.9 	-2.9 
SA,BS-CSMCI-BAL,EE	-0.3 	-0.9 	-4.1 	-6.8 	-5.8 	-0.6 	-1.9 	0.0 	-0.4 	-1.5 	-2.4 	0.1 
SA,BS-CSMCI-BAL,EL	-54.0 	-53.8 	-50.3 	-51.0 	-53.0 	-52.8 	-48.8 	-51.0 	-52.4 	-49.9 	-47.8 	-44.9 
SA,BS-CSMCI-BAL,ES	-1.4 	-1.7 	-1.5 	1.3 	0.4 	-3.5 	-0.7 	0.5 	1.8 	0.6 	-2.5 	-8.0 
SA,BS-CSMCI-BAL,EU28	-1.7 	-0.7 	-0.6 	0.4 	-0.3 	-0.3 	-0.5 	-0.1 	-1.3 	-0.7 	-1.8 	-2.8 
SA,BS-CSMCI-BAL,FI	27.2 	25.8 	26.9 	26.1 	26.8 	25.1 	25.5 	25.2 	23.6 	23.9 	22.9 	23.2 
SA,BS-CSMCI-BAL,FR	-9.5 	-3.4 	-3.9 	-4.0 	-7.1 	-5.9 	-6.7 	-5.3 	-9.5 	-8.3 	-10.6 	-13.4 
SA,BS-CSMCI-BAL,HR	-17.2 	-16.4 	-13.8 	-12.4 	-8.7 	-12.3 	-11.0 	-6.3 	-10.5 	-8.5 	-9.0 	-12.1 
SA,BS-CSMCI-BAL,HU	-13.1 	-12.9 	-7.7 	-8.7 	-7.5 	-5.8 	-3.8 	-6.9 	-5.6 	-8.5 	-12.0 	-8.4 
SA,BS-CSMCI-BAL,IE	12.5 	11.5 	11.4 	12.1 	12.3 	13.6 	13.1 	14.4 	10.6 	12.9 	8.9 	: 
SA,BS-CSMCI-BAL,IT	-7.0 	-7.8 	-6.4 	-6.1 	-6.4 	-5.6 	-5.1 	-7.2 	-3.2 	-4.3 	-6.6 	-6.1 
SA,BS-CSMCI-BAL,LT	-9.2 	-9.9 	-8.4 	-9.7 	-7.9 	-7.9 	-5.3 	-3.3 	-5.2 	-2.9 	-2.5 	-1.1 
SA,BS-CSMCI-BAL,LU	17.3 	17.4 	14.0 	19.1 	17.3 	14.0 	14.3 	14.6 	14.3 	17.2 	13.6 	14.8 
SA,BS-CSMCI-BAL,LV	-8.8 	-9.4 	-8.4 	-1.0 	-8.9 	-9.3 	-8.7 	-6.7 	-9.7 	-9.0 	-7.2 	-5.4 
SA,BS-CSMCI-BAL,ME	-14.5 	-17.6 	-14.8 	-18.9 	-15.9 	-17.5 	-16.9 	-14.8 	-16.7 	-14.9 	-13.8 	-12.5 
SA,BS-CSMCI-BAL,MK	5.3 	-2.3 	-1.4 	-4.6 	-5.9 	-6.4 	-6.6 	-13.8 	-13.9 	-10.9 	-9.6 	-7.7 
SA,BS-CSMCI-BAL,MT	11.3 	16.5 	22.5 	24.5 	27.4 	25.6 	22.7 	21.9 	23.2 	23.4 	22.7 	23.6 
SA,BS-CSMCI-BAL,NL	18.0 	16.7 	18.3 	19.0 	18.6 	19.4 	17.9 	16.5 	17.1 	17.4 	16.2 	15.4 
SA,BS-CSMCI-BAL,PL	-4.8 	-2.8 	-1.1 	0.6 	1.3 	-0.2 	1.7 	2.0 	1.5 	1.5 	-0.4 	-0.9 
SA,BS-CSMCI-BAL,PT	4.6 	4.2 	1.4 	0.5 	1.8 	2.8 	3.1 	4.3 	2.2 	-0.4 	-0.6 	-1.2 
SA,BS-CSMCI-BAL,RO	-20.7 	-22.2 	-25.1 	-26.4 	-26.5 	-24.5 	-23.2 	-24.3 	-26.1 	-22.4 	-21.3 	-19.9 
SA,BS-CSMCI-BAL,RS	-6.8 	-6.2 	-7.6 	-2.8 	-2.4 	-0.6 	-2.8 	-2.4 	-4.0 	-1.5 	-0.6 	1.4 
SA,BS-CSMCI-BAL,SE	16.1 	17.2 	16.7 	16.3 	14.6 	13.6 	15.0 	13.6 	13.6 	11.6 	14.4 	15.6 
SA,BS-CSMCI-BAL,SI	-0.6 	0.6 	0.5 	2.0 	1.6 	0.8 	2.1 	1.0 	0.9 	-0.8 	-4.5 	-8.9 
SA,BS-CSMCI-BAL,SK	-4.8 	-4.6 	-5.7 	-3.0 	-3.8 	-5.5 	-7.1 	-3.0 	-3.4 	-3.9 	-3.9 	-4.3 
SA,BS-CSMCI-BAL,TR	-31.0 	-34.1 	-33.1 	-28.3 	-27.2 	-28.7 	-30.5 	-29.4 	-28.9 	-26.4 	-32.1 	-38.2 
SA,BS-CSMCI-BAL,UK	-5.5 	-5.2 	-7.0 	-4.8 	-4.1 	-3.4 	-5.9 	-3.0 	-7.0 	-2.9 	-3.6 	-5.8 
SA,BS-ICI-BAL,AT	8.6 	12.4 	13.2 	10.1 	12.6 	12.2 	11.5 	10.8 	9.5 	6.4 	8.4 	7.5 
SA,BS-ICI-BAL,BE	-1.7 	0.2 	-2.8 	1.2 	1.3 	-1.0 	-1.9 	-1.0 	-1.6 	-2.3 	0.8 	1.6 
SA,BS-ICI-BAL,BG	3.9 	3.4 	1.4 	4.4 	3.8 	3.8 	3.3 	3.9 	0.7 	-0.3 	0.0 	-0.3 
SA,BS-ICI-BAL,CY	7.9 	8.7 	8.7 	10.7 	10.8 	5.5 	7.1 	4.1 	-3.0 	0.7 	3.4 	10.8 
SA,BS-ICI-BAL,CZ	7.4 	6.0 	4.5 	2.8 	2.7 	5.1 	4.5 	3.4 	3.8 	0.0 	0.0 	1.3 
SA,BS-ICI-BAL,DE	14.6 	14.4 	15.5 	16.4 	14.2 	11.9 	12.5 	12.1 	12.2 	10.3 	10.8 	10.0 
SA,BS-ICI-BAL,DK	4.0 	3.2 	6.2 	-1.3 	1.2 	-2.4 	0.2 	4.9 	0.2 	3.3 	3.9 	-1.2 
SA,BS-ICI-BAL,EA19	8.4 	8.9 	9.5 	9.7 	8.8 	7.0 	7.3 	6.9 	6.9 	5.8 	5.6 	4.7 
SA,BS-ICI-BAL,EE	8.5 	10.0 	10.5 	8.3 	7.9 	7.8 	7.4 	5.9 	6.1 	6.3 	5.0 	6.9 
SA,BS-ICI-BAL,EL	-4.7 	-3.9 	0.2 	1.2 	4.2 	-3.3 	-1.2 	-1.5 	-1.6 	5.4 	6.3 	0.3 
SA,BS-ICI-BAL,ES	2.5 	5.5 	4.8 	4.2 	2.4 	1.9 	3.3 	0.8 	-0.5 	-1.3 	-3.5 	-3.0 
SA,BS-ICI-BAL,EU28	8.1 	8.6 	9.1 	9.2 	7.9 	6.0 	6.7 	6.4 	6.5 	5.8 	5.7 	4.5 
SA,BS-ICI-BAL,FI	12.8 	14.3 	18.2 	15.9 	14.1 	11.3 	12.7 	12.0 	15.0 	17.7 	14.5 	11.1 
SA,BS-ICI-BAL,FR	3.8 	3.7 	4.7 	5.5 	3.7 	1.8 	4.2 	3.5 	5.8 	4.0 	3.0 	0.3 
SA,BS-ICI-BAL,HR	10.5 	10.4 	8.4 	15.9 	17.7 	11.4 	9.5 	10.3 	12.1 	10.7 	8.1 	13.3 
SA,BS-ICI-BAL,HU	9.2 	9.1 	10.2 	11.1 	14.0 	12.3 	10.1 	15.1 	15.4 	17.1 	12.6 	7.8 
SA,BS-ICI-BAL,IT	5.6 	5.4 	5.4 	5.0 	5.6 	3.9 	2.8 	2.8 	1.8 	1.8 	0.7 	0.9 
SA,BS-ICI-BAL,LT	-2.3 	-1.1 	-1.8 	-3.3 	-5.6 	-4.5 	-1.0 	-1.6 	1.6 	1.1 	-0.8 	-2.3 
SA,BS-ICI-BAL,LU	-0.7 	-4.7 	-0.9 	-4.4 	-5.4 	-7.9 	-8.3 	-6.8 	-6.3 	-4.0 	-11.1 	-7.8 
SA,BS-ICI-BAL,LV	2.7 	1.7 	2.6 	3.0 	1.8 	1.6 	0.8 	0.8 	0.8 	1.5 	2.4 	0.9 
SA,BS-ICI-BAL,ME	7.2 	2.1 	0.3 	5.3 	7.6 	6.2 	8.8 	8.3 	6.4 	7.6 	5.0 	6.8 
SA,BS-ICI-BAL,MK	0.7 	1.4 	0.1 	-0.1 	-0.8 	0.4 	2.5 	1.7 	2.3 	2.3 	3.0 	0.9 
SA,BS-ICI-BAL,MT	5.6 	14.1 	13.0 	16.0 	13.9 	11.0 	-4.4 	5.0 	10.7 	15.3 	12.8 	5.0 
SA,BS-ICI-BAL,NL	5.2 	6.7 	6.7 	7.2 	8.1 	7.0 	5.8 	7.0 	5.5 	4.3 	4.7 	4.0 
SA,BS-ICI-BAL,PL	-6.6 	-6.3 	-5.6 	-2.1 	-2.8 	-3.7 	-5.0 	-3.9 	-3.1 	-2.9 	-4.1 	-5.8 
SA,BS-ICI-BAL,PT	4.2 	3.3 	4.1 	3.3 	2.6 	2.2 	-0.1 	-0.3 	0.9 	0.6 	1.5 	-1.1 
SA,BS-ICI-BAL,RO	2.6 	2.7 	3.4 	2.7 	1.6 	0.6 	0.0 	0.2 	1.0 	0.7 	0.8 	1.6 
SA,BS-ICI-BAL,RS	6.9 	6.0 	4.3 	4.0 	6.4 	6.8 	7.8 	6.0 	6.8 	8.5 	6.7 	6.8 
SA,BS-ICI-BAL,SE	19.0 	20.2 	15.5 	13.5 	14.7 	16.7 	19.9 	18.1 	15.1 	18.1 	20.6 	15.4 
SA,BS-ICI-BAL,SI	12.3 	13.9 	14.1 	13.5 	12.5 	10.0 	9.3 	9.7 	9.8 	6.2 	7.0 	4.5 
SA,BS-ICI-BAL,SK	8.7 	2.3 	6.9 	-4.3 	8.7 	8.0 	6.2 	2.5 	1.2 	1.4 	0.1 	2.6 
SA,BS-ICI-BAL,TR	7.0 	6.5 	4.9 	6.4 	6.4 	3.8 	2.2 	3.5 	0.2 	-0.5 	-2.4 	-6.4 
SA,BS-ICI-BAL,UK	10.5 	11.5 	13.2 	13.0 	6.4 	0.1 	5.1 	3.6 	5.9 	7.0 	7.6 	5.4 
SA,BS-RCI-BAL,AT	-6.6 	-8.1 	1.5 	-4.9 	-10.2 	-6.3 	-9.9 	-9.5 	-8.1 	-14.5 	-12.6 	-9.8 
SA,BS-RCI-BAL,BE	-7.4 	-5.6 	-10.4 	-9.1 	-9.6 	-4.4 	-7.2 	-9.1 	-9.7 	-14.9 	-6.4 	-5.7 
SA,BS-RCI-BAL,BG	18.3 	17.0 	19.3 	23.1 	21.0 	18.5 	16.5 	17.6 	17.9 	18.8 	15.2 	15.8 
SA,BS-RCI-BAL,CY	7.5 	6.4 	10.0 	8.0 	8.6 	12.6 	8.3 	9.6 	5.8 	4.6 	9.6 	0.4 
SA,BS-RCI-BAL,CZ	20.6 	21.4 	20.9 	23.1 	25.0 	23.7 	25.4 	23.9 	23.1 	20.7 	18.4 	23.0 
SA,BS-RCI-BAL,DE	-2.3 	-2.2 	0.0 	-1.0 	-1.1 	-6.0 	-6.4 	-2.3 	-5.9 	-6.6 	-4.6 	-2.2 
SA,BS-RCI-BAL,DK	8.4 	9.0 	7.4 	13.9 	3.4 	7.2 	7.8 	5.7 	10.7 	7.8 	4.7 	12.0 
SA,BS-RCI-BAL,EA19	3.8 	3.2 	4.8 	4.1 	3.5 	0.8 	-0.7 	0.7 	0.7 	0.3 	1.9 	2.7 
SA,BS-RCI-BAL,EE	14.1 	8.3 	9.8 	15.2 	13.3 	5.3 	8.5 	7.7 	7.6 	8.1 	10.8 	14.3 
SA,BS-RCI-BAL,EL	2.0 	2.3 	-0.4 	1.8 	2.8 	2.2 	10.4 	6.4 	2.6 	14.9 	19.7 	21.0 
SA,BS-RCI-BAL,ES	10.6 	10.0 	10.5 	11.3 	13.0 	10.8 	10.9 	8.8 	11.4 	11.0 	11.0 	9.2 
SA,BS-RCI-BAL,EU28	3.1 	5.3 	5.1 	3.3 	4.5 	2.8 	0.1 	1.9 	3.2 	2.0 	5.0 	4.4 
SA,BS-RCI-BAL,FI	5.7 	21.7 	12.1 	10.7 	26.2 	12.8 	6.0 	19.1 	15.4 	14.9 	15.0 	16.0 
SA,BS-RCI-BAL,FR	-0.4 	-0.6 	0.9 	-0.6 	-0.2 	-5.1 	-4.1 	-4.7 	-3.1 	-1.1 	-0.5 	-0.6 
SA,BS-RCI-BAL,HR	13.4 	13.7 	13.2 	12.1 	15.4 	11.4 	19.4 	17.8 	19.4 	14.8 	11.0 	9.4 
SA,BS-RCI-BAL,HU	10.2 	12.1 	14.1 	9.1 	13.5 	10.6 	8.2 	7.6 	10.4 	8.5 	11.6 	14.0 
SA,BS-RCI-BAL,IT	14.3 	11.7 	14.0 	13.0 	8.7 	8.9 	2.1 	4.3 	7.2 	4.8 	7.2 	7.1 
SA,BS-RCI-BAL,LT	4.8 	5.9 	7.0 	7.8 	8.7 	7.7 	8.2 	7.5 	6.9 	9.3 	9.9 	11.2 
SA,BS-RCI-BAL,LV	4.9 	3.5 	5.7 	7.9 	9.0 	5.7 	7.1 	8.4 	8.8 	9.1 	6.7 	6.1 
SA,BS-RCI-BAL,ME	13.5 	16.4 	19.8 	17.7 	17.9 	16.1 	18.1 	16.1 	18.0 	17.5 	19.7 	18.1 
SA,BS-RCI-BAL,MK	6.7 	6.7 	7.2 	4.2 	7.1 	7.6 	6.8 	13.7 	2.8 	3.7 	2.3 	4.0 
SA,BS-RCI-BAL,MT	16.4 	27.0 	18.9 	16.0 	23.3 	5.7 	1.4 	9.6 	-0.3 	12.3 	11.1 	17.1 
SA,BS-RCI-BAL,NL	13.7 	6.1 	11.8 	13.4 	10.6 	9.8 	5.3 	6.4 	6.5 	6.1 	6.7 	9.7 
SA,BS-RCI-BAL,PL	6.6 	6.5 	9.9 	9.2 	9.8 	7.5 	5.4 	5.0 	5.7 	5.8 	4.9 	6.4 
SA,BS-RCI-BAL,PT	2.8 	2.8 	3.4 	4.2 	2.6 	2.3 	2.2 	2.6 	1.8 	1.4 	1.3 	1.1 
SA,BS-RCI-BAL,RO	10.4 	8.4 	13.5 	16.7 	12.1 	7.9 	6.5 	9.6 	3.4 	6.2 	3.6 	16.2 
SA,BS-RCI-BAL,RS	12.2 	9.6 	11.7 	11.6 	11.2 	9.3 	12.0 	16.3 	13.9 	14.2 	12.5 	11.6 
SA,BS-RCI-BAL,SE	15.5 	16.5 	19.3 	17.8 	20.2 	17.6 	13.1 	16.3 	18.8 	11.4 	14.4 	17.9 
SA,BS-RCI-BAL,SI	27.4 	30.7 	22.2 	28.5 	20.1 	9.3 	15.7 	5.6 	21.5 	10.9 	10.6 	11.7 
SA,BS-RCI-BAL,SK	18.8 	21.5 	19.8 	24.3 	24.0 	22.0 	24.8 	26.5 	27.2 	23.1 	20.2 	25.5 
SA,BS-RCI-BAL,TR	4.1 	-0.1 	0.2 	5.3 	4.2 	2.5 	1.0 	-2.2 	-4.9 	-2.9 	-6.9 	-12.3 
SA,BS-RCI-BAL,UK	-5.0 	9.8 	0.6 	-7.5 	2.8 	4.9 	-4.0 	0.2 	7.6 	4.0 	14.5 	5.0 
SA,BS-SCI-BAL,AT	32.3 	26.8 	32.6 	31.7 	30.9 	29.5 	27.2 	24.2 	27.4 	24.7 	25.2 	27.9 
SA,BS-SCI-BAL,BE	11.0 	13.3 	17.8 	12.9 	18.3 	16.9 	23.1 	12.6 	17.1 	8.7 	13.4 	15.0 
SA,BS-SCI-BAL,BG	14.5 	15.1 	12.8 	16.4 	15.8 	15.8 	20.5 	18.9 	18.6 	16.6 	21.8 	18.4 
SA,BS-SCI-BAL,CY	37.5 	45.2 	36.5 	45.3 	40.1 	36.4 	40.5 	32.6 	16.3 	25.1 	23.4 	31.6 
SA,BS-SCI-BAL,CZ	35.6 	35.5 	36.2 	36.7 	38.6 	36.1 	37.7 	37.1 	37.3 	37.5 	38.1 	39.0 
SA,BS-SCI-BAL,DE	19.5 	20.6 	21.3 	22.5 	22.2 	19.7 	17.7 	18.5 	16.5 	23.7 	22.2 	22.3 
SA,BS-SCI-BAL,DK	8.7 	13.5 	14.5 	11.7 	16.7 	15.0 	10.6 	10.2 	9.5 	10.4 	10.9 	10.3 
SA,BS-SCI-BAL,EA19	15.7 	15.8 	16.9 	15.9 	16.9 	16.0 	14.7 	14.4 	14.4 	15.3 	14.4 	14.6 
SA,BS-SCI-BAL,EE	13.1 	17.0 	20.4 	20.5 	15.8 	16.3 	10.0 	7.0 	8.3 	14.5 	9.5 	6.8 
SA,BS-SCI-BAL,EL	14.4 	13.6 	13.4 	8.9 	18.9 	17.7 	23.6 	25.1 	21.0 	15.9 	11.9 	10.5 
SA,BS-SCI-BAL,ES	26.4 	20.7 	19.8 	20.1 	23.8 	26.6 	22.5 	24.5 	23.6 	23.3 	22.2 	19.3 
SA,BS-SCI-BAL,EU28	13.8 	12.1 	15.0 	14.6 	16.1 	14.2 	12.7 	13.3 	12.3 	13.1 	12.4 	13.1 
SA,BS-SCI-BAL,FI	26.3 	24.6 	21.1 	22.2 	27.9 	29.8 	22.0 	23.7 	16.9 	17.7 	17.7 	23.4 
SA,BS-SCI-BAL,FR	5.6 	7.1 	10.2 	7.6 	6.8 	6.7 	5.9 	3.2 	4.6 	4.5 	2.9 	3.2 
SA,BS-SCI-BAL,HR	19.6 	20.9 	24.6 	23.7 	19.3 	19.2 	20.8 	24.5 	17.1 	13.9 	16.1 	16.6 
SA,BS-SCI-BAL,HU	13.9 	16.5 	15.7 	16.3 	16.0 	10.9 	17.9 	8.6 	13.2 	17.7 	11.8 	9.6 
SA,BS-SCI-BAL,IT	12.5 	13.6 	13.3 	9.8 	12.9 	10.1 	9.8 	9.6 	11.9 	9.0 	9.1 	9.5 
SA,BS-SCI-BAL,LT	18.2 	14.8 	22.7 	21.1 	29.5 	24.0 	26.6 	29.3 	30.5 	29.1 	29.5 	30.4 
SA,BS-SCI-BAL,LV	7.6 	8.1 	8.6 	7.5 	6.1 	3.8 	1.1 	2.7 	4.0 	3.1 	4.0 	5.8 
SA,BS-SCI-BAL,ME	15.9 	19.8 	17.8 	17.8 	18.6 	21.5 	21.5 	22.9 	17.6 	17.0 	12.6 	8.9 
SA,BS-SCI-BAL,MK	16.4 	18.0 	17.9 	13.1 	14.4 	16.1 	20.6 	19.0 	16.3 	15.7 	21.6 	20.4 
SA,BS-SCI-BAL,MT	33.6 	31.0 	44.7 	37.6 	29.8 	32.7 	29.4 	40.2 	30.2 	31.6 	36.1 	42.2 
SA,BS-SCI-BAL,NL	14.0 	14.5 	14.4 	15.3 	16.0 	16.0 	14.6 	16.7 	15.9 	16.3 	14.1 	15.3 
SA,BS-SCI-BAL,PL	2.5 	2.6 	3.0 	8.4 	8.9 	7.6 	7.4 	6.8 	6.5 	6.4 	6.1 	5.4 
SA,BS-SCI-BAL,PT	14.6 	17.2 	15.3 	15.9 	15.0 	12.4 	9.8 	14.0 	18.2 	17.5 	15.1 	16.8 
SA,BS-SCI-BAL,RO	12.0 	9.6 	11.0 	10.7 	11.3 	9.2 	6.1 	10.2 	11.4 	4.4 	5.1 	4.8 
SA,BS-SCI-BAL,RS	12.9 	10.2 	15.6 	13.3 	15.4 	10.5 	14.6 	12.2 	8.6 	12.0 	10.5 	10.1 
SA,BS-SCI-BAL,SE	27.8 	27.9 	30.7 	28.0 	28.2 	24.4 	24.5 	22.7 	27.1 	26.0 	23.5 	28.3 
SA,BS-SCI-BAL,SI	26.9 	28.4 	29.4 	25.9 	24.7 	22.8 	24.4 	24.8 	24.4 	24.2 	24.8 	25.4 
SA,BS-SCI-BAL,SK	11.0 	6.2 	-0.6 	4.2 	7.3 	8.0 	8.7 	7.7 	5.4 	2.4 	-5.1 	-8.8 
SA,BS-SCI-BAL,TR	1.8 	1.4 	-1.4 	1.9 	0.8 	-0.3 	-2.3 	-7.7 	-8.4 	-7.1 	-12.3 	-21.5 
SA,BS-SCI-BAL,UK	4.8 	-6.0 	5.7 	7.1 	10.9 	5.2 	1.9 	7.5 	0.9 	2.1 	2.5 	4.9 
