unit,age,sex,lmp_type,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
RT,TOTAL,M,TOT2_7,SE	36.0 	39.9 	36.6 	34.1 	27.1 	34.9 	40.6 	40.5 	43.7 	45.6 	47.8 	46.4 
RT,TOTAL,M,TOT2_7,SI	9.4 u	13.6 	9.6 	6.4 	39.8 e	19.8 	14.7 	8.2 	11.1 	10.8 	7.7 	5.4 
RT,TOTAL,M,TOT2_7,SK	30.0 	35.8 u	26.3 u	29.5 u	16.7 u	21.5 u	16.5 u	15.9 	12.7 	13.8 	13.4 	19.7 
RT,TOTAL,T,TOT2_7,AT	19.6 u	26.4 	27.5 	30.1 u	32.3 	27.8 	25.7 	24.8 	25.2 	23.8 	21.2 	21.6 
RT,TOTAL,T,TOT2_7,BE	30.5 	36.6 	43.4 	52.4 	51.2 	49.2 	48.6 e	48.6 	41.9 	45.0 	49.7 	66.7 e
RT,TOTAL,T,TOT2_7,BG	10.8 	15.9 	14.2 	20.2 	11.9 	4.0 	2.6 	3.6 	7.1 	3.2 	2.8 	5.4 
RT,TOTAL,T,TOT2_7,CY	: 	4.1 	8.9 e	11.7 e	10.5 	19.0 e	17.6 	11.1 	5.6 	8.6 	9.4 	7.0 
RT,TOTAL,T,TOT2_7,CZ	8.6 	9.3 	12.0 	12.7 	9.7 u	11.5 u	10.8 	10.0 u	10.8 u	18.0 e	21.8 e	22.4 
RT,TOTAL,T,TOT2_7,DE	22.6 u	38.2 u	28.2 u	28.5 	32.1 	36.2 	34.5 	32.3 	30.8 	31.1 	30.3 	19.5 
RT,TOTAL,T,TOT2_7,DK	46.6 	57.5 	50.5 	63.2 	49.7 	50.3 e	46.7 e	44.0 e	45.8 e	45.4 e	54.5 e	43.9 e
RT,TOTAL,T,TOT2_7,EE	1.9 	2.3 	1.7 e	1.4 	1.9 	3.7 	4.3 	5.5 	4.7 	4.2 	5.0 	16.0 
RT,TOTAL,T,TOT2_7,EL	: 	7.3 	7.4 	8.6 	15.1 e	12.2 e	: 	2.5 u	6.7 u	8.6 e	7.0 e	3.1 u
RT,TOTAL,T,TOT2_7,ES	: 	90.3 u	127.8 u	84.2 u	55.2 u	47.6 u	41.4 	33.1 	23.3 	25.1 	28.3 	28.9 
RT,TOTAL,T,TOT2_7,EU28	: 	: 	34.6 u	32.7 z	29.4 b	: 	: 	22.3 z	: 	: 	: 	: 
RT,TOTAL,T,TOT2_7,FI	24.3 	25.5 b	27.7 	29.2 	24.5 	27.1 	30.3 	29.8 	28.4 	29.0 	26.8 	27.4 
RT,TOTAL,T,TOT2_7,FR	43.7 e	45.0 e	51.6 e	51.0 e	40.6 u	43.4 u	40.0 e	37.4 e	40.5 e	40.4 e	41.2 	43.5 
RT,TOTAL,T,TOT2_7,HR	: 	: 	: 	: 	: 	: 	: 	3.0 	4.8 	4.5 	6.6 	7.0 
RT,TOTAL,T,TOT2_7,HU	11.1 u	: 	: 	18.2 u	16.9 	25.2 	19.1 	37.9 	37.0 	35.2 	40.7 	51.1 
RT,TOTAL,T,TOT2_7,IE	34.8 	32.1 	34.6 	29.6 	23.5 	21.2 e	19.8 	19.7 	21.6 	24.5 	28.2 e	27.3 
RT,TOTAL,T,TOT2_7,IT	35.9 	34.2 u	31.4 u	26.5 u	30.4 u	24.1 u	23.3 u	19.7 u	16.7 u	15.1 u	: 	: 
RT,TOTAL,T,TOT2_7,LT	7.4 u	12.1 u	14.8 u	8.1 	5.6 b	5.8 e	6.7 e	8.9 u	8.6 u	11.1 u	13.2 u	12.9 u
RT,TOTAL,T,TOT2_7,LU	87.7 u	79.2 u	120.2 	89.6 	49.8 e	64.0 	55.0 	55.1 	55.5 	61.0 	40.0 	51.3 
RT,TOTAL,T,TOT2_7,LV	3.4 e	3.8 e	3.0 	2.8 	3.8 	9.0 	9.9 	5.7 	6.8 	6.8 	4.3 	5.8 
RT,TOTAL,T,TOT2_7,MT	: 	3.4 e	3.1 	2.3 	3.0 	7.5 	20.9 	11.1 	5.4 	16.0 	11.5 	8.2 
RT,TOTAL,T,TOT2_7,NL	38.8 e	39.2 e	40.6 e	48.3 e	53.0 e	45.0 e	40.2 e	35.7 e	28.7 e	27.8 e	28.8 e	30.6 e
RT,TOTAL,T,TOT2_7,NO	25.5 	27.9 	32.5 	28.2 	25.4 b	26.8 	27.1 	24.3 	21.5 	22.4 	18.7 	18.0 b
RT,TOTAL,T,TOT2_7,PL	10.4 u	11.6 u	14.7 u	28.5 e	27.3 e	20.6 e	17.5 e	16.3 e	15.4 e	17.3 e	22.4 e	25.3 
RT,TOTAL,T,TOT2_7,PT	32.3 u	29.9 	29.0 	32.0 	33.2 b	29.8 	20.1 b	15.6 	16.5 	24.6 	28.5 	23.4 
RT,TOTAL,T,TOT2_7,RO	6.8 	6.5 	6.7 	6.7 	3.3 	3.5 	3.1 e	4.0 e	3.1 	2.9 	3.5 	4.5 
RT,TOTAL,T,TOT2_7,SE	32.2 	34.8 	30.8 	28.5 	24.5 	31.2 	36.3 	37.7 	39.5 	40.6 	42.1 	41.0 
RT,TOTAL,T,TOT2_7,SI	11.7 u	15.0 	10.6 	7.5 	35.1 e	19.8 	14.7 	8.2 	10.5 	10.6 	7.8 	6.1 
RT,TOTAL,T,TOT2_7,SK	27.5 	31.6 u	23.7 u	26.5 u	16.0 u	21.2 u	16.0 u	16.1 	13.5 	14.5 	13.6 	19.8 
RT,TOTAL,T,TOT2_7,UK	1.8 u	2.2 e	1.8 u	1.9 u	1.5 u	: 	: 	: 	: 	: 	: 	: 
