unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PCH_3Y,SE	: 	: 	: 	22.40 e	24.00 e	27.80 e	34.90 e	38.80 e	27.90 	17.10 	12.40 	14.00 	12.00 	9.40 	16.70 	30.50 	34.40 	30.70 
PCH_3Y,SI	: 	: 	: 	: 	: 	: 	46.60 e	65.20 e	54.50 e	19.80 e	-3.00 	-6.90 	-4.20 	-9.40 	-17.60 	-10.80 	-2.80 	12.50 
PCH_3Y,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	32.70 	-1.20 	-17.50 	-8.00 	-3.30 	-0.40 	7.80 	14.00 	19.00 
PCH_3Y,UK	: 	: 	: 	45.40 e	50.40 e	44.70 e	34.80 e	32.40 e	13.20 	-4.40 	-8.00 	-5.10 	4.60 	1.50 	11.20 	17.40 	22.40 	18.50 
RCH_A_AVG,AT	: 	0.80 e	0.60 e	0.20 e	-1.90 e	5.00 e	4.10 e	4.70 e	1.00 e	4.00 e	6.20 be	6.30 	7.30 	5.20 	3.50 	4.90 	8.50 	5.30 
RCH_A_AVG,BE	: 	4.80 e	6.40 e	7.00 e	8.70 e	12.70 e	9.80 	7.80 	4.40 	-0.50 	3.10 	4.00 	2.20 	1.20 	-0.60 	1.70 p	2.60 p	3.60 p
RCH_A_AVG,BG	: 	: 	-8.90 e	11.60 e	47.40 e	36.60 e	14.70 p	28.90 p	25.00 p	-20.40 p	-10.20 p	-5.50 	-1.90 	-2.20 	1.40 	2.80 b	7.00 	8.70 
RCH_A_AVG,CY	: 	: 	: 	1.20 e	10.40 e	6.30 e	11.90 	11.70 	5.60 	-6.60 	-5.70 p	-1.60 p	-3.10 p	-4.10 p	-1.80 p	-1.40 bp	0.30 	2.20 p
RCH_A_AVG,CZ	: 	9.50 e	12.70 e	10.20 e	0.40 e	1.50 e	7.70 e	19.30 e	12.90 e	-3.90 	-1.80 	0.10 	-1.50 	0.00 	2.40 	4.00 p	7.20 p	11.70 p
RCH_A_AVG,DE	: 	0.10 e	-1.40 e	0.40 e	-1.50 e	1.20 e	-0.40 	-2.20 	1.40 	0.90 	1.10 	3.50 	3.50 	3.10 	3.10 	4.70 	6.00 	4.50 
RCH_A_AVG,DK	: 	5.90 e	3.60 e	3.20 e	9.00 e	17.60 e	24.10 	2.70 	-5.20 	-12.00 	2.80 	-1.70 	-2.70 	3.90 	3.80 	7.00 	5.20 	4.50 
RCH_A_AVG,EE	: 	: 	: 	: 	: 	: 	49.50 	20.80 	-9.60 	-37.20 	5.70 	8.50 	7.30 	10.60 	13.70 	6.90 	4.80 	5.50 
RCH_A_AVG,EL	: 	14.40 e	13.90 e	5.40 e	2.30 e	10.90 e	13.20 e	5.90 e	1.70 e	-3.70 e	-4.70 e	-5.50 e	-11.70 e	-10.80 e	-7.50 e	-5.00 e	-2.40 e	-1.00 e
RCH_A_AVG,ES	: 	9.80 e	15.40 e	17.20 e	17.10 e	13.60 e	13.40 e	9.80 	-1.40 	-6.60 	-1.80 	-7.60 	-14.80 	-9.10 	0.30 	3.60 	4.60 	6.20 
RCH_A_AVG,FI	: 	-1.60 e	6.30 e	6.30 e	8.00 e	8.20 e	7.00 p	5.90 p	0.80 p	1.40 p	6.30 	3.20 	2.40 	1.10 	-0.30 	0.00 	0.40 	1.60 
RCH_A_AVG,FR	: 	7.80 	8.70 	11.90 	15.20 	15.30 	12.10 	5.80 b	0.80 	-6.20 	4.80 	5.80 	-0.50 	-1.90 	-1.60 	-1.50 	1.00 	3.10 
RCH_A_AVG,HR	: 	1.80 e	5.50 e	3.20 e	11.00 e	11.30 e	17.70 e	12.00 e	2.90 e	-5.00 	-6.30 	0.20 	-1.60 	-3.90 	-1.60 	-2.90 	0.90 	3.80 
RCH_A_AVG,HU	: 	: 	: 	: 	: 	: 	: 	: 	2.40 	-5.20 	-2.40 	-3.40 	-3.70 	-2.60 	4.20 	13.10 	13.40 	6.00 
RCH_A_AVG,IE	: 	15.10 e	4.40 e	14.30 e	11.20 e	9.70 e	14.90 	7.50 	-6.90 	-19.20 	-13.50 p	-17.10 p	-13.50 p	1.20 p	16.50 p	11.50 p	7.50 p	10.90 p
RCH_A_AVG,IT	: 	5.80 e	11.90 e	6.10 e	6.20 e	7.60 e	5.70 e	5.00 e	2.60 e	-0.50 e	0.70 be	1.40 	-2.50 	-6.50 	-4.70 	-3.80 	0.00 p	-0.80 p
RCH_A_AVG,LT	: 	12.60 e	5.60 e	9.70 e	8.10 e	25.70 e	28.40 e	26.30 	9.00 	-29.90 	-7.40 	6.60 	-0.20 	1.20 	6.40 	3.70 	5.40 	8.90 
RCH_A_AVG,LU	: 	14.10 e	8.40 e	11.20 e	14.00 e	11.40 e	11.10 e	7.00 be	3.30 	-1.20 	5.40 	3.70 	4.20 	5.00 	4.40 	5.40 	6.00 	5.60 
RCH_A_AVG,LV	: 	0.30 e	46.70 e	22.50 e	2.70 e	24.00 e	55.20 e	36.30 	1.10 	-37.30 	-11.00 	10.40 	3.00 	6.90 	6.00 	-3.40 	8.50 	8.80 
RCH_A_AVG,MT	: 	9.60 e	12.60 e	16.40 e	16.90 e	7.70 e	19.90 	21.00 	11.10 	-4.30 	1.10 	-1.40 	3.10 	-0.40 	2.50 	5.80 	5.50 	5.30 p
RCH_A_AVG,NL	: 	9.50 e	6.30 e	2.50 e	4.00 e	4.70 e	4.30 	4.80 	2.20 	-4.50 	-1.70 	-2.00 	-6.70 	-6.00 	0.80 	3.60 	5.00 	7.50 
RCH_A_AVG,PL	: 	: 	: 	: 	: 	: 	36.60 	48.70 	-0.80 e	-2.80 e	-3.80 e	0.10 	-3.50 	-4.40 	1.00 	1.50 	1.90 	3.80 
RCH_A_AVG,PT	: 	5.40 e	0.60 e	1.10 e	0.70 e	2.30 e	2.00 e	1.40 e	3.80 be	-0.90 	0.80 	-4.90 	-7.10 	-1.90 	4.20 	3.10 	7.10 	9.20 
RCH_A_AVG,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	-23.80 e	-7.50 	-12.30 	-5.10 	-0.30 	-2.10 	2.90 	6.00 	6.10 
RCH_A_AVG,SE	: 	7.90 e	6.40 e	6.50 e	9.40 e	9.70 e	12.40 	12.50 	1.10 	3.00 	8.00 	2.50 	1.20 	5.50 	9.40 	13.10 	8.60 	6.40 
RCH_A_AVG,SI	: 	: 	: 	: 	9.70 e	14.40 e	16.80 e	23.60 e	7.00 	-9.50 	0.10 	2.70 	-6.90 	-5.20 	-6.60 	0.80 	3.30 	8.00 
RCH_A_AVG,SK	: 	: 	: 	: 	: 	: 	: 	29.00 	17.90 	-12.70 	-4.00 	-1.50 	-2.70 	0.90 	1.40 	5.40 	6.70 	5.90 
RCH_A_AVG,UK	: 	8.10 e	16.10 e	15.80 e	11.90 e	11.70 e	7.80 	9.90 	-4.50 	-8.90 	5.70 	-1.50 	0.40 	2.60 	8.00 	6.00 	7.00 	4.50 
