unit,indic_il,sex,age,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,LI_R_MD60,T,Y_GE65,SE	11.3 	9.9 	15.3 b	16.2 	14.2 	15.9 	15.9 	15.0 	13.6 	15.9 	16.8 	15.8 
PC,LI_R_MD60,T,Y_GE65,SI	19.9 	19.4 	21.3 	20.0 	20.2 	20.9 	19.6 	20.5 	17.1 	17.2 	17.6 	16.4 
PC,LI_R_MD60,T,Y_GE65,SK	8.5 	8.5 	9.9 	10.8 	7.7 	6.3 	7.8 	6.0 	6.2 	5.6 	5.7 	6.9 
PC,LI_R_MD60,T,Y_GE65,TR	20.0 	18.4 	18.9 	20.2 	19.3 	19.0 	20.5 	18.4 	19.3 	18.7 	: 	: 
PC,LI_R_MD60,T,Y_GE65,UK	26.1 	26.5 	27.3 	22.3 	21.3 	21.8 	16.4 	16.6 	17.7 	16.5 	17.1 	: 
PC,LI_R_MD60,T,Y_GE75,AT	19.0 	16.5 	19.7 	19.5 	17.5 	17.7 	16.6 	16.8 	17.1 	14.2 	15.3 	14.0 
PC,LI_R_MD60,T,Y_GE75,BE	26.9 	26.0 	23.7 	24.7 	20.9 	21.4 	20.8 	20.8 	18.4 	17.2 	15.6 	17.5 
PC,LI_R_MD60,T,Y_GE75,BG	24.3 	30.5 	40.4 	47.1 	38.4 	38.7 	34.7 	30.9 	27.1 	37.8 	29.8 b	38.3 
PC,LI_R_MD60,T,Y_GE75,CH	: 	30.3 	32.8 	37.2 	32.3 	34.0 	39.5 	37.6 	34.5 	32.2 	31.0 	: 
PC,LI_R_MD60,T,Y_GE75,CY	64.2 	65.2 	61.4 	60.3 	53.4 	48.2 	43.1 	31.7 	31.9 	25.2 	27.8 	29.1 
PC,LI_R_MD60,T,Y_GE75,CZ	7.0 	6.8 	7.9 	8.3 	8.7 	7.2 	6.7 	5.9 	7.1 	8.1 	10.1 	13.3 
PC,LI_R_MD60,T,Y_GE75,DE	15.4 	17.0 	14.1 	13.7 	12.3 	12.5 	12.6 	12.6 	13.9 	14.6 	16.2 	15.5 
PC,LI_R_MD60,T,Y_GE75,DK	23.1 	22.6 	22.7 	25.6 	24.9 	22.1 	18.6 	14.8 	14.8 	15.0 	14.7 	15.4 
PC,LI_R_MD60,T,Y_GE75,EA18	22.1 	21.7 	20.3 	19.4 	17.0 	16.6 	14.9 	13.8 	13.9 	14.1 	14.9 	15.1 e
PC,LI_R_MD60,T,Y_GE75,EA19	22.1 	21.9 	20.4 	19.5 	16.9 	16.5 	14.9 	13.9 	13.9 	14.2 	15.0 	15.3 e
PC,LI_R_MD60,T,Y_GE75,EE	28.8 	40.4 	48.0 	42.1 	16.9 	16.0 	18.3 	24.7 	36.5 	42.6 	48.2 	49.7 
PC,LI_R_MD60,T,Y_GE75,EL	33.3 	31.3 	28.0 	23.9 	25.5 	27.5 	20.0 	17.2 	16.1 	15.1 	12.6 	12.7 
PC,LI_R_MD60,T,Y_GE75,ES	32.3 	29.3 	29.1 	26.9 	24.9 	22.6 	15.9 	13.3 	12.5 	12.7 	14.7 	15.8 
PC,LI_R_MD60,T,Y_GE75,EU27	22.2 e	22.0 	21.4 	20.3 	18.0 	17.8 	15.7 	14.7 	15.0 	15.4 	16.0 	15.9 e
PC,LI_R_MD60,T,Y_GE75,EU28	: 	: 	: 	: 	18.2 	17.9 	15.8 	14.8 	15.1 	15.5 	16.1 	15.9 e
PC,LI_R_MD60,T,Y_GE75,FI	28.5 	28.1 	30.1 	31.2 	24.4 	26.5 	27.6 	23.9 	24.0 	21.6 	18.2 	19.0 
PC,LI_R_MD60,T,Y_GE75,FR	18.2 	15.2 	13.6 	13.7 	11.5 	12.1 	11.4 	11.4 	10.7 	9.5 	9.4 	9.5 
PC,LI_R_MD60,T,Y_GE75,HR	: 	: 	: 	: 	37.6 	34.5 	30.4 	28.1 	26.8 	29.6 	30.7 	: 
PC,LI_R_MD60,T,Y_GE75,HU	10.5 	6.4 	3.9 	4.9 	3.3 	4.9 	5.7 	3.9 	3.3 	3.5 	5.1 	7.9 
PC,LI_R_MD60,T,Y_GE75,IE	32.0 	32.4 	23.6 	17.6 	11.1 	10.5 	12.8 	9.9 	10.5 	14.7 	17.7 	: 
PC,LI_R_MD60,T,Y_GE75,IS	16.4 	22.7 	23.1 	17.3 	7.8 	6.7 	4.9 	3.8 	9.8 	7.7 	9.6 p	: 
PC,LI_R_MD60,T,Y_GE75,IT	22.9 	23.0 	22.0 	21.3 	18.6 	18.4 	17.5 	15.4 	14.9 	16.1 	16.1 	16.7 
PC,LI_R_MD60,T,Y_GE75,LT	27.7 	35.5 	34.6 	28.3 	9.2 	9.0 	18.3 	21.4 	21.0 	26.8 	28.1 	37.9 
PC,LI_R_MD60,T,Y_GE75,LU	7.8 	6.8 	6.5 	5.3 	6.7 	5.2 	6.7 	7.3 	7.2 	8.4 	7.7 b	9.5 
PC,LI_R_MD60,T,Y_GE75,LV	34.0 	39.5 	60.2 	55.6 	16.7 	8.6 	12.0 	17.4 	31.6 	40.6 	44.0 	47.4 
PC,LI_R_MD60,T,Y_GE75,MK	: 	: 	: 	: 	18.6 	23.1 	25.3 	16.4 	13.1 	14.5 	12.9 	: 
PC,LI_R_MD60,T,Y_GE75,MT	23.0 	20.2 	24.9 	19.5 	18.8 	16.3 	15.0 	14.4 	16.6 	19.3 	22.4 	23.3 
PC,LI_R_MD60,T,Y_GE75,NL	4.6 	10.2 	11.1 	7.6 	7.1 	7.6 	5.9 	7.2 	9.0 	8.5 	11.0 b	13.1 
PC,LI_R_MD60,T,Y_GE75,NO	24.6 	22.8 	24.1 	19.9 	19.8 	19.3 	15.0 	17.6 	17.6 	16.9 	16.2 	16.1 
PC,LI_R_MD60,T,Y_GE75,PL	6.1 	5.8 	10.0 	12.8 	12.4 	11.8 	12.3 	9.5 	10.1 	10.9 	11.6 	13.0 
PC,LI_R_MD60,T,Y_GE75,PT	32.0 	30.9 	25.7 	24.4 	26.0 	25.6 	21.5 	17.6 	17.1 	18.9 	21.7 	20.5 
PC,LI_R_MD60,T,Y_GE75,RO	: 	33.4 	29.9 	26.4 	22.3 	19.2 	18.9 	18.1 	20.4 	24.4 	23.3 	25.3 
PC,LI_R_MD60,T,Y_GE75,RS	: 	: 	: 	: 	: 	: 	: 	21.1 	23.9 	24.4 	23.4 	: 
PC,LI_R_MD60,T,Y_GE75,SE	17.4 	15.2 	21.6 b	23.5 	19.9 	23.0 	22.6 	21.9 	19.8 	22.2 	24.5 	22.8 
PC,LI_R_MD60,T,Y_GE75,SI	23.0 	23.9 	25.9 	25.2 	26.0 	27.0 	24.5 	26.0 	21.1 	21.1 	20.5 	20.4 
PC,LI_R_MD60,T,Y_GE75,SK	12.3 	11.7 	12.2 	13.9 	9.6 	8.3 	9.0 	8.4 	8.7 	7.5 	6.7 	8.6 
PC,LI_R_MD60,T,Y_GE75,TR	21.6 	18.9 	19.7 	21.8 	21.4 	22.0 	24.0 	21.0 	22.6 	21.9 	: 	: 
PC,LI_R_MD60,T,Y_GE75,UK	31.1 	31.2 	31.2 	25.8 	25.5 	27.2 	19.8 	20.7 	22.7 	20.8 	21.4 	: 
PC,LI_R_MD60,T,Y_LT60,AT	12.1 	11.7 	14.6 	14.0 	14.4 	14.2 	14.4 	14.1 	14.1 	14.1 	14.5 	15.1 
PC,LI_R_MD60,T,Y_LT60,BE	12.9 	13.6 	13.2 	13.1 	13.7 	14.4 	14.4 	14.4 	15.6 	15.0 	15.5 	16.1 
PC,LI_R_MD60,T,Y_LT60,BG	18.2 	21.9 	18.6 	17.8 	18.1 	20.4 	19.7 	19.4 	22.1 	19.4 	23.0 b	21.6 
PC,LI_R_MD60,T,Y_LT60,CH	: 	13.2 	13.7 	12.5 	12.4 	12.4 	12.9 	11.4 	11.3 	13.4 	12.5 	: 
PC,LI_R_MD60,T,Y_LT60,CY	10.2 	10.3 	11.3 	10.9 	11.6 	11.4 	12.4 	14.7 	13.1 	16.1 	15.4 	14.5 
PC,LI_R_MD60,T,Y_LT60,CZ	10.9 	10.8 	9.7 	9.0 	9.7 	10.8 	10.7 	9.5 	10.8 	10.5 	10.2 	8.8 
PC,LI_R_MD60,T,Y_LT60,DE	12.5 	14.6 	15.1 	15.4 	15.8 	15.9 	15.8 	15.8 	16.2 	16.1 	15.7 	15.3 
PC,LI_R_MD60,T,Y_LT60,DK	11.2 	11.0 	11.1 	12.1 	12.9 	12.3 	12.4 	12.9 	13.3 	13.6 	13.3 	13.7 
PC,LI_R_MD60,T,Y_LT60,EA18	14.9 	15.5 	15.7 	16.0 	16.8 	17.3 	17.6 	17.6 	18.3 	18.3 	18.3 	17.9 e
PC,LI_R_MD60,T,Y_LT60,EA19	15.0 	15.5 	15.8 	16.0 	16.8 	17.4 	17.6 	17.6 	18.3 	18.3 	18.4 	17.9 e
PC,LI_R_MD60,T,Y_LT60,EE	16.7 	16.3 	15.0 	16.5 	15.9 	18.7 	17.5 	17.3 	18.9 	17.8 	17.2 	15.9 
PC,LI_R_MD60,T,Y_LT60,EL	19.1 	19.7 	19.5 	19.3 	19.9 	20.8 	24.9 	25.7 	24.5 	23.8 	24.0 	22.7 
PC,LI_R_MD60,T,Y_LT60,ES	18.4 	18.4 	18.9 	19.9 	21.0 	21.2 	22.4 	22.3 	25.1 	24.9 	25.0 	23.7 
PC,LI_R_MD60,T,Y_LT60,EU27	16.2 e	16.2 	16.2 	16.3 	16.9 	17.3 	17.5 	17.6 	18.3 	18.3 	18.1 	17.6 e
PC,LI_R_MD60,T,Y_LT60,EU28	: 	: 	: 	: 	16.9 	17.3 	17.5 	17.6 	18.3 	18.3 	18.1 	17.6 e
PC,LI_R_MD60,T,Y_LT60,FI	10.9 	11.4 	12.0 	12.3 	12.3 	12.8 	12.1 	10.7 	12.1 	12.2 	11.6 	11.5 
PC,LI_R_MD60,T,Y_LT60,FR	12.8 	13.5 	13.1 	13.5 	14.7 	15.4 	15.5 	15.2 	14.9 	15.2 	15.5 	15.2 
PC,LI_R_MD60,T,Y_LT60,HR	: 	: 	: 	: 	18.4 	19.0 	19.2 	18.8 	18.4 	18.2 	17.7 	: 
PC,LI_R_MD60,T,Y_LT60,HU	17.6 	13.9 	14.4 	14.5 	14.4 	16.5 	16.4 	17.8 	17.8 	17.6 	16.3 	14.3 
PC,LI_R_MD60,T,Y_LT60,IE	17.2 	15.4 	14.5 	14.7 	15.8 	15.7 	17.2 	16.3 	17.1 	16.3 	16.3 	: 
PC,LI_R_MD60,T,Y_LT60,IS	9.7 	9.7 	9.6 	10.1 	10.9 	10.4 	8.7 	10.5 	8.3 	10.0 	9.5 p	: 
PC,LI_R_MD60,T,Y_LT60,IT	19.1 	19.1 	18.8 	18.5 	19.7 	21.1 	20.9 	20.9 	21.5 	21.9 	22.5 	21.9 
PC,LI_R_MD60,T,Y_LT60,LT	19.9 	17.2 	18.7 	19.4 	23.0 	21.5 	18.3 	20.7 	18.9 	21.6 	20.3 	20.2 
PC,LI_R_MD60,T,Y_LT60,LU	15.5 	14.9 	15.2 	16.8 	16.3 	15.4 	17.1 	18.1 	18.8 	17.0 	18.0 b	20.3 
PC,LI_R_MD60,T,Y_LT60,LV	21.5 	17.5 	19.7 	21.3 	21.7 	21.5 	20.6 	20.0 	19.6 	19.2 	17.0 	17.0 
PC,LI_R_MD60,T,Y_LT60,MK	: 	: 	: 	: 	28.4 	27.9 	27.3 	25.6 	23.6 	23.0 	23.3 	: 
PC,LI_R_MD60,T,Y_LT60,MT	12.1 	13.8 	13.3 	13.7 	14.9 	15.4 	14.8 	16.0 	15.5 	15.1 	14.5 	14.6 
PC,LI_R_MD60,T,Y_LT60,NL	10.6 	10.5 	10.8 	11.9 	11.2 	12.2 	11.1 	11.4 	12.9 	13.1 	13.5 b	13.8 
PC,LI_R_MD60,T,Y_LT60,NO	11.7 	12.0 	11.4 	12.2 	11.6 	11.0 	10.6 	11.8 	11.7 	13.1 	13.5 	13.7 
PC,LI_R_MD60,T,Y_LT60,PL	21.3 	19.3 	18.0 	17.8 	18.4 	18.5 	17.9 	18.6 	18.3 	19.0 	18.3 	15.0 
PC,LI_R_MD60,T,Y_LT60,PT	16.6 	16.2 	17.6 	17.3 	17.2 	17.7 	18.0 	19.9 	20.7 	20.1 	19.1 	18.5 
PC,LI_R_MD60,T,Y_LT60,RO	: 	24.0 	23.5 	22.9 	23.1 	24.7 	25.7 	25.6 	28.0 	27.6 	27.4 	25.0 
PC,LI_R_MD60,T,Y_LT60,RS	: 	: 	: 	: 	: 	: 	: 	26.1 	27.1 	27.3 	27.5 	: 
PC,LI_R_MD60,T,Y_LT60,SE	13.1 	11.2 	13.8 b	14.7 	15.7 	15.9 	15.7 	16.9 	16.7 	16.8 	16.6 	16.4 
PC,LI_R_MD60,T,Y_LT60,SI	9.9 	10.0 	10.6 	9.5 	11.1 	12.2 	12.5 	13.6 	14.1 	13.7 	12.8 	12.4 
PC,LI_R_MD60,T,Y_LT60,SK	12.5 	11.3 	11.3 	11.5 	13.2 	14.6 	14.6 	14.4 	14.2 	13.8 	14.5 	13.7 
PC,LI_R_MD60,T,Y_LT60,TR	27.5 	25.5 	25.4 	26.0 	25.1 	24.1 	24.5 	24.0 	23.8 	23.3 	: 	: 
PC,LI_R_MD60,T,Y_LT60,UK	17.8 	16.9 	17.1 	16.2 	16.3 	15.0 	16.0 	15.8 	16.7 	16.7 	15.6 	: 
PC,LI_R_MD60,T,Y_LT65,AT	11.8 	11.6 	14.4 	13.9 	14.2 	14.2 	14.2 	14.1 	14.1 	14.1 	14.3 	14.8 
PC,LI_R_MD60,T,Y_LT65,BE	13.0 	13.7 	13.5 	13.2 	13.7 	14.4 	14.5 	14.4 	15.3 	14.8 	15.5 	15.9 
PC,LI_R_MD60,T,Y_LT65,BG	18.0 	21.6 	18.8 	18.1 	18.2 	20.3 	19.6 	19.4 	21.5 	19.6 	22.5 b	21.1 
PC,LI_R_MD60,T,Y_LT65,CH	: 	13.2 	13.6 	12.9 	12.6 	12.5 	13.2 	11.5 	11.4 	13.3 	12.5 	: 
PC,LI_R_MD60,T,Y_LT65,CY	10.8 	10.7 	11.6 	11.4 	12.1 	11.8 	12.6 	14.6 	13.3 	16.1 	15.6 	14.7 
PC,LI_R_MD60,T,Y_LT65,CZ	10.5 	10.3 	9.3 	8.8 	9.4 	10.4 	10.3 	9.2 	10.3 	10.2 	10.0 	8.8 
PC,LI_R_MD60,T,Y_LT65,DE	12.6 	14.9 	15.3 	15.6 	16.0 	16.3 	16.4 	16.4 	16.8 	16.7 	16.2 	15.8 
PC,LI_R_MD60,T,Y_LT65,DK	10.7 	10.6 	10.7 	11.8 	12.4 	11.7 	11.8 	12.3 	12.6 	12.9 	12.8 	13.2 
PC,LI_R_MD60,T,Y_LT65,EA18	14.8 	15.5 	15.6 	15.9 	16.5 	17.1 	17.5 	17.5 	18.1 	18.1 	18.2 	17.7 e
PC,LI_R_MD60,T,Y_LT65,EA19	14.9 	15.5 	15.6 	15.9 	16.6 	17.2 	17.5 	17.5 	18.1 	18.1 	18.2 	17.7 e
PC,LI_R_MD60,T,Y_LT65,EE	16.9 	16.6 	15.5 	16.8 	16.0 	18.4 	17.6 	17.5 	19.5 	18.4 	17.5 	16.3 
PC,LI_R_MD60,T,Y_LT65,EL	19.4 	19.7 	19.7 	19.3 	19.9 	20.8 	24.5 	25.1 	23.9 	23.4 	23.5 	22.4 
PC,LI_R_MD60,T,Y_LT65,ES	18.6 	18.5 	18.8 	19.7 	20.5 	20.8 	22.1 	22.0 	24.6 	24.3 	24.4 	23.2 
PC,LI_R_MD60,T,Y_LT65,EU27	16.0 e	16.1 	16.1 	16.1 	16.6 	17.0 	17.3 	17.4 	18.0 	18.1 	17.9 	17.5 e
PC,LI_R_MD60,T,Y_LT65,EU28	: 	: 	: 	: 	16.6 	17.1 	17.3 	17.4 	18.0 	18.1 	17.9 	17.5 e
