age,sex,workint,indic_il,hhtyp,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,ES	43.6 	45.1 	54.1 b	47.1 	52.4 	44.8 	49.1 	52.7 	51.2 	55.1 	59.0 	49.9 
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,EU27	40.6 e	44.6 	45.3 	42.6 	44.6 	45.5 	47.5 	48.2 	47.1 	48.7 	49.9 	48.0 e
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,EU28	: 	: 	: 	: 	44.6 	45.4 	47.4 	48.2 	47.0 	48.5 	49.7 	48.0 e
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,FI	32.9 	37.2 	38.8 	26.8 	35.2 	25.9 	34.1 	28.3 	34.9 	34.9 	18.0 	16.9 
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,FR	39.4 	40.3 	44.9 b	40.7 	41.9 	47.7 	41.6 	52.5 	39.1 	43.9 	60.2 	55.5 
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,HR	: 	: 	: 	: 	42.7 	40.2 	40.9 	42.5 	37.2 	28.0 	35.3 	: 
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,HU	46.1 	35.2 	38.6 	39.4 	39.5 	54.2 	45.3 	50.1 	56.1 	58.6 	36.9 	31.9 
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,IE	35.5 	28.5 	32.8 	13.7 	14.6 	15.9 	22.5 	18.2 	21.8 	27.6 	19.1 	: 
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,IS	31.9 	35.9 	40.3 	30.4 	33.1 	26.4 	19.2 	36.8 	27.6 	27.5 	34.6 p	: 
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,IT	50.9 	50.7 	47.1 	48.2 	51.1 	55.1 	58.3 	55.0 	53.9 	57.0 	54.5 	52.5 
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,LT	53.0 	51.7 	79.9 	59.5 	49.2 	44.4 	54.6 	57.6 	41.1 	66.0 	46.1 	49.2 
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,LU	64.8 	45.0 	47.0 	53.5 	48.5 	46.2 	52.7 	38.2 	53.1 	42.2 	41.7 b	46.5 
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,LV	52.2 	48.1 	60.0 	64.7 	42.7 	44.5 	47.6 	57.6 	59.2 	50.0 	47.4 	42.4 
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,MK	: 	: 	: 	: 	: 	: 	32.2 	31.3 	31.7 	36.9 	42.8 	: 
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,MT	20.0 	25.6 	28.4 	29.5 	31.8 	35.0 	43.4 	37.4 	39.8 	30.3 	38.1 	49.6 
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,NL	32.1 	28.6 	12.9 	24.2 	25.5 	27.2 	31.0 	22.7 	33.9 	38.7 	34.2 b	41.9 
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,NO	27.7 	23.5 	28.4 	35.3 	42.8 	29.2 	29.3 	36.7 	30.2 	30.9 	23.2 	7.3 
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,PL	45.4 	44.3 	44.4 	44.5 	47.9 	50.6 	48.7 	54.3 	53.2 	51.3 	54.9 	36.3 
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,PT	39.7 	54.5 	50.1 	57.4 	42.6 	53.1 	59.0 	59.0 	57.5 	57.0 	60.4 	68.7 
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,RO	: 	44.7 	53.4 	55.0 	56.8 	58.1 	67.7 	66.9 	68.4 	74.1 	64.2 	68.2 
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,RS	: 	: 	: 	: 	: 	: 	: 	43.9 	41.3 	45.2 	44.4 	: 
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,SE	36.3 	21.6 	41.4 b	45.1 	27.4 	41.9 	50.0 	36.3 	44.0 	38.9 	59.1 	57.7 
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,SI	33.4 	32.5 	36.4 	40.7 	43.3 	35.2 	36.8 	44.6 	48.3 	49.3 	45.6 	35.4 
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,SK	40.5 	39.0 	44.6 	43.6 	39.8 	38.9 	42.1 	43.5 	42.1 	40.1 	56.9 	61.0 
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,TR	42.7 	40.9 	41.0 	43.4 	40.5 	41.2 	46.4 	43.2 	44.3 	40.8 	: 	: 
Y_LT60,T,WI02-045,LI_R_MD60,HH_DCH,UK	51.5 	65.3 	59.3 	39.4 	38.3 	37.8 	42.5 b	47.4 	41.7 	42.3 	36.3 	: 
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,AT	9.1 	10.0 	12.9 b	12.1 	12.2 	12.0 	11.7 	12.6 	11.2 	12.8 	12.4 	12.5 
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,BE	6.2 	8.3 	9.5 	7.7 	8.9 	6.9 	8.1 	7.7 	8.7 	8.3 	7.6 	8.8 
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,BG	11.5 	14.1 	15.8 	16.0 	16.3 	16.5 	14.7 	14.0 	19.4 	14.0 	19.1 b	17.4 
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,CH	: 	14.0 	16.0 	14.3 	13.5 	13.1 	15.0 	12.4 	12.0 b	14.5 	13.5 	: 
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,CY	8.7 	8.6 	10.1 b	8.9 	9.1 	9.9 	9.9 	11.4 	8.0 	11.0 	11.4 	11.3 
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,CZ	8.7 	7.7 	7.5 	7.3 	7.8 	9.1 	8.5 	6.6 	7.2 	7.6 	6.7 	6.4 
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,DE	7.2 	8.3 	8.3 	8.7 	9.9 	9.0 	9.5 	9.9 	10.7 	10.0 	9.8 	10.2 
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,DK	5.7 	5.3 	6.4 	6.6 	6.4 	6.7 b	6.5 	5.8 	6.1 	6.6 	6.0 	5.9 
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,EA18	12.5 	12.9 	13.4 	13.9 	14.0 	13.8 	14.1 	13.7 	14.0 	14.3 	14.4 	14.5 e
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,EA19	12.6 	12.9 	13.5 	13.9 	14.0 	13.8 	14.1 	13.8 	14.0 	14.4 	14.4 	14.5 e
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,EE	13.1 	13.2 	12.8 	15.6 	11.4 	13.3 	12.3 	12.3 	15.3 b	15.4 	14.3 	12.9 
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,EL	20.2 	20.9 	20.6 	21.3 	21.4 	18.8 	22.9 	21.3 	21.2 	20.6 	19.7 	19.3 
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,ES	20.4 	19.8 	21.4 b	21.9 	20.8 	18.6 	19.2 	18.5 	20.3 	21.3 	21.5 	20.7 
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,EU27	13.7 e	13.6 	14.2 	14.1 	14.3 	14.3 	14.5 	14.5 	14.9 	15.0 	14.7 	14.6 e
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,EU28	: 	: 	: 	: 	14.2 	14.3 	14.5 	14.5 	14.9 	15.0 	14.7 	14.6 e
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,FI	5.8 	7.1 	8.0 	7.2 	6.7 	6.4 	6.4 	5.3 	6.8 	6.0 	5.0 	5.0 
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,FR	9.0 	9.8 	10.2 	11.4 	11.2 	12.2 	12.5 	12.2 	11.9 	12.0 	13.1 	12.8 
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,HR	: 	: 	: 	: 	11.6 	12.1 	12.4 	12.8 	12.0 	11.1 	11.8 	: 
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,HU	13.6 	11.2 	11.4 	12.2 	11.0 	12.6 	11.2 	12.4 	13.1 	14.6 	14.6 	13.0 
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,IE	11.2 	8.5 	11.0 	6.7 	8.4 	5.9 	7.4 	6.7 	7.2 	7.6 	6.4 	: 
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,IS	8.9 	9.3 	8.4 	7.9 	8.8 	7.8 	7.1 	7.9 	6.9 	8.0 	7.7 p	: 
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,IT	18.9 	18.7 	17.9 	18.6 	19.2 	20.3 	20.3 	19.1 	18.5 	19.8 	19.8 	20.5 
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,LT	16.6 	14.7 	17.8 	16.9 	19.7 	16.8 	14.1 	17.6 	16.3 	19.1 	16.2 	15.8 
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,LU	16.1 	15.6 	15.8 	17.9 	17.7 	16.4 	18.5 	18.5 	20.2 	18.1 	17.4 b	19.6 
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,LV	18.5 	14.8 	17.5 	18.1 	16.2 	15.7 	15.7 	16.3 	15.6 	16.1 	12.9 	11.9 
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,MK	: 	: 	: 	: 	: 	: 	16.2 	16.8 	16.3 	16.5 	16.4 	: 
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,MT	10.0 	11.3 	11.8 	13.5 	14.0 	14.9 	15.1 	15.0 	13.9 	12.7 	13.2 	13.6 
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,NL	7.8 	8.6 	7.9 	9.8 	9.0 	9.8 	8.3 	8.2 	8.5 	9.1 	8.6 b	9.0 
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,NO	6.3 	6.3 	6.3 	7.1 	7.0 	6.1 	5.7 	6.7 	6.2 	5.8 	6.9 	6.6 
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,PL	19.6 	18.6 	18.1 	17.9 	17.7 	17.9 	17.1 	18.4 	17.8 	18.6 	17.7 	13.0 
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,PT	15.7 	14.8 	18.2 	17.0 	15.2 	16.6 	16.3 	16.7 	17.8 	17.7 	17.9 	16.6 
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,RO	: 	22.4 	23.9 	23.6 	25.1 	26.3 	27.4 	27.4 	30.2 	29.2 	27.9 	25.9 
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,RS	: 	: 	: 	: 	: 	: 	: 	19.2 	19.5 	18.6 	18.9 	: 
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,SE	10.0 	7.3 	9.8 b	9.6 	9.6 	10.3 	10.2 	9.6 	10.6 	10.2 	11.1 	10.6 
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,SI	7.3 	7.4 	8.0 	7.8 	8.2 	9.2 	9.4 	10.3 	10.0 	10.1 	8.8 	9.1 
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,SK	11.9 	10.5 	11.1 	10.6 	11.1 	13.2 	12.7 	11.5 	11.1 	11.5 	12.6 	12.3 
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,TR	25.9 	25.9 	26.1 	27.3 	26.2 	24.4 	25.4 	25.4 	25.2 	24.2 	: 	: 
Y_LT60,T,WI02-1,LI_R_MD60,HH_DCH,UK	13.8 	13.2 	13.9 	11.2 	11.5 	11.9 	12.7 b	14.2 	14.3 	14.0 	12.5 	: 
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,AT	15.5 	16.0 	18.3 b	20.2 	18.5 	16.4 	16.1 	21.1 	14.8 	19.2 	16.7 	22.5 
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,BE	10.6 	16.6 	18.4 	17.5 	20.1 	15.4 	19.5 	20.3 	19.3 	21.7 	16.7 	21.9 
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,BG	23.1 	19.8 	21.8 	31.0 	23.1 	28.5 	27.8 	24.7 	32.2 	24.5 	26.3 b	30.7 
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,CH	: 	18.7 	23.9 	19.7 	21.7 	21.3 	29.2 	23.1 	16.9 b	24.2 	18.4 	: 
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,CY	21.8 	23.3 	24.5 b	20.6 	17.6 	24.2 	19.9 	20.3 	13.0 	18.9 	17.3 	19.8 
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,CZ	15.7 	13.9 	10.0 	10.1 	12.9 	16.0 	13.0 	10.7 	11.9 	14.9 	10.4 	10.8 
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,DE	8.2 	10.7 	11.6 	11.9 	14.3 	11.9 	14.4 	16.6 	15.8 	17.5 	13.9 	16.5 
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,DK	11.7 	14.6 	9.1 	14.6 	11.5 	14.9 b	13.8 	15.5 	15.4 	12.2 	0.3 	14.2 
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,EA18	21.4 	22.4 	24.2 	25.2 	25.0 	23.5 	25.0 	23.5 	23.4 	26.1 	25.2 	27.2 e
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,EA19	21.5 	22.5 	24.3 	25.3 	25.2 	23.6 	25.0 	23.5 	23.5 	26.2 	25.2 	27.3 e
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,EE	24.0 	21.7 	21.5 	23.9 	16.8 	18.3 	15.4 	18.0 	27.0 b	24.3 	25.9 	20.9 
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,EL	28.6 	30.0 	31.0 	35.2 	34.0 	29.6 	32.5 	25.5 	21.2 	26.9 	25.4 	25.3 
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,ES	35.9 	34.7 	35.8 b	35.8 	34.1 	27.8 	26.9 	23.9 	27.3 	32.0 	33.6 	34.9 
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,EU27	22.3 e	23.0 	24.6 	25.3 	24.5 	24.1 	25.1 	24.3 	25.5 	27.5 	25.4 	26.8 e
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,EU28	: 	: 	: 	: 	24.4 	24.0 	25.0 	24.3 	25.5 	27.4 	25.4 	26.8 e
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,FI	10.1 	11.2 	15.6 	18.6 	13.5 	16.0 	12.1 	10.3 	13.1 	9.8 	10.6 	11.0 
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,FR	17.0 	17.3 	21.6 b	26.7 	25.0 	23.4 	30.3 	24.5 	23.6 	28.8 	25.6 	28.8 
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,HR	: 	: 	: 	: 	20.9 	19.0 	19.1 	18.7 	20.5 	22.7 	26.7 	: 
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,HU	21.7 	15.4 	18.3 	19.6 	15.3 	14.8 	15.7 	15.1 	16.5 	20.9 	17.0 	17.7 
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,IE	15.4 	11.2 	15.3 	9.4 	12.3 	8.5 	7.5 	8.5 	8.2 	10.1 	9.6 	: 
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,IS	17.4 	17.3 	14.6 	15.7 	17.4 	14.0 	14.3 	11.7 	16.5 	18.2 	15.8 p	: 
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,IT	29.2 	30.3 	31.3 	30.7 	31.2 	32.1 	30.3 	29.1 	28.4 	29.1 	30.2 	31.9 
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,LT	34.5 	32.1 	34.2 	35.8 	41.3 	31.9 	22.0 	32.7 	36.6 	38.2 	35.6 	38.8 
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,LU	21.2 	21.8 	20.6 	25.5 	28.3 	24.5 	30.4 	28.6 	30.5 	36.4 	30.7 b	30.6 
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,LV	34.8 	26.3 	35.0 	32.4 	26.3 	27.4 	28.0 	24.8 	24.5 	26.3 	24.6 	21.5 
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,MK	: 	: 	: 	: 	: 	: 	22.7 	20.9 	20.7 	23.9 	22.7 	: 
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,MT	17.1 	18.9 	20.9 	22.4 	22.2 	23.8 	24.4 	31.0 	27.9 	30.1 	34.2 	34.2 
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,NL	13.9 	15.7 	15.3 	24.1 	20.1 	21.2 	18.3 	21.0 	25.7 	22.3 	19.7 b	18.8 
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,NO	11.8 	12.8 	15.3 	15.7 	9.0 	11.5 	12.6 	14.8 	13.8 	10.9 	12.8 	5.3 
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,PL	23.1 	27.1 	27.6 	28.8 	27.7 	30.3 	28.9 	27.4 	34.5 	33.3 	29.7 	19.2 
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,PT	35.9 	33.7 	39.8 	33.9 	31.9 	29.8 	36.6 	31.1 	34.1 	36.5 	41.3 	40.1 
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,RO	: 	33.6 	34.3 	37.0 	34.3 	37.8 	42.6 	42.6 	48.4 	47.1 	44.1 	44.0 
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,RS	: 	: 	: 	: 	: 	: 	: 	25.7 	23.6 	23.3 	26.1 	: 
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,SE	18.7 	15.3 	20.9 b	19.3 	17.9 	23.2 	23.9 	29.8 	26.3 	24.8 	31.2 	28.8 
Y_LT60,T,WI045-055,LI_R_MD60,HH_DCH,SI	22.1 	23.2 	28.9 	31.1 	29.9 	34.0 	33.5 	32.5 	31.3 	33.2 	31.1 	30.3 
