unit,hhtyp,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,A1,IT	31.9 	19.7 	20.1 	17.9 	16.6 	17.4 	16.3 	17.9 	16.8 	16.4 	20.0 	18.4 
PC,A1,LT	25.9 	16.6 	16.2 	17.4 	19.2 	26.4 	24.2 	19.8 	20.1 	23.7 	22.7 	19.5 
PC,A1,LU	16.4 	12.3 	11.4 	10.6 	13.6 	13.1 	13.5 	12.8 	15.6 	15.1 	25.6 b	26.1 
PC,A1,LV	35.1 	31.7 	31.4 	30.0 	24.9 	26.7 	28.7 	30.7 	25.2 	21.1 	21.4 	20.7 
PC,A1,MK	: 	: 	: 	: 	: 	: 	31.4 	28.3 	20.5 	20.7 	19.3 	: 
PC,A1,MT	3.8 	7.3 	9.7 	9.2 	11.3 	8.8 	7.3 	7.3 	4.1 	4.7 	4.2 	3.9 
PC,A1,NL	43.6 	39.3 	31.9 	29.4 	31.1 	34.4 	35.4 	37.8 	39.3 	37.1 	36.7 b	32.4 
PC,A1,NO	23.2 	26.7 	25.8 	23.5 	21.8 	27.3 	21.9 	21.1 	23.1 	24.6 	23.6 	23.4 
PC,A1,PL	28.9 	26.7 	27.4 	25.0 	26.5 	29.5 	29.2 	28.5 	25.4 	26.2 	23.8 	25.3 
PC,A1,PT	6.5 	14.1 	11.3 	7.6 	8.4 	10.8 	12.1 	12.7 	15.6 	14.7 	14.0 	12.7 
PC,A1,RO	: 	47.5 	48.9 	37.4 	37.5 	23.7 	40.0 	36.3 	34.5 	35.3 	32.0 	32.0 
PC,A1,RS	: 	: 	: 	: 	: 	: 	: 	35.2 	44.5 	41.6 	41.6 	: 
PC,A1,SE	26.3 	24.6 	30.8 b	31.4 	22.9 	27.9 	26.8 	27.8 	26.4 	26.1 	24.8 	24.8 
PC,A1,SI	14.4 	20.0 	19.4 	16.9 	15.1 	17.1 	20.3 	17.7 	19.6 	18.9 	16.6 	17.1 
PC,A1,SK	59.0 	47.3 	30.6 	31.0 	22.1 	22.8 	22.8 	22.1 	22.9 	22.0 	24.7 	32.5 
PC,A1,TR	18.5 	11.8 	13.9 	14.2 	15.4 	17.3 	14.6 	17.5 	15.1 	16.0 	: 	: 
PC,A1,UK	34.0 	33.3 	34.2 	34.6 	36.5 	35.8 	15.5 b	15.3 	24.9 	21.6 	24.3 	: 
PC,A2,AT	3.4 	4.2 	6.5 b	4.5 	6.0 	4.6 	6.2 	6.6 	5.2 	4.3 	5.1 	4.3 
PC,A2,BE	6.9 	6.6 	10.4 	5.8 	7.2 	7.5 	8.0 	5.9 	6.3 	6.7 	7.3 	5.9 
PC,A2,BG	10.8 	21.8 	15.5 	9.1 	6.8 	8.9 	15.0 	18.5 	12.3 	15.2 	18.5 b	18.0 
PC,A2,CH	: 	: 	: 	12.2 	12.5 	12.0 	11.5 	10.4 	9.3 b	10.1 	9.2 	: 
PC,A2,CY	4.4 	1.7 	1.6 b	3.1 	3.1 	2.8 	4.2 	2.4 	3.9 	4.2 	2.9 	3.1 
PC,A2,CZ	9.9 	8.4 	11.2 	7.9 	9.1 	9.4 	8.6 	8.8 	8.8 	8.5 	7.8 	6.7 
PC,A2,DE	: 	: 	: 	: 	12.8 	13.6 	12.9 	15.6 	13.4 	13.4 	13.3 	11.5 
PC,A2,DK	14.4 	7.2 	8.6 	16.0 	13.3 	12.2 	11.0 	13.4 	9.9 	10.2 	9.0 	9.7 
PC,A2,EA18	8.1 e	6.8 e	6.7 e	5.7 e	7.8 	8.5 	8.4 	9.3 	9.1 	8.8 	8.8 	7.9 e
PC,A2,EA19	8.1 e	6.7 e	6.6 e	5.7 e	7.8 	8.5 	8.4 	9.3 	9.0 	8.8 	8.8 	7.9 e
PC,A2,EE	4.3 	3.0 	1.4 	1.5 	3.4 	5.0 	6.1 	4.6 	5.7 b	3.7 	3.1 	2.6 
PC,A2,EL	23.7 	13.8 	19.8 	18.5 	14.8 	21.7 	25.0 	27.2 	37.2 	37.3 	30.5 	30.4 
PC,A2,ES	7.1 	6.9 	7.4 	8.1 	6.4 	7.8 	8.1 	8.6 	8.3 	7.3 	7.7 	7.0 
PC,A2,EU27	9.7 e	8.8 e	8.7 e	7.6 e	8.8 	9.4 	8.6 	9.2 	9.2 	9.1 	9.0 	8.1 e
PC,A2,EU28	: 	: 	: 	: 	8.9 	9.4 	8.6 	9.2 	9.2 	9.1 	9.0 	8.1 e
PC,A2,FI	2.5 	2.8 	2.2 	2.9 	2.5 	3.2 	2.9 	2.8 	3.3 	3.3 	2.8 	2.2 
PC,A2,FR	4.6 	4.6 	3.3 	2.7 	3.6 	3.1 	3.4 	2.8 	2.8 	3.0 	3.5 	3.9 
PC,A2,HR	: 	: 	: 	: 	20.3 	10.2 	9.9 	10.8 	9.1 	11.0 	8.7 	: 
PC,A2,HU	11.1 	9.6 	9.5 	6.6 	10.6 	10.8 	11.9 	11.4 	11.2 	7.4 	7.8 	9.6 
PC,A2,IE	1.9 	2.9 	2.3 	2.8 	4.5 	4.3 	5.6 	4.2 	4.3 	3.1 	4.1 	: 
PC,A2,IS	7.7 	7.4 	9.4 	7.1 	6.5 	6.9 	8.0 	7.3 	5.9 	4.7 	4.4 p	: 
PC,A2,IT	10.5 	6.2 	6.7 	5.6 	5.2 	6.3 	5.4 	6.5 	6.4 	6.6 	8.0 	6.3 
PC,A2,LT	5.4 	4.3 	3.1 	3.8 	7.7 	8.8 	7.3 	5.4 	3.8 	5.9 	4.6 	3.8 
PC,A2,LU	3.0 	2.6 	2.4 	1.3 	4.1 	2.9 	2.7 	3.8 	4.1 	4.3 	7.6 b	8.3 
PC,A2,LV	9.5 	9.1 	9.1 	10.2 	9.3 	12.2 	10.1 	10.5 	7.5 	6.5 	6.7 	5.9 
PC,A2,MK	: 	: 	: 	: 	: 	: 	22.7 	21.6 	18.4 	15.8 	15.3 	: 
PC,A2,MT	2.4 	3.6 	4.8 	4.5 	5.0 	3.6 	3.4 	2.4 	1.8 	1.3 	1.6 	1.4 
PC,A2,NL	15.1 	13.6 	12.2 	8.2 	8.4 	9.0 	8.1 	9.1 	11.4 	9.2 	6.9 b	5.9 
PC,A2,NO	6.9 	7.4 	7.6 	6.5 	5.1 	4.6 	6.0 	6.0 	4.5 	5.0 	4.7 	4.7 
PC,A2,PL	12.0 	10.9 	10.4 	9.8 	10.8 	12.1 	11.4 	10.8 	11.4 	10.2 	9.0 	7.6 
PC,A2,PT	4.4 	5.9 	4.5 	4.2 	3.7 	4.8 	6.3 	5.9 	7.9 	7.2 	6.1 	6.1 
PC,A2,RO	: 	24.1 	21.7 	16.3 	15.8 	9.0 	17.2 	16.2 	15.0 	14.7 	14.7 	11.9 
PC,A2,RS	: 	: 	: 	: 	: 	: 	: 	28.1 	30.4 	27.0 	24.7 	: 
PC,A2,SE	4.4 	3.6 	5.0 b	4.0 	3.7 	4.9 	4.1 	4.4 	4.2 	4.0 	3.7 	3.9 
PC,A2,SI	3.5 	6.0 	5.7 	4.5 	4.4 	3.7 	4.4 	5.1 	6.0 	5.4 	4.9 	4.5 
PC,A2,SK	20.0 	22.7 	5.6 	8.4 	6.9 	6.3 	7.5 	7.6 	7.7 	8.5 	5.9 	7.8 
PC,A2,TR	12.0 	7.4 	9.7 	10.4 	8.9 	8.8 	9.0 	10.1 	10.0 	9.9 	: 	: 
PC,A2,UK	11.6 	12.0 	12.0 	11.5 	12.3 	13.5 	6.2 b	6.0 	8.5 	9.8 	9.1 	: 
PC,A_GE3,AT	2.2 	0.5 	1.4 b	1.3 	1.3 	2.1 	3.6 	2.2 	1.8 	2.5 	4.2 	2.7 
PC,A_GE3,BE	3.4 	3.4 	4.8 	1.7 	1.7 	2.6 	5.0 	1.8 	2.2 	3.7 	2.5 	2.7 
PC,A_GE3,BG	9.0 	14.0 	7.0 	2.6 	1.8 	3.8 	7.6 	6.5 	6.1 	7.0 	10.3 b	9.0 
PC,A_GE3,CH	: 	: 	: 	4.0 	4.4 	4.5 	4.5 	3.4 	8.9 b	4.2 	5.6 	: 
PC,A_GE3,CY	1.0 	0.1 	0.6 b	0.6 	3.0 	1.6 	0.6 	0.9 	1.2 	0.8 	0.5 	1.1 
PC,A_GE3,CZ	4.1 	3.9 	4.3 	2.1 	2.9 	3.0 	1.8 	4.6 	3.8 	2.6 	2.8 	2.9 
PC,A_GE3,DE	: 	: 	: 	: 	7.3 	7.8 	8.0 	6.6 	7.5 	7.0 	6.9 	6.8 
PC,A_GE3,DK	2.4 	4.8 	6.2 	6.2 	4.6 	6.9 	7.4 	6.6 	14.5 	5.9 	10.0 	11.2 
PC,A_GE3,EA18	3.8 e	3.2 e	2.8 e	2.9 e	3.6 	4.1 	4.7 	4.8 	5.9 	5.4 	5.2 	4.9 e
PC,A_GE3,EA19	3.8 e	3.2 e	2.8 e	2.9 e	3.6 	4.1 	4.6 	4.8 	5.9 	5.4 	5.2 	4.8 e
PC,A_GE3,EE	0.5 	0.4 	0.3 	1.2 	1.4 	4.1 	3.0 	3.0 	4.1 b	1.2 	1.4 	0.4 
PC,A_GE3,EL	10.8 	6.1 	8.3 	8.9 	6.7 	11.7 	20.1 	24.2 	32.6 	30.0 	26.1 	26.7 
PC,A_GE3,ES	2.8 	4.1 	2.7 	3.4 	4.4 	3.2 	3.7 	3.1 	4.8 	3.7 	3.8 	3.2 
PC,A_GE3,EU27	5.6 e	5.0 e	4.5 e	4.1 e	4.1 	4.6 	5.0 	5.0 	6.1 	5.9 	5.6 	4.6 e
PC,A_GE3,EU28	: 	: 	: 	: 	4.2 	4.6 	5.0 	5.0 	6.1 	5.9 	5.5 	4.6 e
PC,A_GE3,FI	0.2 	0.8 	0.8 	0.3 	1.2 	2.1 	0.5 	2.4 	1.9 	2.8 	0.5 	1.3 
PC,A_GE3,FR	3.6 	1.9 	1.5 	0.5 	1.7 	0.6 	1.3 	1.8 	2.2 	3.3 	2.0 	1.5 
PC,A_GE3,HR	: 	: 	: 	: 	7.5 	4.3 	4.4 	4.8 	4.4 	3.5 	3.3 	: 
PC,A_GE3,HU	5.2 	2.9 	3.4 	3.5 	4.3 	4.3 	6.6 	7.2 	5.4 	3.8 	3.3 	4.3 
PC,A_GE3,IE	4.9 	4.0 	2.6 	5.2 	3.5 	8.0 	4.7 	4.5 	9.0 	2.8 	4.3 	: 
PC,A_GE3,IS	9.0 	4.0 	3.9 	2.5 	2.2 	4.0 	4.7 	3.9 	2.8 	3.3 	1.3 p	: 
PC,A_GE3,IT	3.6 	2.3 	2.7 	2.3 	1.8 	3.0 	2.1 	3.1 	3.3 	2.8 	3.7 	2.7 
PC,A_GE3,LT	1.4 	1.4 	1.3 	1.4 	4.9 	4.9 	2.0 	1.7 	1.2 	0.8 	0.6 	0.9 
PC,A_GE3,LU	0.0 	0.2 	0.5 	1.3 	0.6 	1.8 	0.2 	2.3 	0.6 	2.3 	2.8 b	3.3 
PC,A_GE3,LV	4.6 	3.4 	2.0 	3.2 	4.6 	5.8 	4.2 	4.1 	4.1 	3.8 	1.4 	1.0 
PC,A_GE3,MK	: 	: 	: 	: 	: 	: 	16.9 	16.7 	14.6 	7.8 	7.7 	: 
PC,A_GE3,MT	0.4 	0.6 	1.1 	0.7 	1.4 	1.3 	0.4 	0.3 	0.0 	0.0 	0.3 	0.3 
PC,A_GE3,NL	5.0 	7.0 	2.1 	2.2 	3.5 	2.8 	2.6 	5.8 	4.9 	2.2 	2.3 b	4.5 
PC,A_GE3,NO	6.5 	5.7 	4.5 	6.1 	4.7 	4.0 	2.7 	2.4 	0.7 	1.8 	0.0 	0.8 
PC,A_GE3,PL	5.7 	5.9 	4.2 	3.7 	4.2 	4.5 	6.1 	4.5 	4.2 	3.1 	2.6 	2.7 
PC,A_GE3,PT	1.3 	1.3 	2.2 	2.0 	1.3 	1.9 	2.7 	3.1 	3.6 	4.4 	3.7 	4.2 
PC,A_GE3,RO	: 	12.4 	11.9 	10.2 	6.4 	6.0 	7.9 	6.8 	9.1 	6.1 	6.0 	5.2 
PC,A_GE3,RS	: 	: 	: 	: 	: 	: 	: 	19.6 	25.4 	23.7 	20.9 	: 
PC,A_GE3,SE	1.3 	2.1 	4.4 b	2.5 	5.5 	3.1 	2.0 	3.9 	3.3 	4.6 	1.8 	2.5 
PC,A_GE3,SI	1.1 	2.2 	1.9 	1.2 	0.8 	1.4 	1.3 	2.2 	1.3 	2.3 	1.5 	1.0 
PC,A_GE3,SK	6.5 	6.0 	1.2 	2.9 	2.6 	3.1 	2.3 	1.5 	2.9 	3.0 	2.0 	2.1 
PC,A_GE3,TR	8.4 	4.0 	4.2 	5.4 	5.3 	5.7 	4.5 	4.5 	4.7 	5.1 	: 	: 
PC,A_GE3,UK	12.3 	9.5 	11.6 	9.5 	7.5 	7.5 	4.6 b	5.5 	8.3 	11.8 	10.0 	: 
