stk_flow,indic_et,partner,bclas_bec,geo\time	2017M09 	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 
BAL_RT,TRD_VAL_SCA,WORLD,TOTAL,IE	3456.0 	2795.8 	3511.0 	4401.8 	5429.4 	4118.4 	2987.8 	4512.3 	4786.5 	4264.0 	2954.9 	4086.7 
BAL_RT,TRD_VAL_SCA,WORLD,TOTAL,IT	4466.4 	4345.9 	4423.5 	3562.7 	3936.9 	3854.1 	3571.1 	3492.4 	3205.0 	3966.5 	3176.0 	3759.2 
BAL_RT,TRD_VAL_SCA,WORLD,TOTAL,LT	-181.7 	-216.3 	-199.7 	-107.8 	-274.8 	-263.3 	-158.0 	-153.3 	-307.7 	-187.4 	-90.6 	-182.0 
BAL_RT,TRD_VAL_SCA,WORLD,TOTAL,LU	-430.0 	-456.1 	-553.2 	-541.6 	-634.5 	-483.4 	-477.0 	-497.9 	-525.1 	-477.2 	-477.4 	-500.3 
BAL_RT,TRD_VAL_SCA,WORLD,TOTAL,LV	-253.3 	-208.6 	-149.9 	-215.2 	-146.4 	-171.4 	-246.3 	-195.9 	-228.9 	-255.3 	-322.2 	-320.1 
BAL_RT,TRD_VAL_SCA,WORLD,TOTAL,MT	-175.7 	-295.8 	-235.9 	-198.1 	-292.2 	-166.6 	-204.9 	-214.9 	-310.5 	-308.4 	-215.9 	-322.6 
BAL_RT,TRD_VAL_SCA,WORLD,TOTAL,NL	6698.4 	5526.7 	5084.5 	4905.5 	4478.0 	4136.4 	5708.0 	4775.9 	6541.5 	5302.5 	5240.5 	5650.3 
BAL_RT,TRD_VAL_SCA,WORLD,TOTAL,PL	167.5 	171.4 	-124.8 	-637.2 	-625.4 	-515.4 	-289.0 	-172.7 	46.2 	-268.9 	-0.3 	-345.1 
BAL_RT,TRD_VAL_SCA,WORLD,TOTAL,PT	-1170.0 	-1313.9 	-1082.0 	-1320.7 	-1365.8 	-1260.1 	-1358.4 	-1247.6 	-1088.8 	-1733.3 	-1340.6 	-1582.1 
BAL_RT,TRD_VAL_SCA,WORLD,TOTAL,RO	-1097.8 	-1117.6 	-1131.5 	-1353.2 	-1230.1 	-1196.4 	-1131.0 	-1051.8 	-1272.1 	-1310.5 	-1332.5 	-1368.4 
BAL_RT,TRD_VAL_SCA,WORLD,TOTAL,SE	105.3 	-43.1 	102.6 	-348.2 	-466.3 	-279.5 	0.1 	-542.5 	-472.4 	-378.3 	-131.7 	115.9 
BAL_RT,TRD_VAL_SCA,WORLD,TOTAL,SI	253.9 	234.2 	191.9 	186.7 	105.6 	223.8 	164.4 	222.4 	133.3 	180.0 	173.8 	281.3 
BAL_RT,TRD_VAL_SCA,WORLD,TOTAL,SK	117.4 	121.8 	261.2 	142.6 	-134.3 	-49.0 	247.7 	53.4 	145.1 	78.9 	-83.3 	-52.5 
BAL_RT,TRD_VAL_SCA,WORLD,TOTAL,UK	-18040.2 	-15513.1 	-14491.5 	-13867.2 	-16148.7 	-12861.6 	-13163.4 	-13225.7 	-13259.1 	-11276.4 	-11875.1 	-11327.8 
