unit,age,sex,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,TOTAL,F,PL	34.2 	27.8 	22.7 	17.9 	15.3 	14.4 	13.2 	13.8 	12.0 	10.2 	7.8 	6.6 	6.0 
PC,TOTAL,F,PT	9.7 	9.4 	9.9 	9.9 	9.2 	8.8 	8.7 	8.9 	11.0 	11.1 	9.7 	8.8 	7.2 
PC,TOTAL,F,RO	: 	: 	38.4 	33.2 	32.5 	30.9 	29.8 	30.9 	29.3 	25.2 	22.4 	23.7 	19.7 
PC,TOTAL,F,RS	: 	: 	: 	: 	: 	: 	: 	: 	27.0 	26.1 	24.0 	19.7 	: 
PC,TOTAL,F,SE	3.0 	2.1 	2.1 	1.9 b	2.1 	2.0 	1.8 	1.7 	2.0 	0.9 	1.2 	0.7 	1.3 
PC,TOTAL,F,SI	5.4 	5.1 	5.3 	6.9 	6.3 	6.3 	6.4 	6.5 	6.7 	6.6 	6.2 	5.5 	4.8 
PC,TOTAL,F,SK	22.5 	18.6 	14.5 	12.3 	11.6 	11.8 	11.0 	10.8 	10.5 	10.0 	9.1 	8.3 	6.8 
PC,TOTAL,F,TR	: 	60.4 	58.9 	57.8 	56.9 	59.6 	58.2 	55.1 	44.0 b	29.6 	30.7 	: 	: 
PC,TOTAL,F,UK	5.6 	4.7 	4.4 	4.8 	3.2 u	4.9 	5.1 	8.1 	8.6 	7.5 	6.4 	5.2 	5.3 p
PC,TOTAL,M,AT	3.2 	3.8 	3.1 	5.5 	4.2 	3.9 	3.6 	3.8 	4.3 	3.8 	3.8 	2.9 	3.6 
PC,TOTAL,M,BE	6.5 	6.2 	5.2 	5.2 	4.9 	5.7 	5.9 	6.3 	5.5 	6.2 	5.5 	5.3 	4.8 
PC,TOTAL,M,BG	: 	57.1 	56.6 	39.6 	40.1 	44.2 	42.5 	42.9 	41.6 	31.7 	33.0 	30.4 b	28.8 
PC,TOTAL,M,CH	: 	: 	2.3 	2.1 	2.1 	1.8 	1.1 	0.8 	0.6 	1.4 	1.4 	1.1 	: 
PC,TOTAL,M,CY	12.4 	12.5 	12.5 	9.0 	9.1 	11.5 	12.0 	15.1 	16.6 	15.6 	15.9 	14.0 	11.7 
PC,TOTAL,M,CZ	10.8 	9.4 	7.0 	6.3 	5.8 	5.8 	5.6 	6.0 	5.9 	6.2 	5.0 	4.6 	3.5 
PC,TOTAL,M,DE	4.3 	5.0 	4.3 	5.3 	5.3 	4.4 	5.0 	4.5 	5.2 	4.8 	4.2 	3.4 	2.9 
PC,TOTAL,M,DK	3.1 	2.8 	2.9 	1.5 	2.2 	2.8 	1.7 	2.7 	3.5 	3.2 	3.5 	3.1 	3.6 
PC,TOTAL,M,EA18	5.7 	5.5 	5.1 	5.6 	5.7 	5.8 	6.5 	7.4 	7.3 	7.1 	6.9 	6.3 	5.6 e
PC,TOTAL,M,EA19	6.0 	5.7 	5.2 	5.7 	5.8 	5.9 	6.6 	7.5 	7.3 	7.2 	7.0 	6.4 	5.7 e
PC,TOTAL,M,EE	12.1 	6.8 	5.4 	4.8 	6.2 	9.3 	8.8 	9.5 	8.1 	6.2 	4.3 	4.6 	3.6 
PC,TOTAL,M,EL	11.8 	11.0 	10.6 	10.1 	10.2 	10.9 	14.9 	19.9 	20.3 	21.2 	22.1 	22.2 	21.0 
PC,TOTAL,M,ES	4.0 	4.2 	3.5 	3.7 	4.6 	4.7 	4.5 	6.2 	6.3 	7.0 	6.6 	5.3 	4.9 
PC,TOTAL,M,EU27	10.4 e	9.7 e	8.8 	8.2 	7.9 e	8.1 	8.5 	9.6 	9.4 	8.7 	8.0 	7.3 	6.7 e
PC,TOTAL,M,EU28	: 	: 	: 	: 	: 	8.2 	8.6 	9.7 	9.4 	8.8 	8.0 	7.3 	6.7 e
PC,TOTAL,M,FI	3.8 	3.0 	3.0 	3.2 	2.9 	2.6 	3.2 	3.0 	2.5 	2.7 	2.1 	2.0 	2.0 
PC,TOTAL,M,FR	5.0 	4.6 	4.4 	5.1 	5.2 	5.7 	5.1 	5.1 	4.5 	4.5 	4.4 	4.2 	3.9 
PC,TOTAL,M,HR	: 	: 	: 	: 	: 	14.5 	15.4 	15.7 	14.9 	13.6 	13.9 	12.8 	10.2 p
PC,TOTAL,M,HU	22.6 	20.8 	19.6 	17.3 	20.2 	21.5 	23.0 	25.8 	27.7 	23.7 	19.1 	16.1 	14.3 
PC,TOTAL,M,IE	4.7 	4.6 	4.0 	5.3 	5.5 	5.5 	7.4 	9.7 	9.2 	8.1 	7.2 	6.1 	: 
PC,TOTAL,M,IS	2.5 	1.7 	1.7 	0.7 	1.0 	1.6 	2.0 	2.3 	1.4 	1.0 	1.1 	1.7 p	: 
PC,TOTAL,M,IT	6.6 	6.1 	6.7 	7.2 	7.0 	7.2 	10.7 	13.9 	12.3 	11.7 	11.7 	12.1 	10.3 
PC,TOTAL,M,LT	31.1 	23.6 	15.8 	11.9 	15.0 	19.9 	18.7 	19.0 	14.2 	12.8 	13.4 	13.2 	11.5 
PC,TOTAL,M,LU	2.1 	0.9 	0.8 	0.6 	0.9 	0.4 	1.3 	1.3 	1.5 	1.4 	1.8 	1.7 b	1.1 
PC,TOTAL,M,LV	36.4 	29.2 	22.1 	17.6 	21.3 	26.9 	30.4 	24.7 	23.1 	18.1 	15.4 	12.1 	10.7 
PC,TOTAL,M,MK	: 	: 	: 	: 	: 	35.3 	41.3 	40.9 	37.9 	35.9 	30.8 	29.9 	: 
PC,TOTAL,M,MT	5.2 	3.6 	4.0 	4.1 	4.8 	6.3 	6.4 	8.6 	9.4 	9.9 	8.2 	4.7 	3.3 
PC,TOTAL,M,NL	2.3 	1.7 	1.7 	1.5 	1.4 	2.3 	2.4 	2.3 	2.4 	2.7 	2.5 	2.3 b	2.5 
PC,TOTAL,M,NO	3.5 	2.4 	2.2 	2.0 	2.4 	2.2 	2.1 	1.7 	1.7 	1.2 	1.4 	2.0 	2.0 
PC,TOTAL,M,PL	33.4 	27.4 	21.9 	17.6 	14.6 	14.1 	12.9 	13.2 	11.8 	10.6 	8.5 	6.7 	5.8 
PC,TOTAL,M,PT	8.9 	8.7 	9.2 	9.5 	8.9 	9.2 	7.8 	8.3 	10.9 	10.1 	9.5 	7.9 	6.5 
PC,TOTAL,M,RO	: 	: 	37.6 	32.2 	31.7 	30.0 	29.3 	31.3 	30.3 	26.6 	23.1 	23.8 	19.7 
PC,TOTAL,M,RS	: 	: 	: 	: 	: 	: 	: 	: 	26.8 	26.5 	24.0 	19.3 	: 
PC,TOTAL,M,SE	1.7 	2.1 	2.2 	1.6 b	2.0 	1.8 	1.7 	1.9 	1.8 	1.1 	1.1 	0.9 	1.0 
PC,TOTAL,M,SI	4.9 	5.1 	4.9 	6.4 	5.9 	5.6 	5.8 	6.8 	6.6 	6.7 	5.4 	5.2 	4.3 
PC,TOTAL,M,SK	21.6 	17.8 	12.8 	11.1 	10.5 	11.1 	10.1 	10.1 	10.0 	9.7 	8.9 	8.1 	7.2 
PC,TOTAL,M,TR	: 	60.3 	58.6 	57.5 	56.6 	59.1 	57.6 	54.9 	43.6 b	29.1 	29.8 	: 	: 
PC,TOTAL,M,UK	4.9 	4.4 	3.9 	4.3 	3.4 u	4.8 	5.0 	7.5 	8.0 	7.3 	5.8 	5.2 	4.5 p
PC,TOTAL,T,AT	3.5 	3.6 	3.3 	5.9 	4.6 	4.3 	4.0 	4.0 	4.2 	4.0 	3.6 	3.0 	3.7 
PC,TOTAL,T,BE	6.5 	6.4 	5.7 	5.6 	5.2 	5.9 	5.7 	6.3 	5.1 	5.9 	5.8 	5.5 	5.1 
PC,TOTAL,T,BG	: 	57.7 	57.6 	41.2 	41.9 	45.7 	43.6 	44.1 	43.0 	33.1 	34.2 	31.9 b	30.0 
PC,TOTAL,T,CH	: 	: 	2.3 	2.1 	2.1 	1.7 	1.0 	0.8 	0.7 	1.3 	1.4 	1.5 	: 
PC,TOTAL,T,CY	12.2 	12.6 	13.3 	9.1 	9.5 	11.2 	11.7 	15.0 	16.1 	15.3 	15.4 	13.6 	11.5 
PC,TOTAL,T,CZ	11.8 	9.6 	7.4 	6.8 	6.1 	6.2 	6.1 	6.6 	6.6 	6.7 	5.6 	4.8 	3.7 
PC,TOTAL,T,DE	4.6 	5.1 	4.8 	5.5 	5.4 	4.5 	5.3 	4.9 	5.4 	5.0 	4.4 	3.7 	3.4 
PC,TOTAL,T,DK	3.2 	3.1 	3.3 	2.0 	2.3 	2.7 	2.3 	2.7 	3.6 	3.2 	3.7 	2.6 	3.1 
PC,TOTAL,T,EA18	6.0 	5.8 	5.5 	5.9 	5.9 	5.9 	6.8 	7.7 	7.4 	7.3 	7.0 	6.6 	5.9 e
PC,TOTAL,T,EA19	6.3 	6.0 	5.6 	5.9 	6.0 	6.1 	6.9 	7.8 	7.5 	7.4 	7.0 	6.6 	5.9 e
PC,TOTAL,T,EE	12.4 	7.0 	5.6 	4.9 	6.2 	9.0 	8.7 	9.4 	7.6 	6.2 	4.5 	4.7 	4.1 
PC,TOTAL,T,EL	12.8 	11.5 	11.5 	11.2 	11.0 	11.6 	15.2 	19.5 	20.3 	21.5 	22.2 	22.4 	21.1 
PC,TOTAL,T,ES	4.1 	4.1 	3.5 	3.6 	4.5 	4.9 	4.5 	5.8 	6.2 	7.1 	6.4 	5.8 	5.1 
PC,TOTAL,T,EU27	10.8 e	9.9 e	9.2 	8.5 	8.2 e	8.4 	8.8 	9.9 	9.6 	8.9 	8.0 	7.5 	6.9 e
PC,TOTAL,T,EU28	: 	: 	: 	: 	: 	8.4 	8.8 	9.9 	9.6 	8.9 	8.1 	7.5 	6.9 e
PC,TOTAL,T,FI	3.8 	3.3 	3.6 	3.5 	2.8 	2.8 	3.2 	2.9 	2.5 	2.8 	2.2 	2.2 	2.1 
PC,TOTAL,T,FR	5.3 	5.0 	4.7 	5.4 	5.6 	5.8 	5.2 	5.3 	4.9 	4.8 	4.5 	4.4 	4.1 
PC,TOTAL,T,HR	: 	: 	: 	: 	: 	14.3 	15.2 	15.9 	14.7 	13.9 	13.7 	12.5 	10.3 p
PC,TOTAL,T,HU	22.9 	20.9 	19.9 	17.9 	20.3 	21.6 	23.4 	26.3 	27.8 	24.0 	19.4 	16.2 	14.5 
PC,TOTAL,T,IE	5.1 	4.8 	4.5 	5.5 	6.1 	5.7 	7.8 	9.8 	9.9 	8.4 	7.5 	6.5 	: 
PC,TOTAL,T,IS	2.7 	2.1 	2.1 	0.8 	0.8 	1.8 	2.1 	2.4 	1.9 	1.4 	1.6 	1.9 p	: 
PC,TOTAL,T,IT	6.8 	6.4 	7.0 	7.5 	7.3 	7.4 	11.1 	14.5 	12.3 	11.6 	11.5 	12.1 	10.1 
PC,TOTAL,T,LT	32.6 	25.3 	16.6 	12.5 	15.6 	19.9 	19.0 	19.8 	16.0 	13.6 	13.9 	13.5 	12.4 
PC,TOTAL,T,LU	1.8 	1.1 	0.8 	0.7 	1.1 	0.5 	1.2 	1.3 	1.8 	1.4 	2.0 	1.6 b	1.2 
PC,TOTAL,T,LV	39.3 	31.3 	24.0 	19.3 	22.1 	27.6 	31.0 	25.6 	24.0 	19.2 	16.4 	12.8 	11.3 
PC,TOTAL,T,MK	: 	: 	: 	: 	: 	34.7 	40.3 	40.9 	37.7 	35.7 	30.4 	30.0 	: 
PC,TOTAL,T,MT	5.4 	3.9 	4.4 	4.3 	5.0 	6.5 	6.6 	9.2 	9.5 	10.2 	8.1 	4.4 	3.3 
PC,TOTAL,T,NL	2.5 	2.3 	1.7 	1.5 	1.4 	2.2 	2.5 	2.3 	2.5 	3.2 	2.6 	2.6 b	2.6 
PC,TOTAL,T,NO	3.5 	2.8 	2.3 	2.0 	2.2 	2.0 	2.3 	1.7 	1.9 	1.2 	1.7 	2.0 	1.9 
PC,TOTAL,T,PL	33.8 	27.6 	22.3 	17.7 	15.0 	14.2 	13.0 	13.5 	11.9 	10.4 	8.1 	6.7 	5.9 
PC,TOTAL,T,PT	9.3 	9.1 	9.6 	9.7 	9.1 	9.0 	8.3 	8.6 	10.9 	10.6 	9.6 	8.4 	6.9 
PC,TOTAL,T,RO	: 	: 	38.0 	32.7 	32.1 	30.5 	29.5 	31.1 	29.8 	25.9 	22.7 	23.8 	19.7 
PC,TOTAL,T,RS	: 	: 	: 	: 	: 	: 	: 	: 	26.9 	26.3 	24.0 	19.5 	: 
PC,TOTAL,T,SE	2.3 	2.1 	2.2 	1.8 b	2.0 	1.9 	1.7 	1.8 	1.9 	1.0 	1.1 	0.8 	1.1 
PC,TOTAL,T,SI	5.1 	5.1 	5.1 	6.7 	6.1 	5.9 	6.1 	6.6 	6.7 	6.6 	5.8 	5.4 	4.6 
PC,TOTAL,T,SK	22.1 	18.2 	13.7 	11.8 	11.1 	11.4 	10.6 	10.5 	10.2 	9.9 	9.0 	8.2 	7.0 
PC,TOTAL,T,TR	: 	60.4 	58.8 	57.7 	56.7 	59.3 	57.9 	55.0 	43.8 b	29.3 	30.3 	: 	: 
PC,TOTAL,T,UK	5.3 	4.5 	4.2 	4.5 	3.3 u	4.8 	5.1 	7.8 	8.3 	7.4 	6.1 	5.2 	4.9 p
