nabs07,unit,geo\time	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
NABS08,MIO_EUR,CZ	24.608 	28.801 	33.389 	36.979 	43.407 	45.258 	44.694 	46.686 	40.67 	39.215 	40.683 	42.105 	41.07 	45 p	: 
NABS08,MIO_EUR,DE	332.27 d	310.22 d	397.186 d	489.177 d	559.813 d	662.9 d	770.7 d	743.4 d	691.2 d	719.1 d	728.18 d	812.92 d	831.55 	901.42 p	: 
NABS08,MIO_EUR,DK	79.114 	82.745 	93.885 	91.389 	74.96 	74.481 	72.59 	80.41 	68.541 	91.634 	69.07 	93.435 	96.572 	76.95 e	: 
NABS08,MIO_EUR,EA19	: 	: 	: 	2465.301 	2620.32 	2491.608 	2549.081 	2577.817 	2177.454 	2225.113 	2255.411 	2299.563 	2361.529 	2430.199 p	: 
NABS08,MIO_EUR,EE	5.317 e	6.097 e	6.896 e	7.439 e	7.407 e	7.286 e	8.191 e	12.214 e	16.009 e	14.585 e	9.151 e	8.577 e	6.49 b	8.76 p	: 
NABS08,MIO_EUR,EL	27.99 	34 	41.1 	42.534 	38.02 b	31.09 	28.93 	31.43 	27.45 	28.13 	29.61 	30.03 	32.98 	18.88 p	: 
NABS08,MIO_EUR,ES	354.928 	454.151 	585.795 	711.502 	717.838 	664.078 	585.967 	548.888 	388.166 	375.13 	366.294 	401.797 	401.443 	401.511 p	: 
NABS08,MIO_EUR,EU28	: 	: 	: 	3098.54 e	3239.525 	3151.848 e	3215.095 e	3286.977 e	2949.269 	3048.598 	2956.838 	3087.213 	3141.592 	3133.833 p	: 
NABS08,MIO_EUR,FI	92.06 	95.397 	97.934 	101.138 	98.45 	100.635 	99.51 	96.999 	99.243 	96.568 	94 	96.65 	76.28 	72.79 	: 
NABS08,MIO_EUR,FR	340.5 d	362.84 d	220.578 d	236.989 d	269 d	289.3 d	312.1 d	368 d	287.691 d	306.515 d	353.152 d	391.358 d	351.049 d	422.57 d	: 
NABS08,MIO_EUR,HR	: 	: 	: 	: 	3.198 	2.271 	2.516 	3.49 	2.323 	0.943 	6.497 	4.55 	8.417 	4.932 p	: 
NABS08,MIO_EUR,HU	: 	55.018 	46.859 	36.433 e	42.284 	36.861 	18.76 	9.141 	19.113 	54.017 d	15.97 	16.863 	31.968 	15.901 p	: 
NABS08,MIO_EUR,IE	71.8 	90.4 	80.7 	101.3 	103.9 	92.2 	85.2 	93.3 	91.1 	90.1 	90.2 	91 	95.4 	121.4 	: 
NABS08,MIO_EUR,IS	17.829 	22.096 	21.97 	23.374 	19.6 	15.365 	16.122 	20.698 	22.373 	18.272 	1.746 b	1.952 	2.552 	2.165 p	: 
NABS08,MIO_EUR,IT	: 	326.03 	364.53 	433.3 	440.706 	335.3 	334.4 	311 	268.4 	285.7 	268.8 	243.8 	274.8 	215.6 p	: 
NABS08,MIO_EUR,JP	885.466 d	870.311 d	828.571 d	800.167 d	863.136 d	1035.86 d	1076.024 d	1025.361 d	1028.022 d	767.762 d	753.417 d	770.069 d	896.273 d	: 	: 
NABS08,MIO_EUR,KR	352.519 	398.82 b	475.646 	439.075 	392.363 be	443.076 e	484.301 e	478.757 e	608.258 	635.658 	670.278 	782.225 	: 	: 	: 
NABS08,MIO_EUR,LT	12.595 	12.951 	6.517 	6.872 b	8.569 	7.053 	5.494 	6.2 	6.019 	6.658 	7.183 	7.697 	7.708 	8.223 p	: 
NABS08,MIO_EUR,LU	0.034 	0.002 	0.056 	0.031 	0.051 	0.036 	0.601 	0.659 	0.518 	0.306 	0.271 	0.147 	0.138 	0.225 	: 
NABS08,MIO_EUR,LV	: 	1.867 	8.618 	9.427 	12.38 	6.093 	4.515 	2.69 	4.876 	5.28 	6.9 	8.7 	11 	6.1 p	: 
NABS08,MIO_EUR,MT	0.151 	0.498 	0.29 	0.099 	0.468 	0.503 	0.375 	0.395 	0.401 	0.528 	0.468 	0.709 	0.281 	0.052 p	: 
NABS08,MIO_EUR,NL	208.529 	215.979 	208.375 	202.019 	237.257 	164.939 	175.504 	162.847 	148.167 	149.466 	167.262 	99.884 	104.84 	105.123 p	92.743 p
NABS08,MIO_EUR,NO	136.074 	146.382 	159.31 	168.552 	164.95 	173.79 	189.261 	203.39 	217.134 	240.689 	257.561 	275.372 	261.268 	344.429 p	: 
NABS08,MIO_EUR,PL	2.783 	9.471 	5.955 	19.029 	21.383 	: 	: 	: 	66.552 b	69.946 	55.111 	59.033 	53.149 	56.26 	: 
NABS08,MIO_EUR,PT	16.48 	18.83 	17.77 	24.2 	27.78 	33.43 	31.41 	26.12 	9.93 	17.12 	17.67 	18.43 	18.56 	18.34 	: 
NABS08,MIO_EUR,RO	7.437 	7.475 	29.015 	29.743 	50.016 	27.737 	59.518 	38.822 	30.005 	14.573 b	16.244 	22.978 	24.055 	20.662 	: 
NABS08,MIO_EUR,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.681 	11.367 	14.443 	11.561 	12.35 	: 
NABS08,MIO_EUR,RU	: 	: 	: 	43.206 	56.869 	104.19 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NABS08,MIO_EUR,SE	69.923 	56.129 	59.485 	39.567 	43.057 	40.503 d	47.183 d	51.607 d	58.134 d	52.939 d	53.745 d	46.614 d	51.854 e	48.261 e	: 
NABS08,MIO_EUR,SI	3.802 	5.372 	3.919 	7.467 	7.679 	8.068 	8.174 	9.159 	7.497 	6.968 	6.759 	5.97 	6.919 	8.788 p	: 
NABS08,MIO_EUR,SK	10.244 	12.435 	10.832 	10.322 	10.703 	11.462 	13.525 	17.827 	9.747 	12.017 	9.714 	10.561 	9.575 	7.461 p	: 
NABS08,MIO_EUR,TR	: 	: 	: 	: 	39.459 	64.838 	57.253 	62.674 	57.709 	50.45 	44.1 	84.401 	71.064 	66.127 	: 
NABS08,MIO_EUR,UK	409.901 	398.947 	416.166 	364.314 	315.961 	379.167 	357.892 	412.029 	466.765 	475.921 	424.141 	482.227 	454.057 	412.342 e	: 
NABS08,MIO_EUR,US	1982.394 d	2126.678 d	2126.633 d	1696.534 d	1585.532 d	1884.858 bd	1982.349 d	1588.362 d	1857.098 d	1626.384 d	1838.163 d	2289.32 d	2477.189 dp	: 	: 
