hhtyp,incgrp,unit,sex,age,geo\time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
TOTAL,A_MD60,PC,T,TOTAL,EE	: 	27.3 	21.9 	20.6 	17.7 	14.0 	17.4 	16.9 	17.2 	17.1 	15.8 	13.8 b	11.0 	11.8 	12.1 
TOTAL,A_MD60,PC,T,TOTAL,EL	18.6 	17.1 	18.9 	18.3 	17.6 	16.5 	15.2 	14.8 	13.6 	12.8 	12.0 	12.6 	13.6 	13.2 	12.0 
TOTAL,A_MD60,PC,T,TOTAL,ES	: 	19.0 	16.5 	16.6 	16.7 	15.0 	16.5 b	19.6 	13.8 	10.5 	15.5 	14.7 	13.4 	12.8 	9.9 
TOTAL,A_MD60,PC,T,TOTAL,EU	: 	: 	: 	: 	: 	: 	: 	: 	13.7 	13.4 	14.1 	13.9 	13.4 	: 	11.5 
TOTAL,A_MD60,PC,T,TOTAL,EU27	: 	: 	: 	: 	16.0 	15.1 	14.1 	14.2 	13.7 	13.4 	14.1 	13.9 	13.4 	13.5 	11.5 e
TOTAL,A_MD60,PC,T,TOTAL,EU28	: 	: 	: 	: 	: 	: 	: 	14.2 	13.7 	13.4 	14.1 	13.9 	13.4 	13.5 	11.5 e
TOTAL,A_MD60,PC,T,TOTAL,FI	: 	4.3 	4.5 	4.0 	4.5 	4.1 	4.7 	4.4 	5.2 	5.7 	5.0 	4.7 	4.1 	4.4 	3.6 
TOTAL,A_MD60,PC,T,TOTAL,FR	: 	13.9 	11.0 	10.9 	12.5 	11.4 	11.1 	11.3 	9.5 	11.2 	11.2 	11.6 	10.9 	12.2 	9.8 
TOTAL,A_MD60,PC,T,TOTAL,HR	: 	: 	: 	: 	: 	: 	: 	17.1 	12.7 	11.8 	11.0 	9.6 	8.4 	9.2 	: 
TOTAL,A_MD60,PC,T,TOTAL,HU	: 	: 	31.0 	24.1 	17.4 	28.0 	12.3 	20.9 b	18.0 	20.0 	22.2 	22.4 	22.0 	23.4 	22.3 
TOTAL,A_MD60,PC,T,TOTAL,IE	10.7 	11.0 	10.0 	13.5 	12.8 	10.7 	11.8 	11.9 	10.2 	12.0 	13.4 	13.5 	12.5 	12.3 	: 
TOTAL,A_MD60,PC,T,TOTAL,IS	: 	19.6 	19.2 	12.8 	10.7 	19.9 b	17.2 	16.0 	15.7 	18.1 	17.6 	15.4 	18.6 	18.4 p	: 
TOTAL,A_MD60,PC,T,TOTAL,IT	: 	20.9 	20.7 	20.2 	19.6 	19.1 	19.2 	18.7 	21.6 	19.1 	21.2 	23.2 	22.1 	19.2 	14.8 
TOTAL,A_MD60,PC,T,TOTAL,LT	: 	: 	28.7 	25.1 	21.8 	21.2 	18.0 	16.5 	15.5 	15.1 	16.2 	15.3 	13.2 	13.7 	11.1 
TOTAL,A_MD60,PC,T,TOTAL,LU	17.1 	15.6 	14.0 	14.4 	13.2 	15.5 	16.6 	16.6 	14.0 	14.9 	13.0 	13.2 	12.4 	17.4 b	16.1 
TOTAL,A_MD60,PC,T,TOTAL,LV	: 	: 	36.7 	28.8 	22.5 	20.6 	21.6 	21.4 	22.6 	24.6 	23.8 	24.3 	20.3 	17.6 	19.2 
TOTAL,A_MD60,PC,T,TOTAL,MK	: 	: 	: 	: 	: 	: 	: 	20.0 	13.6 	11.9 	10.7 	11.6 	9.8 	10.4 	: 
TOTAL,A_MD60,PC,T,TOTAL,MT	: 	: 	7.2 	7.3 	5.1 	6.7 	9.3 	11.5 	10.0 	10.5 	11.9 	10.4 	9.7 	7.7 	7.1 
TOTAL,A_MD60,PC,T,TOTAL,NL	: 	: 	17.0 	15.9 	17.1 	14.3 	12.9 	14.1 	14.1 	14.9 	14.7 	14.9 p	14.9 	15.5 b	12.3 
TOTAL,A_MD60,PC,T,TOTAL,NO	8.5 	7.6 	7.2 	6.9 	8.0 	7.4 	7.7 	6.8 	6.6 	7.6 	5.9 	5.4 	6.2 	5.1 	4.9 
TOTAL,A_MD60,PC,T,TOTAL,PL	: 	: 	40.1 	36.7 	33.5 	19.9 b	14.8 	12.6 	9.6 	8.6 	8.3 	7.7 	9.9 	9.5 	10.7 
TOTAL,A_MD60,PC,T,TOTAL,PT	: 	17.7 	16.9 	16.4 	16.8 	17.2 	17.8 	19.9 	19.7 	20.6 	30.0 b	31.0 	26.1 	28.2 	23.2 
TOTAL,A_MD60,PC,T,TOTAL,RO	: 	: 	: 	: 	25.0 	19.6 	17.9 	14.9 	13.3 	11.4 	12.4 	9.2 	8.1 	8.3 	7.6 
TOTAL,A_MD60,PC,T,TOTAL,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17.9 	23.1 	20.9 	18.4 	: 
TOTAL,A_MD60,PC,T,TOTAL,SE	: 	5.1 	5.7 	6.9 	5.9 	7.5 b	6.3 	7.8 	7.9 	7.3 	7.0 	7.0 	7.3 	7.1 	6.3 
TOTAL,A_MD60,PC,T,TOTAL,SI	: 	: 	17.4 	20.1 	15.8 	28.1 	29.2 	30.3 	32.7 	29.3 	24.8 	28.0 	25.1 	21.8 	20.5 
TOTAL,A_MD60,PC,T,TOTAL,SK	: 	: 	6.3 	5.8 	5.5 	8.3 b	5.8 	5.1 	6.2 	7.2 	5.7 	4.7 	4.7 	4.6 	4.6 
TOTAL,A_MD60,PC,T,TOTAL,TR	: 	: 	: 	37.6 	31.2 	31.6 	35.2 	: 	35.2 	34.0 	33.6 	31.3 	32.9 	: 	: 
TOTAL,A_MD60,PC,T,TOTAL,UK	: 	: 	12.9 	12.6 	13.3 	13.5 	13.5 	13.5 	15.2 	16.5 	15.5 	15.2 	13.4 	15.4 	: 
TOTAL,B_MD60,PC,T,TOTAL,AT	15.6 	14.2 	14.9 	13.8 	13.8 	18.6 b	20.6 	19.2 	22.1 	15.2 	19.3 	13.1 	16.5 	17.0 	17.2 
TOTAL,B_MD60,PC,T,TOTAL,BE	19.7 	20.6 	25.1 	20.4 	22.2 	26.3 	24.1 b	30.2 	30.9 	27.2 	27.1 	26.9 	30.9 	30.4 	27.7 
TOTAL,B_MD60,PC,T,TOTAL,BG	: 	: 	48.4 	48.4 	34.9 	48.5 	39.5 	32.8 b	30.6 	29.5 	32.0 	28.5 	26.3 	24.0 b	25.1 
TOTAL,B_MD60,PC,T,TOTAL,CH	: 	: 	: 	: 	11.8 	9.0 	9.6 	12.6 	12.3 	12.8 	12.4 	17.4 b	13.4 	18.7 	: 
TOTAL,B_MD60,PC,T,TOTAL,CY	: 	: 	44.0 	41.5 	39.7 	33.2 b	34.2 	36.1 	40.4 	34.6 	35.1 	32.1 	33.9 	38.2 	41.0 
TOTAL,B_MD60,PC,T,TOTAL,CZ	: 	: 	33.0 	41.1 	30.1 	26.6 	23.7 	20.0 	21.0 	20.0 	19.2 	18.3 	17.8 	15.1 	12.5 
TOTAL,B_MD60,PC,T,TOTAL,DE	: 	: 	22.8 	20.2 	19.8 	22.5 	24.7 	21.8 	23.9 	21.0 	19.3 	19.4 	19.7 	21.3 	21.2 
TOTAL,B_MD60,PC,T,TOTAL,DK	14.7 	10.2 	11.4 	12.6 	14.0 	11.1 	10.2 	13.0 	20.1 b	25.2 	23.1 	16.3 	22.2 	20.1 	22.0 
TOTAL,B_MD60,PC,T,TOTAL,EA18	: 	: 	25.1 	24.3 	24.8 	24.2 	25.4 	25.3 	24.8 	23.3 	23.9 	25.2 	24.3 	25.1 	20.9 e
TOTAL,B_MD60,PC,T,TOTAL,EA19	: 	: 	25.4 	24.6 	25.0 	24.4 	25.4 	25.4 	24.9 	23.4 	24.0 	25.2 	24.4 	25.2 	21.0 e
TOTAL,B_MD60,PC,T,TOTAL,EE	: 	39.9 	36.8 	37.2 	37.9 	29.9 	31.6 	28.8 	28.9 	30.3 	25.1 	23.2 b	21.8 	21.5 	20.9 
TOTAL,B_MD60,PC,T,TOTAL,EL	30.1 	30.0 	29.1 	28.6 	26.5 	26.9 	27.4 	26.1 	21.2 	21.0 	20.8 	17.3 	20.4 	20.0 	19.1 
TOTAL,B_MD60,PC,T,TOTAL,ES	: 	26.8 	23.6 	25.8 	28.2 	24.0 	25.6 b	30.1 	24.8 	17.8 	21.7 	25.4 	21.3 	26.7 	17.5 
TOTAL,B_MD60,PC,T,TOTAL,EU	: 	: 	: 	: 	: 	: 	: 	: 	24.7 	23.5 	23.5 	24.6 	24.0 	: 	21.1 
TOTAL,B_MD60,PC,T,TOTAL,EU27	: 	: 	: 	: 	28.3 	26.5 	25.6 	25.7 	24.7 	23.5 	23.5 	24.7 	24.0 	24.6 	21.1 e
TOTAL,B_MD60,PC,T,TOTAL,EU28	: 	: 	: 	: 	: 	: 	: 	25.8 	24.7 	23.5 	23.5 	24.6 	24.0 	24.6 	21.1 e
TOTAL,B_MD60,PC,T,TOTAL,FI	: 	6.6 	7.9 	7.9 	7.2 	6.5 	6.3 	8.5 	8.8 	8.6 	7.0 	6.9 	6.2 	7.1 	8.8 
TOTAL,B_MD60,PC,T,TOTAL,FR	: 	22.3 	20.6 	19.6 	22.3 	22.6 	22.8 	20.9 	19.6 	22.1 	22.4 	24.7 	23.9 	25.4 	19.3 
TOTAL,B_MD60,PC,T,TOTAL,HR	: 	: 	: 	: 	: 	: 	: 	30.2 	24.8 	19.2 	21.5 	20.2 	21.3 	20.9 	: 
TOTAL,B_MD60,PC,T,TOTAL,HU	: 	: 	47.7 	42.1 	32.2 	50.6 	30.0 	47.6 b	47.4 	52.5 	52.0 	52.5 	44.9 	46.6 	40.8 
TOTAL,B_MD60,PC,T,TOTAL,IE	21.3 	22.9 	20.8 	21.2 	25.0 	18.4 	21.3 	16.5 	16.2 	17.9 	18.9 	19.5 	19.6 	18.5 	: 
TOTAL,B_MD60,PC,T,TOTAL,IS	: 	26.8 	19.3 	13.9 	14.3 	20.0 b	18.9 	15.5 	18.9 	24.6 	22.0 	22.0 	25.6 	21.5 p	: 
TOTAL,B_MD60,PC,T,TOTAL,IT	: 	32.7 	30.6 	29.9 	29.1 	26.8 	28.6 	28.6 	30.7 	30.7 	30.1 	32.8 	32.2 	27.7 	21.4 
TOTAL,B_MD60,PC,T,TOTAL,LT	: 	: 	44.5 	42.0 	39.5 	39.7 	33.5 	29.9 	33.5 	28.6 	34.1 	33.7 	30.3 	34.3 	31.1 
TOTAL,B_MD60,PC,T,TOTAL,LU	31.5 	19.2 	21.2 	19.0 	22.9 	20.5 	23.0 	21.1 	25.1 	28.9 	27.2 	23.9 	25.8 	25.0 b	23.5 
TOTAL,B_MD60,PC,T,TOTAL,LV	: 	: 	55.5 	43.8 	41.5 	40.5 	37.8 	37.0 	40.5 	43.3 	44.1 	39.2 	38.7 	37.2 	35.3 
TOTAL,B_MD60,PC,T,TOTAL,MK	: 	: 	: 	: 	: 	: 	: 	37.4 	25.0 	21.4 	25.6 	27.7 	21.2 	27.3 	: 
TOTAL,B_MD60,PC,T,TOTAL,MT	: 	: 	11.9 	8.4 	7.3 	7.9 	12.8 	15.6 	11.5 	12.4 	11.5 	14.1 	12.8 	15.0 	14.2 
TOTAL,B_MD60,PC,T,TOTAL,NL	: 	: 	27.9 	28.5 	29.4 	26.2 	24.8 	24.8 	18.9 	27.4 	23.2 	22.2 p	21.5 	21.9 b	21.8 
TOTAL,B_MD60,PC,T,TOTAL,NO	13.1 	11.3 	13.4 	13.5 	12.3 	14.4 	12.0 	15.7 	16.1 	13.8 	15.6 	10.9 	11.5 	11.6 	8.9 
TOTAL,B_MD60,PC,T,TOTAL,PL	: 	: 	58.9 	61.2 	56.9 	37.4 b	31.2 	29.7 	20.5 	20.0 	18.4 	16.9 	21.2 	22.0 	18.9 
TOTAL,B_MD60,PC,T,TOTAL,PT	: 	30.4 	29.7 	28.6 	31.5 	26.1 	28.6 	31.1 	28.4 	28.5 	40.1 b	40.2 	36.6 	40.1 	35.7 
TOTAL,B_MD60,PC,T,TOTAL,RO	: 	: 	: 	: 	45.4 	38.3 	35.3 	32.4 	34.7 	29.4 	28.9 	27.1 	26.6 	28.0 	22.5 
TOTAL,B_MD60,PC,T,TOTAL,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	33.1 	35.2 	30.7 	31.9 	: 
TOTAL,B_MD60,PC,T,TOTAL,SE	: 	7.8 	6.3 	11.5 	9.9 	10.9 b	9.5 	9.2 	12.6 	10.4 	11.8 	11.1 	9.7 	8.6 	10.7 
TOTAL,B_MD60,PC,T,TOTAL,SI	: 	: 	30.4 	32.7 	30.4 	44.5 	40.9 	47.0 	47.2 	46.1 	39.6 	41.2 	37.2 	36.9 	32.2 
TOTAL,B_MD60,PC,T,TOTAL,SK	: 	: 	13.4 	12.5 	11.3 	16.5 b	12.9 	11.3 	18.9 	19.7 	19.7 	23.0 	17.6 	17.4 	22.1 
TOTAL,B_MD60,PC,T,TOTAL,TR	: 	: 	: 	64.5 	63.6 	61.4 	62.8 	: 	62.6 	61.8 	60.2 	56.8 	60.1 	: 	: 
TOTAL,B_MD60,PC,T,TOTAL,UK	: 	: 	21.5 	19.2 	20.1 	21.6 	19.5 	22.5 	19.6 	21.0 	18.1 	23.6 	22.1 	22.2 	: 
TOTAL,TOTAL,PC,T,TOTAL,AT	9.5 	10.2 	10.0 	10.3 	9.4 	13.3 b	15.0 	14.8 	13.9 	11.8 	12.5 	10.0 	11.7 	11.2 	11.9 
TOTAL,TOTAL,PC,T,TOTAL,BE	13.7 	13.5 	15.0 	14.8 	14.2 	18.0 	15.2 b	19.0 	21.2 	18.7 	18.1 	17.5 	18.2 	19.3 	18.5 
TOTAL,TOTAL,PC,T,TOTAL,BG	: 	: 	30.7 	30.7 	14.8 	30.4 	23.9 	15.4 b	14.9 	13.8 	12.9 	13.2 	12.9 	12.3 b	12.2 
TOTAL,TOTAL,PC,T,TOTAL,CH	: 	: 	: 	: 	8.4 	8.0 	8.6 	8.9 	10.6 	12.8 	11.5 	11.3 b	11.9 	12.7 	: 
TOTAL,TOTAL,PC,T,TOTAL,CY	: 	: 	36.3 	32.9 	30.1 	26.5 b	29.6 	30.0 	29.8 	30.0 	31.1 	25.5 	26.5 	27.1 	29.3 
TOTAL,TOTAL,PC,T,TOTAL,CZ	: 	: 	20.5 	21.2 	15.6 	13.8 	14.6 	11.8 	11.9 	10.5 	10.0 	9.2 	8.9 	8.2 	8.0 
TOTAL,TOTAL,PC,T,TOTAL,DE	: 	: 	14.2 	15.4 	13.1 	14.0 	14.0 	13.3 	13.7 	13.5 	13.1 	12.3 	12.8 	13.1 	12.5 
TOTAL,TOTAL,PC,T,TOTAL,DK	8.2 	8.5 	8.0 	9.0 	10.6 	8.7 	7.8 	8.0 	16.3 b	17.6 	16.6 	15.0 	16.1 	15.9 	14.9 
TOTAL,TOTAL,PC,T,TOTAL,EA18	: 	: 	16.4 	16.5 	16.1 	15.8 	16.0 	16.4 	15.9 	15.2 	16.3 	16.6 	16.0 	15.9 	13.4 e
TOTAL,TOTAL,PC,T,TOTAL,EA19	: 	: 	16.6 	16.6 	16.2 	15.9 	16.0 	16.4 	15.9 	15.3 	16.3 	16.6 	16.0 	16.0 	13.4 e
TOTAL,TOTAL,PC,T,TOTAL,EE	: 	29.8 	24.6 	23.7 	21.6 	17.1 	20.2 	18.8 	19.2 	19.4 	17.5 	15.9 b	13.4 	13.9 	13.9 
TOTAL,TOTAL,PC,T,TOTAL,EL	21.0 	19.7 	20.9 	20.4 	19.4 	18.6 	17.6 	17.1 	15.3 	14.7 	14.0 	13.7 	15.1 	14.7 	13.5 
TOTAL,TOTAL,PC,T,TOTAL,ES	: 	20.6 	17.9 	18.5 	19.0 	16.8 	18.3 b	21.8 	16.1 	12.0 	16.7 	17.1 	15.2 	15.9 	11.5 
TOTAL,TOTAL,PC,T,TOTAL,EU	: 	: 	: 	: 	: 	: 	: 	: 	15.6 	15.1 	15.6 	15.7 	15.2 	: 	13.1 
TOTAL,TOTAL,PC,T,TOTAL,EU27	: 	: 	: 	: 	18.0 	16.9 	16.0 	16.1 	15.6 	15.1 	15.7 	15.8 	15.3 	15.4 	13.2 e
TOTAL,TOTAL,PC,T,TOTAL,EU28	: 	: 	: 	: 	: 	: 	: 	16.1 	15.6 	15.1 	15.6 	15.7 	15.2 	15.4 	13.1 e
TOTAL,TOTAL,PC,T,TOTAL,FI	: 	4.6 	4.9 	4.5 	4.9 	4.4 	4.9 	5.0 	5.7 	6.0 	5.2 	5.0 	4.4 	4.7 	4.2 
TOTAL,TOTAL,PC,T,TOTAL,FR	: 	15.0 	12.3 	12.0 	13.7 	12.8 	12.6 	12.5 	10.9 	12.8 	12.8 	13.4 	12.6 	14.0 	11.1 
TOTAL,TOTAL,PC,T,TOTAL,HR	: 	: 	: 	: 	: 	: 	: 	19.8 	15.2 	13.3 	13.1 	11.7 	10.9 	11.5 	: 
TOTAL,TOTAL,PC,T,TOTAL,HU	: 	: 	33.3 	27.0 	19.2 	30.8 	14.5 	24.2 b	22.1 	24.7 	26.7 	26.9 	25.4 	26.7 	24.8 
TOTAL,TOTAL,PC,T,TOTAL,IE	12.9 	13.5 	12.1 	14.9 	14.9 	11.9 	13.2 	12.6 	11.1 	13.0 	14.3 	14.5 	13.6 	13.4 	: 
TOTAL,TOTAL,PC,T,TOTAL,IS	: 	20.3 	19.2 	12.9 	11.1 	19.9 b	17.4 	16.0 	16.0 	18.6 	18.0 	15.9 	19.3 	18.6 p	: 
TOTAL,TOTAL,PC,T,TOTAL,IT	: 	23.2 	22.6 	22.0 	21.4 	20.6 	20.9 	20.5 	23.4 	21.4 	22.9 	25.0 	24.1 	21.0 	16.1 
TOTAL,TOTAL,PC,T,TOTAL,LT	: 	: 	31.9 	28.5 	25.2 	25.1 	21.2 	19.2 	19.0 	17.6 	19.9 	18.9 	17.0 	18.2 	15.7 
TOTAL,TOTAL,PC,T,TOTAL,LU	18.8 	16.1 	14.9 	15.0 	14.5 	16.2 	17.5 	17.2 	15.5 	17.1 	15.3 	15.0 	14.4 	18.7 b	17.4 
TOTAL,TOTAL,PC,T,TOTAL,LV	: 	: 	40.4 	32.4 	26.5 	25.7 	25.9 	24.7 	26.0 	28.2 	27.7 	27.5 	24.4 	21.9 	22.8 
TOTAL,TOTAL,PC,T,TOTAL,MK	: 	: 	: 	: 	: 	: 	: 	24.7 	16.6 	14.4 	14.3 	15.2 	12.2 	14.1 	: 
TOTAL,TOTAL,PC,T,TOTAL,MT	: 	: 	7.9 	7.4 	5.4 	6.9 	9.8 	12.1 	10.2 	10.8 	11.8 	11.0 	10.2 	8.9 	8.3 
TOTAL,TOTAL,PC,T,TOTAL,NL	: 	: 	18.1 	17.1 	18.3 	15.6 	14.2 	15.2 	14.6 	16.2 	15.6 	15.8 p	15.7 	16.3 b	13.5 
TOTAL,TOTAL,PC,T,TOTAL,NO	9.0 	8.0 	7.9 	7.7 	8.5 	8.2 	8.2 	7.7 	7.6 	8.2 	7.0 	6.0 	6.8 	5.9 	5.4 
TOTAL,TOTAL,PC,T,TOTAL,PL	: 	: 	43.9 	41.4 	37.5 	22.8 b	17.6 	15.6 	11.5 	10.5 	10.1 	9.2 	11.9 	11.6 	11.9 
TOTAL,TOTAL,PC,T,TOTAL,PT	: 	20.3 	19.4 	18.7 	19.5 	18.9 	19.7 	21.9 	21.3 	22.0 	31.9 b	32.8 	28.1 	30.5 	25.5 
TOTAL,TOTAL,PC,T,TOTAL,RO	: 	: 	: 	: 	30.1 	24.0 	21.7 	18.7 	18.1 	15.5 	16.2 	13.6 	12.8 	13.3 	11.1 
TOTAL,TOTAL,PC,T,TOTAL,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21.6 	26.2 	23.4 	21.8 	: 
TOTAL,TOTAL,PC,T,TOTAL,SE	: 	5.4 	5.8 	7.5 	6.3 	8.0 b	6.8 	8.0 	8.7 	7.8 	7.7 	7.7 	7.7 	7.4 	7.0 
TOTAL,TOTAL,PC,T,TOTAL,SI	: 	: 	19.0 	21.6 	17.5 	30.2 	30.6 	32.4 	34.7 	31.5 	27.0 	29.9 	26.9 	23.8 	22.0 
TOTAL,TOTAL,PC,T,TOTAL,SK	: 	: 	7.2 	6.6 	6.1 	9.1 b	6.6 	5.8 	7.8 	8.8 	7.5 	7.0 	6.3 	6.2 	6.7 
TOTAL,TOTAL,PC,T,TOTAL,TR	: 	: 	: 	44.8 	39.2 	39.0 	42.2 	: 	41.6 	40.6 	39.7 	37.2 	39.0 	: 	: 
TOTAL,TOTAL,PC,T,TOTAL,UK	: 	: 	14.5 	13.9 	14.6 	15.0 	14.6 	15.0 	15.9 	17.2 	15.9 	16.6 	14.8 	16.4 	: 
