currency,bop_item,sector10,sectpart,s_adj,stk_flow,partner,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LT	210.7 	599.6 	-99.8 	-211.1 	156.0 	423.7 	-87.3 	-15.7 	246.5 	728.9 	-94.0 	-3.6 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LU	3042.0 	815.0 	536.0 	-256.0 	2663.0 	-478.0 	2401.0 	-402.0 	347.0 	166.0 	2474.0 	-942.0 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LV	8.0 	197.0 	335.0 	62.0 	123.0 	132.0 	246.0 	-41.0 	-119.0 	320.0 	226.0 	146.0 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,ME	293.0 	-256.0 	-268.0 	-367.0 	263.0 	-267.0 	-291.0 	-276.0 	251.0 	-374.0 	-304.0 	-308.0 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,MK	118.6 	-134.0 	-43.6 	-204.8 	112.1 	-128.5 	-131.4 	-85.7 	192.3 	-60.2 	-148.4 	20.7 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,MT	79.5 	112.1 	108.9 	70.8 	370.3 	205.6 	302.5 	542.7 	500.5 	251.0 	390.3 	385.6 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,NL	13966.0 	15907.0 	15882.0 	10059.0 	11379.0 	18604.0 	21076.0 	13478.0 	17846.0 	24180.0 	19972.0 	16603.0 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,NO	6230.8 	5201.7 	4289.7 	2213.4 	1927.1 	4910.4 	6660.5 	6287.2 	3517.3 	3508.9 	7718.9 	8473.2 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,PL	2023.5 	-141.7 	1978.6 	1770.2 	-3061.8 	1542.6 	2648.2 	809.3 	1056.9 	2086.9 	1934.1 	2135.5 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,PT	2126.0 	567.0 	133.0 	-711.0 	2487.0 	1070.0 	-67.0 	-769.0 	2411.0 	1123.0 	-78.0 	-1601.0 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,RO	36.6 	-15.0 	1142.8 	-767.6 	472.2 	-87.4 	-559.7 	-2436.5 	-1048.2 	-34.2 	-859.9 	-2167.8 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,RS	-328.0 	-459.0 	-361.0 	-304.0 	-281.0 	-380.0 	-693.0 	-336.0 	-372.0 	-681.0 	: 	: 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,SE	6003.9 	5025.2 	4931.3 	2628.1 	5741.0 	5989.2 	3358.1 	3657.8 	4794.6 	3436.9 	1757.9 	951.8 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,SI	700.8 	597.6 	652.7 	473.1 	530.0 	265.2 	622.0 	588.6 	942.0 	600.9 	638.8 	963.3 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,SK	-64.2 	1144.1 	385.2 	428.1 	-447.3 	-491.7 	-117.4 	-63.8 	-597.2 	-121.4 	-66.6 	123.0 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,TR	-2331.6 	-6906.2 	-7292.1 	-9994.4 	-4986.6 	-7624.1 	-7882.1 	-11672.2 	-8570.7 	-13618.7 	-13297.2 	-12573.1 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,UK	-35246.4 	-37749.1 	-37675.4 	-29799.9 	-44284.7 	-16549.7 	-22081.4 	-25242.7 	-26358.1 	-15583.1 	-20683.3 	-21376.2 
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,XK	90.9 	-268.9 	-146.5 	-253.7 	125.3 	-210.9 	-171.9 	-255.9 	232.5 	-237.9 	-155.2 	-262.6 
