unit,sex,age,incgrp,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,T,TOTAL,A_MD60,EU27	15.4 e	15.1 e	14.7 e	14.6 e	15.5 	15.4 	15.0 	15.1 	15.4 	15.1 	14.4 	13.8 e
PC,T,TOTAL,A_MD60,EU28	: 	: 	: 	: 	15.5 	15.4 	15.0 	15.1 	15.4 	15.1 	14.4 	13.8 e
PC,T,TOTAL,A_MD60,FI	10.9 	11.5 	12.3 	12.9 	11.6 	11.2 	11.8 	12.1 	11.4 	11.5 	11.5 	11.4 
PC,T,TOTAL,A_MD60,FR	12.5 	12.5 	11.0 	12.0 	11.1 	11.2 	11.3 	11.6 	11.8 	12.1 	11.0 	10.7 
PC,T,TOTAL,A_MD60,HR	: 	: 	: 	: 	17.4 	11.4 	12.3 	13.4 	14.2 	13.0 	12.5 	: 
PC,T,TOTAL,A_MD60,HU	17.6 	17.5 	19.4 	19.0 	20.8 	21.3 	21.4 	20.4 	19.8 	16.7 	16.5 	16.0 
PC,T,TOTAL,A_MD60,IE	7.6 	7.8 	9.0 	9.0 	9.5 	9.5 	10.3 	7.5 	10.9 	10.4 	10.1 	: 
PC,T,TOTAL,A_MD60,IS	17.6 	15.7 	15.6 	15.7 	16.6 	17.1 	15.9 	16.0 	15.5 	15.4 	14.6 p	: 
PC,T,TOTAL,A_MD60,IT	12.5 	10.7 	10.9 	10.3 	9.8 	9.7 	9.8 	10.2 	10.1 	9.8 	9.7 	8.8 
PC,T,TOTAL,A_MD60,LT	12.5 	10.7 	10.0 	10.6 	12.1 	14.6 	13.7 	13.4 	12.4 	11.7 	10.9 	9.7 
PC,T,TOTAL,A_MD60,LU	7.6 	8.1 	7.3 	7.2 	6.8 	6.9 	7.1 	7.0 	6.6 	6.6 	7.8 b	7.7 
PC,T,TOTAL,A_MD60,LV	13.2 	11.6 	10.8 	10.7 	12.8 	14.7 	14.7 	14.5 	12.9 	12.2 	11.2 	11.0 
PC,T,TOTAL,A_MD60,MK	: 	: 	: 	: 	: 	: 	16.2 	15.3 	16.1 	15.2 	14.3 	: 
PC,T,TOTAL,A_MD60,MT	5.8 	5.5 	5.1 	5.7 	5.5 	6.6 	6.4 	5.9 	4.7 	3.9 	4.1 	3.1 
PC,T,TOTAL,A_MD60,NL	27.0 	25.8 	24.8 	24.4 	24.8 	25.4 	25.8 	25.8 	25.5 	25.0 	18.4 b	16.9 
PC,T,TOTAL,A_MD60,NO	: 	16.8 	17.8 	17.0 	15.2 	16.2 	15.8 	15.7 	13.7 	14.5 	13.2 	13.6 
PC,T,TOTAL,A_MD60,PL	18.0 	17.3 	16.4 	15.8 	15.8 	16.1 	16.6 	16.7 	16.7 	15.7 	14.5 	13.6 
PC,T,TOTAL,A_MD60,PT	9.1 	11.2 	10.2 	9.9 	9.3 	10.4 	11.5 	11.2 	11.5 	11.5 	10.9 	10.7 
PC,T,TOTAL,A_MD60,RO	: 	18.7 	20.2 	18.7 	18.5 	8.8 	19.2 	18.3 	17.4 	16.7 	15.4 	14.6 
PC,T,TOTAL,A_MD60,RS	: 	: 	: 	: 	: 	: 	: 	23.3 	25.3 	24.2 	22.7 	: 
PC,T,TOTAL,A_MD60,SE	15.4 	16.3 	18.5 b	18.0 	16.0 	16.0 	16.6 	16.8 	16.3 	15.5 	15.3 	14.8 
PC,T,TOTAL,A_MD60,SI	9.3 	9.9 	10.3 	10.4 	10.8 	10.9 	11.4 	11.4 	11.7 	10.7 	10.8 	10.7 
PC,T,TOTAL,A_MD60,SK	20.9 	21.1 	14.1 	16.9 	15.7 	15.5 	15.2 	15.5 	15.2 	16.0 	15.6 	15.9 
PC,T,TOTAL,A_MD60,TR	14.4 	10.9 	11.7 	12.7 	12.6 	12.4 	12.5 	12.9 	12.3 	12.6 	: 	: 
PC,T,TOTAL,A_MD60,UK	19.3 	19.6 	19.4 	19.2 	19.1 	19.0 	10.8 b	11.2 	15.4 	14.8 	14.7 	: 
PC,T,TOTAL,B_MD60,AT	29.3 	29.6 	29.9 b	29.0 	32.1 	29.8 	31.6 	33.1 	31.7 	32.6 	33.4 	33.6 
PC,T,TOTAL,B_MD60,BE	35.7 	34.6 	37.2 b	32.0 	34.9 	36.2 	36.6 	34.9 	36.0 	33.6 	34.5 	33.0 
PC,T,TOTAL,B_MD60,BG	39.7 	45.3 	30.7 	26.5 	25.8 	28.2 	37.7 	32.8 	33.9 	36.5 	43.2 b	40.1 
PC,T,TOTAL,B_MD60,CH	: 	: u	: u	41.0 	41.0 	40.5 	40.3 	37.6 	38.9 b	37.7 	37.5 	: 
PC,T,TOTAL,B_MD60,CY	12.1 	11.2 	10.3 b	10.3 	11.7 	11.5 	12.3 	14.2 	14.6 	15.5 	13.4 	12.7 
PC,T,TOTAL,B_MD60,CZ	35.7 	33.5 	38.8 	36.7 	39.9 	36.7 	38.3 	41.5 	37.6 	39.0 	37.4 	36.7 
PC,T,TOTAL,B_MD60,DE	: 	: 	: 	: 	35.1 	38.1 	40.8 	39.4 	43.1 	41.1 	40.3 	39.3 
PC,T,TOTAL,B_MD60,DK	47.4 	44.8 	45.7 	50.4 	52.4 	54.9 b	52.0 	56.8 	56.5 	51.0 	54.8 	53.7 
PC,T,TOTAL,B_MD60,EA18	27.6 e	24.8 e	24.4 e	25.5 e	28.8 	29.9 	31.7 	31.8 	33.6 	33.3 	32.5 	31.5 e
PC,T,TOTAL,B_MD60,EA19	27.6 e	24.8 e	24.4 e	25.4 e	28.8 	29.9 	31.7 	31.8 	33.5 	33.3 	32.4 	31.5 e
PC,T,TOTAL,B_MD60,EE	27.0 	23.1 	22.3 	21.4 	26.6 	28.4 	28.5 	27.5 	29.8 b	26.4 	23.1 	22.6 
PC,T,TOTAL,B_MD60,EL	49.1 	46.5 	48.5 	50.2 	47.8 	52.6 	63.4 	68.3 	85.9 	89.0 	78.5 	74.2 
PC,T,TOTAL,B_MD60,ES	22.1 	22.2 	22.0 b	25.7 	27.5 	28.4 	30.7 	30.9 	30.1 	31.8 	27.4 	28.4 
PC,T,TOTAL,B_MD60,EU27	31.2 e	29.3 e	28.7 e	29.6 e	31.2 	30.3 	31.0 	31.2 	33.7 	33.4 	32.8 	31.9 e
PC,T,TOTAL,B_MD60,EU28	: 	: 	: 	: 	31.3 	30.3 	31.0 	31.2 	33.6 	33.4 	32.8 	31.9 e
PC,T,TOTAL,B_MD60,FI	19.8 	20.2 	22.6 	23.6 	21.9 	21.7 	22.8 	23.4 	23.8 	23.7 	23.1 	21.9 
PC,T,TOTAL,B_MD60,FR	21.6 	17.8 	17.0 	17.8 	21.4 	21.6 	20.6 	22.4 	21.5 	21.0 	21.7 	21.4 
PC,T,TOTAL,B_MD60,HR	: 	: 	: 	: 	39.3 	28.7 	29.2 	30.9 	30.0 	31.3 	29.5 	: 
PC,T,TOTAL,B_MD60,HU	34.0 	32.5 	35.4 	31.7 	32.6 	35.3 	33.2 	34.7 	33.2 	31.6 	33.0 	39.4 
PC,T,TOTAL,B_MD60,IE	14.7 	15.7 	17.4 	17.4 	22.2 	22.4 	24.5 	22.7 	24.8 	21.5 	21.7 	: 
PC,T,TOTAL,B_MD60,IS	36.3 	31.9 	30.0 	31.1 	34.9 	42.1 	40.2 	35.6 	33.0 	35.2 	29.6 p	: 
PC,T,TOTAL,B_MD60,IT	31.2 	23.9 	23.6 	24.1 	24.8 	24.3 	24.7 	24.0 	25.1 	26.2 	29.5 	26.4 
PC,T,TOTAL,B_MD60,LT	26.5 	22.9 	23.2 	23.7 	32.7 	30.9 	29.7 	28.1 	26.8 	28.8 	27.1 	26.2 
PC,T,TOTAL,B_MD60,LU	25.6 	29.1 	23.3 	24.5 	27.5 	26.0 	26.9 	23.7 	25.9 	29.1 	28.4 b	30.0 
PC,T,TOTAL,B_MD60,LV	29.4 	29.0 	25.9 	26.6 	28.3 	31.2 	30.7 	32.4 	29.4 	26.9 	25.5 	26.2 
PC,T,TOTAL,B_MD60,MK	: 	: 	: 	: 	: 	: 	50.0 	44.4 	42.1 	37.6 	40.1 	: 
PC,T,TOTAL,B_MD60,MT	11.7 	11.3 	10.7 	10.8 	10.6 	12.2 	13.0 	12.8 	8.5 	6.8 	7.3 	5.9 
PC,T,TOTAL,B_MD60,NL	44.3 	44.2 	37.9 	36.5 	36.1 	36.7 	37.9 	38.4 	40.9 	40.0 	36.1 b	35.0 
PC,T,TOTAL,B_MD60,NO	: 	39.5 	38.0 	34.6 	36.0 	39.6 	35.5 	35.2 	33.0 	36.4 	34.9 	35.7 
PC,T,TOTAL,B_MD60,PL	32.3 	30.6 	29.6 	28.9 	29.5 	31.4 	33.1 	31.6 	30.6 	30.2 	29.8 	28.8 
PC,T,TOTAL,B_MD60,PT	16.7 	21.3 	19.0 	18.9 	19.7 	22.5 	24.5 	27.2 	28.7 	28.9 	26.5 	24.1 
PC,T,TOTAL,B_MD60,RO	: 	35.7 	34.2 	33.9 	32.9 	0.0 	36.6 	35.2 	34.1 	34.4 	31.3 	31.6 
PC,T,TOTAL,B_MD60,RS	: 	: 	: 	: 	: 	: 	: 	56.3 	65.6 	58.3 	58.6 	: 
PC,T,TOTAL,B_MD60,SE	41.9 	39.0 	40.6 b	40.5 	34.9 	38.2 	35.4 	34.1 	35.8 	35.6 	33.4 	32.6 
PC,T,TOTAL,B_MD60,SI	20.9 	23.9 	24.7 	24.0 	25.8 	25.8 	26.5 	27.1 	28.4 	26.4 	27.6 	26.3 
PC,T,TOTAL,B_MD60,SK	43.0 	41.3 	26.7 	34.8 	32.0 	31.6 	32.4 	31.9 	33.2 	31.3 	30.6 	33.1 
PC,T,TOTAL,B_MD60,TR	25.9 	17.0 	17.5 	19.4 	18.9 	19.0 	17.7 	19.2 	18.4 	18.8 	: 	: 
PC,T,TOTAL,B_MD60,UK	38.1 	37.3 	37.6 	41.8 	42.3 	42.2 	19.4 b	21.8 	34.0 	33.5 	33.9 	: 
PC,T,TOTAL,TOTAL,AT	13.2 	14.0 	14.2 b	13.7 	13.8 	14.4 	14.3 	14.3 	14.0 	14.0 	13.9 	13.2 
PC,T,TOTAL,TOTAL,BE	16.8 	16.3 	18.1 b	15.7 	16.2 	16.5 	17.4 	16.4 	16.2 	15.5 	14.8 	14.9 
PC,T,TOTAL,TOTAL,BG	22.2 	22.7 	18.4 	14.7 	14.6 	16.9 	19.9 	20.2 	18.6 	20.0 	22.7 b	21.5 
PC,T,TOTAL,TOTAL,CH	: 	: u	: u	22.2 	22.9 	22.0 	21.5 	20.9 	21.1 b	20.9 	21.3 	: 
PC,T,TOTAL,TOTAL,CY	9.0 	8.1 	7.9 b	7.1 	7.2 	7.5 	8.2 	9.0 	9.3 	9.5 	8.3 	8.1 
PC,T,TOTAL,TOTAL,CZ	20.2 	19.9 	19.7 	18.7 	19.1 	18.4 	19.0 	20.7 	20.1 	19.4 	18.6 	17.8 
PC,T,TOTAL,TOTAL,DE	: 	: 	: 	: 	21.9 	22.5 	22.3 	22.3 	21.6 	21.6 	21.3 	20.8 
PC,T,TOTAL,TOTAL,DK	24.6 	24.2 	26.9 	29.9 	28.6 	26.7 b	24.8 	24.7 	22.9 	22.6 	21.1 	22.4 
PC,T,TOTAL,TOTAL,EA18	14.7 e	14.0 e	13.4 e	13.7 e	15.5 	16.0 	16.3 	16.5 	16.4 	16.3 	15.5 	14.9 e
PC,T,TOTAL,TOTAL,EA19	14.7 e	14.0 e	13.4 e	13.6 e	15.5 	16.0 	16.3 	16.5 	16.4 	16.3 	15.5 	14.9 e
PC,T,TOTAL,TOTAL,EE	13.2 	11.5 	11.4 	11.8 	13.5 	14.4 	14.6 	14.0 	13.2 b	12.1 	10.9 	10.4 
PC,T,TOTAL,TOTAL,EL	25.5 	22.4 	24.0 	23.7 	24.2 	26.8 	31.0 	33.0 	36.9 	37.5 	33.7 	33.6 
PC,T,TOTAL,TOTAL,ES	10.6 	10.9 	10.0 b	11.2 	11.3 	11.8 	12.6 	12.9 	12.5 	12.5 	12.0 	11.3 
PC,T,TOTAL,TOTAL,EU27	17.0 e	16.6 e	16.2 e	16.1 e	16.9 	16.8 	16.4 	16.6 	17.0 	16.8 	16.0 	15.3 e
PC,T,TOTAL,TOTAL,EU28	: 	: 	: 	: 	16.9 	16.8 	16.4 	16.6 	17.0 	16.7 	16.0 	15.3 e
PC,T,TOTAL,TOTAL,FI	11.6 	12.4 	13.2 	13.9 	12.5 	12.2 	12.8 	13.0 	12.3 	12.3 	12.4 	12.3 
PC,T,TOTAL,TOTAL,FR	13.3 	13.0 	11.5 	12.6 	12.1 	12.3 	12.4 	12.7 	12.7 	13.1 	12.0 	11.5 
PC,T,TOTAL,TOTAL,HR	: 	: 	: 	: 	19.6 	13.0 	14.1 	15.2 	15.8 	14.7 	14.3 	: 
PC,T,TOTAL,TOTAL,HU	19.1 	18.6 	20.6 	19.9 	21.6 	22.4 	22.5 	21.6 	21.0 	18.0 	17.7 	17.4 
PC,T,TOTAL,TOTAL,IE	8.9 	9.1 	9.9 	10.0 	10.7 	11.1 	12.6 	8.5 	12.7 	12.2 	11.8 	: 
PC,T,TOTAL,TOTAL,IS	18.7 	16.6 	16.5 	16.4 	17.5 	18.1 	16.5 	16.8 	16.1 	16.0 	15.4 p	: 
PC,T,TOTAL,TOTAL,IT	14.6 	12.3 	12.4 	11.7 	11.3 	11.3 	11.3 	11.8 	11.7 	11.4 	11.7 	10.3 
PC,T,TOTAL,TOTAL,LT	14.6 	12.2 	11.4 	12.1 	14.2 	16.4 	15.4 	15.3 	14.1 	13.8 	12.5 	11.8 
PC,T,TOTAL,TOTAL,LU	8.9 	9.0 	8.3 	8.7 	8.1 	7.9 	8.5 	8.1 	7.9 	8.0 	9.0 b	9.2 
PC,T,TOTAL,TOTAL,LV	15.2 	13.2 	12.8 	13.2 	14.7 	16.5 	16.3 	16.4 	14.7 	14.1 	12.9 	12.9 
PC,T,TOTAL,TOTAL,MK	: 	: 	: 	: 	: 	: 	20.0 	18.3 	18.9 	18.0 	16.8 	: 
PC,T,TOTAL,TOTAL,MT	6.5 	6.1 	5.6 	6.3 	6.1 	7.2 	7.0 	6.6 	5.3 	4.2 	4.5 	3.6 
PC,T,TOTAL,TOTAL,NL	28.0 	27.1 	26.0 	25.4 	25.9 	26.5 	26.7 	26.8 	26.8 	26.3 	19.6 b	18.2 
PC,T,TOTAL,TOTAL,NO	: 	17.9 	18.9 	18.2 	16.3 	17.3 	16.7 	16.8 	14.6 	15.5 	14.3 	14.8 
PC,T,TOTAL,TOTAL,PL	19.8 	18.8 	17.9 	17.1 	17.3 	17.8 	18.3 	18.4 	18.4 	17.4 	16.2 	14.8 
PC,T,TOTAL,TOTAL,PT	10.3 	12.8 	11.7 	11.3 	10.4 	11.7 	13.0 	12.9 	13.4 	13.4 	12.4 	12.3 
PC,T,TOTAL,TOTAL,RO	: 	21.6 	22.8 	20.4 	20.2 	8.5 	21.4 	20.5 	19.6 	18.8 	17.5 	16.5 
PC,T,TOTAL,TOTAL,RS	: 	: 	: 	: 	: 	: 	: 	27.3 	29.9 	28.5 	26.8 	: 
PC,T,TOTAL,TOTAL,SE	16.5 	17.1 	19.6 b	19.3 	17.1 	17.4 	17.9 	17.9 	17.3 	16.9 	16.5 	16.2 
PC,T,TOTAL,TOTAL,SI	10.0 	10.6 	11.1 	11.1 	11.8 	12.0 	12.3 	12.7 	13.1 	11.8 	11.9 	11.8 
PC,T,TOTAL,TOTAL,SK	22.3 	22.4 	15.0 	18.1 	16.7 	16.8 	16.4 	16.9 	16.4 	17.1 	16.7 	16.9 
PC,T,TOTAL,TOTAL,TR	17.1 	12.1 	13.0 	14.0 	13.7 	13.7 	13.6 	14.2 	13.5 	13.7 	: 	: 
PC,T,TOTAL,TOTAL,UK	21.5 	21.9 	21.7 	21.5 	21.2 	21.0 	11.6 b	12.2 	16.9 	16.5 	16.4 	: 
