sex,prof_pos,sectperf,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
T,TOTAL,GOV,PC_ACT_FTE,AT	: 	: 	0.0537 	: 	0.0527 	0.0589 e	0.0607 	0.0612 	0.0661 e	0.0648 	0.0646 e	0.0615 	0.0603 e	0.0596 	0.0615 e	0.0619 	0.0625 p
T,TOTAL,GOV,PC_ACT_FTE,BE	0.0798 	0.0851 	0.0842 	0.0852 	0.0775 	0.0782 	0.0801 	0.0818 	0.0911 	0.0963 	0.0907 	0.0949 	0.12 b	0.121 	0.1297 	0.1315 	0.1361 p
T,TOTAL,GOV,PC_ACT_FTE,BG	0.3196 	0.3105 	0.3163 	0.3222 	0.3169 	0.31 	0.3038 	0.2936 	0.2787 	0.2751 	0.2759 	0.2798 	0.2807 	0.2705 	0.2633 	0.2542 	0.2515 
T,TOTAL,GOV,PC_ACT_FTE,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0167 d	: 	0.0177 d	: 	0.0198 d	0.0198 d	: 
T,TOTAL,GOV,PC_ACT_FTE,CY	0.1149 	0.1126 	0.1174 	0.1115 	0.1024 	0.1025 	0.0967 	0.0851 	0.0735 	0.065 	0.0671 	0.0601 	0.0582 	0.054 	0.0511 	0.0552 	0.0588 p
T,TOTAL,GOV,PC_ACT_FTE,CZ	0.1408 	0.1541 	0.1456 	0.1581 	0.1513 	0.216 b	0.2232 	0.2292 	0.2266 	0.2211 	0.2193 	0.2259 	0.2293 	0.2355 	0.2378 	0.2491 	0.2507 p
T,TOTAL,GOV,PC_ACT_FTE,DE	0.1828 	0.1836 	0.1853 	0.1873 	0.1918 	0.1887 	0.1917 	0.1967 	0.2024 d	0.2111 d	0.2253 d	0.2316 d	0.2365 d	0.2405 d	0.2464 d	0.2474 d	0.239 d
T,TOTAL,GOV,PC_ACT_FTE,DK	0.2024 	0.1939 	0.1202 b	0.122 	0.114 	0.1139 	0.1139 	0.0596 b	0.0531 	0.0502 	0.0544 	0.0528 	0.0543 	0.0547 	0.0596 	0.0627 p	0.0605 e
T,TOTAL,GOV,PC_ACT_FTE,EA19	0.1605 e	0.1565 e	0.1533 e	0.1543 e	0.1549 e	0.1575 e	0.1621 e	0.1644 e	0.1677 e	0.1723 e	0.1749 e	0.1762 e	0.1777 e	0.1787 e	0.1801 	0.1819 	0.179 p
T,TOTAL,GOV,PC_ACT_FTE,EE	0.1423 	0.1138 	0.1231 	0.1273 	0.1252 	0.1076 	0.107 	0.1178 	0.1115 	0.1078 	0.1168 	0.1167 	0.1176 	0.1299 	0.1234 	0.1196 	0.1278 
T,TOTAL,GOV,PC_ACT_FTE,EL	: 	0.102 	: 	0.1078 	: 	0.0895 	0.0937 e	0.0937 e	: 	: 	: 	0.198 b	0.2067 	0.239 	0.2344 	0.2876 	0.2483 
T,TOTAL,GOV,PC_ACT_FTE,ES	0.1251 	0.1308 	0.1231 	0.1312 	0.1341 	0.1528 	0.1599 	0.1702 	0.1796 	0.1963 	0.1982 	0.1886 	0.1795 	0.1708 	0.1699 	0.1743 	0.1764 
T,TOTAL,GOV,PC_ACT_FTE,EU28	: 	: 	0.1407 e	0.1408 e	0.1402 e	0.1422 e	0.1447 e	0.1444 e	0.1472 e	0.1494 e	0.1523 e	0.154 e	0.1549 e	0.1557 e	0.1561 	0.1572 	0.1549 p
T,TOTAL,GOV,PC_ACT_FTE,FI	0.2844 	0.2816 	0.2849 	0.285 	0.285 	0.2858 	0.2828 	0.2772 	0.2668 	0.2567 	0.2595 	0.2609 	0.2412 	0.241 	0.2247 	0.1726 	0.1545 
T,TOTAL,GOV,PC_ACT_FTE,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1707 	0.1694 p	: 
