na_item,nace_r2,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
EMP_DC,TOTAL,THS_PER,ES	13844.60 	14044.90 	14570.10 	15208.80 	15900.90 	16691.00 	17247.80 	17692.90 	18281.80 	18970.10 	19784.00 	20609.20 	21284.90 	21324.10 	19986.80 	19639.50 	19112.50 	18342.60 	17861.90 	18039.20 	18550.00 	19025.60 p	19510.80 p
EMP_DC,TOTAL,THS_PER,FI	2053.60 	2083.00 	2154.50 	2194.60 	2249.30 	2298.30 	2331.60 	2356.90 	2360.20 	2373.60 	2410.60 	2454.60 	2506.90 	2562.70 	2501.00 	2483.80 	2515.50 	2537.60 	2519.60 	2507.50 	2504.10 	2515.50 	2545.20 
EMP_DC,TOTAL,THS_PER,FR	23645.00 	23779.00 	23963.00 	24382.00 	24968.00 	25602.00 	25970.00 	26098.00 	26105.00 	26141.00 	26321.00 	26607.00 	26992.00 	27129.00 	26819.00 	26846.00 	27048.00 	27140.00 	27190.00 	27334.00 	27391.00 	27587.00 p	27881.00 p
EMP_DC,TOTAL,THS_PER,HR	1567.90 p	1567.61 p	1569.93 p	1566.17 p	1566.73 p	1565.01 p	1554.89 p	1568.40 p	1607.38 p	1620.92 p	1637.54 p	1689.26 p	1742.67 p	1779.87 d	1766.55 d	1699.97 d	1634.51 d	1575.51 d	1533.99 d	1575.00 d	1594.59 d	1599.19 d	1634.40 d
EMP_DC,TOTAL,THS_PER,HU	4009.65 	4012.71 	4018.92 	4081.52 	4195.87 	4236.99 	4230.29 	4226.92 	4226.89 	4186.44 	4174.19 	4192.22 	4197.97 	4115.47 	4012.92 	3969.25 	3969.42 	3975.80 	4019.46 	4213.65 	4315.55 	4447.27 	4536.81 
EMP_DC,TOTAL,THS_PER,IE	1327.44 	1376.42 	1430.21 	1524.40 	1623.05 	1695.80 	1748.58 	1776.08 	1809.05 	1870.43 	1962.30 	2053.00 	2142.74 	2129.25 	1962.30 	1874.30 	1838.20 b	1829.48 	1884.43 	1934.41 	2002.08 	2077.25 	2136.90 
EMP_DC,TOTAL,THS_PER,IT	21911.00 	22044.20 	22113.80 	22336.40 	22581.00 	23021.30 	23473.30 	23867.40 	24217.90 	24364.60 	24501.30 	24983.80 	25294.90 	25349.20 	24925.50 	24765.70 	24842.70 	24764.80 	24322.80 	24339.40 	24497.90 	24825.50 	25112.70 
EMP_DC,TOTAL,THS_PER,LT	1483.18 	1497.03 	1506.15 	1494.40 	1461.49 	1399.19 	1345.99 	1394.68 	1425.71 	1410.10 	1420.72 	1416.26 	1445.14 	1426.09 	1316.51 	1246.77 	1252.70 	1274.90 	1291.89 	1317.81 	1334.73 	1361.21 	1354.11 
EMP_DC,TOTAL,THS_PER,LU	216.10 	221.72 	229.24 	239.29 	250.76 	264.05 	279.13 	287.20 	292.50 	299.39 	307.69 	319.48 	333.55 	349.46 	353.12 	359.56 	370.16 	379.14 	386.07 	395.95 	406.12 	418.36 	432.74 
EMP_DC,TOTAL,THS_PER,LV	930.19 	935.36 	976.99 	973.38 	955.92 	923.69 	938.70 	952.32 	958.28 	960.62 	969.15 	1024.95 	1064.07 	1055.07 	903.72 	843.51 	856.22 	868.63 	888.63 	876.63 	889.00 	886.30 	885.99 
EMP_DC,TOTAL,THS_PER,MT	144.86 	147.12 	147.51 	147.21 	148.19 	146.40 	148.98 	149.39 	148.82 	149.37 	151.26 	153.51 	156.95 	160.94 	161.00 	163.79 	168.62 	172.83 	179.28 	188.51 	195.93 	204.12 	214.65 
EMP_DC,TOTAL,THS_PER,NL	7268.00 	7420.00 	7648.00 	7830.00 	8055.00 	8203.00 	8367.00 	8427.00 	8380.00 	8285.00 	8340.00 	8521.00 	8772.00 	8915.00 	8839.00 	8779.00 	8855.00 	8837.00 	8733.00 	8725.00 	8808.00 	8905.00 p	9098.00 p
EMP_DC,TOTAL,THS_PER,PL	: 	: 	: 	: 	: 	14516.60 	14194.80 	13766.30 	13606.10 	13760.30 	14057.00 	14503.90 	15155.90 	15731.90 	15789.40 	15370.30 b	15457.30 	15474.90 	15463.80 	15731.00 	15970.00 	16060.70 p	16281.20 p
EMP_DC,TOTAL,THS_PER,PT	4528.98 	4604.87 	4725.55 	4858.13 	4933.24 	5041.86 	5130.09 	5149.93 	5100.19 	5064.18 	5040.96 	5060.86 	5061.58 	5080.13 	4941.69 	4871.33 	4776.73 	4581.45 	4450.17 	4512.99 	4575.82 	4649.82 	4802.27 p
EMP_DC,TOTAL,THS_PER,RO	11617.50 	11236.40 	11331.90 	10990.10 	10855.50 	10771.60 	10657.30 	9573.90 	9569.40 	9410.40 	9267.20 	9330.70 	9364.80 	9365.90 	9181.00 	9156.10 	9082.20 	8645.30 b	8569.40 	8634.60 	8525.70 	8429.60 	8668.20 p
EMP_DC,TOTAL,THS_PER,SE	4128.90 	4095.90 	4043.20 	4111.40 	4197.70 	4300.60 	4391.10 	4393.20 	4367.90 	4337.20 	4348.70 	4422.40 	4524.40 	4565.20 	4454.80 	4497.70 	4593.60 	4627.40 	4671.80 	4737.40 	4807.40 	4896.50 	5011.30 
EMP_DC,TOTAL,THS_PER,SI	922.45 	904.17 	887.68 	886.74 	900.40 	914.42 	919.64 	934.15 	931.29 	934.01 	929.49 	944.14 	975.80 	1000.82 	982.90 	962.10 	946.02 	937.24 	926.70 	930.43 	942.56 	959.50 	987.79 
EMP_DC,TOTAL,THS_PER,SK	2107.19 	2151.11 	2128.91 	2118.87 	2065.19 	2024.85 	2036.51 	2038.41 	2060.47 	2055.73 	2088.91 	2132.39 	2176.97 	2247.14 	2203.16 	2169.82 	2208.31 	2209.43 	2192.25 	2223.15 	2267.10 	2321.05 	2372.26 
EMP_DC,TOTAL,THS_PER,UK	25814.34 	26056.25 	26522.79 	26793.53 	27167.08 	27483.29 	27711.39 	27943.90 	28223.07 	28533.45 	28853.15 	29140.45 	29378.75 	29627.56 	29154.26 	29226.87 	29374.62 	29694.53 	30042.22 	30752.41 	31281.15 	31725.39 	32058.38 
