sex,age,indic_eu,unit,geo\time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
T,Y_LT60,T2020_51,PC_Y_LT60,EL	8.5 	7.5 	7.6 	8.1 	8.1 	7.5 	6.6 	7.6 	12.0 	14.2 	18.2 	17.2 	16.8 	17.2 	15.6 
T,Y_LT60,T2020_51,PC_Y_LT60,ES	: 	7.3 	6.9 	6.4 	6.8 	6.6 	7.6 	10.8 	13.4 	14.3 	15.7 	17.1 	15.4 	14.9 	12.8 
T,Y_LT60,T2020_51,PC_Y_LT60,EU	: 	: 	: 	: 	: 	9.2 e	9.2 e	10.3 e	10.5 e	10.6 e	11.0 e	11.3 e	10.7 e	10.5 e	9.3 e
T,Y_LT60,T2020_51,PC_Y_LT60,EU27	: 	: 	10.5 e	10.6 e	9.8 	9.2 	9.2 	10.3 	10.5 	10.5 	10.9 	11.2 	10.7 	10.5 	9.3 e
T,Y_LT60,T2020_51,PC_Y_LT60,EU28	: 	: 	: 	: 	: 	: 	: 	10.3 	10.5 	10.6 	11.0 	11.3 	10.7 	10.5 	9.3 e
T,Y_LT60,T2020_51,PC_Y_LT60,FI	: 	9.5 	10.0 	9.1 	8.8 	7.5 	8.4 	9.3 	10.0 	9.3 	9.0 	10.0 	10.8 	11.4 	10.7 
T,Y_LT60,T2020_51,PC_Y_LT60,FR	: 	10.3 	8.7 	9.1 	9.6 	8.8 	8.4 	9.9 	9.4 	8.4 	8.1 	9.6 	8.6 	8.4 	8.1 
T,Y_LT60,T2020_51,PC_Y_LT60,HR	: 	: 	: 	: 	: 	: 	: 	13.9 	15.9 	16.8 	14.8 	14.7 	14.4 	13.0 	: 
T,Y_LT60,T2020_51,PC_Y_LT60,HU	: 	: 	9.5 	13.1 	11.3 	12.0 	11.3 	11.9 	12.8 	13.5 	13.6 	12.8 	9.4 	8.2 	6.6 
T,Y_LT60,T2020_51,PC_Y_LT60,IE	11.5 	12.9 	14.7 	12.9 	14.3 	13.7 	20.0 	22.9 	24.2 	23.4 	23.9 	21.0 	19.2 	18.2 	: 
T,Y_LT60,T2020_51,PC_Y_LT60,IS	: 	3.7 	3.2 	2.8 	2.4 	2.6 	2.1 	5.7 	6.2 	6.1 	6.2 	4.9 	5.2 	4.3 p	: 
T,Y_LT60,T2020_51,PC_Y_LT60,IT	: 	12.3 	11.0 	11.3 	10.2 	10.4 	9.2 	10.6 	10.5 	10.6 	11.3 	12.1 	11.7 	12.8 	11.8 
T,Y_LT60,T2020_51,PC_Y_LT60,LT	: 	: 	9.6 	8.3 	6.4 	6.1 	7.2 	9.5 	12.7 	11.4 	11.0 	8.8 	9.2 	10.2 	9.7 
T,Y_LT60,T2020_51,PC_Y_LT60,LU	6.1 	6.2 	5.7 	5.2 	5.0 	4.7 	6.3 	5.5 	5.8 	6.1 	6.6 	6.1 	5.7 	6.6 b	6.9 
T,Y_LT60,T2020_51,PC_Y_LT60,LV	: 	: 	8.3 	7.1 	6.2 	5.4 	7.4 	12.6 	12.6 	11.7 	10.0 	9.6 	7.8 	7.2 	7.8 
T,Y_LT60,T2020_51,PC_Y_LT60,MK	: 	: 	: 	: 	: 	: 	: 	24.5 	20.0 	19.9 	17.6 	17.2 	17.4 	16.3 	: 
T,Y_LT60,T2020_51,PC_Y_LT60,MT	: 	: 	9.6 	9.7 	9.6 	8.6 	9.2 	9.2 	8.9 	9.0 	9.0 	9.8 	9.2 	7.3 	6.7 
T,Y_LT60,T2020_51,PC_Y_LT60,NL	: 	: 	9.8 	10.9 	9.7 	8.2 	8.5 	8.4 	8.9 	8.9 	9.3 	10.2 	10.2 	9.7 b	9.5 
T,Y_LT60,T2020_51,PC_Y_LT60,NO	: 	8.1 	8.3 	7.7 	8.7 	6.5 	6.9 	7.5 	7.1 	7.1 	6.4 	5.9 	7.8 	7.7 	9.6 
T,Y_LT60,T2020_51,PC_Y_LT60,PL	: 	: 	14.3 	12.4 	10.1 	8.0 	6.9 	7.3 	6.9 	6.9 	7.2 	7.3 	6.9 	6.4 	5.7 
T,Y_LT60,T2020_51,PC_Y_LT60,PT	: 	6.9 	6.0 	6.6 	7.2 	6.3 	7.0 	8.6 	8.3 	10.1 	12.2 	12.2 	10.9 	9.1 	8.0 
T,Y_LT60,T2020_51,PC_Y_LT60,RO	: 	: 	: 	: 	9.9 	8.5 	8.1 	7.7 	7.3 	7.9 	7.6 	7.2 	7.9 	8.2 	6.9 
T,Y_LT60,T2020_51,PC_Y_LT60,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18.1 	20.5 	21.2 	21.5 	: 
T,Y_LT60,T2020_51,PC_Y_LT60,SE	: 	8.7 	7.6 	6.8 	6.0 	7.0 b	8.5 	8.5 	9.4 	8.1 	9.4 	9.0 	8.7 	8.5 	8.8 
T,Y_LT60,T2020_51,PC_Y_LT60,SI	: 	: 	8.6 	6.9 	7.3 	6.7 	5.6 	7.0 	7.6 	7.5 	8.0 	8.7 	7.4 	7.4 	6.2 
T,Y_LT60,T2020_51,PC_Y_LT60,SK	: 	: 	6.6 	6.2 	6.4 	5.2 	5.6 	7.9 	7.7 	7.2 	7.6 	7.1 	7.1 	6.5 	5.4 
T,Y_LT60,T2020_51,PC_Y_LT60,TR	: 	: 	: 	15.5 	12.0 	12.0 	11.9 	12.3 	11.9 	10.9 	10.4 	10.5 	10.9 	: 	: 
T,Y_LT60,T2020_51,PC_Y_LT60,UK	: 	: 	12.9 	12.0 	10.4 	10.4 	12.7 	13.2 	11.5 	13.0 b	13.2 	12.3 	11.9 	11.3 	: 
T,Y_LT60,T2020_51,THS_PER,AT	: 	427 	468 	516 	523 	472 b	452 	497 	546 	490 	496 	585 	526 	528 	545 
T,Y_LT60,T2020_51,THS_PER,BE	1245 	1221 	1244 	1178 	1138 	967 	1021 	1053 	1152 	1170 	1190 	1244 	1267 	1243 	1142 
T,Y_LT60,T2020_51,THS_PER,BG	: 	: 	: 	870 	932 	470 b	399 	453 	623 	676 	695 	640 	607 	618 b	571 
T,Y_LT60,T2020_51,THS_PER,CH	: 	: 	: 	: 	260 	190 	235 	238 	275 	208 	249 	294 b	333 	349 	: 
T,Y_LT60,T2020_51,THS_PER,CY	: 	: 	27 	24 	24 	29 b	26 	33 	33 	45 	55 	68 	75 	72 	64 
T,Y_LT60,T2020_51,THS_PER,CZ	: 	: 	720 	723 	701 	581 	482 	520 	531 	536 	541 	591 	529 	515 	423 
T,Y_LT60,T2020_51,THS_PER,DE	: 	: 	7294 	8248 	6983 	7044 	6538 	6695 	6637 	5866 	5744 	5783 	5686 	5689 	5134 
T,Y_LT60,T2020_51,THS_PER,DK	405 	387 	418 	394 	415 	347 	360 	433 	432 	415 	484 	495 	470 	437 	409 
T,Y_LT60,T2020_51,THS_PER,EA18	: 	: 	24140 	25394 	23992 	22999 	22508 	25782 	26999 	26343 	27412 	28967 	27297 	27137 	24405 e
T,Y_LT60,T2020_51,THS_PER,EA19	: 	: 	24400 	25617 	24164 	23151 	22687 	26011 	27295 	26602 	27658 	29162 	27499 	27357 	24610 e
T,Y_LT60,T2020_51,THS_PER,EE	: 	101 	99 	74 	64 	55 	58 	92 	102 	93 	86 	74 b	64 	56 	56 
T,Y_LT60,T2020_51,THS_PER,EL	685 	604 	610 	660 	662 	611 	539 	619 	978 	1158 	1466 	1357 	1309 	1330 	1198 
T,Y_LT60,T2020_51,THS_PER,ES	: 	2420 	2332 	2201 	2389 	2349 	2730 	3897 	4810 	5137 	5604 	6036 	5426 	5188 	4446 
T,Y_LT60,T2020_51,THS_PER,EU	: 	: 	: 	: 	: 	34697 e	34699 e	38978 e	39675 e	39863 e	41147 e	42134 e	39830 e	39135 e	34423 e
T,Y_LT60,T2020_51,THS_PER,EU27	: 	: 	39520 e	40051 e	37114 	34697 	34699 	38528 	39161 	39322 	40670 	41660 	39380 	38735 	34140 e
T,Y_LT60,T2020_51,THS_PER,EU28	: 	: 	: 	: 	: 	: 	: 	38978 	39675 	39863 	41147 	42134 	39830 	39135 	34423 e
T,Y_LT60,T2020_51,THS_PER,FI	: 	380 	401 	363 	350 	296 	329 	364 	389 	361 	351 	388 	416 	439 	412 
T,Y_LT60,T2020_51,THS_PER,FR	: 	4692 	3978 	4206 	4485 	4069 	3873 	4585 	4346 	3902 	3754 	4462 	3956 	3887 	3708 
T,Y_LT60,T2020_51,THS_PER,HR	: 	: 	: 	: 	: 	: 	: 	449 	515 	541 	478 	474 	450 	400 	: 
T,Y_LT60,T2020_51,THS_PER,HU	: 	: 	745 	1034 	893 	943 	870 	909 	964 	1006 	1011 	942 	687 	588 	468 
T,Y_LT60,T2020_51,THS_PER,IE	387 	436 	510 	459 	526 	509 	739 	846 	886 	877 	894 	783 	715 	684 	: 
T,Y_LT60,T2020_51,THS_PER,IS	: 	9 	8 	7 	6 	7 	5 	14 	15 	15 	15 	12 	13 	11 p	: 
T,Y_LT60,T2020_51,THS_PER,IT	: 	5303 	4776 	4952 	4461 	4562 	4046 	4623 	4624 	4659 	4981 	5326 	5158 	5584 	5091 
T,Y_LT60,T2020_51,THS_PER,LT	: 	: 	260 	223 	172 	152 	178 	229 	296 	259 	246 	195 	202 	220 	205 
T,Y_LT60,T2020_51,THS_PER,LU	22 	22 	21 	19 	19 	18 	24 	22 	24 	26 	27 	25 	23 	31 b	33 
T,Y_LT60,T2020_51,THS_PER,LV	: 	: 	143 	121 	104 	91 	122 	200 	195 	178 	149 	142 	114 	104 	110 
T,Y_LT60,T2020_51,THS_PER,MK	: 	: 	: 	: 	: 	: 	: 	418 	341 	338 	298 	290 	292 	273 	: 
T,Y_LT60,T2020_51,THS_PER,MT	: 	: 	31 	32 	31 	28 	29 	29 	28 	28 	28 	31 	29 	23 	22 
T,Y_LT60,T2020_51,THS_PER,NL	: 	: 	1289 	1419 	1246 	1053 	1083 	1068 	1128 	1133 	1183 	1295 	1298 	1210 b	1190 
T,Y_LT60,T2020_51,THS_PER,NO	: 	295 	306 	280 	314 	235 	257 	276 	266 	272 	247 	227 	298 	293 	366 
T,Y_LT60,T2020_51,THS_PER,PL	: 	: 	4446 	3862 	3104 	2444 	2102 	2211 	2073 	2063 	2124 	2160 	2002 	1844 	1606 
T,Y_LT60,T2020_51,THS_PER,PT	: 	565 	487 	541 	592 	517 	567 	700 	666 	791 	950 	934 	826 	687 	599 
T,Y_LT60,T2020_51,THS_PER,RO	: 	: 	: 	: 	1676 	1384 	1280 	1212 	1144 	1223 	1168 	1099 	1192 	1230 	1022 
T,Y_LT60,T2020_51,THS_PER,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	974 	1084 	1106 	1104 	: 
T,Y_LT60,T2020_51,THS_PER,SE	: 	598 	534 	475 	409 	471 b	579 	578 	647 	559 	653 	632 	616 	610 	644 
T,Y_LT60,T2020_51,THS_PER,SI	: 	: 	134 	109 	114 	105 	88 	111 	121 	118 	125 	136 	114 	114 	96 
T,Y_LT60,T2020_51,THS_PER,SK	: 	: 	296 	273 	281 	225 	243 	349 	331 	312 	328 	294 	295 	267 	219 
T,Y_LT60,T2020_51,THS_PER,TR	: 	: 	: 	9506 	7401 	7445 	7465 	7879 	7687 	7172 	6859 	7014 	7322 	: 	: 
T,Y_LT60,T2020_51,THS_PER,UK	: 	: 	5921 	5610 	4822 	4905 	5941 	6201 	5452 	6242 b	6334 	5937 	5777 	5536 	: 
