indic_il,sex,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
R_PN_WK,T,NO	0.49 	0.46 	0.49 	0.52 	0.52 	0.50 	0.52 	0.53 	0.56 	0.59 	0.61 	0.59 	0.59 
R_PN_WK,T,PL	0.58 	0.59 	0.58 	0.56 	0.56 	0.57 	0.55 	0.58 	0.60 	0.63 	0.62 	0.62 	0.62 
R_PN_WK,T,PT	0.60 	0.59 	0.47 	0.51 	0.50 	0.53 	0.56 	0.58 	0.59 	0.63 	0.62 	0.64 	0.67 
R_PN_WK,T,RO	: 	: 	0.44 	0.50 	0.56 	0.64 	0.67 	0.67 	0.68 	0.65 	0.63 	0.66 	0.61 
R_PN_WK,T,RS	: 	: 	: 	: 	: 	: 	: 	: 	0.49 	0.47 	0.47 	0.47 	: 
R_PN_WK,T,SE	0.60 	0.62 	0.63 	0.61 b	0.60 	0.59 	0.57 	0.55 	0.56 	0.59 	0.57 	0.57 	0.57 
R_PN_WK,T,SI	0.42 	0.41 	0.44 	0.44 	0.45 	0.45 	0.47 	0.47 	0.46 	0.45 	0.46 	0.47 	0.46 
R_PN_WK,T,SK	0.55 	0.57 	0.54 	0.54 	0.55 	0.61 	0.62 	0.56 	0.61 	0.62 	0.62 	0.62 	0.62 
R_PN_WK,T,TR	: 	0.97 	1.06 	1.10 	1.21 	1.22 	1.00 	1.01 	1.07 	1.00 	1.05 	: 	: 
R_PN_WK,T,UK	0.42 	0.45 	0.44 	0.43 	0.44 	0.48 	0.48 	0.50 b	0.53 	0.51 	0.50 	0.53 	: 
