sector,finpos,co_nco,na_item,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
S12,LIAB,NCO,F2,PC,FI	1358.8 	942.1 	709.1 	453.6 	345.7 	320.6 	350.9 	380.1 	342.9 	317.0 	265.5 	226.9 	251.8 	451.4 	372.0 	408.9 	621.1 	530.6 	364.5 	366.1 	308.4 	297.5 	271.5 
S12,LIAB,NCO,F2,PC,FR	360.1 	342.5 	315.8 	291.6 	252.7 	228.7 	246.1 	267.8 	249.5 	246.9 	241.6 	232.1 	293.1 	413.0 	333.6 	344.1 	449.8 	402.8 	369.4 	388.3 	358.1 	343.2 	334.9 
S12,LIAB,NCO,F2,PC,HR	: 	: 	: 	: 	: 	: 	644.7 	539.0 	654.4 	567.6 	648.7 	370.3 	237.6 	481.3 	483.2 	459.0 	491.0 	455.1 	486.8 	465.4 	427.9 	379.2 	393.6 
S12,LIAB,NCO,F2,PC,HU	1573.5 	1169.8 	825.1 	744.1 	382.4 	232.2 	135.5 	148.9 	172.7 	188.0 	141.3 	141.0 	117.1 	135.9 	136.5 	120.7 	129.9 	119.9 	123.8 	123.9 	108.3 	75.0 	87.4 
S12,LIAB,NCO,F2,PC,IE	: 	: 	: 	: 	: 	: 	131.4 	140.5 	158.5 	177.4 	186.9 	178.8 	190.1 	276.6 	231.8 	182.9 	150.0 	121.0 	101.6 	86.3 	81.4 	71.8 	58.8 
S12,LIAB,NCO,F2,PC,IT	454.1 	428.0 	282.9 	177.9 	158.7 	159.2 	210.3 	272.1 	255.9 	263.7 	252.1 	253.4 	354.1 	758.8 	689.8 	899.1 	1215.8 	1231.3 	933.6 	775.8 	656.1 	739.7 	648.3 
S12,LIAB,NCO,F2,PC,LT	471.2 	385.1 	514.4 	516.4 	489.3 	513.4 	619.1 	612.3 	840.9 	749.5 	653.0 	724.2 	769.9 	1008.8 	787.6 	608.2 	618.5 	617.8 	578.0 	443.1 	468.6 	548.0 	569.0 
S12,LIAB,NCO,F2,PC,LU	: 	: 	: 	: 	74.1 	70.6 	74.6 	69.4 	65.8 	62.8 	64.8 	64.8 	62.5 	73.9 	58.1 	49.3 	56.5 	61.0 	56.8 	59.8 	55.7 	55.4 	51.4 
S12,LIAB,NCO,F2,PC,LV	664.6 	527.8 	620.0 	681.2 	766.3 	739.0 	819.0 	808.7 	871.0 	944.6 	1023.3 	1083.8 	1007.6 	985.8 	831.3 	795.3 	690.8 	684.2 	609.8 	642.6 	625.4 	643.0 	620.9 
S12,LIAB,NCO,F2,PC,MT	456.9 e	476.7 e	501.9 e	528.0 e	519.8 e	481.8 e	448.7 e	500.5 e	455.2 e	227.2 	83.3 	61.5 	48.7 	50.1 	50.1 	45.9 	40.9 	39.0 	38.3 	41.6 	36.8 	34.5 	35.9 
S12,LIAB,NCO,F2,PC,NL	241.1 	231.3 	218.0 	207.4 	197.8 	196.0 	219.2 	244.4 	258.1 	258.0 	250.7 	222.9 	222.1 	226.5 	177.4 	170.3 	161.6 	145.3 	126.6 	130.3 	127.4 	122.0 	116.3 p
S12,LIAB,NCO,F2,PC,PL	1269.3 	1255.2 	1668.9 	858.3 	526.6 	620.3 	535.6 	427.0 	405.8 	309.5 	267.0 	216.6 	211.8 	407.9 	339.9 	298.8 	363.9 	307.1 	273.5 	284.6 	301.2 	324.3 	284.5 
S12,LIAB,NCO,F2,PC,PT	467.9 	412.9 	349.4 	308.2 	312.1 	325.4 	318.7 	336.2 	282.5 	243.6 	227.4 	201.9 	216.5 	266.0 	267.1 	296.8 	408.7 	388.1 	364.3 	359.1 	377.0 	398.9 	381.9 
S12,LIAB,NCO,F2,PC,RO	414.4 e	459.8 e	362.6 e	613.6 	595.3 	869.5 	672.9 	691.8 	612.8 	591.3 	479.6 	503.8 	510.7 	674.2 	560.8 	530.6 	526.1 	433.2 	432.0 	402.6 	391.3 	403.2 	414.1 
S12,LIAB,NCO,F2,PC,SE	446.4 	343.6 	297.5 	265.8 	204.5 	201.1 	201.2 	249.6 	213.4 	211.0 	198.3 	197.3 	219.0 	372.5 	278.0 	237.1 	266.7 	237.6 	207.0 	193.5 	186.8 	185.6 	186.1 
S12,LIAB,NCO,F2,PC,SI	420.5 	419.1 	439.8 	437.2 	407.3 	414.2 	524.3 	537.6 	517.6 	494.3 	564.4 	492.5 	447.4 	680.5 	666.2 	654.6 	737.8 	740.1 	594.0 	449.2 	409.7 	399.3 	393.0 
S12,LIAB,NCO,F2,PC,SK	2358.7 e	2524.0 e	2156.1 e	1985.1 e	2127.6 e	2090.8 e	2208.8 e	1979.1 e	1525.8 e	1304.3 e	1522.1 e	1211.0 e	998.4 e	1148.8 e	1141.3 e	986.2 e	970.3 e	841.5 e	745.5 e	774.2 e	530.6 e	571.6 e	657.8 e
S12,LIAB,NCO,F2,PC,UK	598.2 	574.4 	483.7 	454.2 	368.6 	404.5 	468.6 	592.8 	584.8 	744.9 	755.2 	722.6 	885.6 	1778.7 	1010.3 	963.9 	1144.1 	951.5 	781.7 	746.6 	637.5 	682.9 	606.6 
