unit,airsect,airpol,geo\time	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
PC,SE1_RD_NRD,NMVOC,EU28	198.7 	187.5 	184.3 	174.6 	162.0 	152.5 	146.6 	136.2 	127.3 	117.1 	100.0 	91.9 	83.1 	75.7 	67.7 	62.2 	55.6 	49.1 	43.6 	38.8 	34.5 	31.1 	28.3 	26.3 	24.9 	23.5 	22.4 
PC,SE1_RD_NRD,NMVOC,FI	151.2 	145.0 	141.5 	135.3 	130.5 	127.0 	123.5 	120.3 	114.9 	109.0 	100.0 	95.5 	89.8 	79.7 	71.9 	65.2 	59.2 	53.3 	42.4 	37.9 	34.8 	30.7 	27.9 	26.0 	24.9 	23.1 	20.8 
PC,SE1_RD_NRD,NMVOC,FR	199.6 	195.6 	193.1 	182.6 	166.3 	152.5 	139.4 	131.0 	122.0 	114.7 	100.0 	92.1 	82.7 	73.2 	65.1 	56.1 	47.4 	40.3 	33.4 	28.6 	25.1 	21.8 	19.5 	17.6 	16.1 	15.0 	14.0 
PC,SE1_RD_NRD,NMVOC,HR	121.9 	95.6 	89.5 	80.0 	86.7 	90.8 	98.8 	104.0 	104.2 	104.5 	100.0 	88.2 	82.1 	78.8 	71.8 	66.1 	59.0 	54.3 	49.5 	45.1 	39.2 	35.5 	27.6 	26.0 	23.5 	23.9 	23.1 
PC,SE1_RD_NRD,NMVOC,HU	193.5 	159.0 	149.2 	137.9 	129.3 	126.4 	117.6 	111.0 	107.8 	103.8 	100.0 	97.3 	92.4 	86.5 	73.6 	62.2 	52.0 	47.3 	43.7 	39.3 	34.1 	29.9 	28.5 	25.3 	23.8 	19.8 	18.4 
PC,SE1_RD_NRD,NMVOC,IE	142.5 	142.0 	144.3 	137.7 	135.3 	135.9 	136.1 	127.3 	124.8 	113.7 	100.0 	94.9 	84.8 	77.4 	72.4 	68.1 	62.2 	56.8 	52.2 	45.3 	39.4 	35.7 	31.9 	29.6 	27.4 	25.3 	23.2 
PC,SE1_RD_NRD,NMVOC,IT	131.9 	138.5 	147.9 	151.0 	146.9 	145.9 	142.9 	136.8 	128.3 	119.4 	100.0 	92.5 	85.1 	78.9 	69.3 	64.4 	55.7 	46.1 	42.3 	38.0 	34.0 	31.5 	27.0 	25.3 	24.4 	23.7 	22.3 
PC,SE1_RD_NRD,NMVOC,LT	239.7 	313.3 	189.7 	150.6 	120.8 	168.0 	176.3 	192.4 	176.1 	151.3 	100.0 	98.3 	95.6 	96.2 	100.2 	106.0 	94.4 	83.7 	79.6 	75.0 	72.7 	53.8 	61.8 	41.2 	41.1 	32.7 	37.6 
PC,SE1_RD_NRD,NMVOC,LU	308.1 	329.9 	297.8 	248.1 	211.1 	168.9 	148.1 	133.3 	116.7 	106.2 	100.0 	90.5 	81.8 	78.4 	76.3 	68.2 	57.4 	50.5 	44.7 	38.2 	34.4 	33.1 	29.2 	25.6 	23.8 	21.4 	19.7 
PC,SE1_RD_NRD,NMVOC,LV	187.1 	175.1 	165.3 	161.2 	152.4 	137.1 	134.6 	118.6 	108.1 	101.0 	100.0 	107.0 	98.0 	91.9 	82.8 	69.7 	63.8 	53.9 	41.3 	36.0 	33.1 	30.5 	32.6 	28.5 	26.4 	24.3 	19.9 
PC,SE1_RD_NRD,NMVOC,MT	2.1 	2.3 	2.9 	2.9 	3.1 	3.5 	4.0 	4.1 	4.4 	4.8 	100.0 	94.6 	87.5 	78.9 	68.9 	136.7 	132.0 	129.6 	142.8 	120.1 	115.7 	107.1 	100.5 	96.4 	89.8 	90.0 	102.5 
PC,SE1_RD_NRD,NMVOC,NL	272.0 	234.8 	217.3 	204.2 	184.9 	174.5 	165.0 	147.8 	134.3 	120.1 	100.0 	90.5 	82.0 	74.0 	65.3 	60.6 	58.0 	56.7 	55.1 	51.6 	48.8 	47.3 	43.7 	41.3 	37.6 	37.4 	36.5 
PC,SE1_RD_NRD,NMVOC,PL	90.6 	102.1 	103.0 	104.2 	106.3 	108.0 	113.7 	113.7 	109.0 	111.7 	100.0 	83.2 	76.4 	73.8 	71.7 	71.0 	73.4 	71.3 	67.9 	68.0 	61.1 	54.9 	55.4 	51.4 	45.0 	41.7 	45.0 
PC,SE1_RD_NRD,NMVOC,PT	133.5 	140.4 	149.8 	144.0 	137.2 	132.0 	126.4 	118.4 	115.1 	108.7 	100.0 	87.0 	83.7 	75.1 	68.4 	62.0 	56.2 	51.3 	44.7 	42.7 	40.2 	35.4 	31.8 	29.9 	28.6 	27.7 	26.3 
PC,SE1_RD_NRD,NMVOC,RO	462.5 	399.5 	309.8 	282.5 	308.9 	280.3 	344.4 	366.4 	359.9 	315.3 	100.0 	117.9 	118.4 	121.8 	131.7 	272.9 	246.2 	224.4 	204.0 	189.0 	157.1 	151.6 	152.3 	134.9 	129.8 	122.3 	127.5 
PC,SE1_RD_NRD,NMVOC,SE	208.3 	201.9 	187.6 	163.3 	169.0 	154.4 	149.1 	132.6 	124.9 	113.7 	100.0 	91.4 	82.3 	74.6 	67.3 	62.8 	57.3 	52.4 	47.3 	42.8 	38.6 	32.8 	24.5 	22.1 	20.4 	18.7 	17.2 
PC,SE1_RD_NRD,NMVOC,SI	149.9 	142.9 	153.6 	172.4 	176.1 	175.2 	180.8 	162.9 	129.8 	110.6 	100.0 	90.9 	78.0 	71.6 	57.5 	51.3 	44.9 	39.7 	37.5 	31.6 	28.0 	26.2 	23.5 	20.4 	17.8 	17.1 	16.8 
PC,SE1_RD_NRD,NMVOC,SK	177.4 	164.6 	158.2 	167.6 	173.1 	168.8 	156.9 	148.7 	146.1 	128.7 	100.0 	111.8 	102.5 	103.4 	94.7 	99.0 	81.3 	76.3 	71.8 	67.3 	57.9 	40.3 	39.1 	35.3 	32.2 	29.1 	27.4 
PC,SE1_RD_NRD,NMVOC,UK	225.6 	225.0 	220.0 	209.6 	188.9 	171.4 	167.7 	148.6 	131.8 	117.4 	100.0 	89.5 	77.1 	65.1 	55.8 	48.3 	41.4 	35.5 	31.7 	22.2 	19.3 	16.5 	14.6 	13.0 	11.9 	11.2 	10.7 
PC,SE1_RD_NRD,NOX,AT	92.5 	97.6 	93.6 	91.2 	88.0 	87.1 	100.5 	89.8 	100.9 	95.0 	100.0 	105.7 	111.4 	116.5 	115.5 	114.9 	104.4 	97.9 	86.8 	79.8 	78.2 	72.2 	69.0 	69.8 	65.4 	62.4 	59.3 
PC,SE1_RD_NRD,NOX,BE	128.2 	121.2 	117.9 	115.8 	113.0 	109.1 	106.1 	103.7 	102.9 	100.8 	100.0 	100.0 	98.7 	98.4 	101.1 	97.0 	96.2 	94.5 	88.8 	82.8 	82.2 	77.1 	71.6 	69.1 	66.9 	65.8 	62.8 
PC,SE1_RD_NRD,NOX,BG	135.2 	118.7 	120.1 	129.4 	120.0 	124.4 	114.5 	80.0 	103.9 	96.5 	100.0 	105.3 	109.4 	123.0 	119.6 	124.0 	122.3 	102.3 	114.0 	120.1 	98.0 	92.4 	95.4 	87.8 	92.7 	99.6 	95.6 
PC,SE1_RD_NRD,NOX,CY	76.6 	77.5 	86.8 	86.6 	93.3 	88.0 	89.4 	90.5 	91.4 	91.9 	100.0 	94.5 	93.5 	95.1 	90.2 	87.8 	83.6 	83.1 	82.4 	76.5 	75.6 	72.0 	65.1 	58.5 	57.3 	58.1 	60.9 
PC,SE1_RD_NRD,NOX,CZ	237.0 	211.5 	209.0 	187.4 	187.2 	156.7 	139.7 	124.0 	131.1 	115.6 	100.0 	102.3 	97.9 	101.4 	96.3 	94.0 	87.9 	82.5 	74.3 	64.4 	53.3 	48.5 	43.7 	40.9 	40.5 	40.4 	39.8 
PC,SE1_RD_NRD,NOX,DE	131.1 	123.9 	124.1 	121.7 	111.5 	110.9 	106.0 	103.0 	103.0 	103.5 	100.0 	93.8 	88.6 	82.0 	78.2 	72.4 	70.6 	65.2 	58.2 	53.7 	52.3 	50.9 	49.7 	49.4 	47.9 	45.5 	43.9 
PC,SE1_RD_NRD,NOX,DK	125.9 	130.3 	128.7 	125.0 	124.0 	120.2 	117.0 	111.4 	106.2 	101.5 	100.0 	97.5 	96.2 	95.2 	90.7 	89.5 	86.9 	83.9 	78.9 	71.0 	67.7 	64.8 	60.2 	58.1 	53.8 	52.8 	51.7 
PC,SE1_RD_NRD,NOX,EE	157.5 	144.3 	73.8 	80.8 	100.9 	99.0 	103.5 	107.8 	113.9 	101.9 	100.0 	107.3 	107.8 	96.1 	91.0 	91.1 	91.3 	88.4 	77.8 	68.6 	73.1 	67.7 	64.6 	59.9 	56.0 	55.7 	53.0 
PC,SE1_RD_NRD,NOX,EL	104.1 	100.4 	101.4 	101.2 	103.3 	98.3 	96.0 	101.3 	114.7 	115.3 	100.0 	108.2 	104.6 	104.4 	107.9 	103.1 	106.6 	103.7 	98.3 	107.7 	77.9 	65.9 	57.7 	59.8 	59.2 	58.8 	59.7 
PC,SE1_RD_NRD,NOX,ES	114.9 	121.5 	129.1 	125.2 	122.3 	115.5 	112.0 	103.2 	103.3 	100.6 	100.0 	98.9 	97.6 	99.3 	101.4 	99.3 	98.3 	96.2 	84.2 	77.2 	73.2 	67.0 	61.9 	55.3 	56.0 	54.7 	54.6 
PC,SE1_RD_NRD,NOX,EU28	130.5 	129.1 	130.1 	126.0 	121.2 	116.9 	114.7 	110.6 	108.7 	105.4 	100.0 	97.1 	93.7 	91.1 	89.6 	87.0 	84.4 	81.4 	75.5 	70.1 	67.1 	63.9 	60.5 	57.9 	56.9 	55.3 	54.3 
PC,SE1_RD_NRD,NOX,FI	138.9 	130.4 	126.2 	123.9 	121.2 	117.1 	113.8 	114.3 	108.3 	105.0 	100.0 	95.0 	92.3 	89.1 	85.0 	81.6 	77.8 	73.3 	67.0 	59.9 	58.4 	55.3 	51.9 	49.0 	45.5 	41.9 	39.7 
PC,SE1_RD_NRD,NOX,FR	129.6 	130.5 	131.9 	127.4 	123.6 	117.5 	112.8 	109.4 	106.5 	103.7 	100.0 	97.1 	93.2 	88.8 	86.0 	81.2 	77.7 	74.6 	68.5 	64.4 	64.0 	62.4 	60.0 	58.6 	57.1 	55.8 	53.7 
PC,SE1_RD_NRD,NOX,HR	116.4 	85.9 	82.6 	86.0 	88.2 	90.3 	99.5 	103.6 	103.3 	106.4 	100.0 	98.0 	103.9 	104.2 	102.3 	98.1 	98.6 	98.3 	91.4 	88.8 	84.1 	79.5 	72.5 	77.1 	72.0 	73.2 	71.2 
PC,SE1_RD_NRD,NOX,HU	99.6 	87.9 	84.5 	84.6 	81.9 	83.2 	82.6 	87.8 	97.6 	103.7 	100.0 	99.8 	100.4 	101.1 	100.3 	103.4 	101.5 	97.3 	95.2 	90.0 	79.6 	72.4 	67.7 	63.9 	68.3 	67.7 	61.8 
PC,SE1_RD_NRD,NOX,IE	88.8 	90.7 	95.4 	92.6 	91.9 	91.9 	96.6 	91.1 	99.1 	100.4 	100.0 	99.4 	92.9 	92.5 	96.3 	95.9 	96.8 	94.8 	86.3 	76.2 	69.1 	65.9 	64.0 	65.8 	69.1 	70.3 	71.9 
PC,SE1_RD_NRD,NOX,IT	119.8 	125.6 	133.1 	132.0 	126.9 	125.7 	122.9 	120.0 	113.2 	107.7 	100.0 	98.3 	93.7 	90.4 	87.5 	83.2 	78.2 	74.3 	69.4 	65.3 	64.3 	62.6 	57.9 	54.4 	55.4 	53.6 	51.7 
PC,SE1_RD_NRD,NOX,LT	191.5 	179.2 	153.3 	108.6 	92.6 	109.8 	117.1 	124.1 	123.5 	108.3 	100.0 	103.5 	101.7 	102.6 	105.0 	108.0 	114.7 	110.1 	113.3 	98.4 	100.9 	92.8 	99.0 	98.0 	98.6 	96.2 	95.8 
PC,SE1_RD_NRD,NOX,LU	80.9 	97.0 	97.4 	90.5 	82.0 	72.1 	72.3 	77.2 	79.1 	84.5 	100.0 	102.9 	104.6 	114.7 	138.1 	140.8 	121.9 	104.0 	92.7 	77.3 	76.5 	75.1 	67.9 	63.3 	55.3 	45.9 	39.2 
PC,SE1_RD_NRD,NOX,LV	151.2 	143.9 	126.8 	113.2 	109.1 	104.1 	101.5 	94.4 	88.2 	89.6 	100.0 	113.2 	109.3 	113.5 	110.6 	106.2 	103.5 	104.6 	94.1 	83.7 	89.1 	77.4 	73.6 	72.5 	71.3 	70.0 	66.2 
PC,SE1_RD_NRD,NOX,MT	76.7 	78.5 	92.7 	92.8 	95.8 	96.5 	108.7 	105.1 	103.5 	110.7 	100.0 	111.3 	111.8 	110.0 	100.3 	87.4 	87.6 	97.1 	104.3 	91.5 	112.3 	105.9 	97.3 	102.7 	87.0 	88.4 	89.1 
PC,SE1_RD_NRD,NOX,NL	142.9 	139.8 	137.7 	132.6 	121.5 	117.2 	114.6 	110.5 	105.1 	103.0 	100.0 	96.3 	92.5 	90.6 	88.7 	86.7 	86.3 	84.1 	81.5 	73.2 	72.0 	70.3 	65.5 	62.0 	56.1 	54.5 	50.9 
PC,SE1_RD_NRD,NOX,PL	100.2 	104.2 	103.6 	99.3 	100.4 	100.6 	109.0 	110.3 	109.9 	114.2 	100.0 	88.6 	81.6 	86.1 	95.0 	106.5 	115.5 	123.7 	119.6 	121.2 	117.2 	117.1 	109.2 	97.3 	93.6 	91.5 	105.2 
PC,SE1_RD_NRD,NOX,PT	83.1 	87.0 	91.0 	88.4 	88.7 	87.3 	86.7 	87.2 	93.3 	94.0 	100.0 	97.5 	94.5 	90.7 	89.2 	85.6 	85.2 	81.6 	76.0 	76.6 	76.5 	69.6 	63.3 	60.6 	59.5 	59.1 	57.7 
PC,SE1_RD_NRD,NOX,RO	194.4 	174.1 	178.3 	137.4 	142.8 	131.6 	184.4 	198.7 	179.1 	150.5 	100.0 	105.8 	114.8 	122.5 	130.9 	146.7 	144.4 	148.2 	151.4 	143.5 	134.9 	138.3 	140.4 	135.9 	133.4 	131.9 	137.3 
PC,SE1_RD_NRD,NOX,SE	128.5 	129.2 	124.2 	114.9 	117.0 	114.5 	109.3 	106.6 	102.0 	101.7 	100.0 	92.5 	86.9 	84.6 	81.7 	79.8 	76.3 	73.0 	67.8 	62.1 	60.4 	56.8 	52.2 	50.9 	50.6 	47.9 	44.6 
PC,SE1_RD_NRD,NOX,SI	126.3 	119.2 	123.5 	137.7 	144.2 	147.8 	158.3 	149.8 	119.4 	103.6 	100.0 	97.9 	91.1 	90.1 	90.9 	94.2 	94.9 	103.7 	117.7 	93.8 	90.7 	93.3 	93.4 	86.7 	80.8 	75.1 	80.1 
PC,SE1_RD_NRD,NOX,SK	172.5 	145.5 	131.9 	126.9 	130.0 	133.6 	128.9 	124.7 	124.4 	114.5 	100.0 	109.3 	112.9 	111.4 	119.8 	133.8 	119.9 	131.7 	137.7 	120.4 	116.4 	94.4 	92.0 	88.1 	88.2 	74.3 	63.5 
PC,SE1_RD_NRD,NOX,UK	158.5 	155.9 	155.0 	149.2 	142.3 	133.4 	130.5 	122.7 	115.7 	109.1 	100.0 	94.4 	90.5 	85.0 	81.4 	78.8 	74.9 	72.4 	67.2 	57.7 	55.4 	52.6 	50.3 	48.2 	47.8 	46.7 	45.9 
PC,SE1_RD_NRD,PM10,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.0 	101.4 	104.1 	104.9 	103.3 	101.1 	95.9 	90.5 	81.4 	73.9 	71.3 	67.0 	62.6 	59.7 	55.9 	53.9 	52.4 
PC,SE1_RD_NRD,PM10,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.0 	97.4 	91.6 	89.8 	91.7 	83.8 	83.2 	81.9 	76.7 	71.9 	69.5 	63.3 	58.2 	54.0 	51.7 	51.2 	49.6 
PC,SE1_RD_NRD,PM10,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.0 	107.8 	109.5 	133.4 	144.6 	151.6 	153.5 	135.0 	151.3 	155.8 	142.1 	138.3 	144.3 	127.6 	137.4 	147.7 	142.0 
PC,SE1_RD_NRD,PM10,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.0 	94.9 	92.1 	92.6 	87.6 	86.0 	81.6 	79.3 	77.2 	71.6 	70.4 	65.2 	55.8 	49.9 	48.5 	49.1 	51.1 
PC,SE1_RD_NRD,PM10,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.0 	106.8 	105.9 	113.2 	111.0 	113.3 	107.9 	103.5 	94.4 	82.8 	70.6 	65.5 	60.8 	57.8 	58.2 	58.8 	60.6 
PC,SE1_RD_NRD,PM10,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.0 	96.6 	93.0 	88.9 	87.5 	83.1 	79.1 	76.1 	71.1 	65.0 	62.5 	61.1 	59.2 	57.5 	57.2 	55.1 	54.5 
PC,SE1_RD_NRD,PM10,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.0 	96.2 	93.6 	94.8 	92.9 	92.0 	92.2 	89.9 	83.8 	76.3 	73.6 	70.1 	66.1 	63.2 	59.9 	57.1 	55.7 
PC,SE1_RD_NRD,PM10,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.0 	87.6 	99.3 	91.9 	99.8 	98.0 	98.0 	99.4 	89.1 	76.0 	79.3 	75.3 	74.2 	70.0 	68.5 	70.4 	70.1 
PC,SE1_RD_NRD,PM10,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.0 	110.0 	106.9 	109.5 	114.8 	109.5 	114.0 	112.7 	108.0 	129.3 	103.9 	78.5 	71.3 	71.5 	71.1 	71.4 	65.2 
PC,SE1_RD_NRD,PM10,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.0 	99.1 	96.4 	99.3 	96.3 	95.2 	96.0 	94.9 	85.0 	79.1 	74.9 	67.8 	60.9 	55.9 	54.1 	52.6 	52.8 
PC,SE1_RD_NRD,PM10,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.0 	98.7 	96.2 	95.0 	94.0 	91.6 	89.2 	86.4 	81.3 	77.4 	74.6 	70.7 	66.4 	63.2 	61.3 	59.8 	59.3 
PC,SE1_RD_NRD,PM10,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.0 	98.3 	97.2 	95.5 	93.8 	92.7 	91.5 	90.2 	86.2 	84.3 	83.9 	82.9 	81.2 	74.9 	73.2 	72.4 	72.2 
PC,SE1_RD_NRD,PM10,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.0 	98.2 	94.7 	92.1 	88.8 	80.4 	77.2 	74.8 	71.0 	68.5 	69.7 	64.9 	62.5 	58.6 	54.5 	52.8 	50.6 
PC,SE1_RD_NRD,PM10,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.0 	102.8 	107.6 	116.9 	120.4 	125.2 	132.3 	128.7 	121.3 	115.9 	105.6 	95.8 	88.3 	85.9 	83.5 	89.0 	86.4 
PC,SE1_RD_NRD,PM10,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.0 	106.1 	109.0 	112.8 	113.8 	120.3 	111.2 	109.1 	107.8 	102.4 	91.9 	80.8 	75.0 	67.5 	72.9 	76.8 	73.5 
PC,SE1_RD_NRD,PM10,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.0 	98.1 	93.3 	91.6 	94.6 	93.3 	93.0 	93.8 	85.8 	77.0 	70.6 	66.8 	62.9 	63.1 	62.1 	61.9 	61.3 
PC,SE1_RD_NRD,PM10,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.0 	98.0 	96.6 	93.6 	92.4 	90.6 	84.1 	80.8 	75.6 	70.5 	68.8 	65.7 	58.3 	53.9 	54.6 	51.9 	50.3 
PC,SE1_RD_NRD,PM10,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.0 	110.8 	112.1 	109.1 	121.3 	124.2 	137.4 	152.4 	148.8 	126.7 	125.5 	140.4 	140.0 	138.4 	152.6 	117.2 	146.7 
PC,SE1_RD_NRD,PM10,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.0 	100.6 	100.2 	106.7 	120.2 	119.7 	106.6 	97.3 	91.0 	79.3 	78.2 	78.1 	70.7 	65.7 	59.4 	52.7 	49.2 
PC,SE1_RD_NRD,PM10,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.0 	133.1 	134.4 	143.2 	147.4 	143.6 	140.8 	142.6 	127.3 	114.4 	122.8 	103.6 	101.7 	97.1 	97.7 	98.3 	97.2 
PC,SE1_RD_NRD,PM10,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.0 	167.8 	162.9 	159.4 	161.8 	43.2 	43.0 	48.4 	50.5 	42.7 	49.0 	43.6 	42.3 	43.2 	41.3 	41.8 	40.4 
PC,SE1_RD_NRD,PM10,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.0 	94.8 	89.1 	85.3 	81.8 	78.3 	75.5 	72.2 	67.7 	61.1 	58.0 	54.5 	49.6 	46.5 	41.9 	40.5 	39.6 
PC,SE1_RD_NRD,PM10,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.0 	96.4 	89.0 	98.8 	111.6 	117.9 	135.3 	147.0 	143.7 	147.3 	140.1 	137.7 	130.2 	115.3 	110.2 	108.9 	125.2 
PC,SE1_RD_NRD,PM10,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.0 	98.9 	96.8 	93.8 	91.7 	88.6 	88.3 	85.8 	78.2 	78.2 	78.9 	72.0 	66.4 	63.2 	63.0 	63.0 	62.8 
PC,SE1_RD_NRD,PM10,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.0 	107.9 	119.5 	129.6 	131.8 	281.8 	291.0 	276.9 	302.4 	290.9 	274.5 	280.2 	300.9 	281.4 	271.6 	277.5 	293.8 
PC,SE1_RD_NRD,PM10,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.0 	100.7 	100.6 	102.6 	103.6 	102.6 	102.8 	103.9 	100.3 	98.3 	95.2 	107.0 	93.4 	106.1 	97.2 	97.8 	99.6 
PC,SE1_RD_NRD,PM10,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.0 	103.2 	105.0 	108.6 	118.4 	124.7 	126.8 	141.5 	164.6 	136.8 	133.5 	139.0 	139.1 	128.4 	119.7 	111.6 	118.7 
PC,SE1_RD_NRD,PM10,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.0 	112.3 	121.4 	116.7 	127.4 	149.5 	131.9 	148.6 	148.8 	135.3 	147.1 	117.7 	126.5 	121.6 	122.6 	112.1 	95.5 
PC,SE1_RD_NRD,PM10,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.0 	97.0 	95.1 	91.9 	89.7 	88.7 	85.0 	76.8 	70.6 	66.8 	64.3 	59.5 	57.3 	54.1 	52.5 	51.2 	50.4 
