unit,sex,age,isced11,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,T,Y15-74,ED3_4,DK	4.5 b	3.1 	3.0 b	2.8 	5.5 	6.8 	6.7 	6.8 	6.2 	5.9 b	5.3 	5.2 b	4.6 b
PC,T,Y15-74,ED3_4,EA18	8.9 b	8.1 	7.1 	6.8 	8.6 	8.9 	8.8 	9.7 	10.3 	10.1 b	9.6 	8.9 	8.1 
PC,T,Y15-74,ED3_4,EA19	8.9 b	8.1 	7.0 	6.8 	8.6 	9.0 	8.9 	9.8 	10.4 	10.1 b	9.6 	8.9 	8.1 
PC,T,Y15-74,ED3_4,EE	9.3 b	6.3 	4.8 	5.7 	15.7 	19.1 	12.7 	10.5 	9.6 	8.1 b	6.8 	7.8 	6.7 
PC,T,Y15-74,ED3_4,EL	12.0 b	10.8 	9.9 	8.9 	11.1 b	14.6 	20.3 	27.7 	31.2 	30.2 b	27.6 	26.2 	23.9 
PC,T,Y15-74,ED3_4,ES	8.7 b	8.0 	8.1 	10.5 	16.8 	19.0 	21.2 	24.1 	25.9 	24.2 b	21.6 	19.2 	17.0 
PC,T,Y15-74,ED3_4,EU27	9.2 b	8.2 	6.9 	6.5 	8.3 	8.9 	8.9 	9.5 	9.9 	9.3 b	8.6 	7.8 	6.9 
PC,T,Y15-74,ED3_4,EU28	9.3 b	8.2 	7.0 	6.5 	8.3 	9.0 	8.9 	9.6 	10.0 	9.4 b	8.7 	7.8 	6.9 
PC,T,Y15-74,ED3_4,FI	8.8 b	8.1 	7.0 	6.4 b	9.1 	8.9 	8.2 	8.2 	8.8 	9.4 b	10.2 	9.5 	9.4 
PC,T,Y15-74,ED3_4,FR	7.7 b	7.7 	6.9 	6.6 	8.4 	8.4 	8.5 	9.4 	10.1 b	10.6 b	10.8 	10.7 	10.1 
PC,T,Y15-74,ED3_4,HR	14.9 b	12.3 b	10.1 	9.2 	10.0 	12.4 b	14.2 	17.3 	18.7 	18.7 b	18.1 	14.6 	11.7 
PC,T,Y15-74,ED3_4,HU	6.9 b	6.9 	6.7 	7.1 	9.4 	10.6 	10.7 	10.8 	10.0 	7.4 b	6.4 	4.8 	3.7 
PC,T,Y15-74,ED3_4,IE	3.9 b	4.2 	4.8 b	6.9 	14.4 	16.9 	18.2 	18.6 	16.9 	14.4 b	12.1 	9.8 	8.4 b
PC,T,Y15-74,ED3_4,IS	1.6 b	2.3 	1.6 	1.8 	6.4 	7.5 	6.0 	4.8 	4.4 	4.3 b	3.4 	3.1 	2.4 
PC,T,Y15-74,ED3_4,IT	6.9 b	6.2 	5.6 	6.1 	7.3 	7.9 	7.8 	10.0 	11.4 	11.9 b	11.4 	11.1 	10.5 
PC,T,Y15-74,ED3_4,LT	9.5 b	6.6 	5.0 	6.7 	16.4 	21.8 	19.0 	16.4 	14.4 	13.5 b	11.7 	10.4 	9.4 
PC,T,Y15-74,ED3_4,LU	3.8 b	4.4 	3.4 b	5.9 	4.3 b	4.0 	4.4 	5.2 	5.9 	6.3 b	6.3 b	6.7 	5.3 
PC,T,Y15-74,ED3_4,LV	10.4 b	6.2 	5.8 	7.8 	18.9 	21.1 	18.2 	17.6 	13.1 	11.7 b	10.8 	11.3 	10.2 
PC,T,Y15-74,ED3_4,ME	: 	: 	: 	: 	: 	: 	20.5 	21.4 	20.6 	19.8 b	19.3 	19.5 	17.5 
PC,T,Y15-74,ED3_4,MK	: 	36.9 	35.1 	33.1 	32.3 	32.1 	31.6 	31.4 	28.7 	28.3 b	26.6 	23.7 	22.6 
PC,T,Y15-74,ED3_4,MT	4.4 b	4.2 	5.1 	4.2 	5.6 	5.5 	5.2 b	4.0 	4.0 	3.6 b	3.7 	3.7 	3.3 
PC,T,Y15-74,ED3_4,NL	4.3 b	3.6 	2.9 	2.4 	3.1 	3.9 b	4.6 b	5.5 	7.3 b	7.5 b	7.0 	6.1 	4.8 
PC,T,Y15-74,ED3_4,NO	4.2 b	2.8 b	1.7 	1.8 	2.4 	2.9 	2.6 	2.7 	2.7 	3.1 b	3.9 	4.1 	3.7 
PC,T,Y15-74,ED3_4,PL	19.1 b	14.9 	10.3 	7.5 	8.7 	10.5 b	10.4 	11.0 	11.4 	10.1 b	8.4 	6.9 	5.6 
PC,T,Y15-74,ED3_4,PT	8.0 b	8.4 	8.1 	7.8 	9.6 	11.4 	13.4 b	17.7 	17.4 	15.3 b	13.9 	12.3 	9.9 
PC,T,Y15-74,ED3_4,RO	8.0 b	7.9 	6.9 	6.0 	7.2 	8.0 b	7.9 	7.3 	7.8 	7.2 b	7.2 	6.2 	5.1 
PC,T,Y15-74,ED3_4,SE	7.1 b	6.4 b	5.4 	5.4 	8.0 	8.1 	7.0 	7.1 	7.1 	7.0 b	6.2 	5.7 	5.1 
PC,T,Y15-74,ED3_4,SI	6.9 b	6.5 	5.0 	4.4 	6.3 	7.5 	8.7 	9.1 	10.7 	10.4 b	9.9 	8.1 	6.7 
PC,T,Y15-74,ED3_4,SK	14.4 b	11.8 	9.4 	8.1 	11.5 	14.1 	13.4 b	13.5 	13.9 	12.6 b	10.9 	9.2 	7.5 
PC,T,Y15-74,ED3_4,TR	: 	11.1 	11.1 	11.4 	15.2 	13.1 	10.7 	9.6 	10.2 	11.3 b	11.3 	12.5 	12.5 
PC,T,Y15-74,ED3_4,UK	4.4 b	5.2 	5.1 b	5.5 b	7.8 	8.2 b	8.6 b	8.6 	8.3 	6.9 b	6.0 	5.4 	4.8 
PC,T,Y15-74,ED5-8,AT	3.0 b	2.9 b	2.7 b	1.9 	2.6 	2.5 	2.6 	2.4 	3.5 	4.0 b	3.9 	3.6 	3.2 
PC,T,Y15-74,ED5-8,BE	4.4 b	4.5 	3.8 	3.6 b	4.5 	4.5 	3.8 b	3.9 	4.9 	4.7 b	4.6 	4.2 	4.3 b
PC,T,Y15-74,ED5-8,BG	4.3 b	4.0 b	2.4 	2.3 b	2.9 	4.6 b	5.1 b	5.8 	6.4 	5.1 b	4.0 	3.4 	3.0 
PC,T,Y15-74,ED5-8,CH	2.8 b	2.4 	2.2 	1.9 	2.8 	3.1 b	3.0 	3.0 	3.4 	3.5 b	3.5 	3.3 	3.8 
PC,T,Y15-74,ED5-8,CY	4.4 b	4.4 	3.4 	3.0 	4.6 b	5.7 	7.2 	10.2 	13.2 	12.9 b	12.1 	10.9 	9.8 
PC,T,Y15-74,ED5-8,CZ	2.3 b	2.4 	1.7 	1.7 	2.4 	2.8 	2.8 b	2.9 	2.8 	2.8 b	2.4 	1.9 	1.5 
PC,T,Y15-74,ED5-8,DE	5.5 b	4.8 	3.8 	3.3 	3.4 	3.0 b	2.4 b	2.3 	2.4 	2.5 b	2.3 	2.2 	2.0 
PC,T,Y15-74,ED5-8,DK	3.7 b	3.3 	3.0 b	2.2 	3.7 	4.7 	5.2 	4.8 	4.6 	4.7 b	4.8 	4.9 b	4.7 b
PC,T,Y15-74,ED5-8,EA18	5.6 b	5.0 	4.4 	4.2 	5.4 	5.8 	6.0 	6.8 	7.4 	7.3 b	6.8 	6.2 	5.5 
PC,T,Y15-74,ED5-8,EA19	5.6 b	5.0 	4.4 	4.2 	5.4 	5.9 	6.0 	6.8 	7.4 	7.2 b	6.8 	6.1 	5.4 
PC,T,Y15-74,ED5-8,EE	4.1 b	3.2 	2.4 	2.9 	6.2 	9.4 	8.0 	6.1 	5.8 	4.8 b	3.9 	3.9 	3.2 
PC,T,Y15-74,ED5-8,EL	8.0 b	7.3 	7.1 	6.4 	7.5 b	10.0 	14.2 	18.4 	20.4 	20.0 b	19.9 	18.0 	16.5 
PC,T,Y15-74,ED5-8,ES	6.7 b	6.0 	5.3 	6.3 	9.7 	11.2 	12.5 	14.9 	16.0 	14.8 b	13.2 	11.7 	10.0 
PC,T,Y15-74,ED5-8,EU27	5.0 b	4.5 	3.9 	3.8 	4.9 	5.4 	5.5 	6.1 	6.4 	6.1 b	5.6 	5.1 	4.5 
PC,T,Y15-74,ED5-8,EU28	5.0 b	4.5 	4.0 	3.8 	4.9 	5.4 	5.5 	6.1 	6.4 	6.1 b	5.6 	5.1 	4.5 
PC,T,Y15-74,ED5-8,FI	4.4 b	3.7 	3.6 	3.3 b	4.0 	4.4 	3.9 	3.9 	4.4 	5.1 b	6.0 	5.8 	5.2 
PC,T,Y15-74,ED5-8,FR	5.9 b	5.6 	5.2 	4.3 	5.3 	5.2 	5.2 	5.4 	6.0 b	6.3 b	6.3 	5.7 	5.2 
PC,T,Y15-74,ED5-8,HR	6.3 bu	6.0 bu	6.5 	5.0 	6.2 	8.4 b	9.2 	10.6 	11.3 	9.6 b	9.2 	7.8 	7.1 
PC,T,Y15-74,ED5-8,HU	2.7 b	2.6 	2.8 	2.7 	3.9 	4.6 	4.3 	4.5 	3.9 	3.1 b	2.4 	1.8 	1.6 
PC,T,Y15-74,ED5-8,IE	2.5 b	2.7 	2.8 b	3.9 	7.5 	8.3 	8.3 	8.1 	7.6 	6.8 b	5.6 	5.0 	4.1 b
PC,T,Y15-74,ED5-8,IS	1.4 b	: u	: u	1.6 	4.0 	3.6 	4.5 	2.9 	3.5 	3.7 b	2.7 	1.7 	1.6 
PC,T,Y15-74,ED5-8,IT	6.1 b	5.2 	4.4 	4.5 	5.4 	5.7 	5.3 	6.6 	7.2 	7.9 b	7.1 	6.8 	6.4 
PC,T,Y15-74,ED5-8,LT	4.0 bu	2.7 u	2.1 u	2.9 u	6.0 	7.7 	6.2 	5.6 	5.1 	4.2 b	3.7 	2.9 	2.9 
PC,T,Y15-74,ED5-8,LU	3.5 b	3.1 	3.2 b	2.5 	4.2 b	3.8 	3.6 	3.6 	3.9 	3.9 b	4.7 b	4.0 	3.9 
PC,T,Y15-74,ED5-8,LV	4.8 b	4.1 	3.7 	4.1 	7.9 	10.6 	7.1 	6.4 	5.9 	5.6 b	4.9 	4.3 	3.9 
PC,T,Y15-74,ED5-8,ME	: 	: 	: 	: 	: 	: 	13.2 	10.9 	9.8 	9.9 b	10.3 	11.9 	10.9 
PC,T,Y15-74,ED5-8,MK	: 	21.2 	20.5 	21.4 	21.3 	21.8 	23.0 	22.5 	23.5 	22.5 b	21.1 	19.4 	18.7 
PC,T,Y15-74,ED5-8,MT	2.7 bu	2.6 u	2.2 u	1.3 u	2.5 	1.7 u	1.8 bu	2.1 	2.4 	2.6 b	2.0 	1.7 	2.0 
PC,T,Y15-74,ED5-8,NL	2.9 b	2.3 	1.8 	1.7 	2.2 	2.8 b	3.1 b	3.4 	4.2 b	4.1 b	3.9 	3.5 	2.9 
PC,T,Y15-74,ED5-8,NO	2.6 b	1.9 b	1.5 	1.3 	1.6 	1.8 	1.7 	1.8 	1.9 	2.2 b	2.6 	3.0 	2.4 
PC,T,Y15-74,ED5-8,PL	7.1 b	5.9 	4.6 	3.8 	4.4 	5.0 b	5.2 	5.6 	5.7 	4.7 b	4.0 	3.3 	2.4 
PC,T,Y15-74,ED5-8,PT	6.3 b	6.3 	7.4 	6.8 	6.5 	7.0 	9.0 b	11.7 	12.7 	10.0 b	9.3 	8.4 	6.5 
PC,T,Y15-74,ED5-8,RO	3.9 b	3.8 	2.9 	2.7 	4.3 	4.8 b	4.7 	5.1 	5.4 	5.8 b	4.1 	3.1 	2.4 
PC,T,Y15-74,ED5-8,SE	4.8 b	4.4 b	3.6 	3.5 	4.5 	4.7 	4.3 	4.4 	4.4 	4.4 b	4.3 	4.0 	4.1 
PC,T,Y15-74,ED5-8,SI	3.2 b	3.2 	3.3 	3.4 	3.2 	4.3 	4.9 	6.1 	6.1 	6.3 b	5.8 	6.1 	5.2 
PC,T,Y15-74,ED5-8,SK	5.1 b	3.3 	4.1 	3.5 	4.2 	5.8 	5.8 b	6.8 	7.2 	6.4 b	6.0 	5.7 	4.2 
PC,T,Y15-74,ED5-8,TR	: 	8.1 	8.5 	9.2 	10.8 	9.8 	9.4 	8.9 	9.3 	10.5 b	10.8 	11.8 	12.4 
PC,T,Y15-74,ED5-8,UK	2.6 b	2.7 	2.5 b	2.8 b	4.0 	4.1 b	4.3 b	4.3 	3.9 	3.2 b	3.0 	2.9 	2.8 
