unit,nace_r2,s_adj,na_item,geo\time	1995Q1 	1995Q2 	1995Q3 	1995Q4 	1996Q1 	1996Q2 	1996Q3 	1996Q4 	1997Q1 	1997Q2 	1997Q3 	1997Q4 	1998Q1 	1998Q2 	1998Q3 	1998Q4 	1999Q1 	1999Q2 	1999Q3 	1999Q4 	2000Q1 	2000Q2 	2000Q3 	2000Q4 	2001Q1 	2001Q2 	2001Q3 	2001Q4 	2002Q1 	2002Q2 	2002Q3 	2002Q4 	2003Q1 	2003Q2 	2003Q3 	2003Q4 	2004Q1 	2004Q2 	2004Q3 	2004Q4 	2005Q1 	2005Q2 	2005Q3 	2005Q4 	2006Q1 	2006Q2 	2006Q3 	2006Q4 	2007Q1 	2007Q2 	2007Q3 	2007Q4 	2008Q1 	2008Q2 	2008Q3 	2008Q4 	2009Q1 	2009Q2 	2009Q3 	2009Q4 	2010Q1 	2010Q2 	2010Q3 	2010Q4 	2011Q1 	2011Q2 	2011Q3 	2011Q4 	2012Q1 	2012Q2 	2012Q3 	2012Q4 	2013Q1 	2013Q2 	2013Q3 	2013Q4 	2014Q1 	2014Q2 	2014Q3 	2014Q4 	2015Q1 	2015Q2 	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
THS_PER,TOTAL,NSA,EMP_DC,FI	1988.80 	2087.60 	2111.10 	2026.90 	2003.70 	2107.20 	2141.10 	2080.00 	2066.40 	2196.80 	2199.30 	2155.50 	2134.90 	2226.10 	2246.10 	2171.30 	2179.20 	2288.90 	2296.90 	2232.20 	2214.00 	2325.10 	2365.70 	2288.40 	2257.10 	2362.90 	2389.50 	2316.90 	2285.70 	2385.70 	2421.40 	2334.80 	2299.30 	2404.20 	2430.50 	2306.80 	2307.50 	2401.00 	2429.30 	2356.60 	2348.50 	2427.20 	2456.00 	2410.70 	2399.40 	2469.70 	2513.00 	2436.30 	2420.00 	2532.70 	2559.90 	2515.00 	2490.10 	2604.50 	2604.90 	2551.30 	2489.50 	2543.00 	2523.20 	2448.30 	2424.70 	2522.50 	2528.30 	2459.70 	2441.40 	2559.90 	2560.20 	2500.50 	2477.20 	2578.90 	2586.60 	2507.70 	2464.30 	2569.70 	2558.50 	2485.90 	2447.20 	2553.80 	2550.40 	2478.60 	2451.50 	2533.10 	2552.60 	2479.20 	2458.80 	2543.90 	2568.90 	2490.40 	2481.20 	2573.60 	2582.90 	2543.10 	2538.80 	2647.20 
THS_PER,TOTAL,NSA,EMP_DC,FR	23498.30 	23631.00 	23743.00 	23707.30 	23671.70 	23773.90 	23858.50 	23812.10 	23802.30 	23937.20 	24053.60 	24060.20 	24094.30 	24323.20 	24545.00 	24564.90 	24629.30 	24891.70 	25144.20 	25208.30 	25263.10 	25530.40 	25801.10 	25813.60 	25792.60 	25960.70 	26098.70 	26028.80 	25965.20 	26093.80 	26205.40 	26125.60 	26027.10 	26108.80 	26186.20 	26098.10 	26005.20 	26127.60 	26242.60 	26190.60 	26165.50 	26297.00 	26419.50 	26403.90 	26381.10 	26561.20 	26748.20 	26738.80 	26765.60 	26973.60 	27131.00 	27099.10 	27068.30 	27177.00 	27222.50 	27048.30 	26842.10 	26824.40 	26850.50 	26759.70 	26709.70 	26831.70 	26944.20 	26896.50 	26856.00 	27059.50 	27197.80 	27077.50 	27003.80 	27170.20 	27270.00 	27114.60 	27038.20 	27201.30 	27304.10 	27214.60 	27189.20 	27383.00 	27464.70 	27297.20 	27226.50 	27413.10 	27526.50 	27397.30 	27366.60 	27591.50 	27748.70 	27642.10 	27627.10 	27912.20 	28113.20 	28020.50 	27969.60 	28177.40 
THS_PER,TOTAL,NSA,EMP_DC,HR	1508.04 p	1582.36 p	1629.45 p	1551.75 p	1507.96 p	1581.98 p	1629.09 p	1551.41 p	1509.66 p	1584.45 p	1631.79 p	1553.82 p	1506.52 p	1580.66 p	1627.49 p	1550.02 p	1507.70 p	1580.83 p	1628.00 p	1550.38 p	1520.57 p	1583.68 p	1623.19 p	1532.62 p	1497.08 p	1569.27 p	1614.59 p	1538.62 p	1511.24 p	1581.34 p	1629.55 p	1551.48 p	1535.99 p	1624.99 p	1675.47 p	1593.06 p	1566.43 p	1634.52 p	1676.23 p	1606.50 p	1573.48 p	1648.60 p	1704.18 p	1623.91 p	1613.09 p	1699.94 p	1763.40 p	1680.59 p	1666.40 p	1751.72 p	1817.02 p	1735.54 p	1714.36 d	1786.27 d	1842.84 d	1776.00 d	1750.09 d	1778.85 d	1778.14 d	1759.11 d	1717.73 d	1679.48 d	1705.97 d	1696.70 d	1638.56 d	1610.02 d	1668.34 d	1621.13 d	1547.98 d	1596.21 d	1638.81 d	1518.99 d	1480.55 d	1551.89 d	1566.60 d	1536.93 d	1518.46 d	1576.08 d	1644.11 d	1561.31 d	1559.74 d	1605.29 d	1629.45 d	1583.87 d	1553.62 d	1616.45 d	1638.31 d	1588.39 d	1554.18 d	1642.15 d	1692.56 d	1648.70 d	1625.02 d	1680.72 d
THS_PER,TOTAL,NSA,EMP_DC,HU	3882.77 	3983.82 	4122.89 	4049.11 	3862.89 	3983.76 	4129.48 	4074.72 	3884.09 	3975.09 	4132.13 	4084.39 	3935.81 	4036.97 	4197.13 	4156.19 	4055.05 	4182.14 	4316.22 	4230.08 	4103.96 	4207.98 	4349.20 	4286.84 	4151.91 	4210.14 	4331.97 	4227.13 	4131.70 	4218.17 	4314.52 	4243.29 	4109.72 	4224.80 	4316.27 	4256.77 	4132.34 	4193.30 	4255.87 	4164.24 	4090.91 	4153.26 	4256.47 	4196.11 	4098.10 	4191.26 	4263.36 	4216.14 	4141.22 	4212.08 	4262.77 	4175.70 	4046.88 	4105.63 	4195.18 	4114.25 	3963.93 	4026.30 	4048.41 	4012.83 	3824.56 	3957.91 	4056.39 	4038.14 	3838.50 	3973.54 	4068.86 	3996.78 	3853.09 	4002.29 	4051.09 	3996.74 	3873.44 	4033.19 	4104.14 	4067.08 	4072.66 	4226.37 	4321.19 	4234.36 	4192.80 	4325.38 	4411.28 	4332.75 	4343.62 	4475.23 	4521.60 	4448.61 	4455.53 	4561.25 	4594.61 	4535.85 	4560.68 	4666.07 
THS_PER,TOTAL,NSA,EMP_DC,IE	1327.44 e	1327.44 e	1327.44 e	1327.44 e	1376.42 e	1376.42 e	1376.42 e	1376.42 e	1430.21 e	1430.21 e	1430.21 e	1430.21 e	1484.80 	1505.40 	1559.80 	1547.60 	1574.40 	1605.50 	1663.50 	1648.80 	1653.00 	1683.50 	1734.10 	1712.60 	1708.60 	1737.90 	1786.00 	1761.80 	1756.90 	1769.00 	1802.30 	1776.10 	1782.80 	1798.70 	1829.20 	1825.50 	1829.20 	1852.10 	1901.80 	1898.60 	1916.50 	1944.10 	1994.30 	1994.30 	2009.30 	2034.70 	2078.10 	2089.90 	2110.50 	2135.45 	2168.70 	2156.30 	2146.80 	2148.10 	2137.40 	2084.70 	1997.90 	1974.70 	1953.80 	1922.80 	1893.92 	1896.35 	1887.49 	1852.19 	1833.83 b	1852.52 	1840.86 	1840.34 	1816.41 	1828.15 	1839.03 	1843.68 	1840.16 	1874.27 	1910.20 	1918.69 	1897.22 	1919.23 	1957.11 	1973.45 	1962.33 	1999.75 	2028.17 	2037.04 	2032.68 	2080.04 	2104.15 	2108.79 	2107.78 	2129.89 	2157.24 	2181.64 	2174.19 	2201.74 
THS_PER,TOTAL,NSA,EMP_DC,IT	21656.10 	21818.00 	22186.00 	21983.80 	21748.30 	21963.80 	22353.80 	22111.10 	21870.90 	22045.90 	22389.60 	22148.10 	22040.80 	22253.40 	22628.20 	22423.50 	22253.60 	22557.00 	22851.80 	22661.60 	22573.00 	22922.30 	23299.40 	23290.60 	23158.40 	23358.90 	23759.10 	23616.70 	23638.60 	23767.70 	24077.20 	23985.90 	23827.90 	24233.80 	24369.50 	24440.20 	24099.60 	24347.40 	24503.00 	24508.20 	24367.50 	24591.10 	24466.10 	24580.80 	24696.20 	25116.80 	24988.60 	25133.80 	24964.10 	25331.80 	25390.80 	25492.80 	25273.30 	25472.20 	25417.60 	25233.70 	24950.20 	24968.00 	24943.70 	24840.10 	24717.80 	24788.30 	24727.80 	24828.80 	24716.50 	24983.70 	24891.70 	24779.20 	24609.60 	24979.60 	24835.20 	24634.80 	24253.90 	24409.60 	24355.90 	24271.50 	24105.50 	24395.30 	24451.80 	24405.20 	24210.50 	24494.60 	24639.70 	24646.50 	24527.80 	24952.70 	24904.50 	24917.20 	24846.90 	25203.60 	25267.70 	25132.20 	24954.70 	25441.90 
THS_PER,TOTAL,NSA,EMP_DC,LT	1465.60 	1492.70 	1475.00 	1499.40 	1447.70 	1502.30 	1527.50 	1510.60 	1498.30 	1503.00 	1520.50 	1502.80 	1491.40 	1486.30 	1497.50 	1502.40 	1435.05 	1492.60 	1487.91 	1430.40 	1368.80 	1419.99 	1426.39 	1381.59 	1359.62 	1367.27 	1332.57 	1324.52 	1347.02 	1413.66 	1429.86 	1388.18 	1376.92 	1466.19 	1446.69 	1413.06 	1390.04 	1420.65 	1421.44 	1408.28 	1396.43 	1418.37 	1436.95 	1431.12 	1403.96 	1423.03 	1425.08 	1412.97 	1416.57 	1452.81 	1471.04 	1440.11 	1415.80 	1431.90 	1444.48 	1412.20 	1328.86 	1320.81 	1328.56 	1287.80 	1220.99 	1229.84 	1260.68 	1275.55 	1232.72 	1260.70 	1259.65 	1257.75 	1250.82 	1283.33 	1297.23 	1268.24 	1265.67 	1296.53 	1307.69 	1297.66 	1294.51 	1308.11 	1346.68 	1321.95 	1316.71 	1335.08 	1348.21 	1338.92 	1350.69 	1366.83 	1368.09 	1359.24 	1344.69 	1362.81 	1356.83 	1352.11 	1345.96 	1369.44 
THS_PER,TOTAL,NSA,EMP_DC,LU	211.80 	214.63 	218.29 	219.69 	219.95 	222.00 	222.18 	222.76 	223.08 	227.92 	231.46 	234.51 	233.05 	238.53 	241.21 	244.38 	244.12 	249.48 	252.72 	256.71 	257.51 	262.49 	265.49 	270.69 	274.10 	278.34 	280.62 	283.47 	285.03 	286.95 	287.31 	289.52 	290.03 	292.34 	292.76 	294.89 	295.41 	299.28 	300.32 	302.56 	303.55 	307.08 	308.64 	311.48 	314.23 	318.82 	320.66 	324.22 	326.89 	332.17 	335.20 	339.93 	343.97 	348.73 	351.48 	353.64 	352.23 	353.16 	352.54 	354.54 	355.41 	359.39 	360.43 	363.00 	364.88 	370.50 	371.55 	373.73 	375.41 	379.48 	379.50 	382.15 	382.07 	386.30 	386.42 	389.48 	391.71 	396.02 	396.33 	399.73 	401.08 	406.14 	406.57 	410.71 	412.75 	417.99 	418.75 	423.95 	426.63 	432.43 	432.73 	439.16 	442.48 	448.98 
THS_PER,TOTAL,NSA,EMP_DC,LV	918.30 e	931.00 e	933.90 e	937.60 e	923.40 e	936.20 e	939.10 e	942.80 e	964.50 e	977.80 e	980.90 e	984.80 e	960.90 e	974.20 e	977.20 e	981.10 e	943.70 e	956.70 e	959.70 e	963.50 e	935.80 	923.40 	919.90 	915.60 	931.50 	941.60 	941.40 	940.30 	920.50 	949.70 	969.30 	969.90 	948.40 	950.00 	979.50 	955.20 	957.00 	954.90 	968.10 	962.50 	942.00 	974.90 	980.80 	978.90 	990.20 	1021.30 	1058.20 	1030.00 	1053.50 	1078.20 	1074.20 	1050.40 	1059.30 	1074.80 	1060.30 	1025.90 	962.50 	938.70 	880.60 	833.10 	825.50 	835.30 	857.80 	855.40 	834.40 	859.20 	866.10 	865.30 	841.60 	861.50 	887.60 	883.80 	874.70 	895.00 	903.90 	880.90 	875.60 	883.60 	877.10 	870.20 	874.90 	888.80 	898.70 	893.60 	881.70 	890.00 	888.30 	885.20 	876.90 	882.40 	891.60 	892.90 	891.40 	899.80 
THS_PER,TOTAL,NSA,EMP_DC,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	144.33 	145.44 	147.87 	147.97 	148.41 	149.52 	149.36 	148.63 	147.74 	151.16 	151.92 	146.76 	148.30 	149.52 	149.37 	148.10 	148.13 	148.97 	150.51 	149.88 	150.09 	150.97 	153.02 	150.96 	151.89 	154.02 	154.25 	153.89 	154.61 	156.57 	158.82 	157.78 	158.57 	161.26 	162.92 	161.00 	160.24 	161.43 	161.21 	161.12 	162.65 	162.79 	164.87 	164.86 	167.25 	167.58 	169.99 	169.65 	171.23 	170.56 	175.19 	174.35 	175.85 	178.10 	182.27 	180.92 	184.14 	188.05 	191.63 	190.23 	192.56 	194.72 	198.60 	197.84 	197.71 	203.82 	206.58 	208.35 	210.04 	213.10 	217.03 	218.42 	221.78 	224.87 
THS_PER,TOTAL,NSA,EMP_DC,NL	7120.00 	7261.00 	7351.00 	7339.00 	7268.00 	7423.00 	7509.00 	7480.00 	7473.00 	7646.00 	7754.00 	7717.00 	7668.00 	7843.00 	7927.00 	7877.00 	7900.00 	8069.00 	8145.00 	8102.00 	8033.00 	8218.00 	8302.00 	8257.00 	8228.00 	8390.00 	8460.00 	8387.00 	8335.00 	8469.00 	8495.00 	8407.00 	8351.00 	8419.00 	8420.00 	8331.00 	8212.00 	8322.00 	8351.00 	8254.00 	8256.00 	8370.00 	8402.00 	8330.00 	8397.00 	8509.00 	8572.00 	8605.00 	8629.00 	8783.00 	8850.00 	8822.00 	8843.00 	8936.00 	8965.00 	8914.00 	8846.00 	8866.00 	8844.00 	8803.00 	8687.00 	8799.00 	8821.00 	8806.00 	8783.00 	8863.00 	8902.00 	8868.00 	8799.00 	8871.00 	8852.00 	8824.00 	8682.00 	8753.00 	8770.00 	8725.00 	8628.00 	8745.00 	8750.00 	8776.00 	8684.00 	8816.00 	8864.00 	8865.00 	8769.00 p	8901.00 p	8951.00 p	8997.00 p	8934.00 p	9090.00 p	9158.00 p	9206.00 p	9164.00 p	9312.00 p
