lcstruct,nace_r2,unit,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
D1_D4_MD5,B-S,PCH_Q4_CA,FR	1.0 p	1.3 p	2.0 p	1.3 p	1.3 p	1.1 p	1.1 p	1.4 p	1.5 p	1.5 p	1.7 p	2.4 p
D1_D4_MD5,B-S,PCH_Q4_CA,HR	1.6 	1.8 	3.5 e	2.7 e	3.8 e	4.5 e	5.8 e	4.8 e	4.9 e	5.2 e	6.5 e	9.8 e
D1_D4_MD5,B-S,PCH_Q4_CA,HU	4.6 	4.4 	3.3 	3.9 	6.5 	5.8 	8.8 	9.2 	9.1 	8.9 	10.4 	10.2 
D1_D4_MD5,B-S,PCH_Q4_CA,IE	1.6 	-0.3 	1.3 	0.8 	0.8 	1.2 	1.2 	1.9 	2.5 	2.7 	3.2 	2.5 p
D1_D4_MD5,B-S,PCH_Q4_CA,IS	7.9 p	9.3 p	15.2 p	5.1 p	9.5 p	6.9 p	2.0 p	11.8 p	7.6 p	6.8 p	7.7 p	9.9 p
D1_D4_MD5,B-S,PCH_Q4_CA,IT	-0.1 	-0.4 	-1.3 	-1.1 	-0.6 	0.3 	1.0 	0.9 	0.9 	-0.5 	0.5 	3.6 
D1_D4_MD5,B-S,PCH_Q4_CA,LT	5.7 	4.7 	6.2 	6.7 	6.7 	10.7 	9.7 	10.4 	7.9 	8.3 	9.0 	9.8 
D1_D4_MD5,B-S,PCH_Q4_CA,LU	-0.1 	0.2 	0.6 	-1.3 	1.8 	2.4 	-0.1 	4.4 	2.8 	3.8 	1.8 	0.6 
D1_D4_MD5,B-S,PCH_Q4_CA,LV	7.3 	7.6 	4.7 	6.7 	8.0 	8.2 	8.5 	7.8 	5.6 	7.2 	11.9 p	11.7 p
D1_D4_MD5,B-S,PCH_Q4_CA,MT	6.4 p	4.5 p	0.1 p	-2.0 p	0.2 p	1.2 p	2.7 p	6.7 p	2.1 p	1.2 p	3.7 p	3.0 p
D1_D4_MD5,B-S,PCH_Q4_CA,NL	1.8 p	-0.7 p	2.0 p	0.2 p	2.1 p	1.4 p	1.1 p	1.6 p	1.0 p	2.0 p	2.7 p	0.9 p
D1_D4_MD5,B-S,PCH_Q4_CA,PL	3.8 	3.0 	3.1 	3.0 	4.8 	5.2 	2.5 	8.3 	5.0 	8.2 	7.9 	6.3 
D1_D4_MD5,B-S,PCH_Q4_CA,PT	-0.9 	1.9 	0.1 p	1.8 p	2.5 p	0.9 p	3.1 p	2.9 p	-1.1 p	3.8 p	-1.3 p	1.4 p
D1_D4_MD5,B-S,PCH_Q4_CA,RO	5.8 	8.6 	11.7 	13.1 	14.7 	12.4 	17.4 p	18.6 p	16.5 p	14.3 p	12.7 p	15.6 p
D1_D4_MD5,B-S,PCH_Q4_CA,SE	2.6 	3.4 p	4.2 	3.1 	3.6 	2.8 p	2.7 	3.3 	2.6 p	2.6 p	2.5 p	2.2 p
D1_D4_MD5,B-S,PCH_Q4_CA,SI	-1.6 	1.0 	0.8 	1.8 	3.5 	5.8 	2.6 	5.1 	6.8 	5.3 	4.8 	3.4 
D1_D4_MD5,B-S,PCH_Q4_CA,SK	3.1 	5.4 	4.0 	1.7 	4.0 	4.5 	4.2 p	7.4 p	7.4 p	5.8 p	8.5 p	7.9 p
D1_D4_MD5,B-S,PCH_Q4_CA,UK	4.5 	2.9 	1.8 	3.2 	1.6 	2.5 	1.2 	1.7 	3.2 	3.9 	4.6 	2.9 
