sitc06,partner,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
TOTAL,DAC,MIO_EUR,LV	79 	91 	119 	143 	166 	245 	889 	993 	1027 	620 	830 	1189 	1313 	1213 	1141 	1153 	1047 	1267 
TOTAL,DAC,MIO_EUR,MT	205 	203 	230 	280 	286 	235 	314 	296 	303 	271 	378 	430 	506 	520 	618 	664 	660 	700 
TOTAL,DAC,MIO_EUR,NL	42263 	42978 	43716 	47154 	54666 	69980 	80933 	90943 	101070 	83288 	105820 	116005 	127245 	118976 	121334 	129765 	124691 	153086 
TOTAL,DAC,MIO_EUR,PL	4126 	5119 	5671 	6195 	5811 	6084 	10253 	12691 	15190 	11877 	14378 	16598 	16992 	17463 	21662 	25958 	26526 	30784 
TOTAL,DAC,MIO_EUR,PT	5358 	5171 	4862 	4507 	5772 	7500 	9138 	10004 	11381 	7277 	9852 	11109 	12141 	11785 	10632 	10002 	9148 	10405 
TOTAL,DAC,MIO_EUR,RO	1556 	1902 	2370 	2577 	3873 	5753 	7896 	8768 	11060 	7003 	8563 	10344 	9414 	8669 	9703 	9916 	10934 	12833 
TOTAL,DAC,MIO_EUR,SE	6068 	5637 	5101 	5751 	6413 	7287 	8951 	10337 	11038 	8891 	11376 	12863 	13657 	13762 	14287 	14714 	14344 	15970 
TOTAL,DAC,MIO_EUR,SI	1199 	1274 	1349 	1479 	1502 	2108 	3048 	3869 	4558 	3769 	5019 	4400 	4283 	4413 	4616 	5471 	5517 	6659 
TOTAL,DAC,MIO_EUR,SK	558 	751 	953 	1137 	1076 	1052 	2030 	3118 	3873 	2726 	3878 	4318 	4617 	4780 	5082 	5401 	5976 	6659 
TOTAL,DAC,MIO_EUR,UK	53730 	57641 	59139 	56646 	63801 	69103 	82755 	85753 	84524 	74164 	91321 	100312 	111936 	105132 	109322 	121627 	120107 	118202 
TOTAL,LDC,MIO_EUR,AT	53 	50 	57 	64 	78 	56 	77 	90 	81 	43 	42 	61 	78 	93 	168 	302 	387 	408 
TOTAL,LDC,MIO_EUR,BE	1952 	1971 	1873 	1371 	1511 	2174 	1876 	1859 	1728 	1495 	1995 	2549 	2858 	2663 	3154 	3242 	3211 	2795 
TOTAL,LDC,MIO_EUR,BG	5 	4 	5 	5 	6 	20 	22 	18 	11 	15 	21 	19 	10 	114 	156 	119 	69 	46 
TOTAL,LDC,MIO_EUR,CY	3 	3 	3 	3 	4 	4 	15 	4 	11 	4 	5 	5 	7 	5 	190 	190 	37 	23 
TOTAL,LDC,MIO_EUR,CZ	38 	37 	33 	39 	39 	30 	38 	33 	30 	31 	42 	61 	84 	111 	142 	175 	175 	187 
TOTAL,LDC,MIO_EUR,DE	2029 	2412 	2089 	2509 	2653 	2470 	3224 	3728 	3227 	3375 	3382 	5263 	4501 	4699 	4785 	5902 	6183 	6786 
TOTAL,LDC,MIO_EUR,DK	126 	139 	190 	144 	385 	143 	162 	193 	183 	183 	354 	364 	438 	411 	541 	625 	739 	822 
TOTAL,LDC,MIO_EUR,EE	4 	3 	4 	4 	3 	0 	2 	1 	2 	4 	2 	5 	9 	2 	2 	3 	3 	3 
TOTAL,LDC,MIO_EUR,EL	150 	203 	116 	161 	140 	81 	118 	95 	121 	209 	310 	244 	166 	124 	282 	248 	241 	304 
TOTAL,LDC,MIO_EUR,ES	1495 	1497 	1572 	1386 	1653 	2239 	2458 	2607 	4480 	2234 	3055 	4110 	4485 	5274 	5773 	5851 	4829 	5387 
TOTAL,LDC,MIO_EUR,EU28	11923 	13954 	13435 	12880 	13962 	16243 	17498 	20714 	25127 	19739 	23506 	32657 	34973 	36707 	38908 	41399 	37180 	37521 
TOTAL,LDC,MIO_EUR,FI	75 	52 	56 	64 	58 	48 	60 	65 	66 	43 	119 	81 	80 	93 	71 	108 	67 	67 
TOTAL,LDC,MIO_EUR,FR	1989 	2662 	2486 	2252 	2415 	3601 	3174 	4147 	5636 	4724 	4357 	4820 	6163 	5274 	5246 	5201 	4431 	4170 
TOTAL,LDC,MIO_EUR,HR	38 	16 	13 	13 	14 	16 	23 	26 	29 	31 	35 	55 	69 	45 	18 	22 	36 	38 
TOTAL,LDC,MIO_EUR,HU	50 	40 	34 	36 	23 	26 	18 	12 	6 	7 	8 	13 	13 	8 	7 	8 	11 	14 
