sex,age,unit,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
T,Y15-24,PC,NL	4.6 	4.3 	3.9 	4.8 	6.0 b	6.8 b	8.1 	9.1 	8.6 	7.7 	7.4 	6.1 
T,Y15-24,PC,NO	5.0 b	4.4 	4.6 	5.3 	5.3 	4.8 	4.8 	5.2 	4.3 	5.5 	6.1 	5.6 
T,Y15-24,PC,PL	10.2 	7.1 	5.7 	7.0 	8.2 b	8.6 	8.9 	9.1 	8.1 	6.8 	6.1 	5.2 
T,Y15-24,PC,PT	6.9 	6.9 	6.8 	7.9 	8.2 	11.5 b	14.1 	13.3 	11.9 	10.7 	9.3 	8.1 
T,Y15-24,PC,RO	6.6 	6.1 	5.7 	6.4 	6.9 b	7.3 	6.9 	7.1 	7.1 	6.8 	5.8 	5.5 
T,Y15-24,PC,SE	11.0 	10.1 	10.7 	12.8 	12.8 	12.1 	12.4 	12.8 	12.7 	11.2 	10.4 	9.8 
T,Y15-24,PC,SI	5.6 	4.2 	4.5 	5.6 	5.9 	5.9 	7.1 	7.3 	6.8 	5.8 	5.1 	4.4 
T,Y15-24,PC,SK	9.4 	7.0 	6.2 	8.6 	10.4 	10.1 b	10.4 	10.4 	9.2 	8.4 	7.2 	6.3 
T,Y15-24,PC,TR	6.0 	6.3 	6.9 	8.5 	7.4 	6.4 	5.9 	6.6 	7.3 b	7.7 	8.2 	8.9 
T,Y15-24,PC,UK	8.7 	8.8 b	9.2 b	11.3 	11.6 	12.4 	12.4 	12.1 	9.8 	8.6 	7.6 	7.0 
