unit,geo\time	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
RT,CZ	13.0 	14.0 	14.2 	13.6 	12.6 	10.4 	11.9 	10.4 	8.6 	7.7 	7.4 	7.1 	6.2 	6.5 	7.0 	5.8 
RT,DE	8.5 	8.3 	8.0 	7.1 	6.5 	6.2 	6.0 	5.5 	5.1 	4.5 	5.0 b	4.5 	4.1 	4.2 	4.2 	3.9 
RT,DK	8.0 	8.6 	8.0 	6.8 	6.1 	5.6 	7.4 	7.4 	5.5 	4.6 	3.9 	3.0 	3.4 	3.2 	3.1 	3.7 
RT,EE	14.3 	16.2 	12.0 	12.5 	12.5 	15.1 	14.6 	9.9 	7.3 	5.9 	7.6 	6.6 	6.1 	5.9 	5.1 b	5.4 
RT,EL	17.3 	15.0 	14.7 	15.2 	15.1 	15.0 	14.6 	14.0 	13.1 	11.3 	10.3 	8.9 	8.0 	7.3 	7.3 	7.6 
RT,ES	13.5 	12.9 	12.8 	11.1 	10.2 	9.2 	8.5 	6.7 	5.9 	5.3 	4.4 	4.1 	3.6 	3.6 	3.6 	3.9 
RT,EU28	11.2 b	11.0 	10.4 	9.7 	9.3 	8.8 	8.6 	7.9 b	7.0 	6.3 b	6.1 b	5.6 b	5.1 e	5.1 e	5.1 bep	5.0 ep
RT,FI	8.3 	8.0 	7.3 	7.2 	7.2 	6.4 	7.2 	6.5 	5.2 	5.1 	5.4 	4.7 	4.7 	4.2 	4.9 	4.7 
RT,FR	13.3 	12.4 	9.8 	8.8 	8.4 	7.4 	7.2 	6.7 	6.6 	6.2 	6.1 	5.6 	5.0 	5.1 	5.2 bp	5.2 p
RT,HR	15.0 b	14.6 	16.3 	14.1 	13.8 	14.2 	14.4 	15.4 	12.7 	9.9 	9.8 	9.1 	8.6 	7.3 	8.3 	7.4 
RT,HU	12.2 	14.1 	13.1 	12.8 	12.7 	12.9 	12.3 	9.9 	8.2 	7.4 	6.4 	6.1 b	6.0 	6.3 	6.5 	6.2 
RT,IE	10.7 	9.6 	8.4 	9.3 	9.6 	8.5 	7.7 	6.2 	5.2 	4.6 	4.1 	3.5 	4.1 	4.1 	3.4 	3.9 
RT,IT	12.5 	12.2 	11.5 	10.6 	10.0 	9.7 	8.8 	8.0 	7.2 	6.9 	6.5 	6.3 	5.6 	5.6 	5.6 	5.4 
RT,LT	20.3 	20.2 	20.8 	22.3 	23.3 	23.2 	22.9 	15.6 	11.7 	9.7 	9.8 	10.1 	8.7 	9.1 	8.3 	6.7 
RT,LU	15.9 	13.9 	11.7 	10.9 	10.1 	9.1 	9.6 	7.2 	9.6 	6.3 	6.4 	6.4 b	8.3 	6.3 	6.3 	5.5 
RT,LV	23.9 	24.2 	23.3 	22.8 	19.7 	18.3 	19.0 	14.5 	11.9 	10.4 	8.7 	8.7 	8.9 	10.6 	9.5 	8.1 
RT,MT	4.1 	4.0 	4.0 	3.2 	4.2 	2.7 	3.4 	3.7 	3.6 	3.1 	3.8 	2.1 	4.0 	2.3 	2.5 	5.1 
RT,NL	6.2 	6.1 	6.3 	4.9 	4.6 	4.5 	4.3 	4.1 	3.9 	3.2 	3.3 	3.4 	2.8 	2.8 	3.1 	3.1 
RT,PL	14.5 	15.2 	14.8 	15.0 	14.3 	13.7 	14.6 	14.3 	12.0 	10.3 b	11.0 	9.4 	8.8 	8.4 	7.7 	8.0 
RT,PT	16.1 	15.9 	14.7 	12.3 	11.9 	9.2 	9.2 	8.4 	7.9 	8.9 	8.4 	6.8 	6.1 	6.1 	5.7 	5.5 
RT,RO	11.1 	11.1 	10.3 	11.4 	12.3 	12.2 	13.4 	14.9 	13.7 	11.7 	10.0 	10.2 	9.3 e	9.1 e	9.6 e	9.7 
RT,SE	6.6 	6.3 	5.9 	5.3 	4.9 	4.9 	5.1 	4.3 	3.9 	2.8 	3.4 	3.0 	2.7 	2.8 	2.6 	2.7 
RT,SI	14.0 	13.5 	12.1 	13.7 	12.9 	13.1 	14.5 	10.6 b	8.4 	6.7 	6.9 	6.3 	6.1 	5.2 	5.8 	6.3 
RT,SK	11.4 	11.3 	12.0 	11.2 	11.3 	11.4 	12.4 	11.6 	7.1 	6.5 	6.0 	6.5 	4.6 	5.4 	5.7 	5.1 
RT,UK	6.1 	6.0 	6.1 	5.6 	5.5 	5.4 	5.0 	4.3 	3.8 	3.0 	3.1 	2.8 	2.8 	2.9 e	2.8 e	2.8 e
