indic_il,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
R_GE65_LT65,T,MK	: 	: 	: 	: 	: 	: 	1.01 	1.08 	1.10 	1.12 	1.13 	: 
R_GE65_LT65,T,MT	0.80 	0.78 	0.73 	0.77 	0.81 	0.79 	0.80 	0.79 	0.78 	0.75 	0.72 	0.72 
R_GE65_LT65,T,NL	0.87 	0.83 	0.84 	0.86 	0.87 	0.87 	0.90 	0.90 	0.89 	0.89 	0.82 b	0.81 
R_GE65_LT65,T,NO	0.79 	0.81 	0.81 	0.84 	0.85 	0.85 	0.91 	0.91 	0.92 	0.92 	0.91 	0.91 
R_GE65_LT65,T,PL	1.07 	1.04 	0.97 	0.92 	0.93 	0.94 	0.95 	0.98 	0.99 	0.99 	0.97 	0.93 
R_GE65_LT65,T,PT	0.79 	0.80 	0.83 	0.85 	0.82 	0.87 	0.92 	0.94 	0.94 	0.92 	0.91 	0.92 
R_GE65_LT65,T,RO	: 	0.76 	0.85 	0.93 	0.97 	1.01 	1.03 	1.04 	1.04 	1.00 	0.97 	0.95 
R_GE65_LT65,T,RS	: 	: 	: 	: 	: 	: 	: 	1.02 	1.07 	1.09 	1.08 	: 
R_GE65_LT65,T,SE	0.85 	0.81 	0.76 b	0.76 	0.79 	0.77 	0.78 	0.79 	0.82 	0.79 	0.77 	0.78 
R_GE65_LT65,T,SI	0.85 	0.87 	0.84 	0.86 	0.87 	0.87 	0.87 	0.87 	0.91 	0.90 	0.89 	0.88 
R_GE65_LT65,T,SK	0.85 	0.81 	0.79 	0.81 	0.83 	0.86 	0.81 	0.90 	0.91 	0.91 	0.91 	0.89 
R_GE65_LT65,T,TR	1.12 	1.11 	1.08 	1.08 	1.07 	1.06 	1.02 	1.08 	1.06 	1.04 	: 	: 
R_GE65_LT65,T,UK	0.73 	0.74 	0.74 	0.80 	0.81 	0.81 	0.88 b	0.87 	0.87 	0.88 	0.89 	: 
