wstatus,age,sex,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
EMP,Y_GE18,M,HR	: 	: 	: 	: 	: 	7.6 	7.5 	6.8 	7.5 	7.1 	7.0 	6.7 	: 
EMP,Y_GE18,M,HU	10.6 	8.1 	6.6 	6.8 	7.0 	6.0 	6.9 	6.6 	7.7 	7.4 	9.7 	9.4 	9.9 
EMP,Y_GE18,M,IE	6.4 	6.2 	5.7 	7.1 	6.1 	7.1 	6.6 	6.3 	5.3 	5.8 	5.5 	4.9 	: 
EMP,Y_GE18,M,IS	8.5 	6.9 	6.9 	6.9 	7.4 	6.8 	6.4 	5.4 	6.1 	4.9 	6.6 	6.9 p	: 
EMP,Y_GE18,M,IT	10.4 	10.6 	10.8 	10.6 	11.5 	11.0 	12.0 	12.0 	11.8 	11.5 	12.8 	13.2 	13.3 
EMP,Y_GE18,M,LT	10.4 	10.9 	7.7 	9.1 	9.2 	10.6 	9.3 	6.8 	7.8 	8.5 	11.4 	9.3 	9.3 
EMP,Y_GE18,M,LU	9.8 	10.2 	9.4 	9.2 	10.5 	10.8 	9.3 	10.5 	11.6 	11.7 	11.8 	11.5 b	14.3 
EMP,Y_GE18,M,LV	8.8 	9.9 	8.9 	10.2 	10.9 	9.2 	8.3 	8.0 	7.7 	7.3 	9.0 	8.4 	8.2 
EMP,Y_GE18,M,MK	: 	: 	: 	: 	: 	: 	11.2 	11.9 	11.8 	11.0 	10.3 	10.6 	: 
EMP,Y_GE18,M,MT	5.1 	5.1 	5.5 	6.3 	6.8 	7.0 	7.4 	6.5 	7.8 	7.0 	6.7 	7.5 	7.5 
EMP,Y_GE18,M,NL	6.1 	4.5 	4.6 	4.8 	5.0 	5.6 	5.8 	4.8 	5.2 	5.8 	5.4 	6.1 b	5.5 
EMP,Y_GE18,M,NO	5.0 	6.3 	5.6 	6.0 	5.5 	5.3 	6.1 	5.3 	5.9 	4.9 	5.2 	5.2 	7.5 
EMP,Y_GE18,M,PL	15.1 	13.9 	12.6 	12.4 	12.1 	12.2 	12.3 	11.8 	11.8 	11.7 	12.4 	11.9 	10.6 
EMP,Y_GE18,M,PT	12.8 	11.8 	10.2 	12.2 	11.0 	10.0 	10.6 	11.1 	11.7 	11.5 	11.6 	11.3 	11.2 
EMP,Y_GE18,M,RO	: 	: 	19.0 	19.3 	19.3 	19.7 	21.4 	21.3 	21.0 	22.6 	21.0 	21.5 	20.1 
EMP,Y_GE18,M,RS	: 	: 	: 	: 	: 	: 	: 	: 	16.5 	16.3 	15.7 	14.8 	: 
EMP,Y_GE18,M,SE	6.2 	8.4 	7.0 	8.1 b	7.8 	7.8 	7.8 	7.6 	7.9 	8.4 	8.9 	7.0 	8.1 
EMP,Y_GE18,M,SI	5.2 	5.4 	5.2 	5.5 	5.2 	6.2 	7.2 	7.6 	8.4 	7.9 	7.7 	7.1 	7.7 
EMP,Y_GE18,M,SK	8.7 	6.3 	4.8 	6.2 	5.5 	5.9 	6.7 	6.6 	5.9 	6.1 	6.5 	6.9 	6.8 
EMP,Y_GE18,M,TR	: 	17.3 	17.3 	17.2 	17.5 	16.7 	15.4 	15.2 	15.3 	15.4 	14.7 	: 	: 
EMP,Y_GE18,M,UK	8.8 	8.1 	8.3 	8.1 	6.4 	6.8 	7.7 	9.1 b	8.7 	9.0 	8.9 	9.0 	: 
EMP,Y_GE18,T,AT	6.8 	6.4 	6.1 	8.5 b	8.2 	7.5 	7.6 	8.1 	7.9 	7.2 	7.9 	8.3 	7.7 
EMP,Y_GE18,T,BE	3.9 	4.1 	4.3 	4.8 	4.6 	4.5 	4.2 	4.5 	4.4 	4.8 	4.6 	4.7 	5.0 
EMP,Y_GE18,T,BG	: 	5.4 	5.8 	7.5 	7.4 	7.7 	8.2 	7.4 	7.2 	9.2 	7.7 	11.4 	9.9 
EMP,Y_GE18,T,CH	: 	: 	7.7 	9.5 	8.1 	7.6 	7.7 	8.5 	7.6 	6.3 b	8.2 	7.3 	: 
EMP,Y_GE18,T,CY	6.5 	7.2 	6.3 	6.3 b	6.8 	7.3 	7.3 	7.9 	8.9 	7.8 	9.1 	8.2 	7.9 
EMP,Y_GE18,T,CZ	3.5 	3.5 	3.3 	3.6 	3.2 	3.7 	4.0 	4.5 	4.0 	3.6 	4.0 	3.8 	3.5 
EMP,Y_GE18,T,DE	4.8 	5.5 	7.4 	7.1 	6.8 	7.2 	7.7 	7.8 	8.6 	9.9 	9.7 	9.5 	9.1 
EMP,Y_GE18,T,DK	4.8 	4.5 	4.1 	5.0 	5.9 	6.5 	6.3 b	5.2 	5.5 	4.9 	5.5 	5.3 	5.3 
EMP,Y_GE18,T,EA18	7.3 	7.3 	7.9 	8.1 	8.2 	8.0 	8.5 	8.6 	8.7 	9.4 	9.4 	9.5 	9.5 e
EMP,Y_GE18,T,EA19	7.3 	7.3 	7.9 	8.1 	8.2 	8.0 	8.5 	8.6 	8.7 	9.4 	9.4 	9.5 	9.4 e
EMP,Y_GE18,T,EE	7.5 	7.5 	7.8 	7.3 	8.1 	6.5 	7.9 	8.3 	7.6 	11.8 b	10.0 	9.6 	9.3 
EMP,Y_GE18,T,EL	12.9 	13.8 	14.2 	14.3 	13.8 	13.8 	11.9 	15.1 	13.1 	13.4 	13.4 	14.1 	12.9 
EMP,Y_GE18,T,ES	10.6 	10.1 	10.2 	11.3 b	11.7 	10.9 	10.9 	10.8 	10.5 	12.5 	13.1 	13.1 	13.1 
EMP,Y_GE18,T,EU27	8.2 e	8.1 e	8.3 	8.6 	8.4 	8.3 	8.8 	9.0 	9.0 	9.5 	9.5 	9.6 	9.6 e
EMP,Y_GE18,T,EU28	: 	: 	: 	: 	: 	8.3 	8.8 	8.9 	9.0 	9.5 	9.5 	9.6 	9.6 e
EMP,Y_GE18,T,FI	3.7 	4.5 	5.0 	5.1 	3.7 	3.7 	3.9 	3.8 	3.7 	3.7 	3.5 	3.1 	2.7 
EMP,Y_GE18,T,FR	6.1 	6.0 	6.5 	6.5 b	6.6 	6.5 	7.6 	8.0 	7.8 	8.0 	7.5 	7.9 	7.4 
EMP,Y_GE18,T,HR	: 	: 	: 	: 	: 	6.3 	6.6 	6.0 	6.2 	5.7 	5.9 	5.6 	: 
EMP,Y_GE18,T,HU	8.7 	6.8 	5.8 	5.8 	6.2 	5.3 	6.2 	5.7 	7.0 	6.7 	9.3 	9.6 	10.2 
EMP,Y_GE18,T,IE	6.0 	6.2 	5.6 	6.5 	5.3 	5.5 	5.6 	5.6 	5.0 	5.4 	4.8 	4.8 	: 
EMP,Y_GE18,T,IS	7.9 	6.6 	7.0 	6.7 	7.7 	6.6 	6.4 	5.2 	6.1 	4.6 	6.5 	6.5 p	: 
EMP,Y_GE18,T,IT	8.7 	9.0 	9.3 	9.0 	10.2 	9.5 	11.0 	11.0 	11.0 	11.0 	11.5 	11.7 	12.2 
EMP,Y_GE18,T,LT	10.0 	10.0 	8.0 	9.4 	10.3 	12.6 	9.5 	7.6 	9.1 	8.3 	9.9 	8.5 	8.5 
EMP,Y_GE18,T,LU	9.8 	10.3 	9.3 	9.4 	10.0 	10.6 	9.9 	10.2 	11.2 	11.1 	11.6 	12.0 b	13.7 
EMP,Y_GE18,T,LV	9.0 	11.1 	9.2 	10.5 	10.8 	9.4 	9.3 	8.6 	8.9 	8.1 	9.2 	8.3 	8.8 
EMP,Y_GE18,T,MK	: 	: 	: 	: 	: 	: 	10.2 	11.1 	11.1 	9.8 	8.9 	9.0 	: 
EMP,Y_GE18,T,MT	4.3 	4.1 	4.6 	5.1 	5.4 	5.9 	6.1 	5.2 	5.9 	5.7 	5.4 	5.8 	5.9 
EMP,Y_GE18,T,NL	5.8 	4.4 	4.6 	4.8 	5.0 	5.1 	5.4 	4.6 	4.5 	5.3 	5.0 	5.6 b	6.1 
EMP,Y_GE18,T,NO	4.5 	6.1 	5.8 	5.4 	5.6 	5.2 	5.6 	5.0 	5.6 	5.0 	5.5 	5.7 	7.5 
EMP,Y_GE18,T,PL	13.8 	12.8 	11.7 	11.5 	11.0 	11.4 	11.1 	10.4 	10.7 	10.6 	11.2 	10.8 	9.9 
EMP,Y_GE18,T,PT	11.9 	11.2 	9.7 	11.8 	10.3 	9.7 	10.3 	9.9 	10.5 	10.7 	10.9 	10.9 	10.8 
EMP,Y_GE18,T,RO	: 	: 	17.4 	17.7 	17.4 	17.9 	19.1 	19.0 	18.4 	19.8 	18.8 	18.9 	17.4 
EMP,Y_GE18,T,RS	: 	: 	: 	: 	: 	: 	: 	: 	14.9 	15.0 	13.5 	12.6 	: 
EMP,Y_GE18,T,SE	5.5 	7.4 	6.4 	7.4 b	7.5 	7.7 	7.5 	7.2 	7.6 	7.7 	8.0 	6.7 	6.9 
EMP,Y_GE18,T,SI	4.6 	4.8 	4.7 	5.1 	4.8 	5.3 	6.0 	6.5 	7.1 	6.4 	6.7 	6.1 	6.6 
EMP,Y_GE18,T,SK	8.9 	6.3 	4.9 	5.8 	5.2 	5.7 	6.3 	6.2 	5.7 	5.7 	6.0 	6.5 	6.3 
EMP,Y_GE18,T,TR	: 	18.2 	17.9 	18.4 	18.8 	18.0 	16.0 	15.3 	14.9 	14.4 	13.7 	: 	: 
EMP,Y_GE18,T,UK	8.2 	7.8 	8.0 	8.5 	6.7 	6.8 	7.9 	9.0 b	8.4 	8.7 	8.1 	8.6 	: 
