na_item,s_adj,unit,nace_r2,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
D1,SCA,CP_MEUR,G-I,ES	32038.0 	32542.0 	32439.0 p	32819.0 p	32961.0 p	33471.0 p	33865.0 p	34212.0 p	34673.0 p	34953.0 p	35278.0 p	36019.0 p
D1,SCA,CP_MEUR,G-I,EU28	356751.8 	359197.7 	357427.1 	360848.4 	359330.4 	361043.7 	365470.0 	370261.1 	371928.8 	376636.6 	380392.3 	385223.0 
D1,SCA,CP_MEUR,G-I,FI	4660.0 	4669.0 	4717.0 	4723.0 	4764.0 	4741.0 	4727.0 	4752.0 	4757.0 	4829.0 	4873.0 	4937.0 
D1,SCA,CP_MEUR,G-I,HR	1268.8 	1281.6 	1307.6 	1339.8 	1354.5 	1361.8 	1394.1 	1414.6 	1428.9 	1405.7 	1464.3 	1502.4 
D1,SCA,CP_MEUR,G-I,HU	2378.7 	2413.9 	2483.5 	2494.8 	2569.4 	2620.5 	2685.2 	2774.4 	2855.4 	2892.9 	3077.6 	3058.3 
D1,SCA,CP_MEUR,G-I,IE	3938.4 	4026.5 	4048.4 	4085.1 	4246.0 	4238.2 	4277.1 	4338.4 	4332.3 	4438.3 	4442.2 	4470.6 
D1,SCA,CP_MEUR,G-I,IT	33189.0 	33456.3 	33678.1 	34351.5 	34437.9 	35099.7 	35135.7 	35685.0 	36134.8 	36179.6 	36576.2 	36764.4 
D1,SCA,CP_MEUR,G-I,LT	1141.7 	1165.7 	1200.6 	1218.2 	1239.9 	1269.8 	1304.7 	1332.9 	1358.8 	1393.3 	1422.6 	1444.4 
D1,SCA,CP_MEUR,G-I,LU	1158.9 	1167.4 	1166.8 	1171.1 	1182.0 	1186.9 	1251.2 	1252.8 	1265.0 	1269.4 	1290.8 	1312.1 
D1,SCA,CP_MEUR,G-I,LV	757.4 	770.6 	775.1 	786.7 	800.5 	814.5 	831.6 	845.2 	850.4 	867.0 	890.8 	913.4 
D1,SCA,CP_MEUR,G-I,MT	214.2 	220.4 	225.7 	226.7 	230.2 	231.8 	233.9 	235.5 	241.3 	243.1 	248.1 	249.3 
D1,SCA,CP_MEUR,G-I,NL	16491.8 	16547.3 	16857.9 p	16926.6 p	17042.1 p	17200.4 p	17346.0 p	17559.5 p	17800.8 p	18023.4 p	18288.8 p	18503.1 p
D1,SCA,CP_MEUR,G-I,NO	7690.1 	7658.8 	7508.6 	7679.7 	7787.3 	7966.3 	8106.8 	7847.0 	7924.9 	7756.1 	7800.6 	7957.7 
D1,SCA,CP_MEUR,G-I,PL	7850.6 	7869.5 	7854.2 	7845.4 	8094.8 	8265.7 	8716.6 p	9354.5 p	9482.8 p	9699.3 p	10003.5 p	10227.8 p
D1,SCA,CP_MEUR,G-I,PT	4768.1 	4765.7 	4908.3 	4958.8 	5038.9 	5119.9 	5214.6 	5333.7 	5429.1 	5519.5 	5589.6 	5684.6 
D1,SCA,CP_MEUR,G-I,RO	2972.2 	3049.9 	3278.5 p	3184.7 p	3485.6 p	3506.9 p	3702.0 p	3613.5 p	3884.0 p	4096.3 p	4127.7 p	4289.0 p
D1,SCA,CP_MEUR,G-I,SE	10318.1 	10537.2 	10670.2 	10783.3 	10637.6 	10530.3 	10844.2 	10734.5 	10978.9 	10820.6 	10780.1 	10525.8 
D1,SCA,CP_MEUR,G-I,SI	1005.3 	1017.8 	1030.5 	1047.4 	1061.3 	1078.1 	1100.1 	1117.2 	1137.3 	1163.0 	1185.4 	1211.3 
D1,SCA,CP_MEUR,G-I,UK	69359.4 	69142.6 	64498.9 	65333.4 	61766.7 	59869.1 	61013.4 	61982.1 	59864.8 	61571.5 	61903.8 	62915.4 
