indic,unit,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
TOTAL,I15_NSA,EU28	101.01 p	101.35 p	102.16 p	103.86 p	105.42 p	105.94 p	106.41 p	108.32 p	110.03 p	110.69 p	111.38 p	112.99 p
TOTAL,I15_NSA,FI	100.12 	99.90 	99.80 	100.98 	100.58 	100.40 	101.75 	102.68 	102.05 	101.56 	101.71 	103.42 
TOTAL,I15_NSA,FR	100.94 	100.14 	99.71 	100.20 	102.35 	101.78 	102.39 	103.40 	105.69 	105.14 	105.40 	106.31 p
TOTAL,I15_NSA,HR	99.86 	99.96 	101.21 	100.28 	101.31 	100.75 	100.85 	104.55 	105.13 	108.45 	109.44 	109.26 
TOTAL,I15_NSA,HU	103.06 	104.65 	109.39 	111.97 	115.20 	116.95 	115.21 	118.67 	122.31 	124.33 	129.24 	131.01 p
TOTAL,I15_NSA,IE	101.73 p	103.25 p	103.67 p	104.79 p	109.33 p	112.06 p	113.36 p	115.86 p	122.18 p	125.31 p	127.34 p	130.45 p
TOTAL,I15_NSA,IS	100.54 	102.78 	104.94 	106.65 p	110.76 p	116.73 p	122.09 	130.12 p	135.65 p	136.94 p	138.82 	140.52 
TOTAL,I15_NSA,IT	100.7 	99.8 	99.8 	100.5 	100.7 	99.0 p	99.1 	99.6 	99.2 	98.8 	98.6 	99.4 p
TOTAL,I15_NSA,LT	102.07 	99.95 	100.78 	103.91 	107.48 	109.43 	111.07 	114.52 	116.66 	116.94 	119.78 	123.00 
TOTAL,I15_NSA,LU	101.27 	101.06 	102.64 	105.44 	107.02 	108.92 	109.84 	112.21 	112.28 	113.50 	116.84 	117.93 
TOTAL,I15_NSA,LV	100.40 	102.91 	103.49 	109.52 	110.04 	110.90 	113.11 	119.53 	119.72 	119.69 	126.02 	129.91 p
TOTAL,I15_NSA,MT	102.72 	105.92 	100.29 	102.78 	107.62 	111.12 	105.61 	108.88 	113.09 p	116.53 p	111.51 p	115.05 p
TOTAL,I15_NSA,NL	101.14 	101.45 	102.81 	103.58 	106.16 	107.52 	109.67 	111.39 	114.02 	116.65 	119.90 	121.79 p
TOTAL,I15_NSA,NO	100.93 	100.12 	102.86 	107.18 	109.87 	111.61 	114.86 	115.54 	112.35 	112.23 	113.57 	116.08 
TOTAL,I15_NSA,PL	100.63 	99.88 	100.00 	100.84 	102.73 	103.86 	103.33 	105.44 	106.50 	107.86 	109.48 	111.95 
TOTAL,I15_NSA,PT	100.65 	101.84 	103.67 	106.91 	108.31 	109.57 	111.89 	115.51 	119.60 	121.06 	125.58 	128.49 
TOTAL,I15_NSA,RO	98.87 	100.36 	103.65 	106.59 	105.86 	107.70 	108.96 	114.27 	112.44 	113.75 	116.10 	119.66 
TOTAL,I15_NSA,SE	102.26 	104.35 	106.85 	106.98 	109.54 	111.15 	113.95 	116.15 	117.76 	114.44 	113.49 	114.14 
TOTAL,I15_NSA,SI	98.77 	98.74 	100.94 	102.84 	103.69 	105.54 	106.87 	111.42 	111.89 	116.07 	121.19 	126.34 
TOTAL,I15_NSA,SK	100.22 	101.34 	103.18 	106.10 	107.77 	109.75 	107.08 	113.09 	115.62 	116.16 	119.57 	120.99 
TOTAL,I15_NSA,UK	101.82 	103.05 	104.16 	106.49 	108.66 	108.60 	108.78 	111.16 	113.69 	113.61 	113.47 	114.92 p
TOTAL,PCH_Q1_NSA,AT	4.1 	-1.7 	4.2 	2.2 	0.5 	-0.1 	2.0 	2.4 	0.4 	1.5 	0.8 	0.9 
TOTAL,PCH_Q1_NSA,BE	2.2 p	-0.5 p	-0.7 p	1.2 p	2.5 p	-0.4 p	1.0 p	-0.3 	3.4 	-0.5 	0.0 	1.0 p
TOTAL,PCH_Q1_NSA,BG	-0.5 	3.0 	1.1 	2.8 	1.6 	2.4 	1.9 	2.4 	2.0 	1.6 	0.9 p	2.8 p
TOTAL,PCH_Q1_NSA,CY	1.9 	-3.0 	-2.1 	1.9 	2.7 	0.8 	-3.0 p	3.1 p	-0.3 p	2.7 p	-1.8 p	0.6 p
TOTAL,PCH_Q1_NSA,CZ	1.2 	1.1 p	1.3 p	2.0 	2.5 	4.7 p	3.0 p	2.5 	1.8 	0.9 p	2.2 p	2.4 p
TOTAL,PCH_Q1_NSA,DE	0.5 	1.4 	0.7 	2.9 	1.4 	1.7 	-1.0 	2.0 	1.6 	1.9 	-0.2 p	1.3 p
TOTAL,PCH_Q1_NSA,DK	0.4 	0.0 	1.9 	2.5 	1.3 	-1.6 	2.2 	2.7 	1.3 	-1.9 	3.7 	1.6 p
TOTAL,PCH_Q1_NSA,EA	1.0 p	0.1 p	0.5 p	1.6 p	1.4 p	0.4 p	0.4 p	1.5 p	1.6 p	0.8 p	0.5 p	1.4 p
TOTAL,PCH_Q1_NSA,EE	-1.9 	0.8 	-0.1 	3.1 	3.4 	1.1 	-0.1 	0.3 	3.4 	1.3 	1.5 	1.1 
TOTAL,PCH_Q1_NSA,ES	0.7 	0.0 	1.4 	1.8 	0.8 	0.4 	2.3 	2.0 	1.8 	0.9 	1.4 	2.6 
TOTAL,PCH_Q1_NSA,EU	1.3 p	0.3 p	0.8 p	1.7 p	1.5 p	0.5 p	0.4 p	1.8 p	1.6 p	0.6 p	0.6 p	1.4 p
TOTAL,PCH_Q1_NSA,EU28	1.3 p	0.3 p	0.8 p	1.7 p	1.5 p	0.5 p	0.4 p	1.8 p	1.6 p	0.6 p	0.6 p	1.4 p
TOTAL,PCH_Q1_NSA,FI	0.0 	-0.2 	-0.1 	1.2 	-0.4 	-0.2 	1.3 	0.9 	-0.6 	-0.5 	0.1 	1.7 
TOTAL,PCH_Q1_NSA,FR	1.4 	-0.8 	-0.4 	0.5 	2.1 	-0.6 	0.6 	1.0 	2.2 	-0.5 	0.2 	0.9 p
TOTAL,PCH_Q1_NSA,HR	0.7 	0.1 	1.3 	-0.9 	1.0 	-0.6 	0.1 	3.7 	0.6 	3.2 	0.9 	-0.2 
TOTAL,PCH_Q1_NSA,HU	4.4 	1.5 	4.5 	2.4 	2.9 	1.5 	-1.5 	3.0 	3.1 	1.7 	3.9 	1.4 p
TOTAL,PCH_Q1_NSA,IE	3.2 p	1.5 p	0.4 p	1.1 p	4.3 p	2.5 p	1.2 p	2.2 p	5.5 p	2.6 p	1.6 p	2.4 p
TOTAL,PCH_Q1_NSA,IS	1.1 	2.2 	2.1 	1.6 p	3.9 p	5.4 p	4.6 p	6.6 p	4.2 p	1.0 p	1.4 p	1.2 
TOTAL,PCH_Q1_NSA,IT	0.9 	-0.9 	0.0 	0.7 	0.2 	-1.7 p	0.1 p	0.5 	-0.4 	-0.4 	-0.2 	0.8 p
TOTAL,PCH_Q1_NSA,LT	1.6 	-2.1 	0.8 	3.1 	3.4 	1.8 	1.5 	3.1 	1.9 	0.2 	2.4 	2.7 
TOTAL,PCH_Q1_NSA,LU	1.4 	-0.2 	1.6 	2.7 	1.5 	1.8 	0.8 	2.2 	0.1 	1.1 	2.9 	0.9 
TOTAL,PCH_Q1_NSA,LV	0.3 	2.5 	0.6 	5.8 	0.5 	0.8 	2.0 	5.7 	0.2 	0.0 	5.3 	3.1 p
TOTAL,PCH_Q1_NSA,MT	6.9 	3.1 	-5.3 	2.5 	4.7 	3.3 	-5.0 	3.1 	3.9 p	3.0 p	-4.3 p	3.2 p
TOTAL,PCH_Q1_NSA,NL	2.0 	0.3 	1.3 	0.7 	2.5 	1.3 	2.0 	1.6 	2.4 	2.3 	2.8 	1.6 p
TOTAL,PCH_Q1_NSA,NO	0.3 	-0.8 	2.7 	4.2 	2.5 	1.6 	2.9 	0.6 	-2.8 	-0.1 	1.2 	2.2 
TOTAL,PCH_Q1_NSA,PL	0.2 	-0.7 	0.1 	0.8 	1.9 	1.1 	-0.5 	2.0 	1.0 	1.3 	1.5 	2.3 
TOTAL,PCH_Q1_NSA,PT	0.1 	1.2 	1.8 	3.1 	1.3 	1.2 	2.1 	3.2 	3.5 	1.2 	3.7 	2.3 
TOTAL,PCH_Q1_NSA,RO	-0.9 	1.5 	3.3 	2.8 	-0.7 	1.7 	1.2 	4.9 	-1.6 	1.2 	2.1 	3.1 
TOTAL,PCH_Q1_NSA,SE	3.9 	2.0 	2.4 	0.1 	2.4 	1.5 	2.5 	1.9 	1.4 	-2.8 	-0.8 	0.6 
TOTAL,PCH_Q1_NSA,SI	-3.5 	0.0 	2.2 	1.9 	0.8 	1.8 	1.3 	4.3 	0.4 	3.7 	4.4 	4.2 
TOTAL,PCH_Q1_NSA,SK	0.1 	1.1 	1.8 	2.8 	1.6 	1.8 	-2.4 	5.6 	2.2 	0.5 	2.9 	1.2 
TOTAL,PCH_Q1_NSA,UK	3.3 	1.2 	1.1 	2.2 	2.0 	-0.1 	0.2 	2.2 	2.3 	-0.1 	-0.1 	1.3 p
TOTAL,PCH_Q4_NSA,AT	9.3 	6.4 	13.4 	9.0 	5.2 	7.0 	4.8 	4.9 	4.9 	6.5 	5.3 	3.7 
TOTAL,PCH_Q4_NSA,BE	2.8 p	1.5 p	3.2 p	2.2 p	2.5 p	2.6 p	4.4 p	2.9 p	3.7 p	3.6 p	2.5 	3.9 p
TOTAL,PCH_Q4_NSA,BG	2.1 	4.0 	4.6 	6.5 	8.8 	8.1 	9.0 	8.6 	9.0 	8.2 	7.1 p	7.5 p
TOTAL,PCH_Q4_NSA,CY	-0.2 p	-2.1 p	-0.2 	-1.4 	-0.6 	3.3 	2.4 p	3.6 p	0.6 p	2.5 p	3.7 p	1.2 p
TOTAL,PCH_Q4_NSA,CZ	4.1 	4.5 p	4.8 	5.7 	7.1 	10.9 p	12.8 	13.3 	12.5 	8.4 p	7.6 	7.5 p
TOTAL,PCH_Q4_NSA,DE	4.4 	5.8 	4.8 	5.6 	6.6 	6.9 	5.1 	4.2 	4.4 	4.6 	5.5 p	4.7 p
TOTAL,PCH_Q4_NSA,DK	7.2 	7.7 	5.8 	5.0 	5.9 	4.2 	4.5 	4.7 	4.7 	4.4 	5.9 	4.8 p
TOTAL,PCH_Q4_NSA,EA	1.9 p	2.6 p	3.3 p	3.3 p	3.6 p	3.9 p	3.8 p	3.7 p	3.9 p	4.3 p	4.5 p	4.3 p
TOTAL,PCH_Q4_NSA,EE	4.0 	5.1 	2.0 	1.8 	7.4 	7.7 	7.7 	4.8 	4.7 	4.9 	6.6 	7.4 
TOTAL,PCH_Q4_NSA,ES	4.5 	4.2 	6.3 	3.9 	4.0 	4.4 	5.3 	5.6 	6.7 	7.2 	6.2 	6.8 
TOTAL,PCH_Q4_NSA,EU	2.9 p	3.6 p	4.3 p	4.2 p	4.4 p	4.5 p	4.2 p	4.3 p	4.4 p	4.5 p	4.7 p	4.3 p
TOTAL,PCH_Q4_NSA,EU28	2.9 p	3.6 p	4.3 p	4.2 p	4.4 p	4.5 p	4.2 p	4.3 p	4.4 p	4.5 p	4.7 p	4.3 p
TOTAL,PCH_Q4_NSA,FI	0.1 	0.5 	0.0 	0.8 	0.5 	0.5 	2.0 	1.7 	1.5 	1.2 	0.0 	0.7 
TOTAL,PCH_Q4_NSA,FR	-1.5 	-0.2 	0.3 	0.7 	1.4 	1.6 	2.7 	3.2 	3.3 	3.3 	2.9 	2.8 p
TOTAL,PCH_Q4_NSA,HR	-3.0 	-2.1 	0.2 	1.2 	1.5 	0.8 	-0.4 	4.3 	3.8 	7.6 	8.5 	4.5 
TOTAL,PCH_Q4_NSA,HU	15.6 	14.7 	16.9 	13.5 	11.8 	11.8 	5.3 	6.0 	6.2 	6.3 	12.2 	10.4 p
TOTAL,PCH_Q4_NSA,IE	8.7 p	6.9 p	7.5 p	6.3 p	7.5 p	8.5 p	9.3 p	10.6 p	11.8 p	11.8 p	12.3 p	12.6 p
TOTAL,PCH_Q4_NSA,IS	8.1 	8.7 	7.9 	7.3 p	10.2 p	13.6 p	16.3 	22.0 p	22.5 p	17.3 p	13.7 	8.0 p
TOTAL,PCH_Q4_NSA,IT	-2.7 	-2.1 	0.1 	0.7 	0.0 	-0.8 p	-0.7 	-0.9 	-1.5 	-0.2 p	-0.5 	-0.2 p
TOTAL,PCH_Q4_NSA,LT	3.4 	3.3 	3.4 	3.4 	5.3 	9.5 	10.2 	10.2 	8.5 	6.9 	7.8 	7.4 
TOTAL,PCH_Q4_NSA,LU	5.5 	3.7 	4.9 	5.6 	5.7 	7.8 	7.0 	6.4 	4.9 	4.2 	6.4 	5.1 
TOTAL,PCH_Q4_NSA,LV	-7.9 	6.6 	7.1 	9.5 	9.6 	7.8 	9.3 	9.1 	8.8 	7.9 	11.4 	8.7 p
TOTAL,PCH_Q4_NSA,MT	8.6 	8.2 	5.2 	7.0 	4.8 	4.9 	5.3 	5.9 	5.1 p	4.9 p	5.6 p	5.7 p
TOTAL,PCH_Q4_NSA,NL	4.4 	4.3 	4.6 	4.5 	5.0 	6.0 	6.7 	7.5 	7.4 	8.5 	9.3 	9.3 p
TOTAL,PCH_Q4_NSA,NO	6.4 	5.5 	4.6 	6.5 	8.9 	11.5 	11.7 	7.8 	2.3 	0.6 	-1.1 	0.5 
TOTAL,PCH_Q4_NSA,PL	2.0 	1.0 	0.9 	0.4 	2.1 	4.0 	3.3 	4.6 	3.7 	3.9 	6.0 	6.2 
TOTAL,PCH_Q4_NSA,PT	3.4 	5.0 	6.9 	6.3 	7.6 	7.6 	7.9 	8.0 	10.4 	10.5 	12.2 	11.2 
TOTAL,PCH_Q4_NSA,RO	3.0 	2.8 	2.6 	6.8 	7.1 	7.3 	5.1 	7.2 	6.2 	5.6 	6.6 	4.7 
TOTAL,PCH_Q4_NSA,SE	13.6 	14.2 	12.5 	8.7 	7.1 	6.5 	6.6 	8.6 	7.5 	3.0 	-0.4 	-1.7 
TOTAL,PCH_Q4_NSA,SI	1.0 	0.1 	0.8 	0.4 	5.0 	6.9 	5.9 	8.3 	7.9 	10.0 	13.4 	13.4 
TOTAL,PCH_Q4_NSA,SK	5.8 	4.8 	5.0 	5.9 	7.5 	8.3 	3.8 	6.6 	7.3 	5.8 	11.7 	7.0 
TOTAL,PCH_Q4_NSA,UK	5.3 	6.4 	7.9 	8.0 	6.7 	5.4 	4.4 	4.4 	4.6 	4.6 	4.3 	3.4 p
