unit,age,sex,indic_il,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,Y_GE65,T,LI_R_MD40,EU28	: 	: 	: 	: 	3.3 	3.2 	2.9 	2.5 	3.0 	2.9 	3.3 	3.1 e
PC,Y_GE65,T,LI_R_MD40,FI	1.0 	1.1 	1.2 	0.8 	0.7 	1.0 	0.8 	1.0 	0.7 	0.7 	0.3 	0.4 
PC,Y_GE65,T,LI_R_MD40,FR	3.5 	2.9 	0.9 	1.8 	1.7 	1.0 	0.9 	0.6 	0.9 	1.0 	1.2 	0.5 
PC,Y_GE65,T,LI_R_MD40,HR	: 	: 	: 	: 	12.6 	11.3 	9.5 	8.0 	8.6 	8.6 	10.1 	: 
PC,Y_GE65,T,LI_R_MD40,HU	2.0 	0.6 	0.4 	0.6 	0.4 	0.5 	0.5 	0.5 	0.9 	1.0 	1.8 	2.6 
PC,Y_GE65,T,LI_R_MD40,IE	1.8 	2.8 	4.0 	3.7 	3.3 	5.2 	4.8 	4.3 	5.4 	3.5 	3.4 	: 
PC,Y_GE65,T,LI_R_MD40,IS	1.3 	1.2 	2.0 	1.9 	1.6 	2.1 	1.3 	1.1 	1.2 	0.4 	0.7 p	: 
PC,Y_GE65,T,LI_R_MD40,IT	4.5 	4.8 	4.3 	4.1 	3.0 	3.0 	2.8 	2.8 	2.9 	3.4 	4.3 	4.1 
PC,Y_GE65,T,LI_R_MD40,LT	3.5 	4.4 	2.9 	1.7 	1.7 	2.6 	2.6 	2.7 	2.7 	3.3 	4.5 	5.6 
PC,Y_GE65,T,LI_R_MD40,LU	1.3 	0.6 	0.9 	1.1 	1.5 	1.1 	1.2 	1.7 	1.7 	2.0 	4.6 b	3.2 
PC,Y_GE65,T,LI_R_MD40,LV	3.6 	5.6 	18.0 	10.0 	2.5 	1.8 	2.1 	2.8 	3.8 	4.8 	7.4 	7.7 
PC,Y_GE65,T,LI_R_MD40,MK	: 	: 	: 	: 	7.0 	8.4 	8.5 	6.0 	5.4 	4.8 	5.5 	: 
PC,Y_GE65,T,LI_R_MD40,MT	6.8 	5.1 	6.5 	3.9 	5.3 	4.2 	4.2 	2.6 	1.6 	2.0 	2.1 	2.5 
PC,Y_GE65,T,LI_R_MD40,NL	0.8 	1.3 	1.4 	1.5 	1.5 	1.8 	1.4 	1.1 	1.9 	1.0 	1.6 b	1.3 
PC,Y_GE65,T,LI_R_MD40,NO	1.7 	0.6 	1.1 	0.5 	0.5 	0.9 	0.4 	0.7 	0.5 	0.4 	0.8 	0.9 
PC,Y_GE65,T,LI_R_MD40,PL	1.3 	1.2 	1.5 	2.3 	2.2 	2.3 	2.2 	1.7 	1.7 	2.4 	2.4 	2.5 
PC,Y_GE65,T,LI_R_MD40,PT	6.2 	6.3 	4.6 	4.6 	4.3 	2.8 	2.7 	2.4 	3.3 	3.9 	4.2 	3.7 
PC,Y_GE65,T,LI_R_MD40,RO	: 	12.4 	9.2 	6.5 	3.3 	3.2 	2.9 	3.1 	4.0 	5.8 	4.6 	5.2 
PC,Y_GE65,T,LI_R_MD40,RS	: 	: 	: 	: 	: 	: 	: 	8.1 	7.6 	7.1 	7.9 	: 
PC,Y_GE65,T,LI_R_MD40,SE	1.3 	1.3 	1.9 b	2.3 	1.1 	1.9 	1.7 	2.1 	1.5 	1.1 	1.4 	1.4 
PC,Y_GE65,T,LI_R_MD40,SI	4.0 	3.5 	4.5 	3.2 	3.0 	2.8 	2.3 	2.6 	2.8 	2.8 	3.6 	2.9 
PC,Y_GE65,T,LI_R_MD40,SK	1.1 	0.8 	0.7 	0.7 	0.8 	0.3 	0.5 	0.4 	0.5 	0.6 	0.8 	1.3 
PC,Y_GE65,T,LI_R_MD40,TR	11.2 	8.6 	8.6 	11.5 	10.7 	9.6 	10.8 	8.3 	9.4 	8.7 	: 	: 
PC,Y_GE65,T,LI_R_MD40,UK	5.6 	5.7 	6.4 	4.6 	5.3 	5.6 	4.1 	3.2 	4.4 	3.5 	5.0 	: 
PC,Y_GE65,T,LI_R_MD50,AT	4.9 	3.8 	10.5 	9.2 	9.8 	9.7 	8.9 	9.8 	8.4 	7.2 	6.6 	6.7 
PC,Y_GE65,T,LI_R_MD50,BE	12.2 	10.1 	8.8 	7.6 	7.8 	7.9 	7.5 	5.8 	6.5 	5.3 	6.3 	5.4 
PC,Y_GE65,T,LI_R_MD50,BG	9.3 	12.9 	18.3 	25.5 	22.1 	20.2 	17.4 	16.5 	11.9 	19.2 	12.0 b	18.3 
PC,Y_GE65,T,LI_R_MD50,CH	: 	15.6 	17.2 	21.6 	17.2 	17.2 	19.9 	19.1 	16.4 	16.5 	16.9 	: 
PC,Y_GE65,T,LI_R_MD50,CY	33.7 	34.1 	24.9 	24.7 	21.8 	19.0 	13.7 	7.9 	8.8 	6.4 	8.6 	9.1 
PC,Y_GE65,T,LI_R_MD50,CZ	1.2 	1.6 	1.6 	1.5 	1.3 	1.7 	1.4 	1.4 	1.8 	1.8 	1.6 	2.5 
PC,Y_GE65,T,LI_R_MD50,DE	6.3 	8.7 	7.5 	7.5 	7.0 	7.3 	8.4 	8.0 	9.1 	9.0 	9.4 	9.2 
PC,Y_GE65,T,LI_R_MD50,DK	3.1 	3.6 	3.0 	4.6 	5.5 	2.5 	3.0 	3.8 	2.8 	1.6 	1.4 	1.5 
PC,Y_GE65,T,LI_R_MD50,EA18	9.9 	10.1 	8.9 	8.5 	7.2 	7.3 	6.6 	6.2 	6.3 	6.3 	6.6 	6.8 e
PC,Y_GE65,T,LI_R_MD50,EA19	9.9 	10.1 	9.0 	8.5 	7.1 	7.3 	6.6 	6.2 	6.3 	6.4 	6.7 	6.9 e
PC,Y_GE65,T,LI_R_MD50,EE	8.4 	12.3 	17.2 	10.6 	3.7 	3.7 	4.3 	5.1 	8.0 	10.7 	16.5 	20.8 
PC,Y_GE65,T,LI_R_MD50,EL	16.5 	14.7 	12.3 	10.2 	9.6 	14.5 	7.8 	6.5 	7.8 	7.1 	6.9 	7.0 
PC,Y_GE65,T,LI_R_MD50,ES	16.5 	15.1 	15.1 	12.2 	11.0 	10.2 	7.2 	6.3 	5.3 	5.8 	6.0 	8.1 
PC,Y_GE65,T,LI_R_MD50,EU27	10.0 e	10.2 	9.5 	8.9 	7.8 	7.8 	6.9 	6.5 	6.6 	6.9 	7.0 	7.0 e
PC,Y_GE65,T,LI_R_MD50,EU28	: 	: 	: 	: 	7.9 	7.9 	7.0 	6.6 	6.7 	7.0 	7.1 	7.0 e
PC,Y_GE65,T,LI_R_MD50,FI	6.9 	5.7 	6.9 	6.3 	4.7 	5.5 	5.5 	5.0 	3.8 	2.8 	2.4 	2.5 
PC,Y_GE65,T,LI_R_MD50,FR	9.1 	6.9 	2.5 	5.3 	3.8 	4.0 	3.8 	3.4 	2.9 	2.9 	2.3 	2.0 
PC,Y_GE65,T,LI_R_MD50,HR	: 	: 	: 	: 	19.2 	17.8 	16.5 	14.4 	14.3 	16.3 	17.2 	: 
PC,Y_GE65,T,LI_R_MD50,HU	4.8 	2.2 	1.5 	1.8 	1.4 	1.7 	2.3 	1.6 	1.9 	2.2 	3.0 	4.1 
PC,Y_GE65,T,LI_R_MD50,IE	5.6 	7.6 	6.2 	6.8 	6.0 	7.3 	8.7 	7.2 	7.4 	5.8 	6.3 	: 
PC,Y_GE65,T,LI_R_MD50,IS	2.9 	3.1 	4.5 	3.4 	2.1 	2.6 	2.2 	1.6 	1.5 	1.0 	1.3 p	: 
PC,Y_GE65,T,LI_R_MD50,IT	11.5 	12.2 	11.5 	10.3 	7.9 	7.7 	6.9 	6.8 	6.1 	6.8 	7.5 	7.8 
PC,Y_GE65,T,LI_R_MD50,LT	9.2 	13.5 	14.5 	9.9 	3.7 	4.6 	5.1 	8.4 	8.3 	12.1 	15.2 	19.3 
PC,Y_GE65,T,LI_R_MD50,LU	4.2 	2.9 	2.2 	1.9 	3.1 	1.9 	2.4 	2.8 	2.7 	3.3 	6.7 b	6.8 
PC,Y_GE65,T,LI_R_MD50,LV	15.3 	20.6 	37.2 	30.6 	6.1 	4.6 	5.5 	6.5 	10.1 	16.4 	22.9 	25.0 
PC,Y_GE65,T,LI_R_MD50,MK	: 	: 	: 	: 	12.0 	13.2 	13.9 	10.8 	8.5 	8.8 	9.4 	: 
PC,Y_GE65,T,LI_R_MD50,MT	11.6 	10.6 	12.4 	9.2 	9.5 	9.7 	9.0 	6.8 	6.0 	8.3 	8.6 	8.8 
PC,Y_GE65,T,LI_R_MD50,NL	1.9 	3.4 	4.3 	3.2 	2.1 	2.7 	2.6 	2.2 	2.8 	2.2 	3.0 b	3.0 
PC,Y_GE65,T,LI_R_MD50,NO	6.4 	3.7 	5.3 	2.6 	2.3 	2.1 	1.7 	1.4 	2.1 	1.3 	1.7 	2.2 
PC,Y_GE65,T,LI_R_MD50,PL	3.3 	3.3 	5.2 	6.6 	6.8 	7.0 	6.5 	6.2 	5.5 	5.7 	6.3 	6.5 
PC,Y_GE65,T,LI_R_MD50,PT	13.4 	13.3 	11.7 	9.1 	10.1 	8.2 	6.6 	6.3 	8.7 	9.1 	9.7 	8.0 
PC,Y_GE65,T,LI_R_MD50,RO	: 	20.4 	16.2 	13.6 	9.8 	8.3 	7.9 	7.5 	9.2 	11.7 	11.0 	12.8 
PC,Y_GE65,T,LI_R_MD50,RS	: 	: 	: 	: 	: 	: 	: 	12.8 	13.1 	12.6 	12.7 	: 
PC,Y_GE65,T,LI_R_MD50,SE	4.6 	3.8 	4.9 b	5.7 	4.1 	6.2 	5.1 	5.4 	3.8 	4.6 	4.9 	4.8 
PC,Y_GE65,T,LI_R_MD50,SI	11.3 	10.8 	12.4 	11.9 	11.4 	12.0 	10.8 	11.4 	9.1 	9.5 	10.4 	8.9 
PC,Y_GE65,T,LI_R_MD50,SK	4.0 	3.4 	2.9 	4.8 	2.2 	1.6 	2.8 	1.2 	1.8 	1.6 	1.5 	2.2 
PC,Y_GE65,T,LI_R_MD50,TR	15.6 	13.5 	13.7 	15.8 	14.4 	14.2 	15.6 	13.5 	14.4 	13.6 	: 	: 
PC,Y_GE65,T,LI_R_MD50,UK	14.0 	15.0 	15.3 	11.7 	12.1 	12.4 	9.3 	9.0 	9.8 	9.8 	10.0 	: 
PC,Y_GE65,T,LI_R_MD60,AT	16.2 	14.0 	18.9 	17.4 	16.8 	16.2 	15.1 	15.4 	14.2 	13.2 	13.2 	12.9 
PC,Y_GE65,T,LI_R_MD60,BE	23.2 	23.0 	21.2 	21.6 	19.4 	20.2 	19.4 	18.4 	16.1 	15.2 	15.4 	16.0 
PC,Y_GE65,T,LI_R_MD60,BG	19.9 	23.9 	33.8 	39.3 	32.2 	31.2 	28.2 	27.9 	22.6 	31.7 	24.3 b	32.0 
PC,Y_GE65,T,LI_R_MD60,CH	: 	26.1 	27.2 	30.2 	27.6 	28.1 	29.9 	29.5 	25.7 	26.5 	25.2 	: 
PC,Y_GE65,T,LI_R_MD60,CY	51.9 	50.6 	46.3 	46.4 	39.9 	35.5 	29.3 	20.1 	22.4 	17.3 	19.5 	21.6 
PC,Y_GE65,T,LI_R_MD60,CZ	5.9 	5.5 	7.4 	7.2 	6.8 	6.6 	6.0 	5.8 	7.0 	7.4 	8.1 	10.7 
PC,Y_GE65,T,LI_R_MD60,DE	12.5 	16.2 	14.9 	15.0 	14.1 	14.2 	15.0 	14.9 	16.3 	16.5 	17.6 	17.0 
PC,Y_GE65,T,LI_R_MD60,DK	17.4 	17.7 	18.1 	20.1 	17.7 	13.9 	12.8 	10.1 	9.8 	9.1 	8.5 	8.8 
PC,Y_GE65,T,LI_R_MD60,EA18	18.7 	19.0 	18.0 	17.3 	15.2 	15.1 	14.1 	13.3 	13.2 	13.4 	14.0 	14.1 e
PC,Y_GE65,T,LI_R_MD60,EA19	18.8 	19.1 	18.2 	17.4 	15.2 	15.1 	14.1 	13.3 	13.3 	13.5 	14.2 	14.3 e
PC,Y_GE65,T,LI_R_MD60,EE	25.1 	33.2 	39.0 	33.9 	15.1 	13.1 	17.2 	24.4 	32.6 	35.8 	40.2 	41.2 
PC,Y_GE65,T,LI_R_MD60,EL	25.6 	22.9 	22.3 	21.4 	21.3 	23.6 	17.2 	15.1 	14.9 	13.7 	12.4 	12.4 
PC,Y_GE65,T,LI_R_MD60,ES	29.3 	26.1 	25.5 	23.8 	21.8 	19.8 	14.8 	12.7 	11.4 	12.3 	13.0 	14.8 
PC,Y_GE65,T,LI_R_MD60,EU27	18.9 e	19.1 	18.9 	17.9 	15.9 	15.8 	14.4 	13.6 	13.6 	14.0 	14.5 	14.6 e
PC,Y_GE65,T,LI_R_MD60,EU28	: 	: 	: 	: 	16.0 	15.9 	14.5 	13.7 	13.7 	14.1 	14.6 	14.6 e
PC,Y_GE65,T,LI_R_MD60,FI	21.8 	21.6 	22.5 	22.1 	18.3 	18.9 	18.4 	16.1 	16.0 	13.8 	12.3 	12.3 
PC,Y_GE65,T,LI_R_MD60,FR	16.1 	13.1 	11.9 	11.9 	9.4 	9.7 	9.4 	9.1 	8.6 	8.0 	8.2 	7.8 
PC,Y_GE65,T,LI_R_MD60,HR	: 	: 	: 	: 	30.5 	29.4 	25.6 	23.4 	23.1 	26.3 	26.5 	: 
PC,Y_GE65,T,LI_R_MD60,HU	9.4 	6.1 	4.3 	4.6 	4.1 	4.9 	6.3 	4.6 	4.5 	4.6 	6.8 	9.1 
PC,Y_GE65,T,LI_R_MD60,IE	26.9 	28.3 	21.1 	16.2 	9.9 	11.0 	12.8 	10.6 	11.4 	14.2 	16.0 	: 
PC,Y_GE65,T,LI_R_MD60,IS	11.8 	15.1 	15.0 	12.4 	4.9 	4.3 	4.5 	4.0 	6.9 	5.8 	5.9 p	: 
PC,Y_GE65,T,LI_R_MD60,IT	21.7 	22.2 	20.9 	19.6 	16.7 	17.0 	16.1 	15.0 	14.2 	14.7 	15.3 	15.6 
PC,Y_GE65,T,LI_R_MD60,LT	22.0 	29.8 	31.0 	23.9 	9.6 	9.7 	18.7 	19.4 	20.1 	25.0 	27.7 	33.4 
PC,Y_GE65,T,LI_R_MD60,LU	7.9 	7.2 	5.4 	6.0 	5.9 	4.7 	6.1 	6.2 	6.3 	7.9 	9.0 b	11.8 
PC,Y_GE65,T,LI_R_MD60,LV	30.4 	35.6 	52.0 	47.6 	17.2 	9.1 	13.9 	17.6 	27.6 	34.6 	38.1 	39.9 
PC,Y_GE65,T,LI_R_MD60,MK	: 	: 	: 	: 	18.5 	21.1 	22.3 	16.5 	14.5 	14.5 	14.5 	: 
PC,Y_GE65,T,LI_R_MD60,MT	23.5 	20.3 	24.3 	19.7 	18.2 	17.6 	17.3 	14.9 	16.9 	21.0 	24.2 	25.0 
PC,Y_GE65,T,LI_R_MD60,NL	5.8 	9.5 	9.4 	7.7 	5.9 	6.5 	5.5 	5.5 	5.9 	5.6 	9.0 b	10.0 
PC,Y_GE65,T,LI_R_MD60,NO	16.8 	14.1 	14.7 	12.2 	12.0 	11.1 	9.2 	9.7 	9.8 	8.9 	9.0 	8.6 
PC,Y_GE65,T,LI_R_MD60,PL	7.8 	7.8 	11.7 	14.4 	14.2 	14.7 	14.0 	12.3 	11.7 	12.1 	12.8 	13.8 
PC,Y_GE65,T,LI_R_MD60,PT	26.1 	25.5 	22.3 	20.1 	21.0 	20.0 	17.4 	14.6 	15.1 	17.0 	18.3 	17.0 
PC,Y_GE65,T,LI_R_MD60,RO	: 	29.4 	26.5 	21.4 	17.6 	14.8 	14.4 	14.5 	15.7 	19.4 	19.1 	20.0 
PC,Y_GE65,T,LI_R_MD60,RS	: 	: 	: 	: 	: 	: 	: 	19.4 	20.4 	19.7 	19.1 	: 
PC,Y_GE65,T,LI_R_MD60,SE	11.3 	9.9 	15.3 b	16.2 	14.2 	15.9 	15.9 	15.0 	13.6 	15.9 	16.8 	15.8 
PC,Y_GE65,T,LI_R_MD60,SI	19.9 	19.4 	21.3 	20.0 	20.2 	20.9 	19.6 	20.5 	17.1 	17.2 	17.6 	16.4 
PC,Y_GE65,T,LI_R_MD60,SK	8.5 	8.5 	9.9 	10.8 	7.7 	6.3 	7.8 	6.0 	6.2 	5.6 	5.7 	6.9 
PC,Y_GE65,T,LI_R_MD60,TR	20.0 	18.4 	18.9 	20.2 	19.3 	19.0 	20.5 	18.4 	19.3 	18.7 	: 	: 
PC,Y_GE65,T,LI_R_MD60,UK	26.1 	26.5 	27.3 	22.3 	21.3 	21.8 	16.4 	16.6 	17.7 	16.5 	17.1 	: 
PC,Y_GE65,T,LI_R_MD70,AT	26.6 	23.0 	27.8 	26.8 	26.9 	26.0 	23.7 	23.7 	21.6 	21.7 	21.3 	20.4 
PC,Y_GE65,T,LI_R_MD70,BE	40.4 	37.2 	38.8 	38.7 	37.2 	37.5 	37.9 	35.1 	34.0 	30.7 	33.2 	33.5 
PC,Y_GE65,T,LI_R_MD70,BG	35.1 	35.2 	47.6 	53.5 	43.2 	43.4 	40.6 	39.1 	33.8 	43.4 	36.2 b	43.9 
PC,Y_GE65,T,LI_R_MD70,CH	: 	37.1 	37.1 	41.3 	38.5 	39.8 	40.1 	40.0 	36.5 	36.5 	36.0 	: 
PC,Y_GE65,T,LI_R_MD70,CY	60.9 	59.8 	58.7 	57.0 	54.4 	52.4 	47.1 	36.2 	40.8 	33.0 	34.2 	37.1 
PC,Y_GE65,T,LI_R_MD70,CZ	18.5 	17.1 	21.8 	21.3 	16.9 	17.1 	16.8 	16.7 	19.4 	21.1 	22.4 	24.0 
PC,Y_GE65,T,LI_R_MD70,DE	21.8 	26.4 	25.6 	25.2 	23.7 	22.8 	24.4 	24.0 	25.0 	26.1 	27.7 	26.5 
PC,Y_GE65,T,LI_R_MD70,DK	38.4 	38.9 	39.7 	40.5 	38.5 	34.4 	33.0 	29.1 	27.6 	28.5 	28.3 	26.8 
PC,Y_GE65,T,LI_R_MD70,EA18	29.3 	29.8 	28.8 	27.6 	25.0 	24.5 	24.0 	22.6 	22.6 	22.6 	23.5 	23.4 e
PC,Y_GE65,T,LI_R_MD70,EA19	29.4 	29.9 	28.9 	27.7 	24.9 	24.5 	24.0 	22.7 	22.7 	22.7 	23.7 	23.6 e
PC,Y_GE65,T,LI_R_MD70,EE	41.3 	49.1 	56.3 	49.5 	37.0 	34.2 	39.8 	43.9 	49.3 	51.5 	56.0 	58.9 
PC,Y_GE65,T,LI_R_MD70,EL	34.6 	33.7 	31.0 	29.2 	30.1 	34.0 	23.8 	21.4 	21.6 	19.8 	18.4 	19.1 
PC,Y_GE65,T,LI_R_MD70,ES	41.4 	38.0 	35.2 	32.9 	29.7 	29.3 	26.1 	23.6 	22.0 	22.4 	23.8 	25.6 
PC,Y_GE65,T,LI_R_MD70,EU27	30.0 e	30.3 	30.2 	28.7 	26.1 	25.8 	24.6 	23.3 	23.2 	23.7 	24.5 	24.2 e
PC,Y_GE65,T,LI_R_MD70,EU28	: 	: 	: 	: 	26.2 	25.9 	24.7 	23.4 	23.3 	23.8 	24.6 	24.2 e
PC,Y_GE65,T,LI_R_MD70,FI	39.8 	38.7 	41.2 	41.0 	33.3 	33.5 	34.7 	31.7 	30.7 	27.9 	24.9 	26.0 
PC,Y_GE65,T,LI_R_MD70,FR	26.6 	23.1 	23.3 	23.5 	18.1 	17.9 	18.7 	16.8 	17.4 	15.7 	16.0 	15.1 
PC,Y_GE65,T,LI_R_MD70,HR	: 	: 	: 	: 	39.2 	37.6 	35.6 	33.2 	33.0 	35.1 	35.5 	: 
PC,Y_GE65,T,LI_R_MD70,HU	17.6 	13.4 	10.5 	10.6 	9.7 	12.1 	13.6 	10.5 	10.2 	12.3 	13.6 	16.5 
PC,Y_GE65,T,LI_R_MD70,IE	45.6 	48.2 	38.6 	34.2 	24.8 	20.4 	24.5 	23.6 	24.3 	27.7 	29.8 	: 
PC,Y_GE65,T,LI_R_MD70,IS	29.7 	31.4 	27.9 	22.5 	16.0 	15.2 	16.0 	17.1 	16.7 	15.8 	15.7 p	: 
PC,Y_GE65,T,LI_R_MD70,IT	30.5 	31.0 	29.6 	27.6 	25.7 	25.7 	24.6 	23.4 	22.3 	22.7 	22.5 	22.7 
PC,Y_GE65,T,LI_R_MD70,LT	37.5 	43.7 	44.2 	37.2 	19.6 	21.0 	32.8 	31.3 	34.0 	40.0 	41.5 	44.9 
PC,Y_GE65,T,LI_R_MD70,LU	15.2 	13.7 	13.1 	13.3 	13.5 	13.0 	12.9 	12.0 	11.6 	12.9 	12.3 b	16.3 
PC,Y_GE65,T,LI_R_MD70,LV	48.1 	51.2 	58.6 	56.8 	33.7 	21.3 	31.8 	35.0 	42.1 	49.4 	51.4 	54.1 
PC,Y_GE65,T,LI_R_MD70,MK	: 	: 	: 	: 	26.4 	27.8 	28.5 	24.3 	21.6 	20.0 	22.5 	: 
PC,Y_GE65,T,LI_R_MD70,MT	35.2 	34.4 	41.1 	35.4 	31.8 	31.2 	30.7 	32.0 	35.7 	38.2 	41.6 	42.1 
PC,Y_GE65,T,LI_R_MD70,NL	18.2 	24.3 	21.6 	19.9 	18.2 	17.7 	15.2 	16.6 	15.3 	15.4 	22.7 b	24.0 
PC,Y_GE65,T,LI_R_MD70,NO	31.4 	27.6 	27.5 	25.6 	23.0 	22.0 	19.0 	18.9 	19.2 	18.4 	19.5 	19.2 
PC,Y_GE65,T,LI_R_MD70,PL	15.0 	16.5 	21.6 	24.8 	23.8 	24.5 	22.5 	20.4 	19.7 	20.9 	22.0 	22.6 
PC,Y_GE65,T,LI_R_MD70,PT	39.0 	38.0 	36.5 	33.7 	34.8 	30.4 	26.0 	23.8 	27.7 	27.7 	29.0 	28.6 
PC,Y_GE65,T,LI_R_MD70,RO	: 	40.7 	35.7 	30.3 	26.6 	24.8 	23.9 	23.6 	23.7 	25.8 	26.1 	28.6 
PC,Y_GE65,T,LI_R_MD70,RS	: 	: 	: 	: 	: 	: 	: 	26.8 	27.3 	26.7 	25.9 	: 
PC,Y_GE65,T,LI_R_MD70,SE	25.7 	28.4 	35.6 b	36.5 	32.8 	34.6 	33.4 	30.7 	26.8 	33.5 	33.9 	32.7 
PC,Y_GE65,T,LI_R_MD70,SI	30.9 	28.4 	31.1 	29.3 	29.0 	29.7 	28.4 	30.0 	26.5 	26.7 	26.8 	26.2 
PC,Y_GE65,T,LI_R_MD70,SK	20.9 	21.1 	23.2 	17.2 	16.5 	13.5 	19.8 	14.3 	13.7 	12.9 	13.1 	15.9 
PC,Y_GE65,T,LI_R_MD70,TR	25.6 	24.6 	24.8 	26.5 	25.9 	25.0 	26.5 	23.9 	26.0 	25.1 	: 	: 
PC,Y_GE65,T,LI_R_MD70,UK	40.4 	39.6 	40.0 	34.6 	33.0 	33.1 	27.5 	27.3 	27.6 	27.1 	28.2 	: 
