indic_bt,nace_r2,s_adj,unit,geo\time	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 	2018Q3 
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,HR	-0.6 	-0.5 	-0.8 	-0.6 	1.1 	-0.6 	-0.9 	1.7 	-0.8 	0.7 	-0.2 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,HU	4.2 e	-5.1 e	2.6 e	0.2 e	3.3 e	0.2 e	2.9 e	0.1 e	4.8 e	-3.6 e	3.6 e	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,IE	0.0 	-0.1 	0.5 	0.3 	0.3 	0.4 	0.8 	0.3 	0.1 	0.1 	2.9 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,IT	-0.3 	0.0 	0.1 	0.0 	0.2 	0.1 	0.2 	0.1 	0.2 	0.4 	0.2 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,LT	-0.4 	0.6 	0.4 	1.4 	0.4 	1.1 	1.3 	2.0 	0.2 	0.1 	1.2 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,LU	0.2 e	0.3 e	0.3 e	0.2 e	0.3 e	0.7 e	0.8 e	0.2 	0.3 	0.4 e	0.4 e	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,LV	2.8 	5.8 	-3.3 	0.5 	1.8 	0.0 	1.5 	-0.6 	3.2 	0.0 	0.9 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,ME	4.0 	-4.1 	6.1 	-3.8 	-5.3 	12.9 	-2.0 	1.5 	-1.5 	-0.8 	7.9 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,MK	0.5 	-4.4 	1.8 	0.4 	0.4 	1.5 	1.9 	1.5 	0.7 	1.1 	3.1 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,MT	1.8 p	0.9 p	-0.1 p	0.2 p	-0.1 p	0.4 p	1.2 p	0.8 p	0.1 p	0.1 p	0.1 p	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,NL	0.6 p	0.3 p	-0.1 p	0.9 p	0.2 p	0.8 p	0.5 	0.6 	0.7 	0.6 p	0.4 p	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,NO	0.4 	0.7 	1.5 	0.6 	0.5 	0.6 	0.5 	0.4 	0.9 	0.8 	: 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,PL	-0.3 	-0.1 	0.2 	0.2 	0.2 	0.0 	0.0 	0.6 	0.8 	0.4 	1.0 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,PT	0.3 	0.3 	0.9 	0.8 	0.5 	0.3 	0.5 	0.7 	0.4 	0.4 	0.6 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,RO	-0.5 	-0.6 	2.7 	-1.1 	3.3 	2.6 	0.9 	1.6 	3.5 	5.7 	0.8 p	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,SE	0.4 	0.3 	0.9 	0.8 	0.5 	0.5 	0.9 	0.7 	0.7 	1.2 	1.4 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,SI	-0.9 	-0.9 	-1.3 	1.7 	3.2 	1.3 	-2.4 	3.6 	2.3 	-2.2 	2.1 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,SK	0.2 	0.1 	0.4 	0.2 	0.0 	1.2 	1.4 	0.4 	0.4 	1.5 	1.1 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,TR	-0.3 	3.3 	2.2 	0.5 	5.9 	7.0 	2.9 	4.7 	6.4 	: 	: 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q1_NSA,UK	0.3 p	0.3 p	0.2 p	0.4 p	0.6 p	1.0 p	0.4 p	1.5 p	1.0 p	1.2 p	0.8 p	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,AT	0.8 p	-0.1 p	0.4 p	0.7 	1.6 p	3.8 p	3.3 p	3.1 p	3.5 p	2.8 p	3.1 p	3.4 p
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,BE	1.7 	1.6 	1.7 	1.4 	1.7 	1.2 	0.9 	1.6 	1.5 	2.1 	2.4 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,BG	2.0 	0.9 	0.8 	0.9 	0.5 	2.1 p	2.1 p	2.2 p	3.6 p	2.0 p	3.6 p	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,CH	-0.1 	-0.3 e	-0.3 	-0.7 e	-1.1 	-0.7 e	-0.3 	0.2 e	0.7 	1.1 e	1.3 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,CY	-1.4 	-1.6 	-1.0 	-0.6 	-0.1 	0.6 	-0.2 	-0.3 	0.5 	0.6 	1.2 p	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,CZ	-0.4 	-0.3 	0.0 	0.3 	1.0 	2.4 	2.7 	2.8 	3.2 	3.1 	3.3 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,DE	1.0 	0.2 	0.8 	1.3 	2.0 	2.6 	2.8 	3.2 	3.5 	3.1 	3.3 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,DK	2.2 	2.6 	1.5 	1.4 	1.1 	1.2 	0.6 	0.8 	0.5 	1.0 	2.1 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,EA19	0.0 	-0.2 	0.3 	0.6 	1.3 	2.0 	2.1 	2.0 	2.4 	2.3 	2.3 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,EE	1.0 	-0.4 	-0.7 	-0.2 	-0.2 	0.4 	1.1 	1.5 	1.9 	2.1 	2.1 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,EL	-2.5 	-2.5 	-1.7 	-1.6 	-0.9 	0.1 	-0.3 	0.2 	0.7 	0.6 	0.9 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,ES	-3.1 p	-3.1 p	-1.7 p	-1.2 p	1.0 	2.6 	1.9 	1.7 p	2.2 	2.1 p	1.2 p	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,EU28	0.3 	0.1 	0.5 	0.7 	1.3 	2.1 	2.1 	2.3 	2.7 	2.6 	2.8 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,FI	0.3 	-0.1 	0.5 	0.6 	1.0 	0.4 	0.1 	0.3 	0.4 	1.6 	2.2 	2.7 e
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,FR	-1.0 	-0.8 	-0.5 	0.6 	1.2 	2.3 	2.6 	1.9 	2.8 	2.5 	2.5 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,HR	1.7 	1.5 	-2.8 	-2.5 	-0.8 	-0.9 	-1.0 	1.3 	-0.6 	0.7 	1.4 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,HU	3.9 e	1.8 e	2.5 e	1.7 e	0.9 e	6.5 e	6.7 e	6.6 e	8.1 e	4.0 e	4.7 e	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,IE	0.2 	0.6 	0.5 	0.7 	1.0 	1.5 	1.8 	1.8 	1.6 	1.3 	3.4 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,IT	0.5 	0.5 	0.7 	-0.2 	0.3 	0.4 	0.5 	0.6 	0.6 	0.9 	0.9 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,LT	1.7 	2.7 	1.4 	2.0 	2.8 	3.3 	4.2 	4.9 	4.6 	3.6 	3.5 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,LU	1.0 	1.0 e	1.0 	1.0 e	1.1 	1.5 e	2.0 	2.0 e	2.0 	1.7 e	1.3 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,LV	2.9 	7.6 	4.7 	5.8 	4.7 	-1.0 	3.8 	2.8 	4.1 	4.1 	3.5 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,ME	-0.4 	-13.9 	-11.5 	1.6 	-7.4 	9.0 	0.7 	6.4 	10.6 	-2.8 	7.0 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,MK	-2.3 	-3.5 	-2.5 	-1.8 	-1.9 	4.2 	4.3 	5.4 	5.7 	5.2 	6.5 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,MT	2.4 p	3.0 p	2.1 p	2.8 p	0.9 p	0.4 p	1.7 p	2.2 p	2.4 p	2.1 p	1.1 p	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,NL	1.7 p	1.9 p	1.5 p	1.7 p	1.3 p	1.8 p	2.4 p	2.1 p	2.5 p	2.3 p	2.2 p	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,NO	2.2 	2.1 	2.8 	3.2 	3.3 	3.2 	2.1 	1.9 	2.4 	2.7 	: 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,PL	-1.0 	-0.9 	-0.4 	0.0 	0.5 	0.6 	0.4 	0.8 	1.4 	1.8 	2.8 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,PT	0.6 	1.0 	1.7 	2.3 	2.5 	2.5 	2.1 	2.0 	1.8 	1.9 	2.0 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,RO	-1.8 	-1.8 	0.1 	0.5 	4.3 	7.7 	5.8 	8.7 	8.9 	12.2 	12.0 p	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,SE	2.8 	1.9 	2.0 	2.4 	2.5 	2.7 	2.6 	2.5 	2.7 	3.5 	4.0 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,SI	0.2 	-3.1 	-2.7 	-1.5 	2.6 	4.9 	3.7 	5.7 	4.7 	1.2 	5.9 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,SK	1.8 	1.4 	1.4 	0.9 	0.7 	1.8 	2.8 	3.0 	3.4 	3.7 	3.5 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,TR	5.4 	6.4 	6.5 	5.7 	12.3 	16.3 	17.1 	22.1 	22.7 	: 	: 	: 
CSTI,F_CC11_X_CC113,NSA,PCH_Q4_NSA,UK	0.5 p	0.8 p	0.9 p	1.2 p	1.5 p	2.2 p	2.4 p	3.5 p	3.8 p	4.1 p	4.6 p	: 
