unit,co_nco,na_item,finpos,sector,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,NCO,F4,LIAB,S14,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6727.7 	6932.9 	10698.8 	9369.9 	9912.2 	12421.1 
MIO_NAC,NCO,F4,LIAB,S14,BG	0.0 	-1.0 	163.0 	309.0 	45.0 	97.0 	332.0 	448.0 	1105.0 	1871.0 	2556.0 	2273.0 	4600.0 	4615.0 	1116.0 	-212.0 	-236.0 	-179.0 	-27.0 	188.0 	10.0 	489.0 	1134.0 
MIO_NAC,NCO,F4,LIAB,S14,CY	1337.0 	429.1 	1058.0 	999.4 	1833.4 	904.4 	308.5 	231.6 	66.9 	1129.5 	4238.7 	1222.3 	2362.5 	2599.1 	1497.7 	2173.2 	1081.8 	658.0 	-1649.6 	-444.2 	-90.2 	-51.9 	-3.0 
MIO_NAC,NCO,F4,LIAB,S14,CZ	1817.0 	-17166.0 	12280.0 	-2639.0 	19647.0 	18154.0 	22668.0 	80086.0 	36200.0 	110911.0 	114289.0 	129670.0 	222267.0 	148091.0 	84068.0 	33531.0 	76837.0 	48726.0 	58872.0 	23572.0 	84624.0 	108357.0 	45811.0 
MIO_NAC,NCO,F4,LIAB,S14,DE	74956.0 	78782.0 	62850.0 	73216.0 	81891.0 	44387.0 	20839.0 	14970.0 	17007.0 	-387.0 	-5365.0 	-5134.0 	-19961.0 	-14793.0 	-5697.0 	4865.0 	11566.0 	15649.0 	12003.0 	20589.0 	38195.0 	47377.0 	55634.0 
MIO_NAC,NCO,F4,LIAB,S14,DK	50452.0 	64830.0 	81635.0 	92137.0 	70683.0 	73571.0 	92090.0 	73577.0 	90331.0 	134307.0 	208114.0 	216344.0 	211745.0 	127657.0 	78231.0 	44480.0 	41674.0 	13110.0 	11095.0 	45673.0 	65584.0 	53201.0 	53129.0 
MIO_NAC,NCO,F4,LIAB,S14,EE	17.1 	71.2 	161.0 	-140.8 	82.6 	135.2 	222.3 	375.6 	527.4 	635.8 	1222.4 	2215.6 	1139.7 	599.4 	-296.8 	-184.8 	-215.8 	-5.7 	54.1 	233.6 	413.9 	555.8 	586.6 
MIO_NAC,NCO,F4,LIAB,S14,EL	1163.3 	1462.7 	1586.6 	2101.1 	2819.2 	4135.3 	7021.9 	8250.9 	9300.0 	13072.8 	15982.7 	17957.1 	19473.9 	13472.4 	3473.7 	-1498.9 	-5658.3 	-5051.9 	-3895.7 	-3424.5 	-3469.0 	-2990.3 	-1861.4 
MIO_NAC,NCO,F4,LIAB,S14,ES	11794.0 	14823.0 	22344.0 	33508.0 	40503.0 	43541.0 	36643.0 	53198.0 	71302.0 	90506.0 	110798.0 	126579.0 	96648.0 	38319.0 	-2328.0 	1247.0 	-22850.0 	-35181.0 	-40428.0 	-30164.0 	-16158.0 	-9270.0 	-4992.0 
MIO_NAC,NCO,F4,LIAB,S14,FI	-1480.0 	-1122.0 	463.0 	2102.0 	3858.0 	3538.0 	2924.0 	4337.0 	6254.0 	7976.0 	10365.0 	9507.0 	9352.0 	6844.0 	5541.0 	6262.0 	6275.0 	6355.0 	3389.0 	4440.0 	5316.0 	5105.0 	7685.0 
MIO_NAC,NCO,F4,LIAB,S14,FR	0.0 	16946.0 	20661.0 	11353.0 	33105.0 	28670.0 	30586.0 	32241.0 	43630.0 	53033.0 	77353.0 	80762.0 	90802.0 	62310.0 	32280.0 	54909.0 	47904.0 	26004.0 	19862.0 	21690.0 	37996.0 	53557.0 	73303.0 
MIO_NAC,NCO,F4,LIAB,S14,HR	: 	: 	: 	: 	: 	: 	: 	13988.7 	12759.7 	10756.2 	13907.3 	18446.5 	18921.4 	14375.0 	-3344.1 	4116.3 	-1997.3 	-2056.6 	-1659.2 	-575.0 	-2165.0 	416.0 	4566.1 
MIO_NAC,NCO,F4,LIAB,S14,HU	-26700.0 	-17891.0 	52333.0 	13222.0 	125649.0 	264335.0 	425618.0 	801205.0 	1155846.0 	1016190.0 	1044209.0 	1195451.0 	1454883.0 	1327680.0 	-80631.0 	-303662.0 	-987817.0 	-954962.0 	-469190.0 	-328186.0 	-1165848.0 	89487.0 	131028.0 
MIO_NAC,NCO,F4,LIAB,S14,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-7376.0 	-4645.0 	-5527.0 	-4436.0 	-2684.0 	-2167.0 
MIO_NAC,NCO,F4,LIAB,S14,IT	16304.0 	13369.0 	13510.0 	15179.0 	37101.0 	38081.0 	34233.0 	36148.0 	37733.0 	53275.0 	62185.0 	64419.0 	63043.0 	31408.0 	25938.0 	32279.0 	17399.0 	-7069.0 	-11173.0 	-5088.0 	-53.0 	8868.0 	18208.0 
MIO_NAC,NCO,F4,LIAB,S14,LT	-5.7 	1.8 	34.6 	59.4 	43.8 	-19.1 	60.1 	225.4 	244.3 	654.3 	1244.8 	2020.4 	2779.5 	1567.3 	-495.8 	-499.7 	-284.9 	-173.0 	1.8 	164.0 	518.7 	612.4 	670.2 
MIO_NAC,NCO,F4,LIAB,S14,LU	: 	: 	: 	: 	822.4 	28.8 	532.6 	693.5 	1481.0 	1124.7 	1475.4 	1769.4 	3568.0 	1500.8 	893.1 	1775.9 	1674.8 	2085.2 	1107.5 	2501.1 	1619.8 	2072.3 	2610.2 
