unit,tax,nace_r2,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
PC,NRG,A,IT	1.3 	1.2 	1.2 	1.1 	1.1 	1.0 	1.1 	1.1 	1.1 	1.1 	1.1 	1.1 	1.1 	1.2 	1.2 	1.2 	1.3 	1.5 	1.6 	1.6 	1.7 	: 
PC,NRG,A,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.8 e	6.8 e	6.8 	7.6 	7.9 	4.3 	6.5 	6.4 	: 
PC,NRG,A,LU	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	: 
PC,NRG,A,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.8 	8.5 	3.9 	6.5 	6.3 	5.9 	5.1 	7.1 	: 
PC,NRG,A,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.5 	10.9 	10.9 	10.5 	10.5 	: 	: 
PC,NRG,A,MT	2.8 	2.8 	2.8 	2.8 	2.8 	2.8 	2.8 	2.8 	2.8 	2.8 	2.8 	2.8 	2.8 	1.4 	1.5 	0.9 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 p
PC,NRG,A,NL	1.7 	1.8 	1.7 	1.6 	1.6 	1.5 	2.0 	1.5 	1.6 	1.9 	2.8 	2.9 	2.5 	2.7 	2.8 	2.0 	2.0 	1.9 	2.7 	3.7 	3.5 	3.4 p
PC,NRG,A,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.7 	2.7 	2.9 	2.8 	2.7 	2.6 	2.7 	2.8 	: 
PC,NRG,A,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.6 	5.6 	4.6 	4.9 	4.8 	4.8 	5.0 	4.7 	: 
PC,NRG,A,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.9 	1.8 	2.0 	1.9 	2.0 	2.2 	2.2 	2.5 	2.3 	2.2 	: 
PC,NRG,A,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.0 	1.0 	1.1 	1.7 	1.6 	1.8 	2.1 	2.0 	1.8 	2.2 	: 
PC,NRG,A,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.3 	1.3 	0.9 	1.2 	2.5 	2.5 	1.9 	1.8 	: 
PC,NRG,A,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.0 	3.9 	4.2 	4.5 	4.7 	4.7 	4.6 	4.8 	: 
PC,NRG,A,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.1 	0.1 	0.1 	0.2 
PC,NRG,A,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.8 	4.1 	4.4 	5.0 	4.9 	5.2 	5.5 	5.5 	: 
PC,NRG,A,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.7 	5.8 	5.7 	5.7 	5.7 	5.7 	5.7 	5.6 	5.7 
PC,NRG,A,UK	: 	: 	2.3 	2.3 	2.4 	2.5 	2.4 	2.4 	2.1 	2.5 	2.5 	2.3 	2.5 	2.2 	2.8 	2.3 	2.3 	2.2 	2.1 	2.1 	2.3 	: 
PC,NRG,B-E,AT	6.5 	9.0 	14.5 	12.3 	11.7 	13.8 	14.9 	13.5 	12.9 	12.9 	13.8 	12.5 	13.3 	12.5 	12.2 	13.0 	13.3 	14.1 	14.8 	14.9 	15.9 	: 
PC,NRG,B-E,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.8 	11.8 	7.6 	8.5 	9.8 	10.4 	11.8 	10.8 	: 
PC,NRG,B-E,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.6 	12.7 	11.3 	16.4 	14.9 	16.0 	16.5 	14.7 	: 
PC,NRG,B-E,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.0 	9.0 	: 
PC,NRG,B-E,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12.3 	11.7 	9.6 	9.2 	8.7 	7.8 	7.0 	7.2 	: 
PC,NRG,B-E,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	36.8 	35.4 	32.4 	31.3 	28.9 	29.9 	34.4 	34.0 	28.9 	25.2 	22.4 	: 
PC,NRG,B-E,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.1 	14.1 	13.2 	16.5 	17.2 	15.7 	16.3 	16.4 	: 
PC,NRG,B-E,DK	4.8 	5.1 	6.0 	9.3 	9.8 	9.9 	9.8 	10.0 	9.5 	10.2 	9.2 	7.6 	9.3 	7.5 	8.2 	7.7 	8.5 	10.5 	12.5 	13.0 	13.0 	13.1 
PC,NRG,B-E,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.3 	13.1 	14.0 	15.4 	15.4 	15.7 	16.2 	15.9 	: 
PC,NRG,B-E,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.5 	8.9 	11.0 	10.9 	10.7 	10.2 	14.3 	11.9 	: 
PC,NRG,B-E,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.2 	10.7 	16.8 	16.6 p	20.8 p	23.2 p	23.3 p	21.4 p	: 
PC,NRG,B-E,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.0 	11.4 	12.6 	13.8 	13.7 	16.0 	16.6 	17.2 	: 
PC,NRG,B-E,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.5 	14.3 	15.2 	16.4 	16.7 	17.3 	18.1 	18.1 	: 
PC,NRG,B-E,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22.1 	17.2 	22.2 	24.0 	22.2 	17.2 	17.4 	15.0 	: 
PC,NRG,B-E,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.0 e	13.0 	15.7 	16.5 	15.8 	14.6 	14.6 	13.5 	12.6 p
PC,NRG,B-E,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.8 	4.8 	3.5 	4.4 	4.2 	3.8 	5.4 	4.8 	: 
PC,NRG,B-E,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.9 	9.5 	9.3 	9.6 	9.4 	8.1 	8.3 	7.7 	15.9 b	16.6 	15.7 	: 
PC,NRG,B-E,IE	10.4 	10.0 	10.0 	9.7 	9.1 	8.3 	8.0 	7.8 	7.7 	8.6 	8.7 	7.7 	6.7 	6.9 	5.8 	4.9 	5.4 	5.0 	6.0 	6.8 	7.7 	8.1 
PC,NRG,B-E,IT	10.9 	11.2 	11.7 	11.3 	12.1 	13.7 	14.9 	16.0 	15.9 	16.8 	17.1 	16.9 	16.3 	15.9 	15.6 	17.8 	17.5 	16.8 	19.4 	20.0 	20.0 	: 
PC,NRG,B-E,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18.3 e	18.3 e	18.3 	16.4 	16.7 	18.8 	10.8 	10.7 	: 
PC,NRG,B-E,LU	2.8 	3.2 	3.2 	3.1 	2.9 	2.8 	2.5 	2.7 	1.8 	2.1 	2.2 	1.9 	2.0 	1.8 	1.9 	1.8 	2.0 	1.5 	1.8 	2.0 	2.1 	: 
PC,NRG,B-E,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12.0 	11.4 	14.2 	15.7 	18.5 	21.0 	23.8 	21.1 	: 
PC,NRG,B-E,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	30.0 	27.0 	27.4 	23.5 	23.5 	: 	: 
PC,NRG,B-E,MT	26.4 	26.4 	26.4 	26.4 	26.4 	26.4 	26.4 	26.4 	26.4 	26.4 	26.4 	26.9 	26.9 	29.1 	29.2 	21.3 	22.2 	21.4 	22.3 	24.6 	24.6 	23.5 p
PC,NRG,B-E,NL	8.8 	9.1 	8.5 	8.0 	7.7 	8.3 	9.7 	7.7 	8.0 	6.4 	8.1 	8.0 	7.4 	8.0 	6.3 	6.0 	7.1 	6.5 	7.6 	9.0 	9.4 	8.1 p
PC,NRG,B-E,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	25.3 	24.2 	21.7 	21.7 	19.9 	23.4 	24.2 	24.4 	: 
PC,NRG,B-E,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16.6 	16.1 	16.8 	17.9 	17.3 	16.0 	17.1 	15.5 	: 
PC,NRG,B-E,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.2 	7.6 	7.6 	7.3 	7.4 	7.8 	7.1 	8.9 	8.8 	10.2 	: 
PC,NRG,B-E,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	50.1 	49.8 	46.2 	39.5 	41.8 	41.0 	39.9 	40.9 	45.8 	49.1 	: 
PC,NRG,B-E,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24.0 	24.0 	21.0 	22.8 	21.7 	21.6 	21.0 	20.3 	: 
PC,NRG,B-E,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.6 e	13.9 e	15.1 e	15.0 e	15.6 e	15.3 e	15.1 e	15.5 e	: 
PC,NRG,B-E,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19.5 	18.9 	19.2 	20.0 	19.2 	23.9 	24.2 	26.1 	24.4 
PC,NRG,B-E,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15.1 	24.6 	27.1 	27.6 	23.5 	11.9 	13.0 	13.0 e	: 
PC,NRG,B-E,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.7 	11.7 	11.6 	11.7 	11.7 	11.7 	11.8 	11.8 	11.8 
PC,NRG,B-E,UK	: 	: 	19.0 	16.9 	15.3 	14.6 	16.3 	16.8 	17.0 	17.4 	17.9 	18.8 	18.2 	17.8 	18.6 	19.5 	20.3 	21.9 	25.2 	26.4 	26.7 	: 
PC,NRG,EP_HH,AT	50.8 	44.8 	42.6 	42.3 	42.7 	40.8 	39.9 	42.2 	41.7 	41.2 	40.4 	41.2 	40.0 	33.0 b	33.6 	33.3 	32.2 	31.8 	31.2 	30.4 	30.1 	: 
PC,NRG,EP_HH,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	32.4 	34.7 	49.8 	48.1 	45.3 	46.0 	45.1 	45.6 	: 
PC,NRG,EP_HH,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	25.4 	33.4 	42.3 	36.0 	35.7 	32.3 	32.9 	36.0 	: 
PC,NRG,EP_HH,CH	49.3 	50.1 	48.2 	49.0 	48.4 	49.3 	49.6 	49.8 	49.7 	50.9 	51.6 	52.3 	51.3 	50.5 	50.4 	51.0 	50.8 	51.4 	51.8 	51.9 	52.3 	: 
PC,NRG,EP_HH,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	55.8 	56.4 	59.9 	61.1 	61.9 	65.3 	67.0 	64.8 	: 
PC,NRG,EP_HH,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15.7 	16.1 	16.0 	16.5 	17.4 	17.9 	17.9 	18.9 	19.8 	19.9 	21.5 	: 
PC,NRG,EP_HH,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	55.2 	55.2 	54.7 	51.9 	51.7 	52.9 	51.4 	51.3 	: 
PC,NRG,EP_HH,DK	65.6 	65.1 	63.7 	57.2 	58.3 	58.1 	59.2 	58.8 	58.6 	57.5 	58.6 	59.8 	56.5 	59.9 	59.5 	60.1 	56.8 	55.8 	57.3 	54.2 	56.8 	56.7 
PC,NRG,EP_HH,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	51.9 	52.8 	51.8 	49.8 	49.6 	49.9 	49.1 	49.5 	: 
PC,NRG,EP_HH,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	38.4 	38.0 	34.5 	32.2 	29.1 	29.5 	27.4 	26.5 	: 
PC,NRG,EP_HH,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	51.5 	54.3 	45.2 	46.5 p	43.9 p	39.8 p	39.4 p	42.1 p	: 
PC,NRG,EP_HH,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	51.4 	55.1 	55.7 	54.6 	54.2 	51.3 	51.9 	51.7 	: 
PC,NRG,EP_HH,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	49.3 	50.3 	49.7 	48.1 	47.5 	47.3 	46.1 	45.7 	: 
PC,NRG,EP_HH,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	28.4 	39.9 	34.9 	33.6 	32.2 	35.0 	35.3 	39.6 	: 
PC,NRG,EP_HH,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	55.9 e	55.9 	52.4 	51.0 	51.4 	53.7 	54.3 	56.9 	59.4 p
PC,NRG,EP_HH,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	36.7 	37.0 	38.4 	37.2 	38.4 	38.3 	38.2 	36.1 	: 
PC,NRG,EP_HH,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	57.0 	56.7 	56.6 	55.8 	56.2 	55.3 	54.9 	54.8 	36.7 b	34.8 	33.8 	: 
PC,NRG,EP_HH,IE	27.9 	30.9 	34.0 	37.6 	41.5 	45.2 	48.3 	47.5 	46.8 	45.7 	46.3 	49.6 	50.9 	52.5 	57.6 	59.1 	56.9 	56.5 	53.7 	50.3 	46.2 	43.9 
PC,NRG,EP_HH,IT	62.2 	63.2 	62.8 	62.4 	61.8 	60.2 	57.9 	56.2 	56.1 	54.8 	54.0 	53.0 	53.0 	52.3 	52.2 	50.3 	48.2 	47.7 	47.5 	46.3 	45.5 	: 
PC,NRG,EP_HH,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	53.8 e	53.8 e	53.8 	50.0 	49.6 	49.3 	52.9 	52.8 	: 
PC,NRG,EP_HH,LU	12.7 	11.7 	11.4 	12.2 	9.4 	8.9 	7.7 	8.3 	7.6 	6.1 	7.4 	7.7 	7.5 	7.2 	7.3 	7.6 	6.6 	6.7 	6.7 	6.9 	8.0 	: 
PC,NRG,EP_HH,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	30.1 	35.6 	27.9 	41.4 	36.0 	34.9 	34.1 	35.0 	: 
PC,NRG,EP_HH,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	25.4 	23.5 	22.6 	22.1 	22.1 	: 	: 
PC,NRG,EP_HH,MT	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	25.0 	24.9 	24.9 	16.2 	16.2 	15.9 	14.4 	14.2 	14.1 	14.0 	13.5 	13.8 p
PC,NRG,EP_HH,NL	60.5 	60.3 	60.9 	60.8 	61.7 	60.6 	61.0 	64.2 	64.5 	64.1 	58.9 	56.2 	58.8 	55.7 	57.4 	59.1 	57.2 	58.7 	57.6 	54.7 	54.9 	56.3 p
PC,NRG,EP_HH,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37.4 	40.3 	42.7 	42.9 	44.9 	42.6 	40.7 	41.5 	: 
PC,NRG,EP_HH,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23.1 	25.1 	26.7 	27.2 	29.9 	31.7 	26.7 	31.2 	: 
PC,NRG,EP_HH,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	46.1 	45.0 	43.3 	43.3 	43.1 	43.0 	50.3 	48.9 	48.9 	46.8 	: 
PC,NRG,EP_HH,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	30.0 	29.2 	30.4 	34.2 	33.8 	33.1 	33.8 	32.6 	27.7 	20.7 	: 
PC,NRG,EP_HH,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	36.4 	36.4 	36.8 	37.4 	37.9 	37.5 	37.1 	37.8 	: 
PC,NRG,EP_HH,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	45.6 	46.9 	45.5 	44.2 	43.6 	43.4 	43.0 	42.1 	: 
PC,NRG,EP_HH,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	73.0 	74.2 	72.1 	70.2 	69.6 	64.2 	64.3 	62.2 	63.2 
PC,NRG,EP_HH,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	47.3 	33.5 	27.0 	25.1 	27.5 	28.7 	27.0 	27.1 e	: 
PC,NRG,EP_HH,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23.5 	22.3 	23.6 	23.5 	23.7 	23.6 	23.7 	23.8 	23.5 
PC,NRG,EP_HH,UK	: 	: 	52.1 	51.9 	51.7 	51.9 	49.2 	48.6 	48.6 	44.3 	45.4 	45.7 	45.5 	47.7 	46.6 	48.7 	48.3 	44.9 	41.5 	40.1 	36.5 	: 
PC,NRG,F,AT	4.3 	4.6 	4.1 	4.4 	4.4 	4.5 	4.2 	3.8 	4.6 	5.5 	5.3 	5.3 	5.3 	5.6 	5.6 	5.2 	5.6 	5.5 	5.4 	5.4 	5.3 	: 
PC,NRG,F,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.9 	5.4 	5.5 	5.7 	6.3 	6.3 	6.3 	6.3 	: 
PC,NRG,F,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.4 	4.8 	4.5 	5.6 	5.9 	6.1 	5.2 	5.5 	: 
PC,NRG,F,CH	: 	: 	: 	: 	: 	4.8 	5.0 	5.2 	5.1 	5.1 	5.0 	5.0 	5.0 	4.7 	4.6 	4.5 	4.6 	4.5 	4.5 	4.3 	4.2 	: 
PC,NRG,F,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.0 	5.7 	5.3 	5.0 	4.3 	3.4 	3.2 	3.6 	: 
PC,NRG,F,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.6 	4.8 	5.1 	4.8 	5.1 	4.8 	4.2 	4.1 	4.1 	5.6 	5.4 	: 
PC,NRG,F,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.3 	3.2 	1.8 	3.4 	3.3 	3.1 	3.2 	3.2 	: 
PC,NRG,F,DK	2.6 	2.5 	2.6 	2.7 	2.6 	2.7 	2.7 	3.0 	3.4 	3.5 	3.7 	3.8 	4.1 	3.9 	3.7 	3.7 	3.9 	3.1 	2.4 	2.7 	2.8 	2.8 
PC,NRG,F,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.1 	3.1 	2.6 	3.1 	3.1 	2.8 	2.8 	2.9 	: 
PC,NRG,F,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.1 	4.3 	4.4 	4.7 	4.7 	4.9 	5.2 	5.1 	: 
PC,NRG,F,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.8 	1.6 	1.1 	1.1 p	1.0 p	1.1 p	0.9 p	0.9 p	: 
PC,NRG,F,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.0 	1.8 	1.3 	1.0 	1.0 	1.2 	1.2 	1.3 	: 
PC,NRG,F,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.1 	3.0 	2.6 	3.0 	2.9 	2.7 	2.8 	2.9 	: 
PC,NRG,F,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.6 	2.7 	4.2 	3.5 	3.7 	4.1 	3.6 	3.5 	: 
PC,NRG,F,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.1 e	3.1 	2.8 	2.9 	3.0 	2.6 	2.6 	2.3 	2.1 p
PC,NRG,F,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.4 	4.4 	4.6 	4.4 	4.2 	4.1 	3.9 	3.1 	: 
PC,NRG,F,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.5 	0.6 	0.6 	0.6 	0.6 	0.5 	0.5 	0.6 	5.1 b	5.6 	5.7 	: 
PC,NRG,F,IE	4.9 	4.4 	4.0 	3.6 	3.1 	2.4 	2.4 	2.3 	2.2 	2.3 	2.1 	2.9 	3.2 	2.4 	1.5 	1.5 	1.1 	1.0 	1.1 	1.1 	1.2 	1.1 
PC,NRG,F,IT	0.8 	0.7 	0.9 	1.6 	0.9 	1.1 	1.2 	1.4 	1.4 	1.7 	1.5 	1.7 	1.9 	2.0 	2.8 	2.4 	3.2 	3.3 	2.6 	2.5 	2.7 	: 
PC,NRG,F,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.3 e	1.3 e	1.3 	1.4 	1.3 	3.4 	2.5 	2.5 	: 
PC,NRG,F,LU	2.2 	1.7 	1.5 	1.2 	2.3 	2.3 	2.4 	2.6 	5.3 	4.9 	2.7 	2.9 	2.5 	2.2 	2.3 	1.8 	2.3 	2.3 	2.0 	2.1 	2.0 	: 
PC,NRG,F,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.8 	4.5 	4.2 	4.5 	4.7 	3.6 	3.4 	3.4 	: 
PC,NRG,F,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.8 	10.9 	11.0 	12.6 	12.6 	: 	: 
PC,NRG,F,MT	2.7 	2.7 	2.7 	2.7 	2.7 	2.7 	2.7 	2.7 	2.7 	2.7 	2.7 	2.7 	2.7 	2.2 	2.2 	2.1 	1.8 	1.8 	1.8 	1.7 	1.7 	1.7 p
PC,NRG,F,NL	1.0 	0.9 	1.1 	1.2 	1.1 	1.4 	1.7 	1.9 	2.1 	2.1 	2.6 	2.9 	3.0 	3.4 	3.8 	3.7 	3.6 	3.3 	3.2 	4.2 	4.5 	4.6 p
PC,NRG,F,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.3 	5.2 	5.2 	5.1 	5.5 	5.3 	5.2 	5.1 	: 
PC,NRG,F,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.7 	4.3 	3.5 	4.1 	3.2 	2.8 	4.1 	2.7 	: 
PC,NRG,F,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.6 	8.4 	8.3 	7.9 	7.8 	5.1 	3.9 	3.3 	3.3 	3.5 	: 
