s_adj,bop_item,sector10,sectpart,stk_flow,partner,unit,geo\time	1995Q1 	1995Q2 	1995Q3 	1995Q4 	1996Q1 	1996Q2 	1996Q3 	1996Q4 	1997Q1 	1997Q2 	1997Q3 	1997Q4 	1998Q1 	1998Q2 	1998Q3 	1998Q4 	1999Q1 	1999Q2 	1999Q3 	1999Q4 	2000Q1 	2000Q2 	2000Q3 	2000Q4 	2001Q1 	2001Q2 	2001Q3 	2001Q4 	2002Q1 	2002Q2 	2002Q3 	2002Q4 	2003Q1 	2003Q2 	2003Q3 	2003Q4 	2004Q1 	2004Q2 	2004Q3 	2004Q4 	2005Q1 	2005Q2 	2005Q3 	2005Q4 	2006Q1 	2006Q2 	2006Q3 	2006Q4 	2007Q1 	2007Q2 	2007Q3 	2007Q4 	2008Q1 	2008Q2 	2008Q3 	2008Q4 	2009Q1 	2009Q2 	2009Q3 	2009Q4 	2010Q1 	2010Q2 	2010Q3 	2010Q4 	2011Q1 	2011Q2 	2011Q3 	2011Q4 	2012Q1 	2012Q2 	2012Q3 	2012Q4 	2013Q1 	2013Q2 	2013Q3 	2013Q4 	2014Q1 	2014Q2 	2014Q3 	2014Q4 	2015Q1 	2015Q2 	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,FI	1.4 	-16.1 	1.4 	-15.7 	-14.2 	-3.9 	-3.9 	-50.9 	18.8 	18.8 	18.8 	18.8 	17.0 	17.0 	17.0 	17.0 	20.3 	20.3 	20.3 	-14.9 	27.7 	27.7 	27.7 	27.7 	22.5 	22.5 	22.5 	19.2 	31.8 	31.8 	31.8 	31.8 	32.5 	32.5 	32.5 	32.5 	36.3 	36.3 	36.3 	36.3 	65.0 	65.0 	65.0 	65.0 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	23.0 	22.0 	20.0 	17.0 	21.0 	23.0 	29.0 	37.0 	37.0 	43.0 	48.0 	52.0 	46.0 	44.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	68.0 	362.0 	164.0 	543.0 	450.0 	285.0 	142.0 	633.0 	36.0 	258.0 	-23.0 	-870.0 	182.0 	234.0 	-173.0 	-113.0 	-7458.0 	-535.0 	-41.0 	244.0 	4.0 	-52.0 	856.0 	440.0 	-27.0 	354.0 	128.0 	-429.0 	-87.0 	-67.0 	328.0 	255.0 	361.0 	1106.0 	36.0 	153.0 	241.0 	133.0 	-33.0 	19.0 	-48.0 	242.0 	137.0 	0.0 	161.0 	167.0 	-397.0 	214.0 	53.0 	39.0 	-512.0 	263.0 	-642.0 	-598.0 	-1625.0 	-531.0 	-254.0 	360.0 	-175.0 	129.0 	-691.0 	-596.0 	162.0 	-50.0 	675.0 	-1134.0 	151.0 	-715.0 	213.0 	612.0 	326.0 	280.0 	276.0 	42.0 	76.0 	739.0 	867.0 	281.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-29.0 	7.0 	22.0 	54.0 	9.0 	1035.0 	38.0 	67.0 	73.0 	3589.0 	62.0 	123.0 	53.0 	405.0 	39.0 	273.0 	57.0 	57.0 	53.0 	67.0 	19.0 	17.0 	28.0 	327.0 	-1205.0 	23.0 	51.0 	138.0 	57.0 	68.0 	95.0 	-4.0 	54.0 	61.0 	42.0 	-28.0 	4.0 	50.0 	64.0 	317.0 	120.0 	102.0 	123.0 	79.0 	47.0 	-30.0 	67.0 	172.0 	13.0 	45.0 	38.0 	256.0 	-6.0 	150.0 	90.0 	246.0 	656.0 	175.0 	87.0 	363.0 	299.0 	501.0 	505.0 	1135.0 	959.0 	1003.0 	952.0 	2111.0 	542.0 	866.0 	464.0 	428.0 	870.0 	1357.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,HU	1608.0 	1929.1 	2261.8 	1741.5 	4521.3 	5239.2 	7898.8 	6219.3 	5234.2 	1824.1 	6593.1 	8472.9 	8874.4 	13018.7 	17836.4 	814.4 	-3231.3 	-30270.2 	24110.5 	17626.4 	3819.5 	17906.2 	24121.0 	32583.6 	14510.5 	38639.8 	22510.6 	15637.5 	12170.3 	14982.4 	5712.1 	16113.4 	-22041.8 	2306.2 	2999.6 	10107.7 	-14395.5 	2315.7 	9653.6 	20693.0 	18509.8 	46954.2 	38063.9 	45604.0 	10114.7 	-8499.4 	58829.3 	94321.4 	4502.8 	56694.3 	68078.7 	48143.6 	4069.0 	66240.0 	28848.0 	209139.0 	68973.0 	110325.0 	113683.0 	157010.0 	134700.0 	151383.0 	151496.0 	56281.0 	126703.0 	116511.0 	204111.0 	214631.0 	121544.8 	143107.5 	147898.4 	313577.9 	180733.8 	246146.3 	183008.8 	468309.8 	108746.6 	192835.8 	280362.0 	632388.9 	247322.8 	400304.7 	229559.6 	708926.7 	34077.1 	20085.0 	-37669.4 	-27378.2 	92698.7 	164901.0 	37246.0 	77763.1 	349645.2 	131883.6 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.0 	21.0 	28.0 	534.0 	19.0 	-19.0 	20.0 	426.0 	-3.0 	-39.0 	38.0 	356.0 	99.0 	-2.0 	35.0 	208.0 	97.0 	27.0 	10.0 	165.0 	66.0 	16.0 	9.0 	24.0 	42.0 	65.0 	0.0 	11.0 	-3.0 	-1.0 	-10.0 	28.0 	49.0 	4.0 	13.0 	23.0 	24.0 	1.0 	-1.0 	211.0 	61.0 	1.0 	5.0 	19.0 	-207.0 	-244.0 	-259.0 	-226.0 	-1691.0 	-1717.0 	-1649.0 	-1712.0 	-706.0 	-226.0 	100.0 	-470.0 	-2670.0 	-586.0 	161.0 	-1236.0 	-14100.0 	-6238.0 	-5971.0 	-1860.0 	: c	: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,IT	824.0 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	457.0 	1132.0 	125.0 	1066.0 	361.0 	240.0 	709.0 	1900.0 	455.0 	115.0 	-60.0 	522.0 	495.0 	-542.0 	-38.0 	42.0 	235.0 	-327.0 	8.0 	2416.0 	84.0 	156.0 	172.0 	1335.0 	-208.0 	161.0 	981.0 	148.0 	-542.0 	128.0 	1151.0 	809.0 	65.0 	347.0 	667.0 	742.0 	-297.0 	-195.0 	-35.0 	349.0 	-351.0 	-63.0 	-106.0 	738.0 	-346.0 	-160.0 	-48.0 	599.0 	-151.0 	-758.0 	-319.0 	2260.0 	-362.0 	-83.0 	15.0 	4389.0 	-2382.0 	-264.0 	24.0 	1878.0 	-582.0 	-140.0 	389.0 	3016.0 	-242.0 	-438.0 	74.0 	4508.0 	-328.0 	-769.0 	-862.0 	-1164.0 	-345.0 	-700.0 	-365.0 	367.0 	-602.0 	-823.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12.7 	14.4 	46.0 	56.6 	31.7 	30.7 	48.8 	92.7 	57.3 	49.6 	77.9 	173.8 	58.2 	105.6 	140.2 	307.5 	63.8 	108.5 	139.5 	307.3 	140.3 	195.3 	533.7 	288.9 	194.6 	156.5 	236.5 	470.2 	149.0 	199.4 	271.1 	384.4 	166.4 	192.3 	252.6 	352.8 	164.1 	208.3 	301.1 	415.4 	183.2 	191.0 	255.2 	346.3 	158.3 	214.7 	355.2 	389.0 	44.1 	134.4 	168.5 	221.8 	75.0 	98.8 	100.8 	227.2 	64.1 	121.8 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-11.0 	-64.0 	-28.0 	-4.0 	-38.0 	-43.0 	-24.0 	-8.0 	-395.0 	-38.0 	-86.0 	-19.0 	1091.0 	7.0 	-47.0 	-91.0 	-39.0 	-95.0 	-36.0 	-72.0 	-36.0 	-40.0 	-44.0 	-26.0 	-56.0 	-47.0 	-70.0 	-77.0 	-89.0 	-48.0 	-83.0 	-185.0 	-24.0 	-42.0 	-24.0 	-106.0 	-46.0 	-61.0 	-67.0 	-2.0 	-69.0 	-89.0 	-59.0 	-191.0 	-228.0 	-70.0 	-105.0 	-169.0 	-240.0 	-103.0 	-108.0 	-214.0 	-44.0 	-152.0 	-107.0 	3.0 	-104.0 	-60.0 	2.0 	-69.0 	-139.0 	-41.0 	-50.0 	9.0 	-30.0 	-45.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.0 	10.0 	7.0 	7.0 	11.0 	12.0 	5.0 	8.0 	6.0 	4.0 	4.0 	5.0 	10.0 	16.0 	16.0 	18.0 	20.0 	18.0 	54.0 	18.0 	41.0 	22.0 	67.0 	41.0 	56.0 	51.0 	35.0 	48.0 	85.0 	38.0 	29.0 	259.0 	54.0 	161.0 	52.0 	73.0 	140.0 	128.0 	79.0 	104.0 	138.0 	63.0 	96.0 	55.0 	5.0 	21.0 	322.0 	80.0 	1.0 	87.0 	384.0 	179.0 	126.0 	125.0 	182.0 	141.0 	126.0 	309.0 	150.0 	169.0 	184.0 	253.0 	141.0 	96.0 	100.0 	62.0 	5.0 	82.0 	1.0 	117.0 	38.0 	59.0 	24.0 	111.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.6 	14.9 	21.2 	32.3 	39.6 	33.3 	29.4 	56.5 	65.7 	30.0 	32.3 	65.7 	5.9 	12.8 	29.0 	23.6 	-0.3 	6.9 	7.0 	9.8 	14.4 	18.8 	15.7 	25.5 	20.3 	36.4 	25.5 	46.8 	4.4 	9.2 	28.8 	40.9 	16.8 	28.6 	31.3 	59.9 	17.4 	29.1 	36.2 	50.5 	30.2 	67.0 	34.9 	10.6 	124.4 	32.1 	2.4 	8.4 	4.8 	12.4 	15.2 	11.6 	17.6 	17.4 	6.8 	23.3 	21.7 	0.8 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.0 	31.0 	193.0 	174.0 	191.0 	53.0 	164.0 	237.0 	64.0 	-96.0 	223.0 	-1034.0 	-64.0 	-8.0 	-273.0 	-273.0 	-91.0 	30.0 	-10087.0 	-313.0 	-498.0 	-110.0 	530.0 	616.0 	-386.0 	389.0 	148.0 	-309.0 	-243.0 	-129.0 	-2135.0 	-117.0 	55.0 	235.0 	593.0 	-8942.0 	82.0 	44.0 	69.0 	-364.0 	90.0 	281.0 	727.0 	-60.0 	-124.0 	-60.0 	-149.0 	-1088.0 	-2232.0 	65.0 	-127.0 	-504.0 	-126.0 	-4.0 	-546.0 	-542.0 	-26.0 	-138.0 	37.0 	-163.0 	-167.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	440.0 	609.0 	2406.0 	804.0 	1666.0 	289.0 	414.0 	786.0 	1371.0 	816.0 	1971.0 	2324.0 	1747.0 	1931.0 	3198.0 	5907.0 	4786.0 	6012.0 	1442.0 	2001.0 	8451.0 	4525.0 	1897.0 	7224.0 	5026.0 	4206.0 	5186.0 	11287.0 	3293.0 	5594.0 	5962.0 	15769.0 	5658.0 	9660.0 	10375.0 	10018.0 	3360.0 	13707.0 	9683.0 	11107.0 	6182.0 	15210.0 	8087.0 	12511.0 	15194.0 	4829.0 	19173.0 	3314.0 	10455.0 	-19.0 	201.0 	8899.0 	2669.0 	3745.0 	4426.0 	14175.0 	5703.0 	6621.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,PT	: 	: 	: 	: 	320.0 	453.0 	552.0 	593.0 	650.0 	816.0 	272.0 	841.0 	598.5 	234.0 	443.5 	1100.2 	390.0 	607.0 	587.0 	982.0 	270.0 	195.0 	564.0 	727.0 	246.0 	252.0 	726.0 	858.0 	455.0 	650.0 	424.0 	1163.0 	858.0 	585.0 	676.0 	1087.0 	811.0 	294.0 	474.0 	1036.0 	411.0 	485.0 	452.0 	909.0 	598.0 	265.0 	618.0 	495.0 	699.0 	301.0 	534.0 	468.0 	742.0 	211.0 	289.0 	914.0 	478.0 	530.0 	510.0 	526.0 	262.0 	509.0 	573.0 	1154.0 	531.0 	504.0 	638.0 	959.0 	848.0 	669.0 	841.0 	1144.0 	550.0 	661.0 	622.0 	957.0 	550.0 	579.0 	704.0 	484.0 	474.0 	600.0 	418.0 	601.0 	306.0 	333.0 	654.0 	584.0 	404.0 	334.0 	493.0 	589.0 	330.0 	403.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.0 	16.0 	17.0 	25.0 	22.0 	21.0 	26.0 	4.0 	42.0 	57.0 	56.0 	125.0 	31.0 	27.0 	198.0 	50.0 	142.0 	340.0 	157.0 	72.0 	414.0 	44.0 	808.0 	806.0 	247.0 	577.0 	385.0 	896.0 	418.0 	-1866.0 	266.0 	975.0 	226.0 	576.0 	553.0 	1241.0 	471.0 	568.0 	163.0 	903.0 	25.0 	205.0 	910.0 	1402.0 	215.0 	24.0 	192.0 	380.0 	1143.0 	662.0 	203.0 	1040.0 	1702.0 	2422.0 	1125.0 	3128.0 	1014.0 	2559.0 	5081.0 	4797.0 	7071.0 	1742.0 	1797.0 	7013.0 	6796.0 	2839.0 	3951.0 	3741.0 	5888.0 	5676.0 	5179.0 	2362.0 	965.0 	1440.0 	1487.0 	6304.0 	1231.0 	2125.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,SE	-1236.0 	-1372.0 	-1086.0 	-816.0 	-1003.0 	-5892.0 	-1635.0 	-1761.0 	-922.0 	-2627.0 	-1005.0 	-2171.0 	-489.0 	-716.0 	-452.0 	879.0 	-2998.0 	: c	-563.0 	-13410.0 	-1993.0 	-823.0 	-415.0 	-631.0 	493.0 	-588.0 	-747.0 	-1220.0 	329.0 	-323.0 	: c	-1022.0 	-148.0 	-176.0 	-522.0 	716.0 	-215.0 	-334.0 	179.0 	450.0 	294.0 	15.0 	1089.0 	824.0 	-17371.0 	-549.0 	-190.0 	-1712.0 	1631.0 	-1188.0 	-1186.0 	-2309.0 	-917.0 	-1017.0 	-1249.0 	-2194.0 	-871.0 	-1155.0 	-1394.0 	-680.0 	-455.0 	-2392.0 	-588.0 	-1500.0 	-1440.0 	-2436.0 	-1446.0 	-2904.0 	-803.0 	-1372.0 	-1435.0 	-2536.0 	-637.0 	-1206.0 	-2471.0 	-5071.0 	-742.0 	-803.0 	-1554.0 	-2586.0 	-1199.0 	-1010.0 	-1867.0 	-4224.0 	-727.0 	253.0 	-1054.0 	-1953.0 	-1756.0 	-191.0 	78.0 	-3331.0 	-103.0 	-129.0 
