unit,s_adj,bop_item,stk_flow,partner,geo\time	1995Q4 	1996Q1 	1996Q2 	1996Q3 	1996Q4 	1997Q1 	1997Q2 	1997Q3 	1997Q4 	1998Q1 	1998Q2 	1998Q3 	1998Q4 	1999Q1 	1999Q2 	1999Q3 	1999Q4 	2000Q1 	2000Q2 	2000Q3 	2000Q4 	2001Q1 	2001Q2 	2001Q3 	2001Q4 	2002Q1 	2002Q2 	2002Q3 	2002Q4 	2003Q1 	2003Q2 	2003Q3 	2003Q4 	2004Q1 	2004Q2 	2004Q3 	2004Q4 	2005Q1 	2005Q2 	2005Q3 	2005Q4 	2006Q1 	2006Q2 	2006Q3 	2006Q4 	2007Q1 	2007Q2 	2007Q3 	2007Q4 	2008Q1 	2008Q2 	2008Q3 	2008Q4 	2009Q1 	2009Q2 	2009Q3 	2009Q4 	2010Q1 	2010Q2 	2010Q3 	2010Q4 	2011Q1 	2011Q2 	2011Q3 	2011Q4 	2012Q1 	2012Q2 	2012Q3 	2012Q4 	2013Q1 	2013Q2 	2013Q3 	2013Q4 	2014Q1 	2014Q2 	2014Q3 	2014Q4 	2015Q1 	2015Q2 	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
PC_GDP,NSA,FA,N_LE,WRL_REST,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-92.9 	-100.6 	-102.2 	-181.2 	-194.7 	-185.9 	-157.0 	-156.0 	-90.8 	-86.7 	-62.2 	-92.1 	-78.0 	-48.7 	-43.4 	-48.6 	-59.0 	-69.4 	-60.5 	-62.6 	-28.8 	-14.5 	-10.2 	-9.3 	-9.0 	-15.8 	-12.3 	-14.0 	-24.9 	-17.2 	-14.8 	-14.2 	-17.5 	-24.5 	-31.8 	-27.9 	-13.4 	-5.6 	1.3 	-4.6 	-2.7 	-6.2 	-1.0 	3.2 	5.7 	14.0 	14.1 	16.5 	17.3 	17.1 	18.3 	15.1 	7.0 	11.1 	12.3 	11.7 	11.3 	10.1 	6.2 	3.9 	2.7 	1.8 	0.6 	-3.2 	-0.1 	4.1 	2.7 	1.6 	5.3 	3.8 	2.4 	3.3 	3.3 	0.8 	-1.0 	2.4 	-2.6 	-3.9 
PC_GDP,NSA,FA,N_LE,WRL_REST,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.6 	5.9 	7.0 	0.9 	0.3 	-0.8 	2.4 	2.2 	4.6 	6.0 	10.9 	8.0 	4.9 	5.8 	10.0 	6.7 	7.4 	5.9 	2.5 	-3.1 	-3.7 	-4.4 	-3.7 	-3.4 	-3.2 	-3.2 	-3.9 	-2.0 	-3.8 	-6.5 	-7.4 	-4.8 	-5.0 	-10.4 	-10.9 	-8.9 	-6.9 	-7.4 	-10.5 	-13.8 	-13.3 	-13.1 	-13.8 	-14.8 	-14.9 	-13.5 	-11.7 	-9.3 	-9.9 	-11.7 	-9.8 	-8.7 	-11.5 	-11.0 	-11.8 	-12.8 	-12.5 	-15.6 	-17.7 	-16.6 	-18.2 	-18.5 	-17.2 	-15.6 	-18.2 	-15.1 	-16.2 	-12.9 	-15.7 	-14.4 	-15.8 	-14.9 	-17.2 	-18.5 	-19.8 	-20.1 	-20.2 	-19.1 
PC_GDP,NSA,FA,N_LE,WRL_REST,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-24.7 	-27.0 	-28.2 	-23.8 	-17.2 	-24.1 	-24.6 	-24.1 	-26.3 	-28.7 	-31.2 	-29.8 	-35.8 	-38.0 	-40.6 	-42.9 	-47.3 	-53.3 	-53.2 	-53.6 	-56.1 	-62.4 	-66.8 	-70.0 	-73.7 	-88.0 	-90.2 	-88.2 	-89.1 	-83.1 	-79.2 	-74.6 	-73.8 	-79.4 	-82.2 	-85.4 	-86.8 	-88.9 	-88.0 	-85.0 	-94.0 	-98.5 	-97.7 	-93.1 	-91.5 	-94.3 	-93.8 	-89.2 	-90.7 	-93.1 	-90.3 	-87.5 	-88.3 	-90.4 	-90.8 	-86.3 	-85.3 	-86.7 	-85.6 	-77.1 	-76.4 	-75.3 	-73.6 	-70.6 	-69.9 	-71.1 	-68.4 	-62.0 	-62.4 	-62.8 	-59.8 
PC_GDP,NSA,FA,N_LE,WRL_REST,HU	-60.8 	-60.0 	-58.8 	-59.3 	-58.5 	-60.2 	-60.3 	-61.4 	-64.8 	-65.4 	-65.1 	-64.5 	-64.3 	-66.0 	-68.5 	-70.9 	-73.1 	-78.8 	-74.0 	-73.3 	-70.6 	-67.4 	-64.0 	-62.4 	-64.4 	-64.7 	-63.8 	-63.6 	-63.4 	-65.3 	-68.1 	-71.2 	-75.8 	-78.1 	-79.1 	-82.7 	-83.1 	-87.4 	-89.1 	-94.8 	-91.6 	-96.6 	-94.6 	-96.7 	-94.7 	-90.7 	-92.8 	-93.0 	-88.1 	-104.5 	-99.6 	-99.8 	-101.7 	-105.7 	-102.9 	-110.9 	-115.0 	-116.0 	-113.8 	-115.6 	-108.3 	-105.1 	-101.6 	-104.3 	-105.7 	-103.5 	-100.3 	-101.2 	-93.6 	-91.7 	-90.2 	-88.5 	-83.1 	-83.5 	-83.5 	-82.7 	-80.3 	-81.3 	-79.9 	-81.4 	-67.5 	-66.2 	-60.9 	-63.3 	-58.5 	-56.0 	-53.4 	-55.8 	-52.9 	-50.9 	-47.1 
PC_GDP,NSA,FA,N_LE,WRL_REST,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.9 	-5.7 	-20.7 	-21.0 	-32.3 	-22.9 	-24.6 	-23.5 	-24.7 	-29.0 	-26.6 	-22.3 	-44.6 	-41.3 	-45.6 	-46.2 	-55.2 	-45.9 	-30.1 	-25.8 	-28.4 	-28.1 	-30.0 	-31.4 	-59.1 	-53.4 	-63.0 	-95.7 	-111.7 	-109.3 	-120.2 	-116.5 	-105.6 	-110.6 	-115.4 	-114.5 	-136.2 	-121.8 	-134.1 	-139.8 	-148.3 	-145.6 	-140.2 	-137.7 	-145.1 	-146.6 	-156.8 	-133.3 	-152.6 	-162.1 	-163.7 	-164.3 	-243.1 	-216.5 	-206.5 	-198.7 	-181.0 	-177.7 	-180.3 	-170.7 	-170.8 	-169.5 	-165.4 	-149.3 	-143.3 	-140.4 
PC_GDP,NSA,FA,N_LE,WRL_REST,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-9.1 	-3.3 	-5.9 	-4.8 	-4.6 	-4.7 	-4.7 	-5.4 	-6.4 	-7.3 	-6.3 	-6.6 	-4.9 	-4.6 	-8.6 	-8.7 	-11.1 	-13.5 	-14.1 	-13.1 	-12.0 	-11.8 	-11.3 	-12.9 	-15.1 	-17.9 	-17.7 	-17.8 	-15.4 	-16.6 	-15.5 	-19.2 	-20.1 	-21.5 	-23.1 	-24.7 	-21.2 	-22.6 	-22.3 	-20.2 	-21.7 	-21.9 	-22.8 	-23.1 	-22.3 	-21.7 	-19.8 	-23.0 	-20.2 	-22.0 	-21.8 	-19.4 	-18.3 	-20.8 	-18.8 	-19.5 	-22.2 	-21.4 	-23.2 	-23.1 	-22.7 	-24.6 	-24.1 	-24.2 	-21.0 	-21.8 	-17.7 	-21.2 	-19.5 	-19.1 	-14.4 	-12.6 	-9.9 	-8.4 	-8.0 	-7.4 	-5.3 	-7.2 	-3.4 
PC_GDP,NSA,FA,N_LE,WRL_REST,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-33.9 	-35.9 	-36.2 	-35.5 	-39.8 	-41.2 	-47.3 	-42.2 	-45.0 	-43.8 	-47.3 	-47.8 	-51.5 	-53.6 	-55.5 	-54.3 	-56.7 	-57.5 	-57.8 	-51.9 	-51.8 	-54.6 	-58.9 	-58.7 	-61.3 	-59.6 	-58.4 	-56.2 	-55.0 	-54.7 	-52.2 	-52.7 	-55.9 	-55.2 	-55.4 	-53.6 	-54.5 	-52.3 	-50.0 	-47.1 	-46.4 	-46.0 	-45.9 	-45.1 	-48.3 	-47.0 	-46.1 	-43.4 	-46.3 	-46.5 	-45.9 	-42.7 	-42.1 	-40.8 	-39.7 	-35.9 	-35.9 	-34.5 
PC_GDP,NSA,FA,N_LE,WRL_REST,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-7.5 	-15.6 	-23.1 	64.3 	51.3 	52.4 	35.9 	73.3 	27.9 	35.5 	10.9 	17.9 	14.7 	19.5 	22.6 	19.7 	31.2 	29.4 	9.6 	21.3 	15.9 	2.4 	-9.1 	-18.2 	0.1 	30.9 	8.4 	16.3 	-25.6 	-59.3 	-81.1 	-28.9 	-39.1 	-7.9 	-24.7 	-20.4 	-6.7 	-47.1 	-30.2 	28.9 	76.0 	140.6 	92.3 	50.9 	52.3 	45.2 	28.0 	53.9 	44.2 	16.5 	31.5 	48.6 	15.4 	16.4 	70.8 	30.8 	31.9 	18.7 	67.5 	47.2 	28.8 	60.9 	45.5 	47.0 	22.8 	: 
PC_GDP,NSA,FA,N_LE,WRL_REST,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-21.1 	-20.1 	-20.8 	-23.6 	-25.9 	-25.7 	-27.8 	-29.5 	-30.1 	-30.4 	-32.1 	-33.0 	-33.7 	-34.9 	-35.8 	-37.9 	-41.4 	-43.5 	-45.3 	-47.3 	-49.1 	-50.8 	-54.0 	-55.6 	-56.9 	-58.2 	-62.9 	-64.1 	-67.0 	-68.4 	-73.6 	-69.0 	-69.1 	-70.5 	-74.4 	-74.2 	-75.0 	-76.4 	-80.0 	-82.7 	-84.5 	-84.8 	-83.8 	-82.9 	-83.7 	-81.4 	-80.4 	-74.4 	-72.6 	-71.5 	-70.9 	-67.2 	-70.0 	-68.3 	-69.6 	-66.4 	-67.9 	-66.5 	-67.0 	-66.1 	-65.7 	-64.1 	-65.8 	-63.5 	-61.9 	-60.6 	-60.9 	-58.4 	-57.2 	-56.5 	-57.6 	-56.3 	-54.4 	-50.8 
PC_GDP,NSA,FA,N_LE,WRL_REST,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	39.4 	38.0 	20.7 	37.7 	30.9 	36.3 	38.4 	35.9 	30.9 	28.7 	30.6 	27.8 	26.9 	29.3 	25.8 	21.4 	15.6 	10.3 	12.9 	4.2 	3.1 	5.8 	7.4 	12.6 	11.8 	12.6 	12.2 	12.1 	12.5 	9.7 	8.5 	6.3 	13.1 	20.7 	9.0 	19.6 	36.8 	23.4 	26.0 	27.0 	34.0 	50.6 	43.7 	43.2 	50.1 	50.6 	47.1 	50.8 	51.1 	55.1 	49.8 	45.2 	57.6 	62.7 	61.7 	62.6 	60.1 	58.5 
PC_GDP,NSA,FA,N_LE,WRL_REST,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.5 	6.6 	-3.9 	-1.5 	-3.6 	-0.5 	-0.2 	-3.6 	-4.2 	-9.9 	-5.0 	-8.9 	-6.2 	-10.0 	-1.9 	-7.7 	-19.7 	-15.6 	-14.9 	-14.5 	-12.2 	-9.8 	-8.0 	-10.2 	-5.7 	-3.9 	1.4 	3.6 	1.3 	10.7 	11.0 	12.8 	14.7 	19.6 	20.1 	20.4 	20.8 	25.1 	26.7 	31.4 	29.4 	28.4 	30.7 	28.1 	31.9 	36.3 	48.0 	61.5 	46.4 	50.4 	50.1 	59.5 	65.0 	70.3 	62.7 	62.0 	60.0 	57.1 	59.7 	59.4 	59.0 
PC_GDP,NSA,FA,N_LE,WRL_REST,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-42.0 	-42.3 	-43.6 	-40.9 	-41.0 	-40.3 	-42.5 	-41.8 	-43.2 	-43.9 	-45.4 	-44.9 	-46.1 	-47.5 	-49.8 	-49.2 	-50.1 	-49.8 	-52.0 	-55.6 	-58.1 	-57.8 	-60.0 	-57.3 	-57.1 	-58.3 	-64.4 	-65.1 	-65.6 	-65.6 	-66.4 	-62.4 	-65.0 	-63.5 	-66.5 	-65.3 	-65.4 	-65.7 	-70.0 	-68.9 	-69.4 	-68.5 	-72.3 	-69.1 	-66.8 	-66.2 	-66.8 	-62.1 	-63.0 	-62.1 	-65.1 	-61.7 	-62.1 	-63.0 	-64.7 	-61.2 	-59.4 	-57.4 
PC_GDP,NSA,FA,N_LE,WRL_REST,PT	: 	-10.3 	-11.6 	-11.3 	-12.9 	-9.2 	-16.0 	-15.9 	-14.8 	-17.8 	-18.8 	-15.7 	-24.4 	-31.9 	-32.2 	-32.3 	-34.0 	-36.6 	-38.2 	-38.5 	-41.5 	-46.1 	-45.4 	-47.5 	-49.0 	-52.2 	-55.0 	-56.4 	-58.4 	-60.3 	-62.2 	-62.9 	-62.4 	-65.4 	-66.9 	-67.5 	-66.7 	-67.8 	-68.4 	-69.7 	-69.9 	-73.1 	-74.3 	-76.1 	-79.3 	-79.6 	-84.0 	-84.3 	-88.8 	-88.4 	-88.5 	-92.1 	-95.1 	-99.4 	-103.8 	-107.0 	-107.9 	-107.3 	-105.4 	-105.1 	-104.3 	-105.0 	-103.7 	-102.5 	-100.7 	-106.0 	-109.8 	-112.9 	-116.5 	-116.9 	-118.4 	-117.5 	-116.3 	-122.4 	-120.5 	-116.5 	-118.6 	-120.1 	-116.7 	-115.7 	-113.2 	-111.9 	-108.6 	-105.5 	-105.5 	-105.1 	-106.0 	-106.0 	-104.9 	-105.8 	-106.0 
PC_GDP,NSA,FA,N_LE,WRL_REST,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-24.7 	-25.8 	-30.0 	-29.4 	-30.5 	-33.3 	-37.9 	-36.0 	-39.2 	-40.4 	-49.5 	-45.7 	-47.6 	-49.7 	-54.3 	-51.2 	-54.6 	-56.3 	-63.2 	-60.1 	-59.6 	-62.9 	-67.6 	-63.9 	-63.7 	-65.0 	-68.9 	-65.8 	-66.3 	-66.5 	-71.1 	-67.4 	-65.6 	-64.6 	-67.0 	-62.8 	-59.5 	-58.5 	-61.7 	-57.3 	-54.7 	-54.4 	-56.1 	-54.6 	-51.9 	-50.7 	-53.6 	-48.9 	-49.4 	-49.3 	-50.8 	-47.7 	-46.4 	-46.4 
PC_GDP,NSA,FA,N_LE,WRL_REST,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-35.1 	-40.9 	-24.2 	-19.6 	-32.7 	-46.2 	-33.5 	-34.9 	-33.2 	-44.5 	-36.6 	-31.5 	-23.2 	-17.4 	-18.7 	-21.3 	-20.9 	-20.6 	-21.6 	-21.3 	-17.4 	-18.7 	-20.1 	-19.8 	-21.6 	-23.6 	-22.3 	-21.1 	-17.3 	-20.4 	-19.9 	-10.5 	-9.8 	-16.8 	-11.5 	-5.0 	1.2 	-2.2 	-1.4 	-3.6 	-7.9 	-12.6 	-8.2 	-9.5 	-7.2 	-10.7 	-15.8 	-20.6 	-5.6 	-3.4 	-5.3 	-3.6 	-8.5 	-7.5 	-7.1 	-10.1 	-15.7 	-13.7 	-8.0 	-7.5 	-16.0 	-16.3 	-5.3 	-4.6 	-2.3 	0.7 	3.6 	1.9 	-1.2 	-0.7 	1.6 	4.5 	5.0 	2.1 	1.9 	1.3 	1.8 	12.4 	18.4 
