hhtyp,incgrp,unit,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
TOTAL,TOTAL,PC_POP,TOTAL,F,NO	3.9 	3.5 	4.0 	4.0 	4.0 	3.7 	4.0 	3.2 	2.3 	3.3 	2.8 	3.7 
TOTAL,TOTAL,PC_POP,TOTAL,F,PL	9.8 	9.0 	8.3 	8.2 	7.8 	7.0 	6.4 	5.8 	4.8 	4.3 	4.3 	4.3 
TOTAL,TOTAL,PC_POP,TOTAL,F,PT	18.8 	17.6 	12.1 	8.9 	7.5 	7.6 	9.7 	9.0 	9.8 	8.0 	8.9 	11.5 
TOTAL,TOTAL,PC_POP,TOTAL,F,RO	: 	8.1 	8.5 	8.6 	7.4 	7.7 	7.0 	7.4 	5.6 	5.5 	5.5 	5.0 
TOTAL,TOTAL,PC_POP,TOTAL,F,RS	: 	: 	: 	: 	: 	: 	: 	8.5 	8.7 	8.0 	7.3 	: 
TOTAL,TOTAL,PC_POP,TOTAL,F,SE	5.1 	6.7 	6.5 b	6.6 	6.8 	6.3 	6.0 	6.1 	6.1 	5.7 	7.2 	6.7 
TOTAL,TOTAL,PC_POP,TOTAL,F,SI	9.7 	9.7 	11.6 	15.7 	10.9 	12.2 	8.8 	6.4 	4.9 	5.5 	4.8 	4.7 
TOTAL,TOTAL,PC_POP,TOTAL,F,SK	3.8 	3.8 	4.3 	3.6 	2.6 	3.0 	3.7 	3.1 	3.0 	2.9 	2.6 	2.7 
TOTAL,TOTAL,PC_POP,TOTAL,F,TR	23.7 	21.6 	19.2 	27.9 	: 	26.6 	27.7 	25.1 	24.6 	20.6 	: 	: 
TOTAL,TOTAL,PC_POP,TOTAL,F,UK	10.0 	11.2 	10.0 	10.8 	10.2 	10.4 	7.4 b	5.4 	5.2 	5.3 	5.1 	: 
TOTAL,TOTAL,PC_POP,TOTAL,M,AT	7.1 	5.9 	6.5 b	6.2 	6.8 	5.9 	5.9 	4.9 	5.5 	5.5 	6.1 	5.9 
TOTAL,TOTAL,PC_POP,TOTAL,M,BE	10.2 	9.0 	8.0 	9.5 	8.7 	8.0 	7.6 	4.5 	6.6 	7.8 	7.7 	6.1 
TOTAL,TOTAL,PC_POP,TOTAL,M,BG	9.6 	9.7 	8.3 	6.9 	7.9 	6.9 	5.7 	5.5 	6.9 	6.5 	6.3 b	6.5 
TOTAL,TOTAL,PC_POP,TOTAL,M,CH	: 	5.5 	5.2 	5.7 	4.9 	6.3 	7.6 	7.2 	7.3 b	7.4 	7.8 	: 
TOTAL,TOTAL,PC_POP,TOTAL,M,CY	5.5 	6.6 	5.4 b	6.7 	6.1 	5.3 	4.6 	5.1 	3.8 	5.8 	4.7 	4.0 
TOTAL,TOTAL,PC_POP,TOTAL,M,CZ	4.9 	4.6 	4.1 	4.4 	3.6 	3.4 	3.2 	3.8 	3.5 	3.9 	3.5 	3.2 
TOTAL,TOTAL,PC_POP,TOTAL,M,DE	4.7 	4.5 	4.5 	5.0 	4.5 	4.2 	3.9 	4.3 	4.5 	4.1 	3.9 	4.0 
TOTAL,TOTAL,PC_POP,TOTAL,M,DK	3.9 	4.3 	4.3 	4.2 	4.2 	5.0 	3.6 	3.5 	4.0 	3.5 	3.2 	3.7 
TOTAL,TOTAL,PC_POP,TOTAL,M,EA18	7.8 	7.6 	6.5 	6.6 	6.1 	6.0 	5.9 	6.1 	6.1 	5.7 	5.5 	5.0 e
TOTAL,TOTAL,PC_POP,TOTAL,M,EA19	7.8 	7.7 	6.6 	6.6 	6.1 	6.1 	5.9 	6.2 	6.1 	5.7 	5.5 	5.0 e
TOTAL,TOTAL,PC_POP,TOTAL,M,EE	6.0 	7.4 	5.3 	4.6 	4.2 	5.1 	5.9 	4.8 	5.9 b	5.0 	3.8 	4.3 
TOTAL,TOTAL,PC_POP,TOTAL,M,EL	7.6 	7.4 	6.4 	6.5 	7.4 	6.8 	6.8 	6.4 	6.4 	5.5 	5.6 	5.0 
TOTAL,TOTAL,PC_POP,TOTAL,M,ES	12.0 	10.8 	5.9 	7.0 b	5.5 	4.3 	4.4 	6.6 	5.2 	4.0 	4.3 	4.3 
TOTAL,TOTAL,PC_POP,TOTAL,M,EU27	: 	8.2 	7.3 	7.3 	6.8 	6.7 	6.2 	6.1 	5.9 	5.5 	5.4 	5.0 e
TOTAL,TOTAL,PC_POP,TOTAL,M,EU28	: 	: 	: 	: 	6.8 	6.7 	6.2 	6.1 	5.9 	5.5 	5.4 	5.0 e
TOTAL,TOTAL,PC_POP,TOTAL,M,FI	5.0 	5.0 	5.0 	4.3 	3.9 	3.6 	4.7 	3.8 	3.6 	4.1 	3.6 	3.4 
TOTAL,TOTAL,PC_POP,TOTAL,M,FR	7.8 	8.3 	8.4 	7.5 	8.4 	7.9 	8.1 	8.1 	7.9 	7.4 	8.0 	7.1 
TOTAL,TOTAL,PC_POP,TOTAL,M,HR	: 	: 	: 	: 	7.7 	5.9 	5.5 	5.7 	5.6 	5.1 	5.6 	: 
TOTAL,TOTAL,PC_POP,TOTAL,M,HU	7.5 	10.6 	10.3 	8.5 	8.6 	8.4 	8.1 	8.7 	9.2 	8.3 	9.6 	8.3 
TOTAL,TOTAL,PC_POP,TOTAL,M,IE	6.3 	9.1 	5.4 	5.7 	4.4 	4.7 	5.2 	6.1 	5.5 	4.7 	5.2 	: 
TOTAL,TOTAL,PC_POP,TOTAL,M,IS	1.7 	0.9 	1.6 	1.8 	2.2 	2.3 	2.1 	3.3 	2.5 	2.5 	1.9 p	: 
TOTAL,TOTAL,PC_POP,TOTAL,M,IT	8.2 	8.3 	7.7 	7.9 	6.4 	8.4 	7.2 	7.4 	7.4 	7.1 	5.7 	3.9 
TOTAL,TOTAL,PC_POP,TOTAL,M,LT	11.4 	10.6 	10.4 	9.2 	8.6 	8.3 	7.5 	7.6 	6.2 	4.9 	5.4 	5.5 
TOTAL,TOTAL,PC_POP,TOTAL,M,LU	5.4 	4.7 	5.8 	7.1 	4.4 	4.2 	6.9 	7.6 	5.6 	7.2 	9.5 b	8.2 
TOTAL,TOTAL,PC_POP,TOTAL,M,LV	13.0 	11.3 	11.3 	10.9 	10.7 	9.8 	10.3 	8.9 	9.1 	8.5 	8.6 	9.1 
TOTAL,TOTAL,PC_POP,TOTAL,M,MK	: 	: 	: 	: 	8.0 	5.1 	4.6 	3.5 	4.3 	3.9 	5.2 	: 
TOTAL,TOTAL,PC_POP,TOTAL,M,MT	5.6 	4.3 	4.6 	7.2 	7.3 	8.4 	7.0 	7.3 	7.5 	7.2 	7.5 	6.8 
TOTAL,TOTAL,PC_POP,TOTAL,M,NL	4.9 	5.2 	4.0 	3.7 	3.8 	3.9 	3.9 	3.5 	4.3 p	4.8 	3.5 b	3.3 
TOTAL,TOTAL,PC_POP,TOTAL,M,NO	3.1 	3.3 	4.1 	4.4 	3.8 	3.7 	4.0 	3.5 	2.4 	2.6 	2.7 	3.6 
TOTAL,TOTAL,PC_POP,TOTAL,M,PL	10.0 	9.2 	8.6 	8.5 	7.7 	6.9 	6.5 	5.8 	4.8 	4.7 	4.4 	4.3 
TOTAL,TOTAL,PC_POP,TOTAL,M,PT	18.9 	16.7 	10.9 	8.2 	7.0 	6.6 	9.9 	8.7 	9.6 	7.9 	8.7 	11.4 
TOTAL,TOTAL,PC_POP,TOTAL,M,RO	: 	7.8 	8.1 	8.8 	7.6 	7.1 	6.2 	7.3 	6.2 	6.1 	5.8 	4.4 
TOTAL,TOTAL,PC_POP,TOTAL,M,RS	: 	: 	: 	: 	: 	: 	: 	8.0 	8.9 	8.5 	6.7 	: 
TOTAL,TOTAL,PC_POP,TOTAL,M,SE	4.8 	6.7 	6.5 b	5.9 	6.3 	6.2 	5.7 	6.1 	5.6 	5.4 	6.8 	6.3 
TOTAL,TOTAL,PC_POP,TOTAL,M,SI	9.4 	9.6 	12.0 	15.3 	10.5 	12.0 	8.8 	6.7 	5.4 	5.8 	4.6 	4.3 
TOTAL,TOTAL,PC_POP,TOTAL,M,SK	3.7 	3.6 	4.4 	3.3 	2.6 	3.1 	3.9 	3.2 	3.4 	3.2 	2.8 	3.1 
TOTAL,TOTAL,PC_POP,TOTAL,M,TR	23.6 	21.7 	19.5 	28.1 	: 	26.7 	27.2 	25.3 	24.8 	20.6 	: 	: 
TOTAL,TOTAL,PC_POP,TOTAL,M,UK	9.3 	11.2 	10.4 	10.5 	10.3 	10.5 	7.7 b	5.8 	5.1 	5.0 	5.2 	: 
TOTAL,TOTAL,PC_POP,TOTAL,T,AT	6.9 	5.7 	6.8 b	6.5 	6.9 	6.1 	5.8 	5.0 	5.7 	5.6 	6.2 	6.0 
TOTAL,TOTAL,PC_POP,TOTAL,T,BE	10.0 	8.6 	7.9 	9.6 	8.8 	7.8 	7.2 	4.0 	6.6 	7.4 	7.4 	5.9 
TOTAL,TOTAL,PC_POP,TOTAL,T,BG	9.8 	9.8 	8.0 	6.8 	7.7 	7.0 	6.1 	5.9 	6.8 	6.4 	6.2 b	6.5 
TOTAL,TOTAL,PC_POP,TOTAL,T,CH	: 	5.4 	5.1 	5.8 	4.9 	6.3 	7.5 	6.9 	7.2 b	7.2 	7.5 	: 
TOTAL,TOTAL,PC_POP,TOTAL,T,CY	5.6 	6.4 	5.2 b	6.7 	5.9 	5.4 	4.5 	4.8 	3.9 	5.6 	4.4 	4.0 
TOTAL,TOTAL,PC_POP,TOTAL,T,CZ	4.7 	4.4 	4.1 	4.3 	3.7 	3.6 	3.1 	3.8 	3.8 	3.9 	3.5 	3.2 
TOTAL,TOTAL,PC_POP,TOTAL,T,DE	4.7 	4.4 	4.4 	4.8 	4.2 	4.1 	3.9 	4.4 	4.4 	4.0 	3.9 	4.0 
TOTAL,TOTAL,PC_POP,TOTAL,T,DK	3.9 	4.6 	4.3 	4.5 	4.2 	5.3 	3.6 	3.6 	4.2 	3.4 	3.4 	4.1 
TOTAL,TOTAL,PC_POP,TOTAL,T,EA18	7.8 	7.7 	6.6 	6.6 	6.1 	6.1 	5.9 	6.1 	6.1 	5.6 	5.5 	4.9 e
TOTAL,TOTAL,PC_POP,TOTAL,T,EA19	7.9 	7.7 	6.6 	6.6 	6.1 	6.1 	5.9 	6.1 	6.1 	5.6 	5.5 	4.9 e
TOTAL,TOTAL,PC_POP,TOTAL,T,EE	6.0 	7.2 	5.4 	4.7 	4.1 	4.7 	5.6 	4.8 	5.8 b	4.9 	3.7 	4.0 
TOTAL,TOTAL,PC_POP,TOTAL,T,EL	7.7 	7.5 	6.8 	6.7 	7.1 	6.7 	6.9 	6.6 	6.6 	5.7 	5.8 	5.1 
TOTAL,TOTAL,PC_POP,TOTAL,T,ES	11.8 	10.8 	5.9 	7.0 b	5.6 	4.3 	4.4 	6.5 	5.2 	3.9 	4.5 	4.2 
TOTAL,TOTAL,PC_POP,TOTAL,T,EU27	: 	8.2 	7.2 	7.3 	6.8 	6.7 	6.1 	6.1 	5.9 	5.5 	5.4 	5.0 e
TOTAL,TOTAL,PC_POP,TOTAL,T,EU28	: 	: 	: 	: 	6.8 	6.7 	6.1 	6.1 	5.9 	5.5 	5.4 	5.0 e
TOTAL,TOTAL,PC_POP,TOTAL,T,FI	5.2 	5.3 	5.1 	4.4 	4.2 	3.9 	4.9 	3.9 	3.6 	4.0 	3.9 	3.7 
TOTAL,TOTAL,PC_POP,TOTAL,T,FR	7.9 	8.4 	8.2 	7.5 	8.3 	7.8 	7.7 	7.9 	7.9 	7.4 	8.0 	6.9 
TOTAL,TOTAL,PC_POP,TOTAL,T,HR	: 	: 	: 	: 	7.5 	5.9 	5.8 	6.1 	5.5 	5.0 	5.2 	: 
TOTAL,TOTAL,PC_POP,TOTAL,T,HU	7.4 	10.5 	10.1 	8.4 	8.7 	8.5 	8.2 	8.5 	9.2 	8.6 	9.8 	8.4 
TOTAL,TOTAL,PC_POP,TOTAL,T,IE	6.3 	9.2 	5.4 	5.6 	4.3 	4.7 	5.1 	6.0 	5.7 	5.1 	5.5 	: 
TOTAL,TOTAL,PC_POP,TOTAL,T,IS	1.6 	1.0 	1.6 	1.8 	2.2 	2.4 	2.1 	3.1 	2.6 	2.6 	1.9 p	: 
TOTAL,TOTAL,PC_POP,TOTAL,T,IT	8.3 	8.5 	8.0 	8.0 	6.6 	8.6 	7.3 	7.3 	7.2 	7.0 	5.5 	3.8 
TOTAL,TOTAL,PC_POP,TOTAL,T,LT	11.2 	10.6 	10.5 	8.8 	8.2 	7.8 	7.0 	7.5 	6.3 	5.1 	5.5 	5.8 
TOTAL,TOTAL,PC_POP,TOTAL,T,LU	5.3 	4.9 	5.6 	7.0 	4.4 	4.1 	6.6 	7.6 	5.6 	7.1 	9.5 b	7.9 
TOTAL,TOTAL,PC_POP,TOTAL,T,LV	12.7 	11.1 	11.6 	11.0 	10.8 	9.8 	10.2 	9.0 	8.9 	8.5 	8.7 	9.0 
TOTAL,TOTAL,PC_POP,TOTAL,T,MK	: 	: 	: 	: 	7.9 	4.8 	4.5 	3.3 	4.3 	3.9 	4.9 	: 
TOTAL,TOTAL,PC_POP,TOTAL,T,MT	5.8 	4.5 	4.7 	6.9 	7.4 	8.4 	7.0 	7.2 	7.4 	7.2 	7.4 	6.9 
TOTAL,TOTAL,PC_POP,TOTAL,T,NL	4.8 	5.2 	3.9 	3.7 	3.8 	3.8 	3.9 	3.6 	4.6 p	4.8 	3.6 b	3.3 
TOTAL,TOTAL,PC_POP,TOTAL,T,NO	3.5 	3.4 	4.1 	4.2 	3.9 	3.7 	4.0 	3.4 	2.4 	3.0 	2.7 	3.6 
TOTAL,TOTAL,PC_POP,TOTAL,T,PL	9.9 	9.1 	8.4 	8.3 	7.7 	7.0 	6.5 	5.8 	4.8 	4.5 	4.3 	4.3 
TOTAL,TOTAL,PC_POP,TOTAL,T,PT	18.8 	17.2 	11.5 	8.6 	7.3 	7.1 	9.8 	8.9 	9.7 	8.0 	8.8 	11.4 
TOTAL,TOTAL,PC_POP,TOTAL,T,RO	: 	7.9 	8.3 	8.7 	7.5 	7.4 	6.6 	7.3 	5.9 	5.8 	5.6 	4.7 
TOTAL,TOTAL,PC_POP,TOTAL,T,RS	: 	: 	: 	: 	: 	: 	: 	8.2 	8.8 	8.3 	7.0 	: 
TOTAL,TOTAL,PC_POP,TOTAL,T,SE	4.9 	6.7 	6.5 b	6.3 	6.6 	6.3 	5.8 	6.1 	5.8 	5.5 	7.0 	6.5 
TOTAL,TOTAL,PC_POP,TOTAL,T,SI	9.5 	9.7 	11.8 	15.5 	10.7 	12.1 	8.8 	6.5 	5.2 	5.7 	4.7 	4.5 
TOTAL,TOTAL,PC_POP,TOTAL,T,SK	3.7 	3.7 	4.4 	3.5 	2.6 	3.0 	3.8 	3.1 	3.2 	3.1 	2.7 	2.9 
TOTAL,TOTAL,PC_POP,TOTAL,T,TR	23.6 	21.7 	19.3 	28.0 	: 	26.7 	27.5 	25.2 	24.7 	20.6 	: 	: 
TOTAL,TOTAL,PC_POP,TOTAL,T,UK	9.6 	11.2 	10.2 	10.6 	10.3 	10.4 	7.5 b	5.6 	5.2 	5.2 	5.2 	: 
