sex,incgrp,age,unit,geo\time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
T,B_MD60,TOTAL,PC,DK	24.4 	22.6 	21.2 	20.0 	22.6 	22.5 	22.4 	20.0 	21.2 	23.8 	26.9 	24.8 	27.2 	23.5 	25.6 
T,B_MD60,TOTAL,PC,EA18	: 	: 	23.2 	22.7 	23.1 	23.5 	23.9 	23.6 	23.5 	23.5 	23.7 	23.8 	24.0 	24.3 	23.9 e
T,B_MD60,TOTAL,PC,EA19	: 	: 	23.8 	23.2 	23.5 	23.9 	24.2 	24.0 	23.5 	23.5 	23.8 	23.9 	24.2 	24.3 	24.0 e
T,B_MD60,TOTAL,PC,EE	: 	55.0 	56.2 	52.6 	47.9 	44.8 	49.9 	53.8 	27.1 	22.5 	24.9 	17.7 b	15.0 	16.7 	15.6 
T,B_MD60,TOTAL,PC,EL	38.2 	30.1 	34.1 	37.3 	36.3 	35.2 	32.3 	34.7 	35.8 	39.4 	42.0 	43.1 	42.0 	42.2 	43.8 
T,B_MD60,TOTAL,PC,ES	: 	16.1 	13.2 b	11.7 	11.5 	11.2 	10.0 	9.2 	11.3 b	11.6 	11.0 	10.8 	11.4 	12.7 	11.3 
T,B_MD60,TOTAL,PC,EU	: 	: 	: 	: 	: 	29.5 e	30.1 e	30.0 e	29.2 e	29.4 e	30.0 e	29.9 e	29.6 e	29.5 e	29.5 e
T,B_MD60,TOTAL,PC,EU27	: 	: 	31.7 e	30.7 e	30.3 	29.5 	30.1 	29.8 	29.0 	29.2 	29.8 	29.8 	29.4 	29.4 	29.5 e
T,B_MD60,TOTAL,PC,EU28	: 	: 	: 	: 	: 	: 	: 	30.0 	29.2 	29.4 	30.0 	29.9 	29.6 	29.5 	29.5 e
T,B_MD60,TOTAL,PC,FI	: 	20.4 	19.7 	18.2 	19.0 	16.8 	16.9 	17.5 	17.7 	20.6 	22.8 	20.8 	21.0 	20.5 	17.8 
T,B_MD60,TOTAL,PC,FR	: 	25.0 	21.4 	18.5 	25.7 	26.4 	27.2 	25.6 	23.5 	23.3 	20.9 	21.1 	20.9 	23.1 	24.5 
T,B_MD60,TOTAL,PC,HR	: 	: 	: 	: 	: 	: 	: 	46.4 	47.3 	48.6 	46.8 	47.1 	45.0 	45.9 	: 
T,B_MD60,TOTAL,PC,HU	: 	: 	65.8 	70.7 	65.1 	65.7 	68.8 	69.7 	68.9 	68.3 	66.8 	63.8 	62.0 	54.7 	42.6 
T,B_MD60,TOTAL,PC,IE	7.0 	10.1 	9.9 	10.1 	8.8 	6.8 	8.4 	7.7 	6.7 	6.0 	4.4 	7.6 	6.0 	6.0 	: 
T,B_MD60,TOTAL,PC,IS	: 	14.3 	14.8 	14.6 	17.7 	16.8 	19.0 	17.2 	17.7 	18.5 	23.1 	18.1 	19.9 	18.3 p	: 
T,B_MD60,TOTAL,PC,IT	: 	38.3 	36.5 	36.7 	36.6 	35.0 	35.2 	38.1 	38.1 	39.8 	41.7 	43.0 	43.8 	39.2 	36.9 
T,B_MD60,TOTAL,PC,LT	: 	: 	62.3 	60.7 	57.3 	52.0 	54.7 	51.8 	28.7 b	24.7 	35.4 b	35.9 	34.5 	31.0 	29.6 
T,B_MD60,TOTAL,PC,LU	24.1 	25.5 	34.9 	27.0 	27.0 	32.1 	22.8 	24.9 	23.8 	21.4 	20.6 	21.6 	19.8 	26.0 b	19.7 
T,B_MD60,TOTAL,PC,LV	: 	: 	63.2 	61.9 	56.6 	53.7 	57.8 	66.4 	57.4 	48.7 	47.9 	48.2 	49.4 	45.9 	47.0 
T,B_MD60,TOTAL,PC,MK	: 	: 	: 	: 	: 	: 	: 	: 	67.5 	67.2 	63.1 	59.6 b	68.1 	63.6 	: 
T,B_MD60,TOTAL,PC,MT	: 	: 	4.7 	3.4 	5.4 	4.2 	5.1 	6.6 	9.2 	6.6 	6.3 	8.7 	7.7 	7.5 	5.1 
T,B_MD60,TOTAL,PC,NL	: 	: 	3.9 	4.5 	5.8 	6.3 	5.5 	4.5 	4.7 	9.2 	13.8 	15.9 	13.2 	14.6 b	14.6 
T,B_MD60,TOTAL,PC,NO	18.3 	23.2 	21.1 	18.2 	18.8 	21.4 	21.9 	25.7 	25.1 	23.1 	25.1 	21.1 	21.6 	22.1 	22.1 
T,B_MD60,TOTAL,PC,PL	: 	: 	69.1 	71.1 	69.6 	67.2 	64.9 	65.6 	62.5 	60.8 	61.9 	62.4 	59.7 	59.2 	49.8 
T,B_MD60,TOTAL,PC,PT	: 	21.8 	24.7 	22.2 	21.4 	25.1 	23.4 	22.3 	20.6 	17.2 	19.7 	21.1 	21.0 	19.9 	17.7 
T,B_MD60,TOTAL,PC,RO	: 	: 	: 	: 	61.5 	61.7 	62.0 	61.9 	62.6 	63.6 	64.4 	64.5 	61.7 	60.6 	58.3 
T,B_MD60,TOTAL,PC,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	62.3 	56.8 	63.6 	65.0 	: 
T,B_MD60,TOTAL,PC,SE	: 	35.2 	30.9 	32.2 	31.0 	31.3 b	27.2 	34.2 	31.1 	35.6 	38.7 	42.1 	40.0 	41.3 	37.1 
T,B_MD60,TOTAL,PC,SI	: 	: 	50.7 	47.1 	48.9 	47.2 	44.4 	46.3 	26.4 b	27.1 	25.2 	24.9 	23.1 	20.4 	19.6 
T,B_MD60,TOTAL,PC,SK	: 	: 	59.9 	60.4 	59.6 	55.5 	58.3 	58.4 	55.5 	52.4 	55.7 	58.2 	57.6 	54.2 	55.6 
T,B_MD60,TOTAL,PC,TR	: 	: 	: 	75.4 	74.7 	77.1 	76.0 	76.7 	75.2 	73.9 	72.9 	73.1 	71.8 	: 	: 
T,B_MD60,TOTAL,PC,UK	: 	: 	12.4 	12.5 	12.3 	11.5 	15.7 	14.0 	11.0 	13.7 b	14.9 	14.0 	14.0 	14.4 	: 
T,TOTAL,TOTAL,PC,AT	8.6 	14.4 	15.0 	15.6 	15.2 	14.8 b	13.3 	12.0 	12.3 	13.9 	14.7 	15.3 	15.0 	15.2 	15.1 
T,TOTAL,TOTAL,PC,BE	8.5 	4.4 	4.0 	3.6 	3.8 	4.1 	3.9 	4.2 	2.2 	1.6 	2.0 	2.0 	1.6 	3.7 	5.1 
T,TOTAL,TOTAL,PC,BG	: 	: 	: 	48.2 	51.1 	48.1 	47.0 	47.4 	47.4 	44.5 	44.2 	43.3 	41.4 	42.5 b	41.9 
T,TOTAL,TOTAL,PC,CH	: 	: 	: 	: 	7.7 	8.1 	7.6 	6.1 	6.1 	5.9 	6.7 	6.8 b	6.4 	7.0 	: 
T,TOTAL,TOTAL,PC,CY	: 	: 	2.2 	1.9 	1.6 	3.3 b	2.6 	3.5 	2.9 	2.8 	2.4 	2.2 	1.4 	2.4 	2.8 
