unit,s_adj,partner,stk_flow,bop_item,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_GDP,NSA,WRL_REST,BAL,IN1,FR	: 	: 	: 	: 	2.1 	1.8 	1.9 	0.9 	1.3 	1.4 	1.8 	2.1 	2.1 	2.2 	2.3 	2.6 	2.8 	2.2 	2.2 	2.1 	2.1 	2.1 	2.3 
PC_GDP,NSA,WRL_REST,BAL,IN1,HR	: 	: 	: 	: 	: 	-1.9 	-2.1 	-1.7 	-3.3 	-1.8 	-2.4 	-2.6 	-2.3 	-3.2 	-3.8 	-3.2 	-3.0 	-3.4 	-2.0 	-2.0 	-0.7 	-3.2 	-1.8 
PC_GDP,NSA,WRL_REST,BAL,IN1,HU	: 	: 	: 	: 	-5.8 	-5.4 	-5.3 	-5.3 	-4.8 	-4.8 	-4.7 	-5.0 	-6.4 	-6.1 	-4.5 	-4.6 	-4.8 	-4.2 	-2.6 	-4.2 	-4.4 	-2.4 	-3.9 
PC_GDP,NSA,WRL_REST,BAL,IN1,IE	: 	: 	: 	-12.2 	-14.5 	-14.1 	-14.6 	-16.1 	-13.8 	-13.7 	-13.4 	-12.3 	-13.5 	-12.9 	-15.9 	-15.6 	-18.2 	-18.3 	-15.6 	-15.5 	-23.2 	-18.3 	-20.3 
PC_GDP,NSA,WRL_REST,BAL,IN1,IT	: 	: 	: 	: 	-0.1 	-0.4 	-0.2 	-0.4 	-0.4 	-0.1 	0.2 	0.5 	0.1 	-0.9 	-0.1 	-0.2 	-0.3 	-0.2 	-0.2 	0.0 	-0.5 	0.3 	0.6 
PC_GDP,NSA,WRL_REST,BAL,IN1,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	-2.1 	-1.5 	-2.1 	-3.9 	-3.4 	1.9 	-1.9 	-3.7 	-3.1 	-2.7 	-1.4 	-4.1 	-4.0 	-4.0 
PC_GDP,NSA,WRL_REST,BAL,IN1,LU	4.0 	0.8 	-3.2 	-3.6 	-5.7 	-8.2 	-9.6 	-15.7 	-18.0 	-10.8 	-12.6 	-18.6 	-21.9 	-24.4 	-21.7 	-21.4 	-21.2 	-23.5 	-26.6 	-28.5 	-32.7 	-31.9 	-29.7 
PC_GDP,NSA,WRL_REST,BAL,IN1,LV	: 	: 	: 	: 	: 	-0.1 	0.3 	0.3 	-0.3 	-2.0 	-1.0 	-2.8 	-3.8 	-2.3 	6.1 	1.1 	0.0 	-0.6 	-0.3 	-0.4 	-0.6 	-0.3 	-0.7 
PC_GDP,NSA,WRL_REST,BAL,IN1,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.3 	-3.2 	-2.8 	-3.2 	-2.5 	-6.8 	-5.2 	-4.3 	-5.0 	-5.6 	-5.6 	-5.0 	-6.9 	-7.0 
PC_GDP,NSA,WRL_REST,BAL,IN1,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.4 	0.2 	2.4 	0.1 	-1.9 	-0.5 	0.3 	1.8 	2.4 	1.2 	-0.6 	0.1 	-1.5 	0.4 
PC_GDP,NSA,WRL_REST,BAL,IN1,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	-3.2 	-1.7 	-2.1 	-3.0 	-1.9 	-2.8 	-3.3 	-3.2 	-3.1 	-3.0 	-3.4 	-3.4 	-4.2 	-4.0 
PC_GDP,NSA,WRL_REST,BAL,IN1,PT	: 	0.5 	-0.2 	-0.4 	-0.6 	-1.7 	-2.2 	-1.4 	-1.0 	-1.0 	-1.4 	-2.9 	-3.0 	-3.3 	-3.8 	-3.2 	-2.7 	-2.5 	-1.2 	-1.9 	-2.4 	-2.3 	-2.5 
PC_GDP,NSA,WRL_REST,BAL,IN1,RO	: 	: 	: 	: 	-1.1 	-0.7 	-0.7 	-1.0 	-2.3 	-4.1 	-2.9 	-3.2 	-3.2 	-2.2 	-1.3 	-1.2 	-1.3 	-1.7 	-2.2 	-1.3 	-2.4 	-2.6 	-2.5 
PC_GDP,NSA,WRL_REST,BAL,IN1,SE	-2.1 	-2.2 	-1.9 	-1.2 	-0.7 	-0.4 	-0.4 	-0.3 	1.6 	0.4 	1.2 	2.6 	3.1 	3.6 	2.4 	2.8 	2.1 	2.4 	2.1 	1.9 	1.2 	1.1 	1.4 
PC_GDP,NSA,WRL_REST,BAL,IN1,SI	1.0 	0.8 	0.4 	0.3 	0.4 	0.1 	0.3 	-0.6 	-0.8 	-1.2 	-0.9 	-1.2 	-2.2 	-2.7 	-1.5 	-1.0 	-0.8 	-1.6 	-1.3 	-1.1 	-3.3 	-3.0 	-2.2 
PC_GDP,NSA,WRL_REST,BAL,IN1,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	-5.9 	-4.6 	-4.7 	-4.3 	-3.0 	-0.9 	-2.8 	-3.4 	-1.7 	-0.7 	-1.0 	-1.7 	-3.1 	-2.3 
PC_GDP,NSA,WRL_REST,BAL,IN1,UK	: 	: 	: 	: 	-0.3 	0.4 	0.7 	1.3 	1.3 	1.1 	1.4 	0.1 	-0.5 	-0.9 	-0.8 	0.1 	0.4 	-1.1 	-2.1 	-2.1 	-2.3 	-2.5 	-1.6 
PC_GDP,NSA,WRL_REST,BAL,IN2,AT	-0.9 	-1.1 	-1.2 	-1.2 	-1.2 	-1.1 	-1.2 	-1.0 	-1.0 	-0.9 	-0.9 	-1.0 	-1.0 	-1.0 	-1.0 	-1.0 	-1.0 	-1.0 	-1.2 	-0.9 	-0.9 	-1.0 	-0.8 
PC_GDP,NSA,WRL_REST,BAL,IN2,BE	: 	: 	: 	: 	: 	: 	: 	: 	-1.9 	-1.6 	-1.5 	-1.4 	-1.1 	-1.6 	-1.6 	-1.4 	-1.5 	-1.5 	-1.8 	-1.6 	-1.6 	-1.8 	-1.5 
PC_GDP,NSA,WRL_REST,BAL,IN2,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.1 	2.4 	2.6 	4.0 	4.0 	5.0 	5.7 	3.8 	3.6 	3.3 	3.7 
PC_GDP,NSA,WRL_REST,BAL,IN2,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.3 	-1.0 	-1.0 	-1.1 	-1.4 	-2.1 	-2.7 	-2.9 	-2.4 	-2.1 
PC_GDP,NSA,WRL_REST,BAL,IN2,CZ	1.0 	0.6 	0.6 	0.8 	0.9 	0.6 	0.7 	1.1 	0.6 	0.0 	-0.5 	-0.5 	-0.6 	-0.3 	-0.5 	-0.3 	-0.5 	-0.7 	-0.2 	-0.2 	0.0 	-0.6 	-1.0 
PC_GDP,NSA,WRL_REST,BAL,IN2,DE	-1.5 	-1.4 	-1.5 	-1.5 	-1.3 	-1.4 	-1.3 	-1.3 	-1.4 	-1.3 	-1.4 	-1.3 	-1.3 	-1.3 	-1.4 	-1.5 	-1.3 	-1.4 	-1.5 	-1.4 	-1.3 	-1.3 	-1.7 
PC_GDP,NSA,WRL_REST,BAL,IN2,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-2.1 	-2.0 	-2.0 	-1.7 	-2.0 	-2.0 	-1.9 	-2.0 	-2.0 	-1.7 	-1.6 	-1.4 	-1.4 
PC_GDP,NSA,WRL_REST,BAL,IN2,EE	: 	: 	: 	: 	: 	1.5 	1.4 	0.8 	0.9 	0.7 	0.1 	0.1 	0.4 	0.5 	0.6 	0.7 	0.7 	0.5 	0.0 	0.1 	0.0 	0.0 	0.6 
PC_GDP,NSA,WRL_REST,BAL,IN2,EL	: 	: 	: 	: 	: 	: 	: 	0.7 	0.6 	0.5 	0.0 	0.2 	-0.5 	-0.1 	-0.4 	-0.8 	-0.7 	-0.5 	1.0 	-0.2 	-0.3 	-0.3 	-0.3 
PC_GDP,NSA,WRL_REST,BAL,IN2,ES	-0.1 	-0.3 	-0.4 	-0.4 	-0.4 	-0.7 	-0.7 	-0.7 	-0.9 	-0.9 	-1.1 	-1.4 	-1.2 	-1.4 	-1.4 	-1.2 	-1.3 	-1.1 	-1.3 	-1.1 	-1.0 	-1.1 	-0.9 
PC_GDP,NSA,WRL_REST,BAL,IN2,FI	: 	: 	: 	: 	-0.6 	-0.5 	-0.6 	-0.6 	-0.7 	-0.9 	-1.1 	-1.0 	-0.9 	-1.0 	-1.2 	-1.1 	-1.0 	-0.9 	-1.2 	-1.2 	-1.2 	-1.2 	-0.9 
PC_GDP,NSA,WRL_REST,BAL,IN2,FR	: 	: 	: 	: 	-1.3 	-1.7 	-1.6 	-1.6 	-1.7 	-1.8 	-1.9 	-1.8 	-1.8 	-1.7 	-1.9 	-1.8 	-1.8 	-2.0 	-2.1 	-2.3 	-2.0 	-2.1 	-1.9 
PC_GDP,NSA,WRL_REST,BAL,IN2,HR	: 	: 	: 	: 	: 	4.1 	4.2 	4.0 	4.0 	3.6 	3.2 	2.8 	2.4 	2.2 	2.2 	2.3 	2.6 	2.8 	2.6 	2.1 	2.9 	2.9 	3.6 
PC_GDP,NSA,WRL_REST,BAL,IN2,HU	: 	: 	: 	: 	0.9 	0.7 	0.8 	0.7 	0.8 	-0.5 	-1.0 	-1.1 	-1.1 	-1.2 	-0.3 	-0.4 	-0.6 	-0.8 	-0.6 	-0.7 	-1.0 	-1.4 	-0.4 
PC_GDP,NSA,WRL_REST,BAL,IN2,IE	: 	: 	: 	1.6 	1.3 	0.9 	-0.9 	-0.8 	-0.9 	-0.8 	-1.0 	-1.1 	-1.3 	-2.6 	-3.2 	-3.0 	-2.9 	-1.5 	-1.6 	-1.4 	-1.3 	-1.4 	-1.6 
PC_GDP,NSA,WRL_REST,BAL,IN2,IT	: 	: 	: 	: 	-0.5 	-0.4 	-0.4 	-0.6 	-0.6 	-0.8 	-0.9 	-1.1 	-1.1 	-1.1 	-1.2 	-1.2 	-1.2 	-1.2 	-1.1 	-1.0 	-0.9 	-1.0 	-0.9 
PC_GDP,NSA,WRL_REST,BAL,IN2,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.6 	1.5 	1.5 	1.5 	1.4 	1.2 	2.5 	1.7 	0.8 	2.3 	2.6 	2.5 	2.1 	2.1 
PC_GDP,NSA,WRL_REST,BAL,IN2,LU	-2.6 	-2.5 	-2.7 	-2.2 	-2.8 	-2.2 	-2.6 	-1.5 	0.7 	-0.3 	0.3 	0.3 	0.5 	0.4 	-1.6 	0.3 	0.2 	-0.5 	0.5 	0.5 	1.3 	1.3 	1.1 
PC_GDP,NSA,WRL_REST,BAL,IN2,LV	: 	: 	: 	: 	: 	2.0 	1.4 	2.3 	4.1 	4.5 	3.0 	1.8 	0.9 	1.5 	2.5 	2.4 	1.9 	1.6 	1.3 	0.1 	0.6 	0.7 	1.3 
PC_GDP,NSA,WRL_REST,BAL,IN2,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.9 	0.7 	-1.9 	-0.5 	0.8 	1.5 	1.2 	1.3 	1.5 	1.9 	2.4 	2.2 	2.3 	: 
PC_GDP,NSA,WRL_REST,BAL,IN2,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	-1.6 	-1.8 	-1.9 	-1.9 	-1.7 	-1.3 	-1.6 	-1.6 	-1.7 	-2.0 	-1.7 	-1.3 	-0.7 	-0.7 
PC_GDP,NSA,WRL_REST,BAL,IN2,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.3 	0.1 	0.2 	0.2 	0.2 	-0.3 	0.0 	0.2 	0.0 	-0.1 	-0.1 	-0.2 	-0.3 	0.0 
PC_GDP,NSA,WRL_REST,BAL,IN2,PT	: 	2.0 	2.0 	1.9 	1.9 	1.8 	1.8 	1.0 	0.7 	0.8 	0.4 	0.4 	0.6 	0.6 	0.1 	0.2 	0.3 	0.6 	0.9 	0.9 	0.9 	0.9 	1.1 
PC_GDP,NSA,WRL_REST,BAL,IN2,RO	: 	: 	: 	: 	1.8 	2.3 	2.8 	3.3 	3.8 	4.8 	4.5 	4.9 	3.7 	3.8 	3.1 	2.5 	2.1 	2.0 	1.9 	1.1 	1.7 	1.5 	1.4 
PC_GDP,NSA,WRL_REST,BAL,IN2,SE	-1.0 	-0.7 	-0.9 	-1.0 	-1.2 	-1.2 	-1.3 	-1.3 	-1.3 	-1.4 	-1.5 	-1.5 	-1.4 	-1.6 	-1.5 	-1.6 	-1.6 	-2.0 	-1.8 	-1.8 	-1.7 	-1.4 	-1.5 
PC_GDP,NSA,WRL_REST,BAL,IN2,SI	0.4 	0.4 	0.6 	0.5 	0.5 	0.6 	0.6 	0.2 	0.1 	-0.2 	-0.5 	-0.7 	-0.7 	-0.7 	-1.0 	-0.4 	-0.2 	-0.2 	-1.0 	-0.7 	-0.9 	-0.9 	-0.6 
PC_GDP,NSA,WRL_REST,BAL,IN2,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.2 	-0.5 	-0.7 	-0.9 	-1.1 	-1.5 	-0.8 	-1.1 	-1.4 	-2.0 	-1.7 	-1.6 	-1.7 	-1.5 
PC_GDP,NSA,WRL_REST,BAL,IN2,UK	: 	: 	: 	: 	-0.7 	-0.9 	-0.6 	-0.8 	-0.8 	-0.8 	-0.9 	-0.8 	-0.9 	-0.8 	-1.0 	-1.2 	-1.2 	-1.2 	-1.4 	-1.3 	-1.2 	-1.1 	-1.0 
PC_GDP,NSA,WRL_REST,BAL,S,AT	1.8 	1.6 	1.5 	2.0 	2.3 	2.8 	2.6 	2.8 	2.7 	2.8 	2.9 	3.1 	3.5 	4.2 	3.8 	3.5 	3.4 	3.3 	3.1 	3.0 	3.0 	3.0 	2.7 
PC_GDP,NSA,WRL_REST,BAL,S,BE	: 	: 	: 	: 	: 	0.8 	1.0 	0.4 	0.6 	1.0 	1.3 	1.4 	0.8 	1.5 	2.0 	2.2 	1.9 	1.7 	1.7 	1.3 	1.4 	1.1 	0.9 
PC_GDP,NSA,WRL_REST,BAL,S,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.6 	5.5 	5.2 	6.4 	6.7 	6.2 	6.3 	5.9 	6.6 	6.4 	5.5 
PC_GDP,NSA,WRL_REST,BAL,S,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17.4 	16.3 	15.6 	17.2 	16.5 	18.0 	18.0 	17.5 	20.4 	20.8 
PC_GDP,NSA,WRL_REST,BAL,S,CZ	5.3 	3.7 	4.2 	4.9 	5.8 	6.8 	6.5 	4.6 	4.0 	2.7 	1.5 	1.8 	1.9 	2.2 	2.1 	2.0 	2.0 	1.9 	1.7 	1.3 	1.7 	2.3 	2.4 
PC_GDP,NSA,WRL_REST,BAL,S,DE	-2.1 	-2.2 	-2.2 	-2.2 	-2.6 	-2.8 	-2.9 	-2.1 	-2.2 	-1.7 	-1.8 	-1.4 	-1.4 	-1.2 	-0.8 	-1.0 	-1.2 	-1.2 	-1.5 	-0.8 	-0.6 	-0.6 	-0.6 
PC_GDP,NSA,WRL_REST,BAL,S,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.1 	2.2 	2.1 	2.2 	0.5 	2.0 	1.5 	1.7 	2.2 	2.5 	2.1 	0.9 	1.5 
PC_GDP,NSA,WRL_REST,BAL,S,EE	10.2 	11.7 	13.1 	12.0 	12.0 	12.4 	12.1 	10.0 	9.6 	10.3 	8.7 	7.5 	6.8 	8.8 	10.1 	9.1 	7.8 	8.7 	7.7 	8.5 	8.3 	7.6 	8.0 
PC_GDP,NSA,WRL_REST,BAL,S,EL	: 	: 	: 	: 	: 	: 	: 	5.9 	5.7 	7.2 	7.2 	6.4 	6.5 	6.5 	4.8 	5.4 	6.6 	7.2 	8.7 	10.2 	9.6 	8.8 	9.8 
PC_GDP,NSA,WRL_REST,BAL,S,ES	2.5 	2.6 	3.0 	3.3 	3.2 	3.3 	3.4 	3.2 	3.1 	2.7 	2.7 	2.7 	2.7 	2.7 	2.7 	3.1 	4.0 	4.4 	4.7 	4.6 	4.4 	4.6 	4.8 
PC_GDP,NSA,WRL_REST,BAL,S,FI	-1.6 	-1.6 	-1.8 	-1.8 	-1.2 	-1.4 	0.0 	0.4 	-0.4 	0.3 	-0.4 	-3.4 	-3.6 	-3.1 	-3.3 	-2.7 	-2.1 	-2.7 	-2.1 	-1.8 	-1.3 	-1.2 	-0.5 
PC_GDP,NSA,WRL_REST,BAL,S,FR	: 	: 	: 	: 	1.0 	0.9 	1.0 	1.2 	0.9 	0.9 	1.0 	1.1 	1.3 	1.2 	1.0 	1.0 	1.3 	1.5 	1.4 	1.2 	0.9 	0.8 	1.2 
PC_GDP,NSA,WRL_REST,BAL,S,HR	: 	: 	: 	: 	: 	11.5 	13.8 	12.2 	16.4 	14.5 	14.8 	14.3 	14.5 	14.3 	12.8 	12.7 	13.8 	14.7 	15.3 	16.8 	17.9 	18.6 	18.9 
PC_GDP,NSA,WRL_REST,BAL,S,HU	4.9 	6.3 	6.0 	5.3 	4.5 	5.3 	5.3 	2.6 	1.4 	1.1 	1.0 	1.3 	0.9 	1.2 	1.2 	2.7 	3.2 	3.8 	3.7 	4.4 	4.4 	5.9 	5.9 
PC_GDP,NSA,WRL_REST,BAL,S,IE	: 	: 	: 	-10.5 	-10.5 	-12.3 	-10.2 	-10.0 	-7.5 	-7.8 	-8.0 	-6.7 	-6.3 	-8.8 	-9.3 	-8.0 	-5.3 	-3.9 	-0.4 	-2.8 	-14.4 	-23.3 	-6.2 
PC_GDP,NSA,WRL_REST,BAL,S,IT	0.4 	0.4 	0.5 	0.2 	0.0 	0.1 	-0.1 	-0.3 	-0.3 	0.0 	-0.1 	-0.2 	-0.5 	-0.7 	-0.6 	-0.6 	-0.4 	0.0 	0.0 	-0.1 	-0.2 	-0.2 	-0.2 
PC_GDP,NSA,WRL_REST,BAL,S,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.9 	3.7 	3.5 	2.1 	1.8 	2.7 	4.0 	4.1 	4.2 	3.9 	4.5 	4.7 	5.8 	7.4 
PC_GDP,NSA,WRL_REST,BAL,S,LU	16.8 	20.0 	25.0 	25.4 	27.5 	33.8 	31.2 	34.5 	33.2 	33.3 	34.9 	36.9 	38.4 	39.3 	34.9 	31.6 	31.9 	33.1 	33.1 	33.3 	39.1 	39.6 	38.9 
PC_GDP,NSA,WRL_REST,BAL,S,LV	: 	: 	: 	: 	: 	5.6 	6.1 	6.0 	6.8 	5.9 	5.1 	4.6 	5.0 	5.7 	7.6 	7.3 	7.3 	7.4 	7.8 	8.6 	8.5 	8.7 	8.6 
PC_GDP,NSA,WRL_REST,BAL,S,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.5 	13.9 	14.0 	17.7 	21.0 	17.0 	18.4 	20.5 	20.5 	21.2 	26.3 	27.4 	30.6 	32.0 
PC_GDP,NSA,WRL_REST,BAL,S,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	-1.2 	-1.2 	-1.2 	-1.0 	-0.9 	-1.3 	-1.2 	-1.5 	-1.4 	-0.8 	-0.6 	-2.0 	0.9 	1.1 
PC_GDP,NSA,WRL_REST,BAL,S,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.7 	0.8 	0.7 	1.7 	1.4 	1.6 	0.9 	1.3 	1.5 	1.9 	2.2 	2.5 	3.3 	3.9 
PC_GDP,NSA,WRL_REST,BAL,S,PT	: 	1.6 	1.8 	2.2 	2.1 	2.5 	2.8 	2.8 	2.8 	3.1 	2.9 	3.4 	4.0 	4.0 	3.6 	3.6 	4.5 	5.6 	6.6 	6.6 	7.0 	7.2 	8.0 
PC_GDP,NSA,WRL_REST,BAL,S,RO	: 	: 	: 	: 	0.9 	3.8 	5.2 	5.5 	5.3 	5.6 	4.2 	4.2 	2.3 	2.0 	0.8 	1.2 	1.3 	1.9 	3.3 	3.9 	4.2 	4.5 	4.4 
PC_GDP,NSA,WRL_REST,BAL,S,SE	-0.7 	-0.8 	-1.2 	-1.4 	-1.3 	-1.5 	-1.1 	-0.6 	-1.1 	-0.4 	-0.3 	0.2 	0.4 	0.3 	0.5 	0.7 	1.1 	1.2 	1.7 	1.3 	2.2 	2.2 	1.1 
PC_GDP,NSA,WRL_REST,BAL,S,SI	4.1 	4.4 	4.2 	3.3 	2.3 	2.6 	2.9 	2.7 	2.5 	2.9 	3.2 	3.0 	2.8 	3.7 	3.1 	3.3 	3.8 	4.2 	4.8 	4.5 	5.0 	5.6 	6.3 
PC_GDP,NSA,WRL_REST,BAL,S,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.1 	1.6 	2.2 	1.1 	-0.5 	-1.4 	-1.0 	-0.4 	0.6 	0.7 	0.2 	0.2 	0.6 	1.0 
PC_GDP,NSA,WRL_REST,BAL,S,UK	: 	: 	: 	: 	1.3 	1.2 	1.4 	1.4 	1.7 	2.1 	2.5 	3.0 	3.4 	3.1 	3.5 	3.5 	4.3 	4.5 	5.1 	5.0 	4.8 	5.2 	5.6 
