unit,deg_urb,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,DEG1,HU	11.7 	10.9 	11.9 	9.1 	10.8 	12.6 	15.8 b	12.4 	13.2 	9.2 	8.5 	10.9 
PC,DEG1,IE	3.3 	5.3 	5.1 	5.9 	5.1 	8.0 	6.7 b	5.3 	7.2 	6.7 	6.0 	: 
PC,DEG1,IS	14.9 	10.3 	11.3 	10.8 	10.9 	12.5 	10.7 b	9.3 	9.6 	9.3 	6.9 p	: 
PC,DEG1,IT	14.5 	8.8 	10.0 	9.1 	9.6 	10.8 	10.7 b	11.8 	10.5 	11.4 	12.9 	11.7 
PC,DEG1,LT	6.3 	3.7 	3.8 	5.5 	13.1 	13.9 	10.7 b	10.4 	9.2 	10.1 	7.5 	5.6 
PC,DEG1,LU	6.4 	5.7 	4.8 	4.8 	5.1 	5.4 	7.3 b	8.6 	10.1 	8.5 	13.6 b	14.6 
PC,DEG1,LV	10.0 	11.2 	10.0 	12.1 	12.0 	15.3 	13.6 b	12.1 	10.0 	9.0 	8.2 	7.0 
PC,DEG1,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.3 	: 
PC,DEG1,MT	1.8 	2.6 	3.3 	2.8 	3.7 	3.0 	2.7 b	2.6 	1.5 	1.1 	1.4 	1.5 
PC,DEG1,NL	20.7 	19.3 	14.5 	14.2 	14.6 	15.7 	16.7 b	18.7 	17.7 	18.4 	13.5 b	12.2 
PC,DEG1,NO	12.0 	15.0 	13.8 	11.8 	9.5 	10.9 	10.7 b	11.6 	5.4 	6.6 	7.1 	6.6 
PC,DEG1,PL	14.5 	12.4 	11.3 	9.3 	11.5 	12.1 	12.4 b	12.1 	10.9 	9.8 	9.5 	9.0 
PC,DEG1,PT	4.0 	7.9 	8.3 	6.9 	5.3 	8.3 	9.5 b	9.6 	9.7 	9.5 	8.2 	7.9 
PC,DEG1,RO	: 	18.5 	18.0 	12.8 	13.4 	9.3 	16.9 b	16.0 	13.7 	13.8 	13.7 	9.6 
PC,DEG1,RS	: 	: 	: 	: 	: 	: 	: 	24.4 	30.0 	23.9 	29.3 	: 
PC,DEG1,SE	11.6 	9.8 	13.8 b	14.2 	10.8 	10.7 	9.8 b	11.2 	11.2 	11.2 	11.3 	10.6 
PC,DEG1,SI	3.9 	6.9 	5.0 	4.6 	5.7 	5.8 	7.6 b	8.5 	9.9 	9.2 	9.3 	7.2 
PC,DEG1,SK	12.2 	22.5 	5.6 	8.1 	5.8 	8.0 	7.7 b	8.2 	10.8 	12.1 	7.0 	7.8 
PC,DEG1,UK	16.8 	17.2 	17.0 	17.3 	17.8 	17.0 	7.9 b	9.3 	14.4 	14.5 	14.0 	: 
PC,DEG2,AT	3.9 	4.2 	4.3 b	4.5 	4.5 	2.9 	6.0 	6.2 	5.8 	5.9 	6.5 	6.7 
PC,DEG2,BE	6.8 	7.3 	10.0 	6.6 	6.3 	7.0 	8.0 b	7.1 	8.2 	7.7 	7.1 	7.1 
PC,DEG2,BG	14.0 	20.7 	15.6 	8.4 	5.3 	9.4 	15.2 b	13.5 	11.5 	14.6 	19.7 b	19.2 
PC,DEG2,CH	: 	: 	: 	11.4 	12.1 	10.8 	11.7 b	9.6 	11.9 b	11.0 	11.6 	: 
PC,DEG2,CY	3.2 	1.9 	0.3 b	2.0 	1.3 	2.2 	2.1 b	2.5 	3.2 	3.0 	2.8 	2.5 
PC,DEG2,CZ	13.0 	11.8 	13.1 	9.6 	8.4 	7.5 	9.8 b	11.4 	9.7 	10.6 	9.6 	8.0 
PC,DEG2,DE	: 	: 	: 	: 	13.0 	14.5 	15.5 b	16.1 	14.9 	14.5 	14.5 	13.4 
PC,DEG2,DK	14.6 	11.0 	13.7 	22.4 	20.6 	15.0 	17.6 b	16.7 	15.3 	12.7 	13.3 	15.0 
PC,DEG2,EA18	8.8 e	7.5 e	7.0 e	6.8 e	8.4 	9.2 	10.6 	10.8 	10.9 	11.0 	10.4 	9.8 e
PC,DEG2,EA19	8.8 e	7.4 e	7.0 e	6.8 e	8.4 	9.2 	10.6 	10.8 	10.9 	11.0 	10.4 	9.8 e
PC,DEG2,EE	3.2 	4.6 	7.4 	3.8 	4.9 	8.3 	7.9 b	7.8 	8.2 b	6.1 	5.2 	4.7 
PC,DEG2,EL	25.0 	13.7 	20.2 	17.6 	20.7 	26.5 	31.7 b	36.8 	44.3 	48.1 	41.7 	42.2 
PC,DEG2,ES	8.2 	8.0 	10.8 	11.5 	10.7 	10.8 	12.4 b	10.4 	11.7 	10.5 	9.5 	9.8 
PC,DEG2,EU27	9.7 e	8.7 e	8.3 e	8.0 e	8.9 	10.2 	10.5 	10.4 	10.9 	10.8 	10.3 	9.7 e
PC,DEG2,EU28	: 	: 	: 	: 	9.0 	10.2 	10.5 	10.4 	10.8 	10.7 	10.2 	9.7 e
PC,DEG2,FI	5.3 	5.5 	4.3 	4.1 	5.2 	4.7 	5.3 b	4.3 	4.3 	3.9 	4.0 	4.1 
PC,DEG2,FR	4.5 	4.9 	2.7 	2.7 	3.5 	3.7 	5.0 b	5.7 	4.5 	5.4 	3.8 	3.8 
PC,DEG2,HR	: 	: 	: 	: 	13.0 	6.2 	4.2 b	8.4 	7.2 	6.1 	6.0 	: 
PC,DEG2,HU	9.7 	10.0 	12.4 	9.0 	12.4 	13.9 	14.9 b	14.8 	14.1 	9.5 	8.9 	11.5 
PC,DEG2,IE	2.6 	2.5 	2.9 	4.0 	6.1 	6.6 	7.6 b	4.8 	7.0 	3.1 	4.1 	: 
PC,DEG2,IS	: 	: 	: 	: 	: 	: 	: 	: 	5.0 	7.2 	5.4 p	: 
PC,DEG2,IT	10.8 	6.7 	7.3 	7.3 	6.4 	7.2 	6.4 b	6.7 	6.7 	7.7 	8.3 	6.8 
PC,DEG2,LT	: 	: 	: 	: 	: 	: 	10.4 b	6.3 	5.2 	12.5 	15.2 	8.7 
PC,DEG2,LU	3.7 	2.9 	3.2 	2.6 	4.8 	3.2 	4.5 b	6.0 	7.0 	7.5 	10.4 b	9.7 
PC,DEG2,LV	12.8 	3.0 	10.9 	3.4 	9.2 	15.3 	14.3 b	15.8 	14.3 	7.1 	7.1 	7.5 
PC,DEG2,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12.5 	: 
PC,DEG2,MT	1.3 	2.0 	3.2 	3.4 	3.7 	3.7 	2.4 b	2.5 	2.0 	1.2 	1.3 	1.2 
PC,DEG2,NL	18.0 	16.3 	12.0 	11.4 	13.1 	12.7 	12.6 b	13.8 	13.7 	12.9 	7.7 b	6.1 
PC,DEG2,NO	8.2 	11.5 	10.8 	10.8 	10.0 	9.0 	9.2 b	7.3 	7.6 	8.3 	9.1 	8.4 
PC,DEG2,PL	8.8 	10.2 	8.8 	7.7 	7.2 	8.5 	10.0 b	9.6 	10.0 	8.8 	8.3 	6.7 
PC,DEG2,PT	5.4 	8.7 	7.4 	6.5 	3.3 	6.8 	8.6 b	8.6 	10.3 	10.0 	7.9 	6.4 
PC,DEG2,RO	: 	35.2 	23.9 	10.8 	21.8 	5.1 	19.4 b	16.3 	13.8 	13.9 	11.4 	10.3 
PC,DEG2,RS	: 	: 	: 	: 	: 	: 	: 	30.8 	30.9 	31.7 	26.7 	: 
PC,DEG2,SE	9.4 	8.7 	8.6 b	10.4 	7.7 	9.4 	9.5 b	6.8 	6.5 	7.6 	7.8 	6.7 
PC,DEG2,SI	3.0 	4.9 	4.3 	4.2 	4.2 	5.3 	5.6 b	6.5 	6.3 	6.2 	5.5 	5.3 
PC,DEG2,SK	17.7 	17.6 	6.0 	9.1 	8.0 	8.3 	7.8 b	7.3 	8.0 	8.6 	7.9 	9.1 
PC,DEG2,UK	14.8 	13.3 	14.2 	12.7 	12.5 	15.9 	6.9 b	6.5 	10.5 	9.7 	9.5 	: 
PC,DEG3,AT	3.2 	3.1 	3.5 b	3.0 	3.3 	3.0 	3.8 	4.3 	3.0 	2.4 	3.8 	4.0 
PC,DEG3,BE	6.7 	10.7 	21.1 	9.0 	9.3 	9.1 	9.8 b	7.1 	8.5 	6.7 	6.8 	6.5 
PC,DEG3,BG	15.8 	20.0 	11.7 	7.1 	6.6 	8.8 	17.5 b	17.1 	15.1 	16.2 	23.8 b	20.4 
PC,DEG3,CH	: 	: 	: 	9.5 	13.1 	10.0 	9.9 b	8.8 	8.8 b	9.4 	8.4 	: 
PC,DEG3,CY	2.1 	1.5 	1.8 b	2.3 	1.5 	2.2 	1.2 b	2.2 	2.3 	3.0 	2.1 	1.4 
PC,DEG3,CZ	9.0 	9.0 	12.4 	7.1 	8.5 	7.7 	6.5 b	8.0 	7.6 	5.9 	5.2 	5.4 
PC,DEG3,DE	: 	: 	: 	: 	12.3 	13.6 	13.9 b	13.3 	12.7 	12.0 	12.2 	11.0 
PC,DEG3,DK	10.5 	10.5 	11.2 	19.4 	16.4 	14.8 	12.3 b	13.6 	10.9 	10.9 	9.4 	9.9 
PC,DEG3,EA18	7.8 e	6.2 e	6.0 e	6.2 e	7.2 e	8.2 e	8.7 e	9.0 e	9.2 e	8.4 e	7.8 e	7.1 e
PC,DEG3,EA19	7.8 e	6.4 e	6.0 e	6.2 e	7.2 e	8.2 e	8.6 e	8.9 e	9.1 e	8.4 e	7.8 e	7.1 e
PC,DEG3,EE	5.1 	3.7 	3.4 	3.2 	4.8 	5.9 	5.8 b	5.4 	6.2 b	5.2 	3.5 	3.6 
PC,DEG3,EL	23.3 	17.8 	20.0 	19.8 	17.7 	20.5 	30.1 b	34.4 	41.2 	39.6 	34.6 	31.9 
PC,DEG3,ES	5.5 	5.2 	4.6 	6.5 	6.2 	8.1 	8.0 b	7.9 	8.7 	8.6 	6.8 	6.9 
PC,DEG3,EU27	10.5 e	9.5 e	9.5 e	8.8 e	9.2 e	9.4 e	9.4 e	9.7 e	9.9 e	9.1 e	8.6 e	7.7 e
PC,DEG3,EU28	: 	: 	: 	: 	9.2 e	9.4 e	9.4 e	9.7 e	9.9 e	9.1 e	8.6 e	7.7 e
PC,DEG3,FI	2.6 	3.8 	4.0 	4.1 	3.5 	3.9 	4.1 b	3.9 	3.6 	2.9 	3.1 	2.8 
PC,DEG3,FR	3.5 	3.1 	2.1 	2.2 	2.9 	2.9 	3.0 b	3.5 	2.9 	3.4 	3.0 	2.4 
PC,DEG3,HR	: 	: 	: 	: 	14.9 	8.5 	8.1 b	7.7 	7.8 	8.6 	7.4 	: 
PC,DEG3,HU	13.8 	11.3 	11.1 	8.7 	11.0 	12.8 	13.6 b	15.5 	11.4 	7.6 	8.9 	9.5 
PC,DEG3,IE	1.6 	1.6 	1.8 	2.2 	4.0 	4.0 	5.2 b	3.9 	4.5 	3.2 	2.8 	: 
PC,DEG3,IS	13.1 	11.0 	11.4 	7.1 	7.4 	9.1 	6.0 b	7.9 	5.5 	4.8 	4.6 p	: 
PC,DEG3,IT	9.9 	6.2 	5.9 	5.4 	5.8 	6.7 	5.8 b	6.4 	7.8 	6.0 	7.0 	5.6 
PC,DEG3,LT	7.3 	5.6 	5.9 	5.6 	8.7 	9.1 	6.8 b	6.7 	5.5 	8.3 	7.8 	8.3 
PC,DEG3,LU	3.2 	1.8 	2.2 	2.9 	3.9 	3.2 	4.5 b	4.3 	5.7 	4.2 	7.4 b	8.6 
PC,DEG3,LV	11.0 	9.0 	7.4 	7.0 	7.9 	9.9 	8.4 b	9.8 	8.3 	7.5 	5.6 	6.5 
PC,DEG3,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.9 	: 
PC,DEG3,MT	: u	: u	: u	: u	: u	: u	: u	: u	0.0 u	0.0 u	0.0 u	: u
PC,DEG3,NL	19.1 	23.3 	18.0 	8.8 	6.6 	6.9 	11.4 b	10.8 	13.0 	9.7 	5.9 b	5.1 
PC,DEG3,NO	9.1 	10.6 	11.7 	9.6 	7.9 	10.7 	8.6 b	7.5 	12.9 	14.8 	14.2 	13.2 
PC,DEG3,PL	10.8 	9.0 	8.6 	7.4 	7.7 	9.1 	9.2 b	9.4 	8.5 	7.9 	6.2 	5.0 
PC,DEG3,PT	4.0 	4.9 	6.7 	4.0 	3.3 	5.6 	6.1 b	5.7 	7.1 	7.3 	5.9 	5.0 
PC,DEG3,RO	: 	20.2 	19.6 	17.0 	17.1 	11.3 	19.0 b	17.8 	18.6 	18.6 	16.4 	15.0 
PC,DEG3,RS	: 	: 	: 	: 	: 	: 	: 	29.3 	36.4 	32.1 	28.4 	: 
PC,DEG3,SE	9.1 	7.2 	9.0 b	9.5 	6.8 	8.8 	8.1 b	8.4 	8.1 	7.0 	6.1 	7.4 
PC,DEG3,SI	2.6 	4.4 	4.3 	3.4 	3.9 	3.8 	3.9 b	4.6 	5.1 	4.9 	4.3 	4.2 
PC,DEG3,SK	17.7 	14.9 	5.2 	10.4 	8.4 	8.7 	9.1 b	9.1 	8.8 	7.8 	8.0 	8.2 
PC,DEG3,UK	17.1 	14.1 	15.5 	15.6 	16.0 	15.1 	5.5 b	5.3 	9.3 	9.5 	10.5 	: 
