indic_il,sex,age,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
LI_R_MD60BT,T,TOTAL,HU	29.6 	29.3 	30.4 	28.9 	28.4 	29.0 	27.3 	27.0 	26.6 	25.7 	25.8 	25.0 
LI_R_MD60BT,T,TOTAL,IE	32.8 	33.1 	34.0 	37.5 	39.9 	39.6 	39.5 	38.3 	37.1 	36.2 	34.7 	: 
LI_R_MD60BT,T,TOTAL,IS	18.5 	18.2 	19.0 	19.7 	22.8 	23.1 	23.1 	22.7 	21.2 	19.9 	19.8 p	: 
LI_R_MD60BT,T,TOTAL,IT	23.7 	23.7 	23.5 	23.3 	23.7 	24.6 	24.5 	24.6 	24.7 	25.4 	26.2 	25.2 
LI_R_MD60BT,T,TOTAL,LT	26.6 	25.5 	27.4 	28.6 	31.3 	30.2 	28.4 	30.3 	27.5 	28.6 	27.9 	29.8 
LI_R_MD60BT,T,TOTAL,LU	23.6 	23.4 	23.6 	27.0 	29.1 	27.2 	29.0 	29.4 	27.6 	27.2 	27.1 b	29.0 
LI_R_MD60BT,T,TOTAL,LV	28.0 	27.5 	30.2 	31.0 	28.5 	26.8 	25.7 	26.0 	27.0 	27.3 	27.8 	28.3 
LI_R_MD60BT,T,TOTAL,MK	: 	: 	: 	: 	: 	: 	28.8 	26.8 	24.8 	24.8 	25.7 	: 
LI_R_MD60BT,T,TOTAL,MT	21.3 	21.5 	22.9 	22.9 	23.5 	23.2 	24.0 	23.3 	23.8 	23.7 	23.8 	23.7 
LI_R_MD60BT,T,TOTAL,NL	21.0 	20.6 	19.9 	20.5 	21.1 	20.9 	20.6 	20.8 	21.3 	22.3 	22.1 b	21.9 
LI_R_MD60BT,T,TOTAL,NO	30.6 	27.7 	25.6 	25.2 	26.6 	29.6 	25.8 	26.0 	24.8 	26.5 	26.3 	25.0 
LI_R_MD60BT,T,TOTAL,PL	28.6 	26.5 	25.1 	23.6 	24.4 	24.1 	22.9 	23.0 	23.1 	22.9 	22.9 	24.0 
LI_R_MD60BT,T,TOTAL,PT	25.1 	24.2 	24.9 	24.3 	26.4 	25.4 	25.3 	25.5 	26.7 	26.4 	25.0 	23.6 
LI_R_MD60BT,T,TOTAL,RO	: 	31.5 	30.8 	28.7 	27.8 	29.2 	28.8 	28.2 	28.8 	29.3 	29.5 	28.3 
LI_R_MD60BT,T,TOTAL,RS	: 	: 	: 	: 	: 	: 	: 	31.8 	32.6 	37.2 	35.9 	: 
LI_R_MD60BT,T,TOTAL,SE	29.0 	27.5 	30.0 b	28.8 	29.0 	29.8 	29.0 	28.9 	30.0 	29.8 	29.9 	29.3 
LI_R_MD60BT,T,TOTAL,SI	24.2 	23.1 	23.0 	22.0 	24.2 	24.2 	25.2 	25.3 	25.1 	24.8 	24.3 	24.0 
LI_R_MD60BT,T,TOTAL,SK	20.0 	18.2 	18.4 	17.1 	19.8 	19.5 	20.0 	20.1 	19.6 	19.0 	18.4 	17.5 
LI_R_MD60BT,T,TOTAL,TR	27.4 	25.8 	25.8 	26.7 	26.5 	25.0 	25.3 	24.8 	24.7 	24.2 	: 	: 
LI_R_MD60BT,T,TOTAL,UK	30.1 	29.7 	28.9 	30.4 	31.0 	30.5 	29.7 b	30.1 	29.4 	29.3 	28.1 	: 
LI_R_MD60BT,T,Y18-64,AT	23.2 	23.3 	23.8 b	23.7 	24.4 	25.5 	24.4 	24.0 	24.3 	24.8 	25.9 	24.0 
LI_R_MD60BT,T,Y18-64,BE	26.0 	26.4 	26.0 	25.1 	25.7 	26.4 	27.3 	25.6 	27.3 	26.9 	26.8 	26.3 
LI_R_MD60BT,T,Y18-64,BG	21.4 	22.7 	22.4 	20.8 	22.5 	23.3 	22.1 	22.7 	24.3 	24.4 	25.5 b	25.0 
LI_R_MD60BT,T,Y18-64,CH	: 	19.1 	18.3 	18.5 	19.3 	20.1 	19.6 	18.9 	21.3 b	22.0 	21.9 	: 
LI_R_MD60BT,T,Y18-64,CY	16.1 	15.3 	17.0 b	18.1 	19.0 	20.0 	21.0 	23.3 	23.8 	25.1 	24.3 	23.6 
LI_R_MD60BT,T,Y18-64,CZ	20.4 	18.8 	18.6 	16.7 	17.1 	17.4 	17.6 	17.1 	16.8 	16.5 	15.8 	15.0 
LI_R_MD60BT,T,Y18-64,DE	26.8 	25.5 	24.9 	24.8 	24.9 	26.1 	25.2 	25.5 	26.0 	26.0 	25.4 	24.3 
LI_R_MD60BT,T,Y18-64,DK	27.6 	26.5 	27.8 	29.7 	29.4 	29.4 b	29.7 	31.4 	31.0 	29.7 	29.3 	29.8 
LI_R_MD60BT,T,Y18-64,EA18	23.5 	23.2 	23.0 	23.2 	24.6 	25.5 	25.4 	26.0 	26.5 	26.5 	26.2 	25.3 e
LI_R_MD60BT,T,Y18-64,EA19	23.5 	23.2 	23.0 	23.3 	24.7 	25.6 	25.4 	26.0 	26.5 	26.5 	26.2 	25.3 e
LI_R_MD60BT,T,Y18-64,EE	21.9 	21.5 	19.9 	22.0 	25.0 	25.8 	24.9 	24.3 	26.1 b	24.3 	24.3 	24.0 
LI_R_MD60BT,T,Y18-64,EL	21.1 	21.6 	21.7 	20.8 	22.2 	23.0 	27.8 	28.8 	27.5 	26.4 	26.6 	25.3 
LI_R_MD60BT,T,Y18-64,ES	20.8 	20.7 	23.0 b	24.6 	27.1 	29.6 	29.9 	31.2 	33.1 	32.1 	31.4 	29.7 
LI_R_MD60BT,T,Y18-64,EU27	24.5 e	24.0 	23.6 	23.8 	25.0 	25.7 	25.5 	25.9 	26.2 	26.1 	25.8 	25.1 e
LI_R_MD60BT,T,Y18-64,EU28	: 	: 	: 	: 	25.0 	25.7 	25.5 	25.9 	26.2 	26.1 	25.8 	25.1 e
LI_R_MD60BT,T,Y18-64,FI	27.5 	27.5 	25.7 	24.8 	26.6 	27.2 	26.6 	26.8 	27.7 	27.9 	28.5 	28.0 
LI_R_MD60BT,T,Y18-64,FR	24.0 	24.8 	22.0 b	22.6 	24.4 	24.0 	23.2 	24.4 	24.1 	24.2 	23.7 	24.1 
LI_R_MD60BT,T,Y18-64,HR	: 	: 	: 	: 	27.0 b	28.1 	28.2 	27.3 	27.5 	27.9 	25.0 	: 
LI_R_MD60BT,T,Y18-64,HU	28.5 	28.5 	30.2 	28.3 	27.7 	28.7 	27.2 	27.2 	26.4 	25.7 	25.4 	24.5 
LI_R_MD60BT,T,Y18-64,IE	28.3 	29.0 	30.9 	34.2 	38.2 	39.1 	39.7 	38.9 	37.6 	35.1 	33.4 	: 
LI_R_MD60BT,T,Y18-64,IS	16.7 	15.7 	16.5 	18.2 	22.2 	23.0 	22.5 	22.6 	20.1 	19.7 	19.1 p	: 
LI_R_MD60BT,T,Y18-64,IT	21.5 	21.5 	21.5 	21.5 	22.6 	24.1 	24.1 	24.7 	25.4 	26.0 	27.0 	25.9 
LI_R_MD60BT,T,Y18-64,LT	24.8 	22.4 	24.4 	26.6 	32.8 	32.2 	28.1 	29.4 	26.6 	26.2 	25.4 	26.0 
LI_R_MD60BT,T,Y18-64,LU	23.4 	23.0 	23.4 	26.4 	28.1 	26.6 	27.5 	28.2 	26.9 	27.2 	26.9 b	29.6 
LI_R_MD60BT,T,Y18-64,LV	25.4 	23.7 	23.5 	25.0 	28.0 	28.4 	25.8 	25.2 	23.9 	23.3 	23.2 	23.5 
LI_R_MD60BT,T,Y18-64,MK	: 	: 	: 	: 	: 	: 	27.8 	26.0 	24.0 	23.8 	24.5 	: 
LI_R_MD60BT,T,Y18-64,MT	18.1 	18.8 	19.3 	19.6 	20.7 	20.4 	20.7 	20.0 	20.1 	19.7 	19.6 	19.1 
LI_R_MD60BT,T,Y18-64,NL	21.0 	19.9 	19.8 	20.3 	21.7 	21.7 	21.8 	22.4 	23.3 	24.9 	23.2 b	23.2 
LI_R_MD60BT,T,Y18-64,NO	30.2 	26.7 	25.1 	24.9 	26.4 	30.1 	26.4 	26.3 	25.7 	28.0 	27.5 	26.6 
LI_R_MD60BT,T,Y18-64,PL	29.7 	27.1 	24.9 	23.0 	24.1 	23.8 	22.6 	22.8 	23.3 	23.4 	23.4 	24.2 
LI_R_MD60BT,T,Y18-64,PT	22.8 	22.0 	23.4 	22.8 	25.2 	24.4 	25.6 	26.3 	27.4 	27.0 	25.2 	24.4 
LI_R_MD60BT,T,Y18-64,RO	: 	27.1 	26.9 	26.1 	26.1 	28.3 	28.0 	27.1 	27.4 	27.2 	27.4 	26.7 
LI_R_MD60BT,T,Y18-64,RS	: 	: 	: 	: 	: 	: 	: 	31.2 	32.2 	37.3 	35.6 	: 
LI_R_MD60BT,T,Y18-64,SE	28.0 	26.7 	29.0 b	27.6 	28.6 	29.2 	28.0 	28.7 	29.8 	29.4 	28.8 	28.2 
LI_R_MD60BT,T,Y18-64,SI	21.8 	21.0 	20.6 	19.2 	21.9 	21.6 	23.9 	23.6 	23.9 	23.9 	23.6 	22.6 
LI_R_MD60BT,T,Y18-64,SK	18.8 	17.0 	16.8 	15.8 	19.1 	19.0 	19.1 	19.3 	19.1 	17.7 	17.6 	16.5 
LI_R_MD60BT,T,Y18-64,TR	22.6 	21.4 	21.5 	22.3 	22.0 	20.8 	20.6 	20.2 	20.2 	19.7 	: 	: 
LI_R_MD60BT,T,Y18-64,UK	25.1 	24.7 	23.7 	26.6 	27.2 	27.1 	27.3 b	27.5 	26.6 	26.5 	25.9 	: 
LI_R_MD60BT,T,Y_GE65,AT	18.5 	17.0 	21.4 b	19.3 	19.5 	19.8 	18.5 	18.4 	16.6 	15.4 	15.3 	14.8 
LI_R_MD60BT,T,Y_GE65,BE	26.9 	26.6 	24.8 	25.9 	24.0 	25.2 	23.2 	21.6 	20.8 	18.6 	18.3 	19.7 
LI_R_MD60BT,T,Y_GE65,BG	29.1 	27.6 	41.0 	44.0 	37.7 	35.1 	30.2 	30.4 	27.4 	33.5 	26.0 b	34.5 
LI_R_MD60BT,T,Y_GE65,CH	: 	28.8 	30.0 	32.9 	30.0 	30.9 	32.7 	32.6 	28.0 b	28.8 	28.3 	: 
LI_R_MD60BT,T,Y_GE65,CY	54.9 	54.4 	50.0 b	49.4 	44.1 	40.2 	33.5 	24.5 	24.6 	19.0 	22.2 	23.6 
LI_R_MD60BT,T,Y_GE65,CZ	13.3 	12.1 	14.4 	14.5 	12.6 	9.9 	8.5 	8.5 	10.0 	10.6 	11.2 	14.6 
LI_R_MD60BT,T,Y_GE65,DE	14.2 	17.4 	16.0 	16.1 	15.2 	15.4 	15.9 	16.0 	17.3 	17.5 	18.8 	18.1 
LI_R_MD60BT,T,Y_GE65,DK	34.9 	34.5 	35.9 	46.4 	34.8 	24.4 b	23.0 	18.6 	16.8 	16.2 	14.6 	14.9 
LI_R_MD60BT,T,Y_GE65,EA18	21.7 	21.9 	20.7 	20.1 	18.2 	18.1 	16.8 	16.1 	15.7 	15.9 	16.7 	16.6 e
LI_R_MD60BT,T,Y_GE65,EA19	21.8 	22.0 	20.8 	20.2 	18.1 	18.1 	16.9 	16.1 	15.8 	16.0 	16.8 	16.7 e
LI_R_MD60BT,T,Y_GE65,EE	27.9 	35.7 	41.3 	36.4 	17.7 	15.6 	20.1 	27.3 	36.1 b	38.7 	42.9 	43.7 
LI_R_MD60BT,T,Y_GE65,EL	30.0 	28.0 	26.6 	26.7 	27.5 	28.9 	21.1 	19.2 	17.2 	16.7 	14.7 	14.7 
LI_R_MD60BT,T,Y_GE65,ES	31.8 	28.7 	28.5 b	26.7 	25.7 	23.9 	17.9 	17.0 	15.3 	15.7 	16.5 	18.0 
LI_R_MD60BT,T,Y_GE65,EU27	23.1 e	23.1 	22.7 	21.7 	19.7 	19.5 	17.9 	17.1 	16.9 	17.2 	17.7 	17.3 e
LI_R_MD60BT,T,Y_GE65,EU28	: 	: 	: 	: 	19.9 	19.6 	18.0 	17.2 	17.1 	17.4 	17.8 	17.3 e
LI_R_MD60BT,T,Y_GE65,FI	31.2 	31.2 	30.3 	29.4 	25.1 	25.1 	24.5 	22.1 	22.0 	19.8 	19.0 	18.9 
LI_R_MD60BT,T,Y_GE65,FR	20.3 	17.1 	14.4 b	15.2 	12.2 	12.9 	12.9 	12.3 	11.3 	10.9 	10.8 	10.5 
LI_R_MD60BT,T,Y_GE65,HR	: 	: 	: 	: 	39.9 b	36.9 	34.3 	33.2 	32.9 	36.6 	29.6 	: 
LI_R_MD60BT,T,Y_GE65,HU	13.7 	10.9 	9.5 	9.3 	8.6 	8.8 	9.7 	7.6 	6.9 	6.7 	9.1 	11.0 
LI_R_MD60BT,T,Y_GE65,IE	38.8 	41.7 	36.4 	34.3 	23.1 	22.1 	24.8 	20.9 	21.2 	28.7 	29.4 	: 
LI_R_MD60BT,T,Y_GE65,IS	17.6 	20.5 	20.1 	16.7 	10.6 	8.7 	9.0 	8.0 	11.7 	9.8 	10.7 p	: 
LI_R_MD60BT,T,Y_GE65,IT	23.4 	24.1 	23.3 	21.5 	19.0 	19.2 	18.3 	17.0 	15.9 	16.5 	17.1 	17.0 
LI_R_MD60BT,T,Y_GE65,LT	25.8 	33.5 	33.7 	27.0 	12.7 	12.8 	22.5 	23.0 	23.3 	28.3 	30.2 	35.2 
LI_R_MD60BT,T,Y_GE65,LU	9.8 	9.6 	8.4 	9.3 	10.6 	8.0 	8.9 	9.2 	8.9 	11.4 	9.9 b	13.1 
LI_R_MD60BT,T,Y_GE65,LV	33.7 	38.8 	54.2 	49.9 	22.2 	12.1 	17.2 	22.2 	31.7 	37.4 	41.3 	43.0 
LI_R_MD60BT,T,Y_GE65,MK	: 	: 	: 	: 	: 	: 	26.5 	20.9 	17.2 	18.1 	19.7 	: 
LI_R_MD60BT,T,Y_GE65,MT	26.9 	23.3 	29.2 	24.9 	24.8 	23.8 	24.1 	25.1 	28.1 	30.9 	33.6 	35.5 
LI_R_MD60BT,T,Y_GE65,NL	11.6 	16.7 	15.7 	14.4 	12.6 	12.8 	11.2 	11.0 	10.6 	9.9 	16.0 b	17.0 
LI_R_MD60BT,T,Y_GE65,NO	30.0 	25.1 	23.6 	21.5 	24.0 	24.8 	20.5 	19.9 	16.3 	15.4 	15.9 	14.0 
LI_R_MD60BT,T,Y_GE65,PL	11.7 	11.6 	14.8 	17.3 	17.5 	17.3 	16.3 	14.7 	14.6 	14.4 	15.3 	17.3 
LI_R_MD60BT,T,Y_GE65,PT	30.9 	29.2 	24.9 	23.1 	24.9 	23.3 	20.2 	17.4 	18.5 	20.2 	21.4 	20.0 
LI_R_MD60BT,T,Y_GE65,RO	: 	33.3 	30.3 	24.9 	20.0 	17.2 	16.8 	16.1 	17.1 	21.1 	20.2 	21.2 
LI_R_MD60BT,T,Y_GE65,RS	: 	: 	: 	: 	: 	: 	: 	29.2 	29.1 	33.2 	32.7 	: 
LI_R_MD60BT,T,Y_GE65,SE	20.5 	21.0 	26.6 b	26.9 	23.7 	27.4 	26.3 	24.3 	23.5 	27.1 	27.1 	26.3 
LI_R_MD60BT,T,Y_GE65,SI	32.0 	30.0 	32.9 	31.6 	32.1 	32.7 	30.5 	31.0 	27.3 	26.8 	27.1 	27.0 
LI_R_MD60BT,T,Y_GE65,SK	13.8 	13.3 	14.6 	14.4 	11.9 	10.2 	11.7 	9.6 	9.0 	7.9 	8.1 	10.0 
LI_R_MD60BT,T,Y_GE65,TR	20.7 	19.5 	20.1 	21.5 	21.2 	21.1 	22.2 	20.2 	20.9 	20.1 	: 	: 
LI_R_MD60BT,T,Y_GE65,UK	34.3 	34.3 	34.8 	29.2 	28.4 	28.6 	23.6 b	23.3 	24.4 	23.1 	23.2 	: 
LI_R_MD60BT,T,Y_LT18,AT	36.7 	36.1 	36.9 b	35.7 	37.8 	39.4 	37.0 	39.5 	37.7 	38.9 	38.7 	38.0 
LI_R_MD60BT,T,Y_LT18,BE	29.0 	31.4 	31.6 	32.3 	31.8 	33.8 	32.4 	32.2 	33.5 	32.8 	31.9 	32.2 
LI_R_MD60BT,T,Y_LT18,BG	32.5 	33.9 	31.1 	30.1 	34.1 	35.2 	35.9 	38.1 	38.9 	37.4 	38.8 b	37.9 
LI_R_MD60BT,T,Y_LT18,CH	: 	30.0 	29.0 	27.8 	29.5 	28.6 	28.5 	27.7 	31.7 b	31.3 	31.5 	: 
LI_R_MD60BT,T,Y_LT18,CY	20.3 	19.9 	25.0 b	25.3 	25.0 	24.2 	25.5 	27.5 	27.2 	30.2 	29.2 	28.2 
LI_R_MD60BT,T,Y_LT18,CZ	32.0 	30.8 	29.7 	25.3 	26.0 	27.0 	26.0 	22.4 	25.7 	23.9 	23.3 	20.0 
LI_R_MD60BT,T,Y_LT18,DE	33.8 	30.4 	30.6 	30.5 	32.8 	33.0 	30.8 	30.4 	30.2 	31.3 	32.6 	30.8 
LI_R_MD60BT,T,Y_LT18,DK	24.3 	23.9 	22.1 	24.3 	24.0 	26.5 b	24.6 	25.3 	23.8 	23.1 	21.7 	22.2 
LI_R_MD60BT,T,Y_LT18,EA18	31.5 	31.6 	31.6 	32.1 	33.8 	33.7 	32.8 	33.2 	33.2 	33.4 	33.4 	32.4 e
LI_R_MD60BT,T,Y_LT18,EA19	31.5 	31.6 	31.6 	32.2 	33.9 	33.7 	32.8 	33.2 	33.2 	33.4 	33.4 	32.5 e
LI_R_MD60BT,T,Y_LT18,EE	30.6 	28.2 	26.3 	29.7 	31.1 	30.4 	28.6 	27.5 	28.5 b	29.0 	30.3 	30.3 
LI_R_MD60BT,T,Y_LT18,EL	24.9 	27.1 	25.8 	25.2 	25.8 	26.5 	29.8 	35.2 	31.0 	32.6 	33.0 	30.9 
LI_R_MD60BT,T,Y_LT18,ES	31.8 	30.5 	33.4 b	35.4 	37.5 	37.1 	36.4 	38.0 	39.3 	37.5 	36.0 	34.4 
LI_R_MD60BT,T,Y_LT18,EU27	33.9 e	33.8 	33.5 	33.9 	35.4 	35.1 	34.2 	34.8 	34.8 	34.7 	34.3 	32.5 e
LI_R_MD60BT,T,Y_LT18,EU28	: 	: 	: 	: 	35.3 	35.1 	34.2 	34.8 	34.8 	34.7 	34.3 	32.5 e
LI_R_MD60BT,T,Y_LT18,FI	30.0 	31.4 	29.7 	27.8 	29.7 	30.2 	30.0 	29.2 	32.3 	30.6 	30.6 	31.3 
LI_R_MD60BT,T,Y_LT18,FR	30.8 	36.9 	34.9 b	34.6 	36.2 	35.8 	34.1 	33.9 	34.3 	34.1 	34.4 	35.9 
LI_R_MD60BT,T,Y_LT18,HR	: 	: 	: 	: 	31.1 b	33.6 	35.5 	34.7 	35.2 	36.0 	32.9 	: 
LI_R_MD60BT,T,Y_LT18,HU	44.0 	44.5 	46.6 	46.3 	47.4 	48.7 	43.8 	43.8 	45.6 	43.7 	43.6 	41.2 
LI_R_MD60BT,T,Y_LT18,IE	40.8 	38.9 	40.2 	46.6 	50.9 	49.1 	45.9 	44.9 	43.7 	42.3 	40.4 	: 
LI_R_MD60BT,T,Y_LT18,IS	22.8 	23.1 	24.6 	24.9 	29.7 	30.1 	31.2 	30.0 	28.6 	25.9 	26.6 p	: 
LI_R_MD60BT,T,Y_LT18,IT	31.8 	31.1 	31.0 	31.8 	32.8 	32.8 	33.6 	33.8 	33.0 	34.4 	35.2 	33.7 
LI_R_MD60BT,T,Y_LT18,LT	32.4 	29.2 	31.5 	36.6 	43.6 	40.2 	35.3 	40.7 	34.9 	37.0 	34.2 	37.3 
LI_R_MD60BT,T,Y_LT18,LU	32.8 	33.2 	33.7 	39.6 	43.1 	40.6 	45.8 	44.5 	42.6 	37.8 	38.3 b	37.7 
LI_R_MD60BT,T,Y_LT18,LV	31.7 	29.6 	30.6 	33.7 	36.8 	36.5 	34.1 	32.6 	33.5 	30.7 	29.0 	28.6 
LI_R_MD60BT,T,Y_LT18,MK	: 	: 	: 	: 	: 	: 	33.5 	32.9 	32.3 	32.7 	33.7 	: 
LI_R_MD60BT,T,Y_LT18,MT	27.7 	28.7 	30.7 	32.6 	32.2 	32.8 	36.1 	33.7 	32.5 	30.9 	29.0 	27.9 
LI_R_MD60BT,T,Y_LT18,NL	26.6 	24.8 	23.0 	25.2 	25.2 	24.3 	23.8 	23.9 	24.1 	24.9 	23.9 b	22.5 
LI_R_MD60BT,T,Y_LT18,NO	32.1 	32.0 	28.0 	28.2 	28.8 	31.2 	27.8 	29.0 	28.5 	30.9 	31.2 	29.8 
LI_R_MD60BT,T,Y_LT18,PL	36.3 	34.5 	32.5 	30.1 	30.7 	30.1 	28.9 	29.9 	29.4 	28.2 	28.0 	29.7 
LI_R_MD60BT,T,Y_LT18,PT	27.8 	27.1 	30.1 	30.7 	32.2 	30.9 	29.6 	31.7 	33.6 	31.3 	28.6 	25.5 
LI_R_MD60BT,T,Y_LT18,RO	: 	43.1 	43.6 	40.9 	39.9 	42.8 	41.6 	42.3 	43.8 	43.6 	44.5 	40.3 
LI_R_MD60BT,T,Y_LT18,RS	: 	: 	: 	: 	: 	: 	: 	36.9 	37.9 	41.2 	40.4 	: 
LI_R_MD60BT,T,Y_LT18,SE	36.6 	34.0 	35.6 b	33.9 	34.5 	34.1 	34.2 	33.8 	36.8 	33.4 	35.6 	35.2 
LI_R_MD60BT,T,Y_LT18,SI	26.2 	25.0 	23.4 	24.2 	25.9 	26.9 	25.8 	26.8 	27.5 	26.2 	23.8 	25.7 
LI_R_MD60BT,T,Y_LT18,SK	28.3 	27.1 	27.0 	24.1 	29.3 	29.7 	31.2 	30.6 	30.1 	32.2 	29.2 	27.5 
LI_R_MD60BT,T,Y_LT18,TR	37.1 	35.6 	35.2 	36.9 	36.4 	34.1 	35.4 	35.5 	35.3 	34.8 	: 	: 
LI_R_MD60BT,T,Y_LT18,UK	41.6 	40.8 	39.7 	42.8 	44.5 	42.4 	41.9 b	44.2 	42.6 	43.1 	39.4 	: 
