na_item,unit,geo\time	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
B1GQ,EUR_M3_CLV10,EL	: 	: 	: 	: 	: 	20.4 	21.2 	19.6 	: 	: 	19.1 	20.2 	22.2 	23.0 	23.9 	23.8 	25.7 	26.3 	: 	: 	: 	20.7 ps	19.2 ps	18.6 ps	18.7 ps	18.6 ps
B1GQ,EUR_M3_CLV10,ES	: 	: 	: 	: 	: 	21.3 	: 	21.9 	21.4 	21.5 	23.8 	25.0 	25.8 	26.2 	27.4 	27.0 	29.4 	31.2 	31.7 	29.9 	30.4 s	29.6 s	27.8 s	: 	31.4 s	: 
B1GQ,EUR_M3_CLV10,FI	54.2 	44.7 	52.4 	48.9 	47.1 	48.7 	: 	: 	: 	64.3 	: 	: 	: 	: 	: 	: 	28.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B1GQ,EUR_M3_CLV10,FR	: 	36.7 	37.4 	37.0 	36.7 	: 	: 	: 	: 	: 	53.9 	53.6 	56.2 	51.8 	55.9 	56.5 d	60.3 d	64.2 d	69.0 d	66.2 d	70.4 s	72.0 s	68.2 s	: 	: 	: 
B1GQ,EUR_M3_CLV10,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	74.6 	66.4 	66.9 s	67.0 s	66.5 s	65.9 s	66.1 s	68.6 s
B1GQ,EUR_M3_CLV10,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20.3 	21.1 	19.7 	19.4 	15.5 	18.4 s	19.2 s	19.6 s	: 	: 	: 
B1GQ,EUR_M3_CLV10,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	205.1 	: 	248.3 	: 	217.4 	: 	: 	: 	: 	: 	: 
B1GQ,EUR_M3_CLV10,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.1 s	3.0 s	3.0 s	3.2 s	3.8 s	: 
B1GQ,EUR_M3_CLV10,IT	: 	: 	: 	: 	: 	: 	: 	: 	35.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B1GQ,EUR_M3_CLV10,LT	: 	: 	: 	: 	: 	3.2 	2.7 	3.5 	3.5 	3.8 	5.1 	7.1 	6.7 	6.9 	7.5 	11.2 	13.6 	13.9 	14.3 	11.4 	36.8 s	47.1 s	: 	: 	85.1 s	82.2 s
B1GQ,EUR_M3_CLV10,LU	: 	: 	: 	: 	: 	404.8 	: 	: 	: 	467.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	815.2 	844.1 s	889.8 s	920.5 s	986.2 s	965.8 s	1017.9 s
B1GQ,EUR_M3_CLV10,LV	: 	: 	: 	: 	: 	22.9 	24.3 	29.4 	33.1 	38.0 	48.4 	50.8 	54.7 	59.7 	71.7 	76.7 	97.6 	102.7 	94.5 	46.9 	64.6 s	51.3 s	75.7 s	81.4 s	: 	: 
B1GQ,EUR_M3_CLV10,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.7 	7.7 	8.2 	6.5 	3.3 	5.1 	6.8 	11.9 	9.6 	6.6 	: 	: 	: 	: 	15.1 s	: 
B1GQ,EUR_M3_CLV10,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	149.4 	158.7 	180.1 	182.7 	184.3 	187.0 	172.0 	182.4 	200.9 	161.2 s	175.5 s	172.4 s	158.6 s	167.4 s	187.9 s
B1GQ,EUR_M3_CLV10,NL	: 	: 	: 	: 	: 	: 	71.8 	: 	: 	: 	: 	64.1 	: 	55.0 	50.4 	51.7 	55.9 	58.5 	61.1 	55.3 	58.2 s	63.4 s	59.6 s	59.9 s	68.6 s	: 
B1GQ,EUR_M3_CLV10,PL	: 	: 	: 	: 	: 	14.7 	15.7 	16.8 	18.4 	19.2 	20.5 	21.5 	21.7 	22.8 	24.1 	24.9 	24.8 	27.1 	29.9 	30.3 	31.1 s	31.9 s	33.6 s	34.8 s	35.8 s	37.9 s
B1GQ,EUR_M3_CLV10,PT	: 	: 	: 	: 	: 	: 	: 	: 	14.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B1GQ,EUR_M3_CLV10,RO	: 	: 	: 	: 	: 	8.2 	8.3 	9.0 	9.0 	9.4 	10.4 	11.9 	12.7 	15.0 	18.0 	20.7 	22.2 	18.4 	19.0 	18.8 	20.2 s	19.4 s	20.1 s	21.1 s	22.3 s	22.5 s
B1GQ,EUR_M3_CLV10,RS	: 	: 	: 	: 	: 	4.4 	: 	: 	: 	: 	8.0 	7.9 	7.1 	7.1 	9.6 	6.9 	6.9 	7.3 	7.6 	7.2 	7.7 s	7.1 s	7.7 s	7.4 s	8.9 s	7.4 s
B1GQ,EUR_M3_CLV10,SE	: 	: 	: 	78.6 	81.7 	92.4 	93.8 	97.0 	101.1 	105.7 	111.6 	113.9 	116.3 	119.0 	124.1 	129.9 	136.0 	140.6 	: 	: 	137.4 s	: 	: 	: 	: 	: 
B1GQ,EUR_M3_CLV10,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	33.2 	36.1 	32.5 	36.0 	38.8 	40.2 	37.3 	38.0 	39.2 s	42.9 s	38.3 s	30.4 s	37.0 s	41.3 s
B1GQ,EUR_M3_CLV10,SK	: 	: 	: 	: 	: 	25.4 	27.4 	30.4 	33.8 	35.6 	35.8 	38.0 	41.4 	45.8 	: 	59.1 	76.2 	93.6 	102.5 	102.4 	112.5 s	117.2 s	106.2 s	112.5 s	131.7 s	133.8 s
B1GQ,EUR_M3_CLV10,TR	: 	: 	: 	: 	: 	: 	: 	: 	10.2 	: 	9.0 	8.3 	9.8 	10.1 	10.1 	11.1 e	12.1 e	14.0 e	13.4 e	11.9 e	12.4 s	: 	13.4 s	: 	14.9 s	: 
B1GQ,EUR_M3_CLV10,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	175.6 	200.6 	222.3 	227.6 	219.7 	223.9 s	244.8 s	232.3 s	: 	275.2 s	: 
B1GQ,EUR_M3_CLV10,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22.2 s	21.0 s	31.6 s
B1GQ,PPS_M3,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	25.5 s	40.0 s	20.6 s
B1GQ,PPS_M3,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	59.1 	61.9 	111.7 	73.6 	58.0 	77.9 s	83.5 s	85.4 s	87.4 s	68.7 s	71.0 s
B1GQ,PPS_M3,BE	: 	: 	: 	: 	: 	23.3 	26.3 	27.3 	29.0 	31.7 	33.4 	37.0 	40.1 	41.0 	44.1 	46.5 d	47.9 	51.9 	52.7 	52.0 	56.1 s	67.6 s	: 	: 	: 	: 
B1GQ,PPS_M3,BG	: 	: 	: 	: 	: 	8.6 	6.8 	5.4 	5.5 	6.1 	7.4 	8.2 	7.9 	8.0 	9.5 	11.0 	10.8 	12.8 	13.2 	13.1 	14.2 s	13.6 s	15.7 s	16.2 s	17.4 s	17.4 s
B1GQ,PPS_M3,CH	: 	: 	: 	: 	: 	69.1 	72.1 	76.1 	78.9 	82.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	174.4 s	: 	: 	: 
B1GQ,PPS_M3,CY	: 	: 	: 	: 	: 	: 	: 	: 	62.4 	58.9 	66.2 	68.8 	65.1 	61.0 	59.8 	74.2 	80.0 	96.1 	134.9 	113.0 	105.0 s	96.5 s	81.6 s	75.9 s	88.1 s	87.0 s
B1GQ,PPS_M3,CZ	: 	: 	: 	: 	: 	43.7 	50.0 	52.6 	58.3 	69.6 	75.9 	84.7 	83.5 	79.4 	88.5 	97.8 	104.0 	112.6 	114.9 	112.6 	113.7 s	120.9 s	125.3 s	142.7 s	151.7 s	166.3 s
B1GQ,PPS_M3,DE	: 	: 	: 	: 	: 	37.4 	: 	: 	44.4 	: 	: 	53.6 	: 	: 	61.7 	: 	: 	76.5 	: 	: 	74.2 s	: 	: 	: 	: 	: 
B1GQ,PPS_M3,DK	: 	: 	: 	: 	: 	112.7 	110.8 	121.9 	157.0 	176.5 	184.7 	193.6 	211.8 	216.2 	222.2 	244.3 	248.4 	307.4 	257.5 	256.9 	279.2 s	192.2 s	290.2 s	252.9 s	267.1 s	: 
B1GQ,PPS_M3,EE	: 	: 	: 	: 	: 	4.3 	5.1 	5.8 	6.3 	6.6 	7.8 	8.4 	9.7 	8.9 	9.5 	12.1 	13.8 	13.2 	14.9 	15.0 	11.9 s	13.1 s	15.9 s	15.2 s	16.3 s	: 
B1GQ,PPS_M3,EL	: 	: 	: 	: 	: 	17.6 	18.9 	18.2 	: 	: 	18.6 	20.2 	22.9 	23.4 	24.6 	24.7 	27.5 	28.0 	: 	: 	: 	22.0 ps	21.2 ps	21.2 ps	21.7 ps	22.1 ps
B1GQ,PPS_M3,ES	: 	: 	: 	: 	: 	16.3 	: 	17.9 	18.0 	18.3 	21.0 	22.5 	24.1 	24.5 	26.4 	27.0 	31.2 	34.2 	34.4 	31.6 	31.9 s	31.2 s	30.3 s	: 	35.1 s	: 
B1GQ,PPS_M3,FI	: 	: 	: 	: 	: 	33.2 	: 	: 	: 	47.9 	: 	: 	: 	: 	: 	: 	22.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B1GQ,PPS_M3,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	42.6 	43.7 	46.8 	42.0 	45.7 	48.3 d	52.5 d	57.4 d	61.1 d	57.7 d	63.0 s	65.2 s	62.3 s	: 	: 	: 
B1GQ,PPS_M3,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	107.0 	95.1 	96.3 s	99.8 s	103.3 s	102.7 s	104.3 s	110.8 s
B1GQ,PPS_M3,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29.7 	31.0 	29.9 	30.2 	24.8 	30.7 s	32.9 s	34.3 s	: 	: 	: 
B1GQ,PPS_M3,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	178.9 	: 	232.2 	: 	189.6 	: 	: 	: 	: 	: 	: 
B1GQ,PPS_M3,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.9 s	2.8 s	2.8 s	3.0 s	3.7 s	: 
B1GQ,PPS_M3,IT	: 	: 	: 	: 	: 	: 	: 	: 	29.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B1GQ,PPS_M3,LT	: 	: 	: 	: 	: 	4.0 	3.4 	4.6 	4.6 	5.2 	7.2 	10.3 	9.9 	10.5 	11.4 	17.3 	21.4 	22.4 	23.1 	18.1 	62.5 s	82.7 s	: 	: 	156.7 s	153.8 s
B1GQ,PPS_M3,LU	: 	: 	: 	: 	: 	239.6 	: 	: 	: 	312.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	662.7 	697.7 s	777.0 s	824.2 s	884.1 s	903.8 s	963.4 s
B1GQ,PPS_M3,LV	: 	: 	: 	: 	: 	27.6 	30.1 	37.5 	42.9 	50.2 	65.5 	71.1 	77.9 	84.1 	101.9 	110.8 	138.5 	150.5 	146.1 	69.6 	102.4 s	83.2 s	125.6 s	135.3 s	: 	: 
B1GQ,PPS_M3,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15.8 	16.0 	17.5 	13.7 	7.4 	11.7 	16.3 	28.5 	23.8 	16.4 	: 	: 	: 	: 	39.9 s	: 
B1GQ,PPS_M3,MT	: 	: 	: 	: 	: 	113.3 	219.8 	249.8 	292.7 	302.5 	: 	173.1 	189.2 	220.9 	230.0 	235.8 	239.7 	227.0 	236.5 	258.5 	215.4 s	235.8 s	234.4 s	214.5 s	229.2 s	265.2 s
B1GQ,PPS_M3,NL	: 	: 	: 	: 	: 	: 	49.9 	: 	: 	: 	: 	51.9 	: 	45.0 	42.5 	45.2 	50.2 	54.1 	56.3 	49.2 	52.1 s	57.3 s	55.5 s	56.8 s	64.5 s	: 
B1GQ,PPS_M3,PL	: 	: 	: 	: 	: 	19.3 	21.1 	23.3 	25.9 	27.6 	29.8 	31.8 	33.0 	34.4 	37.6 	39.1 	39.0 	43.9 	48.5 	48.5 	52.6 s	55.1 s	59.7 s	61.4 s	63.5 s	68.8 s
B1GQ,PPS_M3,PT	: 	: 	: 	: 	: 	: 	: 	: 	13.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B1GQ,PPS_M3,RO	: 	: 	: 	: 	: 	10.1 	10.7 	11.8 	12.0 	12.9 	14.5 	17.2 	18.5 	22.0 	28.3 	33.2 	38.5 	34.5 	37.6 	37.2 	42.3 s	41.3 s	44.3 s	45.3 s	48.3 s	50.0 s
B1GQ,PPS_M3,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15.6 	15.5 	14.3 	14.2 	19.7 	14.5 	15.0 	16.1 	17.3 	16.0 	17.3 s	16.7 s	18.4 s	17.4 s	21.4 s	18.3 s
B1GQ,PPS_M3,SE	: 	: 	: 	: 	: 	62.3 	65.4 	69.0 	72.1 	77.5 	84.8 	85.6 	87.7 	89.5 	95.5 	99.2 	107.1 	116.5 	: 	: 	111.1 s	: 	: 	: 	: 	: 
B1GQ,PPS_M3,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	38.7 	42.2 	39.1 	44.1 	47.2 	49.1 	45.5 	45.2 	47.0 s	52.5 s	48.4 s	39.0 s	47.9 s	54.8 s
B1GQ,PPS_M3,SK	: 	: 	: 	: 	: 	28.2 	31.3 	35.7 	40.3 	43.3 	45.8 	50.7 	56.1 	61.9 	: 	83.7 	110.0 	136.3 	151.7 	150.4 	171.4 s	177.4 s	163.7 s	174.0 s	206.6 s	211.4 s
B1GQ,PPS_M3,TR	: 	: 	: 	: 	: 	: 	: 	: 	12.9 	: 	12.2 	11.6 	13.0 	13.2 	13.7 	15.4 e	17.7 e	21.5 e	21.3 e	18.6 e	20.5 s	: 	23.0 s	: 	26.3 s	: 
B1GQ,PPS_M3,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	161.6 	187.7 	208.7 	213.1 	198.9 	209.3 s	228.6 s	222.2 s	: 	267.2 s	: 
