hhtyp,incgrp,unit,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
TOTAL,TOTAL,PC,TOTAL,M,CY	32.9 	30.1 	25.5 b	29.4 	31.1 	29.6 	30.1 	31.5 	25.3 	26.2 	26.9 	29.0 
TOTAL,TOTAL,PC,TOTAL,M,CZ	21.5 	15.9 	14.1 	14.8 	11.6 	11.8 	10.5 	9.8 	9.1 	9.1 	8.3 	8.3 
TOTAL,TOTAL,PC,TOTAL,M,DE	15.5 	12.7 	13.7 	13.9 	13.0 	13.4 	13.2 	13.1 	12.1 	12.4 	12.7 	12.2 
TOTAL,TOTAL,PC,TOTAL,M,DK	8.7 	10.5 	8.1 	7.6 	7.5 	16.0 b	17.5 	17.7 	14.8 	16.2 	16.2 	14.8 
TOTAL,TOTAL,PC,TOTAL,M,EA18	16.4 	16.0 	15.5 	15.7 	16.3 	15.8 	15.1 	16.3 	16.5 	15.9 	15.8 	13.3 e
TOTAL,TOTAL,PC,TOTAL,M,EA19	16.5 	16.1 	15.6 	15.8 	16.3 	15.8 	15.1 	16.3 	16.5 	15.9 	15.8 	13.4 e
TOTAL,TOTAL,PC,TOTAL,M,EE	23.2 	21.4 	17.0 	20.9 	18.9 	19.1 	19.0 	17.6 	15.6 b	12.7 	13.9 	13.9 
TOTAL,TOTAL,PC,TOTAL,M,EL	20.1 	19.3 	18.4 	17.3 	17.0 	15.0 	15.0 	14.2 	13.4 	14.7 	14.3 	13.3 
TOTAL,TOTAL,PC,TOTAL,M,ES	18.5 	19.2 	16.6 	18.0 b	22.1 	16.3 	12.1 	16.8 	17.0 	15.2 	16.0 	11.9 
TOTAL,TOTAL,PC,TOTAL,M,EU27	: 	18.0 	16.7 	15.8 	15.9 	15.5 	14.9 	15.7 	15.7 	15.1 	15.2 	13.1 e
TOTAL,TOTAL,PC,TOTAL,M,EU28	: 	: 	: 	: 	15.9 	15.5 	14.9 	15.6 	15.7 	15.1 	15.2 	13.1 e
TOTAL,TOTAL,PC,TOTAL,M,FI	4.6 	4.5 	4.3 	4.9 	5.0 	5.8 	6.4 	5.2 	5.0 	4.7 	4.6 	4.3 
TOTAL,TOTAL,PC,TOTAL,M,FR	11.8 	13.4 	12.1 	12.1 	12.4 	10.8 	12.9 	12.9 	13.2 	12.4 	13.9 	11.2 
TOTAL,TOTAL,PC,TOTAL,M,HR	: 	: 	: 	: 	19.8 	15.1 	12.7 	13.1 	11.8 	11.3 	11.8 	: 
TOTAL,TOTAL,PC,TOTAL,M,HU	27.1 	19.3 	30.7 	14.4 	23.9 b	22.4 	24.7 	26.8 	26.8 	25.1 	26.4 	24.3 
TOTAL,TOTAL,PC,TOTAL,M,IE	13.9 	14.3 	11.6 	12.3 	12.5 	11.4 	13.1 	13.9 	13.7 	13.2 	12.9 	: 
TOTAL,TOTAL,PC,TOTAL,M,IS	11.9 	10.5 	19.8 b	16.7 	15.6 	15.1 	17.5 	17.3 	15.4 	18.7 	18.1 p	: 
TOTAL,TOTAL,PC,TOTAL,M,IT	21.9 	21.4 	20.5 	20.7 	20.3 	23.6 	21.2 	23.0 	25.4 	24.3 	21.2 	16.2 
TOTAL,TOTAL,PC,TOTAL,M,LT	28.4 	25.2 	25.4 	21.4 	19.4 	19.4 	17.6 	19.4 	18.6 	17.9 	18.5 	16.3 
TOTAL,TOTAL,PC,TOTAL,M,LU	15.5 	14.3 	16.4 	17.2 	17.2 	15.2 	17.1 	15.2 	14.6 	14.2 	18.3 b	17.1 
TOTAL,TOTAL,PC,TOTAL,M,LV	31.8 	26.4 	25.4 	26.3 	25.1 	26.1 	29.1 	28.1 	27.6 	24.5 	22.1 	22.8 
TOTAL,TOTAL,PC,TOTAL,M,MK	: 	: 	: 	: 	25.1 	17.2 	14.6 	14.7 	15.5 	12.4 	14.0 	: 
TOTAL,TOTAL,PC,TOTAL,M,MT	7.1 	5.2 	6.8 	9.1 	11.4 	9.7 	10.3 	11.6 	11.2 	9.7 	8.8 	8.1 
TOTAL,TOTAL,PC,TOTAL,M,NL	16.7 	18.3 	15.3 	14.4 	15.1 	14.5 	15.8 	15.5 	15.5 p	15.3 	15.4 b	13.2 
TOTAL,TOTAL,PC,TOTAL,M,NO	7.8 	8.8 	8.0 	8.1 	7.6 	7.8 	8.1 	6.8 	5.8 	6.3 	5.8 	5.7 
TOTAL,TOTAL,PC,TOTAL,M,PL	41.5 	38.0 	23.1 b	17.7 	15.5 	11.6 	10.4 	10.1 	9.4 	12.2 	11.4 	11.9 
TOTAL,TOTAL,PC,TOTAL,M,PT	18.5 	19.2 	18.4 	19.2 	21.7 	20.9 	21.4 	31.8 b	32.9 	28.0 	30.7 	25.5 
TOTAL,TOTAL,PC,TOTAL,M,RO	: 	30.3 	23.4 	21.1 	18.2 	17.7 	15.4 	16.6 	13.8 	13.3 	13.3 	10.8 
TOTAL,TOTAL,PC,TOTAL,M,RS	: 	: 	: 	: 	: 	: 	: 	21.2 	25.8 	23.5 	21.6 	: 
TOTAL,TOTAL,PC,TOTAL,M,SE	7.6 	6.4 	8.3 b	6.9 	8.3 	8.6 	7.6 	7.8 	7.5 	7.2 	6.8 	7.0 
TOTAL,TOTAL,PC,TOTAL,M,SI	21.4 	17.1 	30.2 	30.6 	32.3 	34.6 	31.7 	26.3 	29.4 	26.3 	23.3 	21.8 
TOTAL,TOTAL,PC,TOTAL,M,SK	6.6 	5.8 	9.0 b	6.4 	5.9 	7.7 	8.8 	7.2 	7.1 	6.1 	6.3 	7.0 
TOTAL,TOTAL,PC,TOTAL,M,TR	44.6 	39.2 	38.7 	42.2 	: 	41.3 	40.5 	39.6 	37.2 	38.9 	: 	: 
TOTAL,TOTAL,PC,TOTAL,M,UK	14.0 	14.7 	15.3 	14.4 	14.6 	15.9 	16.8 	15.7 	16.6 	14.4 	16.1 	: 
TOTAL,TOTAL,PC,TOTAL,T,AT	10.3 	9.4 	13.3 b	15.0 	14.8 	13.9 	11.8 	12.5 	10.0 	11.7 	11.2 	11.9 
TOTAL,TOTAL,PC,TOTAL,T,BE	14.8 	14.2 	18.0 	15.2 b	19.0 	21.2 	18.7 	18.1 	17.5 	18.2 	19.3 	18.5 
TOTAL,TOTAL,PC,TOTAL,T,BG	30.7 	14.8 	30.4 	23.9 	15.4 b	14.9 	13.8 	12.9 	13.2 	12.9 	12.3 b	12.2 
TOTAL,TOTAL,PC,TOTAL,T,CH	: 	8.4 	8.0 	8.6 	8.9 	10.6 	12.8 	11.5 	11.3 b	11.9 	12.7 	: 
TOTAL,TOTAL,PC,TOTAL,T,CY	32.9 	30.1 	26.5 b	29.6 	30.0 	29.8 	30.0 	31.1 	25.5 	26.5 	27.1 	29.3 
TOTAL,TOTAL,PC,TOTAL,T,CZ	21.2 	15.6 	13.8 	14.6 	11.8 	11.9 	10.5 	10.0 	9.2 	8.9 	8.2 	8.0 
TOTAL,TOTAL,PC,TOTAL,T,DE	15.4 	13.1 	14.0 	14.0 	13.3 	13.7 	13.5 	13.1 	12.3 	12.8 	13.1 	12.5 
TOTAL,TOTAL,PC,TOTAL,T,DK	9.0 	10.6 	8.7 	7.8 	8.0 	16.3 b	17.6 	16.6 	15.0 	16.1 	15.9 	14.9 
TOTAL,TOTAL,PC,TOTAL,T,EA18	16.5 	16.1 	15.8 	16.0 	16.4 	15.9 	15.2 	16.3 	16.6 	16.0 	15.9 	13.4 e
TOTAL,TOTAL,PC,TOTAL,T,EA19	16.6 	16.2 	15.9 	16.0 	16.4 	15.9 	15.3 	16.3 	16.6 	16.0 	16.0 	13.4 e
TOTAL,TOTAL,PC,TOTAL,T,EE	23.7 	21.6 	17.1 	20.2 	18.8 	19.2 	19.4 	17.5 	15.9 b	13.4 	13.9 	13.9 
TOTAL,TOTAL,PC,TOTAL,T,EL	20.4 	19.4 	18.6 	17.6 	17.1 	15.3 	14.7 	14.0 	13.7 	15.1 	14.7 	13.5 
TOTAL,TOTAL,PC,TOTAL,T,ES	18.5 	19.0 	16.8 	18.3 b	21.8 	16.1 	12.0 	16.7 	17.1 	15.2 	15.9 	11.5 
TOTAL,TOTAL,PC,TOTAL,T,EU27	: 	18.0 	16.9 	16.0 	16.1 	15.6 	15.1 	15.7 	15.8 	15.3 	15.4 	13.2 e
TOTAL,TOTAL,PC,TOTAL,T,EU28	: 	: 	: 	: 	16.1 	15.6 	15.1 	15.6 	15.7 	15.2 	15.4 	13.1 e
TOTAL,TOTAL,PC,TOTAL,T,FI	4.5 	4.9 	4.4 	4.9 	5.0 	5.7 	6.0 	5.2 	5.0 	4.4 	4.7 	4.2 
TOTAL,TOTAL,PC,TOTAL,T,FR	12.0 	13.7 	12.8 	12.6 	12.5 	10.9 	12.8 	12.8 	13.4 	12.6 	14.0 	11.1 
TOTAL,TOTAL,PC,TOTAL,T,HR	: 	: 	: 	: 	19.8 	15.2 	13.3 	13.1 	11.7 	10.9 	11.5 	: 
TOTAL,TOTAL,PC,TOTAL,T,HU	27.0 	19.2 	30.8 	14.5 	24.2 b	22.1 	24.7 	26.7 	26.9 	25.4 	26.7 	24.8 
TOTAL,TOTAL,PC,TOTAL,T,IE	14.9 	14.9 	11.9 	13.2 	12.6 	11.1 	13.0 	14.3 	14.5 	13.6 	13.4 	: 
TOTAL,TOTAL,PC,TOTAL,T,IS	12.9 	11.1 	19.9 b	17.4 	16.0 	16.0 	18.6 	18.0 	15.9 	19.3 	18.6 p	: 
TOTAL,TOTAL,PC,TOTAL,T,IT	22.0 	21.4 	20.6 	20.9 	20.5 	23.4 	21.4 	22.9 	25.0 	24.1 	21.0 	16.1 
TOTAL,TOTAL,PC,TOTAL,T,LT	28.5 	25.2 	25.1 	21.2 	19.2 	19.0 	17.6 	19.9 	18.9 	17.0 	18.2 	15.7 
TOTAL,TOTAL,PC,TOTAL,T,LU	15.0 	14.5 	16.2 	17.5 	17.2 	15.5 	17.1 	15.3 	15.0 	14.4 	18.7 b	17.4 
TOTAL,TOTAL,PC,TOTAL,T,LV	32.4 	26.5 	25.7 	25.9 	24.7 	26.0 	28.2 	27.7 	27.5 	24.4 	21.9 	22.8 
TOTAL,TOTAL,PC,TOTAL,T,MK	: 	: 	: 	: 	24.7 	16.6 	14.4 	14.3 	15.2 	12.2 	14.1 	: 
TOTAL,TOTAL,PC,TOTAL,T,MT	7.4 	5.4 	6.9 	9.8 	12.1 	10.2 	10.8 	11.8 	11.0 	10.2 	8.9 	8.3 
TOTAL,TOTAL,PC,TOTAL,T,NL	17.1 	18.3 	15.6 	14.2 	15.2 	14.6 	16.2 	15.6 	15.8 p	15.7 	16.3 b	13.5 
TOTAL,TOTAL,PC,TOTAL,T,NO	7.7 	8.5 	8.2 	8.2 	7.7 	7.6 	8.2 	7.0 	6.0 	6.8 	5.9 	5.4 
TOTAL,TOTAL,PC,TOTAL,T,PL	41.4 	37.5 	22.8 b	17.6 	15.6 	11.5 	10.5 	10.1 	9.2 	11.9 	11.6 	11.9 
TOTAL,TOTAL,PC,TOTAL,T,PT	18.7 	19.5 	18.9 	19.7 	21.9 	21.3 	22.0 	31.9 b	32.8 	28.1 	30.5 	25.5 
TOTAL,TOTAL,PC,TOTAL,T,RO	: 	30.1 	24.0 	21.7 	18.7 	18.1 	15.5 	16.2 	13.6 	12.8 	13.3 	11.1 
TOTAL,TOTAL,PC,TOTAL,T,RS	: 	: 	: 	: 	: 	: 	: 	21.6 	26.2 	23.4 	21.8 	: 
TOTAL,TOTAL,PC,TOTAL,T,SE	7.5 	6.3 	8.0 b	6.8 	8.0 	8.7 	7.8 	7.7 	7.7 	7.7 	7.4 	7.0 
TOTAL,TOTAL,PC,TOTAL,T,SI	21.6 	17.5 	30.2 	30.6 	32.4 	34.7 	31.5 	27.0 	29.9 	26.9 	23.8 	22.0 
TOTAL,TOTAL,PC,TOTAL,T,SK	6.6 	6.1 	9.1 b	6.6 	5.8 	7.8 	8.8 	7.5 	7.0 	6.3 	6.2 	6.7 
TOTAL,TOTAL,PC,TOTAL,T,TR	44.8 	39.2 	39.0 	42.2 	: 	41.6 	40.6 	39.7 	37.2 	39.0 	: 	: 
TOTAL,TOTAL,PC,TOTAL,T,UK	13.9 	14.6 	15.0 	14.6 	15.0 	15.9 	17.2 	15.9 	16.6 	14.8 	16.4 	: 
