nutrient,indic_ag,geo,unit\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
P,BAL_UAA,BG,KG	-1 e	-3 e	-3 e	0 e	-3 e	-2 e	-2 e	0 e	-4 e	-4 e	-5 e	-6 e	-4 e	-9 e	-6 e	-6 e	: 
P,BAL_UAA,CH,KG	3 	4 	4 	4 	3 	2 	4 	3 	3 	2 	3 	1 	2 	2 	1 	2 	: 
P,BAL_UAA,CY,KG	32 e	33 e	35 e	30 e	29 e	28 e	28 e	31 e	33 e	29 e	31 e	32 e	30 e	29 e	32 e	32 e	: 
P,BAL_UAA,CZ,KG	2 	1 	2 	4 	0 	0 	1 	2 	0 	-5 	-2 	-3 	-1 	-3 	-4 	-1 	-3 
P,BAL_UAA,DE,KG	4 	1 	2 	5 	-1 	0 	1 	0 	-1 	-5 	-1 	0 	-3 	-1 	-4 	-2 	: 
P,BAL_UAA,DK,KG	13 e	14 e	14 e	13 e	13 e	11 e	12 e	12 e	7 e	7 e	8 e	7 e	7 e	8 e	7 e	7 e	: 
P,BAL_UAA,EE,KG	: 	: 	: 	: 	-5 	-7 	-2 	-7 	-5 	-6 	-6 	-5 	-6 	-8 	-7 	-7 e	: 
P,BAL_UAA,EL,KG	5 e	5 e	6 e	7 e	4 e	3 e	4 e	4 e	2 e	3 e	2 e	-1 e	-1 e	2 e	0 e	0 e	: 
P,BAL_UAA,ES,KG	5 d	7 d	6 d	6 d	5 d	6 d	4 d	5 d	1 d	3 d	3 d	2 d	5 d	3 d	4 d	4 d	: 
P,BAL_UAA,EU,KG	: 	: 	: 	: 	3 e	4 e	4 e	4 e	2 e	0 e	2 e	1 e	2 e	2 e	1 e	1 e	: 
P,BAL_UAA,FI,KG	8 	9 	8 	8 	7 	6 	7 	5 	5 	2 	5 	4 	4 	4 	4 	4 	4 
P,BAL_UAA,FR,KG	9 	8 	6 	8 	5 	5 	4 	4 	4 	-2 	1 	2 	1 	2 	1 	0 	-3 p
P,BAL_UAA,HR,KG	19 	14 	11 	15 	11 	12 	18 	12 	9 	1 	7 	6 	7 	3 	6 	4 	-4 
P,BAL_UAA,HU,KG	0 	-1 	1 	3 	-2 	-2 	-1 	3 	-4 	-3 	-2 	-3 	0 	-1 	-2 	-1 	-2 p
P,BAL_UAA,IE,KG	9 	7 	7 	8 	8 	7 	6 	5 	1 	0 	2 	1 	2 	4 	4 	5 	: 
P,BAL_UAA,IT,KG	7 e	5 e	5 e	6 e	0 e	0 e	3 e	2 e	-3 e	0 e	-1 e	-3 e	-2 e	-2 e	-1 e	-1 e	: 
P,BAL_UAA,LT,KG	6 e	5 e	5 e	6 e	10 e	13 e	9 e	4 e	6 e	-1 e	6 e	5 e	7 e	2 e	1 e	1 e	: 
P,BAL_UAA,LU,KG	9 e	7 e	8 e	7 e	6 e	7 e	5 e	6 e	4 e	4 e	4 e	5 e	4 e	4 e	4 e	4 e	: 
P,BAL_UAA,LV,KG	0 e	1 e	1 e	1 e	1 e	2 e	2 e	2 e	1 e	1 e	2 e	2 e	1 e	3 e	2 e	2 e	: 
P,BAL_UAA,MT,KG	52 e	58 e	53 e	43 e	57 e	45 e	46 e	49 e	43 e	36 e	33 e	26 e	27 e	30 e	30 e	30 e	: 
P,BAL_UAA,NL,KG	23 	20 	14 	21 	13 	16 	17 	12 	8 	6 	12 	6 	3 	5 	1 	3 	3 p
P,BAL_UAA,NO,KG	12 	12 	12 	13 	12 	13 	13 	13 	12 	10 	9 	11 	10 	12 	9 	10 	11 
P,BAL_UAA,PL,KG	4 	3 	5 	6 	3 	5 	10 	7 	8 	4 	5 	6 	3 	3 	0 	2 	: 
P,BAL_UAA,PT,KG	9 	10 	8 	11 	13 	11 	6 	9 	4 	4 	6 	4 	5 	4 	5 	5 	6 p
P,BAL_UAA,RO,KG	1 e	-1 e	0 e	1 e	-2 e	1 e	0 e	4 e	1 e	1 e	-1 e	-3 e	1 e	-2 e	-2 e	-1 	-2 
P,BAL_UAA,SE,KG	2 	2 	1 	1 	1 	2 	2 	1 	2 	-2 	0 	0 	0 	1 	0 	0 	1 
P,BAL_UAA,SI,KG	15 	14 	10 	14 	8 	5 	8 	7 	5 	2 	3 	3 	4 	6 	1 	2 	1 
P,BAL_UAA,SK,KG	0 	-2 	-2 	0 	-5 	-3 	-2 	-1 	-5 	-5 	-3 	-6 	-3 	-4 	-8 	-5 	-7 
P,BAL_UAA,UK,KG	10 	10 	9 	9 	9 	9 	8 	8 	6 	4 	6 	6 	6 	7 	5 	5 	6 
