unit,indic,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,INV_BSN,LV	20.62 	23.15 	20.45 	19.11 	21.33 	22.32 	22.60 	22.81 	20.07 	14.58 	12.24 	14.47 	16.94 	16.15 	14.97 	13.72 	11.86 	: 
PC,INV_BSN,NL	12.28 	11.63 	10.42 	9.74 	9.52 	9.49 	9.90 	10.17 	10.73 	10.29 	10.31 	11.20 	10.57 	10.23 	10.02 	10.80 	10.73 p	10.89 p
PC,INV_BSN,NO	12.22 	11.64 	11.34 	10.63 	10.92 	11.82 	12.33 	14.37 	14.06 	14.06 	12.09 	12.45 	13.22 	13.58 	13.63 	13.09 	12.34 	11.75 
PC,INV_BSN,PL	16.90 	12.99 	10.81 	10.35 	10.35 	10.25 	11.16 	12.38 	12.48 	11.03 	9.70 	10.04 	10.07 	10.11 	10.43 	11.09 	10.35 	: 
PC,INV_BSN,PT	14.33 	13.62 	12.94 	12.28 	12.05 	12.21 	12.84 	13.40 	13.79 	12.34 	10.72 	10.75 	9.64 	9.40 	9.75 	10.01 	10.58 p	11.07 e
PC,INV_BSN,RO	13.52 	15.97 	17.23 	17.55 	17.98 	19.06 	19.79 	21.78 	23.98 	17.36 	13.27 	16.16 	16.82 	14.68 b	14.56 	14.18 	13.92 p	: 
PC,INV_BSN,SE	16.08 	16.19 	14.99 	14.58 	14.71 	15.17 	15.79 	16.53 	17.00 	15.03 	14.73 	15.42 	15.65 	15.43 	16.21 	16.41 	16.66 	17.24 
PC,INV_BSN,SI	17.58 	16.45 	15.74 	16.23 	16.75 	17.12 	17.28 	17.98 	18.47 	14.28 	11.90 	12.10 	11.49 	11.96 	10.81 	10.61 	11.01 	: 
PC,INV_BSN,SK	16.98 	20.50 	18.57 	17.13 	17.09 	18.41 	17.94 	18.26 	17.03 	12.46 	13.64 	15.46 	13.31 	12.94 	12.38 	13.22 	13.46 	: 
PC,INV_BSN,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	12.53 	14.88 	16.69 	16.46 	16.11 	16.73 	17.70 	: 	: 
PC,INV_BSN,UK	11.92 	11.22 	10.77 	9.53 	8.92 	10.27 	9.49 	9.66 	9.43 	8.28 	8.37 	8.57 	9.04 	9.07 	9.09 	9.44 	9.11 	: 
PC,INV_GOV,AT	2.66 	2.42 	2.62 	2.48 	2.40 	2.93 	2.87 	2.98 	3.24 	3.37 	3.25 	3.03 	2.94 	3.04 	2.96 	2.96 	3.00 	: 
PC,INV_GOV,BE	2.43 	2.18 	2.12 	2.16 	2.07 	2.13 	1.96 	2.04 	2.09 	2.33 	2.30 	2.45 	2.49 	2.36 	2.39 	2.35 	2.22 	: 
PC,INV_GOV,BG	3.91 	3.89 	3.43 	3.27 	3.46 	3.70 	4.19 	5.23 	5.57 	4.95 	4.59 	3.41 	3.41 	4.05 	5.21 	6.57 	2.62 	: 
PC,INV_GOV,CH	3.01 	3.08 	3.15 	3.13 	3.04 	2.90 	2.78 	2.69 	2.77 	2.98 	2.99 	3.02 	3.03 	3.01 	3.04 	3.08 	3.13 	: 
PC,INV_GOV,CY	3.30 	3.19 	3.57 	3.98 	4.19 	3.47 	3.38 	3.09 	3.15 	4.20 	4.18 	3.97 	2.90 	2.28 	2.06 	2.20 	2.57 	: 
PC,INV_GOV,CZ	4.64 	4.19 	4.14 	7.73 	5.05 	5.23 	5.20 	4.75 	5.27 	6.03 	5.11 	4.49 	4.17 	3.72 	4.13 	5.14 	3.26 	3.34 
PC,INV_GOV,DE	2.30 	2.26 	2.19 	2.12 	1.94 	1.89 	2.00 	1.94 	2.06 	2.36 	2.30 	2.28 	2.24 	2.14 	2.06 	2.11 	2.12 	: 
PC,INV_GOV,DK	2.77 	3.00 	2.74 	2.63 	2.83 	2.73 	2.94 	3.04 	3.00 	3.13 	3.29 	3.32 	3.79 	3.66 	3.86 	3.63 	3.84 	3.45 
PC,INV_GOV,EA19	3.15 	3.17 	3.08 	3.23 	3.16 	3.15 	3.21 	3.23 	3.34 	3.65 	3.41 	3.13 	2.93 	2.83 	2.72 	2.71 	2.57 	2.58 
PC,INV_GOV,EE	4.39 	4.64 	5.87 	5.20 	4.40 	4.62 	5.38 	6.01 	6.20 	6.24 	4.84 	4.92 	6.32 	5.57 	5.14 	5.34 	4.79 	: 
PC,INV_GOV,EL	5.05 	5.94 	4.90 	5.95 	5.69 	4.42 	5.73 	4.85 	5.58 	5.71 	3.69 	2.46 	2.50 	3.43 	3.66 	3.87 	3.17 	: 
PC,INV_GOV,ES	3.67 	3.76 	4.04 	4.11 	3.96 	4.18 	4.33 	4.64 	4.61 	5.11 	4.69 	3.70 	2.49 	2.25 	2.15 	2.51 	1.93 	: 
PC,INV_GOV,EU28	2.89 	2.98 	2.94 	3.10 	3.09 	3.19 	3.19 	3.23 	3.43 	3.72 	3.52 	3.28 	3.08 	2.96 	2.93 	2.93 	2.73 	2.75 
PC,INV_GOV,FI	3.53 	3.40 	3.68 	3.85 	3.91 	3.65 	3.38 	3.47 	3.59 	3.95 	3.67 	3.80 	4.04 	4.15 	4.18 	3.89 	4.10 	4.08 
PC,INV_GOV,FR	3.92 	3.84 	3.76 	3.89 	3.95 	4.00 	3.92 	3.94 	3.94 	4.25 	4.15 	3.96 	4.05 	3.99 	3.71 	3.47 	3.42 	: 
PC,INV_GOV,HR	: 	: 	5.51 	7.33 	6.53 	5.69 	5.69 	6.12 	5.85 	5.75 	3.61 	3.63 	3.54 	: 	: 	: 	: 	: 
PC,INV_GOV,HU	3.56 	3.92 	5.13 	3.78 	3.81 	4.17 	5.15 	4.26 	3.21 	3.44 	3.68 	3.36 	3.74 	4.38 	5.39 	6.61 	: 	: 
PC,INV_GOV,IE	3.48 	4.19 	4.17 	3.62 	3.48 	3.49 	3.75 	4.61 	5.18 	3.67 	3.32 	2.42 	1.98 	1.96 	2.14 	1.66 	1.78 	: 
