currency,partner,sector10,sectpart,stk_flow,bop_item,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F3,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	377739.0 	373871.0 	366431.0 	356988.0 	335992.0 	313465.0 	341918.0 	333386.0 	341007.0 	336546.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F3,BG	: 	: 	: 	: 	: 	1812.3 	1848.4 	1288.2 	1239.8 	1271.1 	1272.2 	1609.1 	1502.5 	1927.8 	2884.1 	3854.1 	4337.0 	7630.2 	8422.5 	8736.9 	7126.2 	8381.7 	10780.5 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F3,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	35345.0 	47344.0 	38903.0 	27567.0 	20821.0 	8632.0 	7325.0 	7566.0 	9187.0 	10088.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F3,CZ	1655.0 	17061.0 	21297.0 	22457.0 	38027.0 	88208.0 	116463.0 	187880.0 	296631.0 	296116.0 	320851.0 	329841.0 	361846.0 	315436.0 	269997.0 	246265.0 	261754.0 	293684.0 	296562.0 	355083.0 	383134.0 	386976.0 	357406.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F3,DE	: 	: 	: 	: 	384446.0 	454472.0 	550368.0 	611992.0 	637832.0 	740214.0 	887119.0 	1049460.0 	1134963.0 	1120668.0 	1250019.0 	1359054.0 	1339501.0 	1525486.0 	1569144.0 	1759306.0 	1794438.0 	1866751.0 	1860780.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F3,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	685264.0 	678454.0 	733176.0 	783698.0 	891147.0 	1057793.0 	1045305.0 	1170487.0 	1087910.0 	1318689.0 	1254350.0 	1303222.0 	1224429.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F3,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	1252.9 	1646.0 	2304.9 	2361.7 	1896.0 	2372.0 	2395.0 	2575.0 	2759.0 	3102.2 	3556.3 	3837.5 	5993.1 	8558.9 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F3,EL	: 	: 	: 	: 	: 	: 	: 	: 	23811.0 	34113.0 	52261.0 	57054.0 	72853.0 	76716.0 	80124.0 	62185.0 	54463.0 	106495.0 	102793.0 	109846.0 	104400.0 	113236.0 	94336.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F3,ES	: 	: 	: 	: 	85104.0 	109764.0 	158051.0 	206581.0 	274131.0 	303294.0 	390244.0 	375337.0 	372066.0 	359609.0 	359183.0 	274110.0 	235082.0 	231484.0 	208852.0 	236345.0 	263065.0 	288700.0 	316214.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F3,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	68322.8 	76144.4 	89354.1 	90816.9 	85391.5 	104975.8 	116222.5 	122814.1 	134032.6 	132114.9 	145833.5 	152211.0 	150273.0 	130718.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F3,FR	: 	: 	: 	: 	397700.0 	487570.0 	597690.0 	697800.0 	814980.0 	960330.0 	1142979.0 	1306707.0 	1452441.0 	1530930.0 	1622330.0 	1601861.0 	1464220.0 	1496285.0 	1494192.0 	1632594.0 	1654684.0 	1684668.0 	1639264.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F3,HR	: 	: 	: 	: 	: 	591.2 	1677.0 	5934.0 	4559.0 	10196.0 	13149.0 	14168.0 	11027.0 	14571.0 	17639.0 	17039.0 	12658.0 	14066.0 	13394.0 	15729.0 	15317.0 	15454.0 	15579.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F3,HU	: 	: 	: 	: 	74305.7 	127139.8 	151546.1 	129696.1 	128845.0 	121761.0 	242840.0 	333355.8 	381860.4 	417497.0 	417741.0 	371848.0 	367217.0 	357229.3 	378088.9 	695544.2 	730211.4 	1051400.6 	1422676.2 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F3,IE	: 	: 	: 	: 	: 	: 	: 	401555.0 	484571.0 	563373.0 	677338.0 	795004.0 	897559.0 	957035.0 	977874.0 	1001943.0 	997042.0 	1086281.0 	1070680.0 	1239000.0 	1367303.0 	1489982.0 	1588570.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F3,IT	: 	: 	: 	: 	336221.0 	329975.0 	358483.0 	336752.0 	370042.0 	404187.0 	504089.0 	502535.0 	495268.0 	504425.0 	551290.0 	538792.0 	494785.0 	444347.0 	415750.0 	445543.0 	475718.0 	518650.0 	539493.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F3,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	352.7 	881.6 	1518.7 	1782.1 	1723.4 	2164.5 	1991.9 	1238.1 	1302.7 	1759.1 	1784.7 	4352.7 	7024.7 	9918.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F3,LU	: 	: 	: 	: 	: 	: 	: 	589685.0 	669013.0 	718359.0 	875693.0 	974017.0 	998146.0 	1007527.0 	1136398.0 	1233374.0 	1248104.0 	1395228.0 	1410774.0 	1681500.0 	1823264.0 	1959417.0 	2061497.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F3,LV	: 	: 	: 	: 	: 	699.0 	563.0 	726.0 	929.0 	923.0 	1210.0 	1328.0 	1568.0 	1689.0 	1543.0 	1667.0 	2017.0 	2649.0 	2930.0 	6465.0 	9549.0 	11578.0 	12742.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F3,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	6857.1 	9526.9 	10739.0 	9934.5 	9545.8 	11968.7 	16293.3 	18412.2 	21752.3 	20600.6 	28383.4 	24488.8 	21653.9 	20352.8 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F3,NL	: 	: 	: 	: 	: 	: 	: 	: 	410556.0 	481792.0 	578296.0 	582207.0 	611388.0 	577076.0 	636544.0 	631384.0 	638019.0 	718655.0 	698126.0 	798592.0 	830953.0 	861212.0 	844526.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F3,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	17843.0 	23153.0 	25105.0 	24215.0 	18846.0 	15148.0 	11559.0 	12400.0 	11882.0 	14976.0 	27860.0 	31528.0 	42772.0 	44671.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F3,PT	: 	13325.0 	17877.0 	23282.0 	29099.0 	35506.0 	43525.0 	51347.0 	68653.0 	79578.0 	90907.0 	91718.0 	94857.0 	103435.0 	119548.0 	118562.0 	92793.0 	87647.0 	84813.0 	89283.0 	86372.0 	87968.0 	102354.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F3,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1710.0 	2746.0 	1935.0 	2094.0 	3339.0 	4276.0 	3815.0 	5068.0 	6658.0 	7201.0 	7735.0 	8732.0 	10587.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F3,SE	: 	: 	: 	236849.0 	293392.0 	417882.0 	427584.0 	: c	: c	: c	762496.0 	940925.0 	1100201.0 	1082176.0 	1075700.0 	1066809.0 	989254.0 	968526.0 	993978.0 	1198292.0 	1074514.0 	1107933.0 	1208883.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F3,SI	69.7 	63.0 	36.6 	19.6 	97.7 	149.0 	260.0 	276.0 	363.0 	799.0 	1516.0 	2874.0 	8886.0 	8885.0 	8976.0 	9107.0 	9079.0 	9098.3 	8630.9 	9182.4 	10974.2 	13135.4 	15575.3 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F3,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	9718.2 	12592.6 	9351.9 	13257.5 	14548.1 	18368.0 	21153.0 	22258.5 	19095.4 	18660.2 	19337.2 	17356.7 	21069.1 	23179.4 
