unit,tenure,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,RENT_MKT,BG	: 	24.2 	24.4 	20.4 b	15.4 	11.8 	11.4 	12.6 	13.9 	18.1 b	16.9 	14.1 b	11.4 
PC,RENT_MKT,CH	: 	: 	: 	: 	: 	2.1 	2.1 	2.7 	3.6 	2.1 b	2.3 	3.3 	: 
PC,RENT_MKT,CY	: 	: 	2.6 	6.7 b	0.4 	3.0 	2.4 	1.9 	2.6 	3.0 	1.3 	1.6 	1.7 
PC,RENT_MKT,CZ	12.1 	14.0 	16.8 	13.8 	14.2 	15.3 	13.9 	10.9 	10.6 	8.9 	8.8 	9.2 	7.0 
PC,RENT_MKT,DE	3.2 	: 	: 	: 	: 	4.3 	3.9 	3.5 	3.0 	3.6 	3.2 	3.8 	3.5 
PC,RENT_MKT,DK	2.9 	3.0 	4.0 	2.4 	3.0 	2.8 	5.3 b	5.0 	4.8 	4.7 	5.1 	3.6 	6.0 
PC,RENT_MKT,EA	: 	: 	: 	8.8 e	7.7 e	6.4 e	6.1 e	6.0 e	5.5 e	6.2 e	5.8 e	6.1 e	5.2 e
PC,RENT_MKT,EA18	5.7 e	: 	8.7 e	9.0 e	7.8 e	6.4 	6.1 	6.1 	5.6 	6.2 	5.8 	6.1 	5.2 e
PC,RENT_MKT,EA19	5.8 e	: 	8.7 e	9.0 e	7.9 e	6.4 	6.1 	6.1 	5.6 	6.2 	5.8 	6.1 	5.2 e
PC,RENT_MKT,EE	: 	32.3 	32.2 	23.8 	15.5 	17.6 	9.3 	3.7 	5.1 	8.1 b	4.3 	6.1 	5.6 
PC,RENT_MKT,EL	: 	: 	10.9 	12.1 	12.6 	12.7 	9.7 	9.9 	9.9 	8.0 	8.8 	8.2 	8.0 
PC,RENT_MKT,ES	: 	: 	8.6 	5.0 	6.8 	6.0 	6.3 b	3.5 	3.8 	3.3 	3.0 	3.1 	2.8 
PC,RENT_MKT,EU	: 	: 	: 	8.8 e	7.8 e	6.8 e	6.4 e	6.2 e	5.9 e	6.3 e	6.3 e	6.4 e	5.6 e
PC,RENT_MKT,EU27	5.9 e	: 	8.9 e	8.8 e	7.8 e	6.8 	6.4 	6.2 	5.9 	6.3 	6.3 	6.4 	5.6 e
PC,RENT_MKT,EU28	: 	: 	: 	: 	: 	6.8 	6.4 	6.2 	5.9 	6.3 	6.3 	6.4 	5.6 e
PC,RENT_MKT,FI	2.9 	2.2 	1.9 	1.9 	2.5 	3.1 	2.7 	3.0 	2.0 	2.4 	1.8 	2.4 	1.9 
PC,RENT_MKT,FR	6.9 	7.0 	8.7 	9.4 	6.7 	7.1 	6.7 	7.5 	5.2 	6.3 	4.6 	6.2 	4.0 
PC,RENT_MKT,HR	: 	: 	: 	: 	: 	24.9 	28.9 	17.6 b	7.1 	16.0 	15.0 	7.6 	: 
PC,RENT_MKT,HU	41.0 	34.3 	37.4 	43.3 	25.1 	31.3 	23.4 	26.6 	30.9 	24.2 	32.2 	23.7 	22.0 
PC,RENT_MKT,IE	2.8 	6.7 	2.5 	0.8 	1.2 	2.0 	1.6 	1.2 	2.3 	1.6 	0.6 	3.1 	: 
PC,RENT_MKT,IS	9.5 	5.3 	3.5 	4.9 	4.1 	6.1 	4.8 	7.1 	7.9 	3.8 	2.6 	2.4 p	: 
PC,RENT_MKT,IT	16.0 	16.9 	13.8 	15.5 	13.7 	15.7 	17.5 	16.8 	16.2 	19.1 	18.6 	14.8 	11.1 
PC,RENT_MKT,LT	30.5 	22.2 	12.9 	49.6 	35.0 	6.3 	17.9 b	8.1 	28.9 	3.2 	28.7 	5.7 	12.9 
PC,RENT_MKT,LU	: 	: 	7.8 	7.8 	5.4 	6.6 	4.5 	6.0 	5.9 	5.7 	6.0 	6.6 b	5.8 
PC,RENT_MKT,LV	: 	: 	40.0 	37.0 b	35.3 	33.7 	27.5 	29.9 	23.1 	28.3 	26.7 	25.8 	24.7 
