sector,s_adj,na_item,unit,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
S11,NSA,B2G_B3G_RAT_S11,PC,IE	72.95 	73.12 	70.29 	70.62 	71.63 	73.70 	69.83 	72.03 	73.51 	73.68 	: 	: 
S11,NSA,B2G_B3G_RAT_S11,PC,IT	46.33 	37.55 	44.67 	41.92 	48.21 	38.22 	44.82 	41.82 	47.18 	36.75 	44.74 	41.41 
S11,NSA,B2G_B3G_RAT_S11,PC,NL	44.50 	40.99 	41.81 p	34.13 p	43.63 p	40.35 p	41.86 p	34.28 p	43.50 p	39.91 p	41.73 p	33.98 p
S11,NSA,B2G_B3G_RAT_S11,PC,NO	51.19 	48.93 	48.76 	43.83 	47.43 	50.87 	54.55 	43.38 	49.08 	51.55 	53.22 	46.95 
S11,NSA,B2G_B3G_RAT_S11,PC,PL	45.57 	57.64 	48.52 	47.15 	42.78 	56.07 	48.67 p	46.66 p	43.25 p	55.95 p	46.05 p	: 
S11,NSA,B2G_B3G_RAT_S11,PC,PT	43.55 	38.29 	43.86 	42.29 	43.33 	36.94 	43.50 e	41.61 e	41.49 e	34.71 e	42.01 e	39.89 e
S11,NSA,B2G_B3G_RAT_S11,PC,RO	57.23 	61.62 	46.83 p	51.67 p	58.90 p	62.53 p	48.20 p	51.54 p	56.37 p	61.80 p	45.32 p	: 
S11,NSA,B2G_B3G_RAT_S11,PC,SE	34.41 	41.61 	36.57 	39.00 	32.62 	40.51 	37.35 	38.20 	32.36 	40.46 	36.85 	37.28 
S11,NSA,B2G_B3G_RAT_S11,PC,SI	38.61 	34.21 	33.03 	34.25 	38.78 	33.85 	33.96 	35.00 	39.68 	35.14 	33.54 	34.55 
S11,NSA,B2G_B3G_RAT_S11,PC,UK	37.79 	38.22 	32.57 	35.54 	36.55 	39.28 	32.84 	35.77 	37.42 	38.86 	32.72 	35.20 
S11,SCA,B2G_B3G_RAT_S11,PC,AT	42.38 	41.80 	41.86 	42.35 	42.31 	43.08 	42.70 	43.01 	43.15 	42.51 	43.49 	42.89 
S11,SCA,B2G_B3G_RAT_S11,PC,BE	42.37 	42.31 	42.26 	43.33 	43.19 	43.23 	43.60 	43.00 	42.90 	43.07 	43.33 	: 
S11,SCA,B2G_B3G_RAT_S11,PC,CZ	52.04 	51.52 	51.33 	50.91 	50.10 	49.68 	49.36 	49.48 	49.74 	49.08 	47.96 	46.93 
S11,SCA,B2G_B3G_RAT_S11,PC,DE	41.54 	41.77 	41.42 	42.68 	41.18 	40.82 	41.35 	41.24 	41.33 	41.02 	40.85 	: 
S11,SCA,B2G_B3G_RAT_S11,PC,DK	41.41 	40.17 	39.35 	39.44 	39.81 	40.30 	41.21 	40.97 	39.89 	38.57 	37.82 	37.01 
S11,SCA,B2G_B3G_RAT_S11,PC,EA19	40.76 	41.00 	41.16 	41.04 	40.85 	41.10 	40.65 	40.94 	41.28 	40.93 	41.01 	40.56 
S11,SCA,B2G_B3G_RAT_S11,PC,EE	42.99 	42.38 	41.26 	41.96 	41.96 	42.13 	43.24 	43.00 	43.54 	43.56 	43.04 	: 
S11,SCA,B2G_B3G_RAT_S11,PC,ES	41.96 	41.87 	42.29 	42.74 	42.78 	42.87 	42.88 	42.94 	42.87 	43.08 	42.91 	: 
S11,SCA,B2G_B3G_RAT_S11,PC,EU28	39.93 	39.80 	39.99 	39.90 	39.69 	40.06 	39.72 	39.99 	40.09 	40.00 	39.58 	: 
S11,SCA,B2G_B3G_RAT_S11,PC,FI	41.59 	40.77 	40.80 	41.44 	41.39 	42.21 	43.32 	42.98 	43.71 	43.69 	43.57 	44.23 
S11,SCA,B2G_B3G_RAT_S11,PC,FR	32.20 	32.32 	32.40 	32.55 	31.48 	31.44 	32.20 	31.67 	31.67 	31.85 	32.14 	: 
S11,SCA,B2G_B3G_RAT_S11,PC,IT	41.48 	41.94 	42.48 	42.03 	42.51 	42.46 	41.87 	42.12 	41.68 	41.54 	41.57 	: 
S11,SCA,B2G_B3G_RAT_S11,PC,NL	40.84 	40.25 	40.03 	40.22 	39.98 	39.72 	39.98 	40.00 	39.82 	39.51 	39.80 	39.35 
S11,SCA,B2G_B3G_RAT_S11,PC,NO	50.63 	47.31 	47.08 	47.38 	46.99 	49.34 	50.07 	49.75 	49.30 	50.04 	50.38 	: 
S11,SCA,B2G_B3G_RAT_S11,PC,PL	50.87 	50.69 	48.81 	49.17 	47.89 	49.10 	49.07 	48.68 	48.43 	48.84 	46.54 	: 
S11,SCA,B2G_B3G_RAT_S11,PC,PT	42.04 	42.42 	41.64 	41.54 	41.69 	41.36 	41.03 	40.73 	40.03 	39.38 	39.66 	39.24 
S11,SCA,B2G_B3G_RAT_S11,PC,SE	38.95 	38.28 	37.21 	37.45 	37.08 	36.97 	37.12 	37.45 	37.19 	37.14 	36.78 	36.29 
S11,SCA,B2G_B3G_RAT_S11,PC,UK	35.76 	34.71 	37.98 	35.21 	34.27 	36.71 	37.08 	35.56 	34.79 	35.01 	35.45 	: 
