indic_il,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
LI_R_MD60BT,TOTAL,M,AT	23.8 	23.5 	24.7 b	24.8 	25.3 	26.7 	25.0 	25.2 	24.5 	25.1 	25.8 	24.1 
LI_R_MD60BT,TOTAL,M,BE	25.7 	26.4 	26.0 	25.9 	25.8 	27.1 	27.3 	26.2 	27.3 	25.7 	24.9 	25.5 
LI_R_MD60BT,TOTAL,M,BG	23.2 	24.5 	25.5 	24.5 	25.4 	25.8 	24.2 	25.3 	26.6 	26.3 	26.8 b	27.5 
LI_R_MD60BT,TOTAL,M,CH	: 	21.9 	20.5 	20.9 	21.7 	21.9 	21.9 	22.1 	22.6 b	23.9 	23.6 	: 
LI_R_MD60BT,TOTAL,M,CY	19.4 	19.1 	20.4 b	21.4 	21.6 	21.4 	21.4 	22.6 	23.7 	24.9 	24.5 	23.7 
LI_R_MD60BT,TOTAL,M,CZ	21.2 	19.3 	18.8 	16.9 	17.0 	17.0 	16.6 	15.8 	16.2 	15.4 	15.2 	14.1 
LI_R_MD60BT,TOTAL,M,DE	25.2 	23.6 	23.1 	23.2 	23.4 	24.2 	23.1 	23.0 	24.1 	24.2 	23.9 	23.0 
LI_R_MD60BT,TOTAL,M,DK	27.0 	25.6 	26.1 	29.6 	28.0 	28.0 b	27.3 	28.1 	27.1 	25.3 	24.2 	26.1 
LI_R_MD60BT,TOTAL,M,EA18	23.7 	23.6 	23.0 	23.3 	24.4 	24.9 	24.5 	24.8 	25.3 	25.2 	25.0 	24.2 e
LI_R_MD60BT,TOTAL,M,EA19	23.7 	23.6 	23.1 	23.3 	24.4 	25.0 	24.5 	24.9 	25.3 	25.2 	25.0 	24.2 e
LI_R_MD60BT,TOTAL,M,EE	23.0 	22.7 	21.8 	23.6 	25.1 	25.4 	24.1 	24.1 	27.0 b	26.0 	26.4 	26.4 
LI_R_MD60BT,TOTAL,M,EL	22.1 	22.7 	22.3 	21.6 	22.7 	24.2 	26.2 	27.2 	26.2 	25.5 	25.2 	23.8 
LI_R_MD60BT,TOTAL,M,ES	23.1 	22.6 	24.4 b	25.8 	28.4 	29.5 	29.1 	30.7 	31.3 	30.8 	30.1 	28.0 
LI_R_MD60BT,TOTAL,M,EU27	25.2 e	24.8 	24.3 	24.4 	25.2 	25.6 	25.1 	25.3 	25.6 	25.5 	25.2 	24.3 e
LI_R_MD60BT,TOTAL,M,EU28	: 	: 	: 	: 	25.3 	25.6 	25.1 	25.3 	25.6 	25.5 	25.2 	24.3 e
LI_R_MD60BT,TOTAL,M,FI	27.6 	27.2 	25.8 	24.8 	26.0 	26.8 	26.2 	25.9 	27.3 	26.7 	26.7 	26.7 
LI_R_MD60BT,TOTAL,M,FR	23.9 	26.0 	22.6 b	22.9 	24.3 	24.1 	23.3 	23.6 	23.6 	23.3 	22.7 	23.7 
LI_R_MD60BT,TOTAL,M,HR	: 	: 	: 	: 	29.3 b	29.8 	30.5 	29.8 	29.4 	31.0 	26.8 	: 
LI_R_MD60BT,TOTAL,M,HU	30.2 	29.9 	31.1 	29.4 	28.9 	29.8 	28.0 	27.9 	27.5 	26.5 	26.0 	24.7 
LI_R_MD60BT,TOTAL,M,IE	31.0 	30.9 	32.2 	35.7 	39.0 	38.6 	39.1 	37.9 	36.8 	35.2 	33.5 	: 
LI_R_MD60BT,TOTAL,M,IS	17.6 	16.9 	18.4 	18.5 	22.1 	22.8 	22.5 	22.3 	20.8 	19.4 	19.4 p	: 
LI_R_MD60BT,TOTAL,M,IT	22.1 	22.4 	22.1 	21.8 	22.3 	23.2 	23.3 	23.8 	24.0 	24.6 	25.7 	24.7 
LI_R_MD60BT,TOTAL,M,LT	25.5 	23.5 	25.6 	27.8 	31.7 	31.4 	28.5 	29.3 	26.8 	28.7 	27.0 	28.7 
LI_R_MD60BT,TOTAL,M,LU	23.8 	22.7 	23.1 	26.6 	29.2 	26.2 	28.5 	29.1 	27.0 	27.4 	25.9 b	27.7 
LI_R_MD60BT,TOTAL,M,LV	25.3 	24.6 	27.8 	29.2 	29.0 	27.9 	25.9 	25.2 	25.3 	24.5 	25.3 	25.3 
LI_R_MD60BT,TOTAL,M,MK	: 	: 	: 	: 	: 	: 	29.5 	27.4 	25.2 	24.7 	25.9 	: 
LI_R_MD60BT,TOTAL,M,MT	20.4 	21.0 	21.7 	22.1 	22.4 	22.0 	22.8 	21.9 	22.4 	22.5 	23.3 	22.3 
LI_R_MD60BT,TOTAL,M,NL	20.0 	19.5 	19.1 	20.1 	20.5 	20.3 	19.7 	19.8 	21.1 	22.1 	21.3 b	21.1 
LI_R_MD60BT,TOTAL,M,NO	29.1 	25.7 	23.6 	23.3 	24.9 	28.9 	25.3 	24.8 	23.2 	24.9 	24.8 	24.1 
LI_R_MD60BT,TOTAL,M,PL	29.6 	27.0 	25.4 	23.4 	24.6 	24.4 	23.1 	23.0 	23.5 	23.5 	22.9 	24.3 
LI_R_MD60BT,TOTAL,M,PT	24.5 	23.6 	24.2 	23.9 	26.1 	25.2 	25.1 	25.9 	26.5 	26.0 	24.4 	23.4 
LI_R_MD60BT,TOTAL,M,RO	: 	30.8 	30.1 	28.3 	27.5 	29.2 	29.1 	28.2 	29.1 	28.9 	29.3 	27.8 
LI_R_MD60BT,TOTAL,M,RS	: 	: 	: 	: 	: 	: 	: 	32.5 	33.2 	38.0 	36.1 	: 
LI_R_MD60BT,TOTAL,M,SE	27.5 	25.8 	28.1 b	26.8 	27.0 	27.2 	27.5 	26.7 	27.9 	27.4 	27.7 	28.2 
LI_R_MD60BT,TOTAL,M,SI	22.9 	21.1 	21.4 	20.3 	23.0 	23.0 	24.2 	24.5 	24.1 	23.9 	23.2 	22.7 
LI_R_MD60BT,TOTAL,M,SK	20.1 	17.5 	17.7 	16.3 	19.9 	19.4 	20.2 	20.0 	19.3 	18.7 	18.1 	17.5 
LI_R_MD60BT,TOTAL,M,TR	27.0 	25.4 	25.4 	26.1 	25.8 	24.5 	24.9 	24.4 	24.3 	23.9 	: 	: 
LI_R_MD60BT,TOTAL,M,UK	28.0 	27.8 	27.0 	28.9 	29.4 	28.7 	28.4 b	28.4 	27.9 	27.9 	26.8 	: 
LI_R_MD60BT,TOTAL,T,AT	25.1 	24.7 	25.9 b	25.3 	26.0 	27.1 	25.8 	25.9 	25.4 	25.6 	26.3 	24.9 
LI_R_MD60BT,TOTAL,T,BE	26.8 	27.5 	27.0 	26.7 	26.7 	27.8 	27.7 	26.3 	27.5 	26.7 	26.3 	26.3 
LI_R_MD60BT,TOTAL,T,BG	24.7 	25.5 	27.1 	26.4 	27.1 	27.4 	25.9 	26.7 	27.3 	28.4 	27.9 b	29.2 
LI_R_MD60BT,TOTAL,T,CH	: 	22.7 	22.2 	22.6 	22.9 	23.4 	23.4 	22.8 	24.3 b	24.9 	24.7 	: 
LI_R_MD60BT,TOTAL,T,CY	21.6 	21.0 	22.9 b	23.6 	23.5 	23.5 	23.5 	24.3 	24.6 	25.4 	25.0 	24.5 
LI_R_MD60BT,TOTAL,T,CZ	21.6 	20.1 	20.0 	17.9 	18.1 	18.0 	17.6 	16.6 	17.2 	16.8 	16.3 	15.8 
LI_R_MD60BT,TOTAL,T,DE	25.7 	24.8 	24.2 	24.1 	24.2 	25.1 	24.3 	24.4 	25.0 	25.1 	25.3 	24.1 
LI_R_MD60BT,TOTAL,T,DK	28.0 	27.1 	27.8 	31.2 	29.1 	27.9 b	27.4 	27.8 	26.9 	25.8 	24.9 	25.3 
LI_R_MD60BT,TOTAL,T,EA18	24.8 	24.6 	24.2 	24.3 	25.1 	25.7 	25.2 	25.5 	25.7 	25.7 	25.7 	24.9 e
LI_R_MD60BT,TOTAL,T,EA19	24.8 	24.6 	24.2 	24.4 	25.2 	25.7 	25.2 	25.5 	25.8 	25.7 	25.7 	24.9 e
LI_R_MD60BT,TOTAL,T,EE	24.6 	25.2 	24.7 	25.9 	24.9 	24.9 	24.8 	25.4 	28.4 b	27.8 	28.9 	28.9 
LI_R_MD60BT,TOTAL,T,EL	23.4 	23.7 	23.3 	22.7 	23.8 	24.8 	26.8 	28.0 	26.0 	25.5 	25.2 	24.0 
LI_R_MD60BT,TOTAL,T,ES	24.6 	23.7 	25.7 b	26.9 	28.8 	30.0 	29.1 	30.0 	31.1 	30.1 	29.5 	28.4 
LI_R_MD60BT,TOTAL,T,EU27	26.1 e	25.8 	25.4 	25.4 	26.0 	26.4 	25.8 	26.0 	26.1 	26.1 	25.9 	25.0 e
LI_R_MD60BT,TOTAL,T,EU28	: 	: 	: 	: 	26.1 	26.4 	25.8 	26.0 	26.1 	26.1 	25.9 	25.0 e
LI_R_MD60BT,TOTAL,T,FI	28.6 	28.9 	27.3 	26.2 	27.0 	27.4 	26.9 	26.4 	27.6 	26.8 	27.0 	26.7 
LI_R_MD60BT,TOTAL,T,FR	24.9 	26.4 	23.5 b	24.0 	24.9 	24.7 	23.8 	24.4 	24.0 	23.9 	23.6 	24.1 
LI_R_MD60BT,TOTAL,T,HR	: 	: 	: 	: 	30.0 b	30.7 	30.6 	29.7 	29.9 	31.0 	27.3 	: 
LI_R_MD60BT,TOTAL,T,HU	29.6 	29.3 	30.4 	28.9 	28.4 	29.0 	27.3 	27.0 	26.6 	25.7 	25.8 	25.0 
LI_R_MD60BT,TOTAL,T,IE	32.8 	33.1 	34.0 	37.5 	39.9 	39.6 	39.5 	38.3 	37.1 	36.2 	34.7 	: 
LI_R_MD60BT,TOTAL,T,IS	18.5 	18.2 	19.0 	19.7 	22.8 	23.1 	23.1 	22.7 	21.2 	19.9 	19.8 p	: 
LI_R_MD60BT,TOTAL,T,IT	23.7 	23.7 	23.5 	23.3 	23.7 	24.6 	24.5 	24.6 	24.7 	25.4 	26.2 	25.2 
LI_R_MD60BT,TOTAL,T,LT	26.6 	25.5 	27.4 	28.6 	31.3 	30.2 	28.4 	30.3 	27.5 	28.6 	27.9 	29.8 
LI_R_MD60BT,TOTAL,T,LU	23.6 	23.4 	23.6 	27.0 	29.1 	27.2 	29.0 	29.4 	27.6 	27.2 	27.1 b	29.0 
LI_R_MD60BT,TOTAL,T,LV	28.0 	27.5 	30.2 	31.0 	28.5 	26.8 	25.7 	26.0 	27.0 	27.3 	27.8 	28.3 
LI_R_MD60BT,TOTAL,T,MK	: 	: 	: 	: 	: 	: 	28.8 	26.8 	24.8 	24.8 	25.7 	: 
LI_R_MD60BT,TOTAL,T,MT	21.3 	21.5 	22.9 	22.9 	23.5 	23.2 	24.0 	23.3 	23.8 	23.7 	23.8 	23.7 
LI_R_MD60BT,TOTAL,T,NL	21.0 	20.6 	19.9 	20.5 	21.1 	20.9 	20.6 	20.8 	21.3 	22.3 	22.1 b	21.9 
LI_R_MD60BT,TOTAL,T,NO	30.6 	27.7 	25.6 	25.2 	26.6 	29.6 	25.8 	26.0 	24.8 	26.5 	26.3 	25.0 
LI_R_MD60BT,TOTAL,T,PL	28.6 	26.5 	25.1 	23.6 	24.4 	24.1 	22.9 	23.0 	23.1 	22.9 	22.9 	24.0 
LI_R_MD60BT,TOTAL,T,PT	25.1 	24.2 	24.9 	24.3 	26.4 	25.4 	25.3 	25.5 	26.7 	26.4 	25.0 	23.6 
LI_R_MD60BT,TOTAL,T,RO	: 	31.5 	30.8 	28.7 	27.8 	29.2 	28.8 	28.2 	28.8 	29.3 	29.5 	28.3 
LI_R_MD60BT,TOTAL,T,RS	: 	: 	: 	: 	: 	: 	: 	31.8 	32.6 	37.2 	35.9 	: 
LI_R_MD60BT,TOTAL,T,SE	29.0 	27.5 	30.0 b	28.8 	29.0 	29.8 	29.0 	28.9 	30.0 	29.8 	29.9 	29.3 
LI_R_MD60BT,TOTAL,T,SI	24.2 	23.1 	23.0 	22.0 	24.2 	24.2 	25.2 	25.3 	25.1 	24.8 	24.3 	24.0 
LI_R_MD60BT,TOTAL,T,SK	20.0 	18.2 	18.4 	17.1 	19.8 	19.5 	20.0 	20.1 	19.6 	19.0 	18.4 	17.5 
LI_R_MD60BT,TOTAL,T,TR	27.4 	25.8 	25.8 	26.7 	26.5 	25.0 	25.3 	24.8 	24.7 	24.2 	: 	: 
LI_R_MD60BT,TOTAL,T,UK	30.1 	29.7 	28.9 	30.4 	31.0 	30.5 	29.7 b	30.1 	29.4 	29.3 	28.1 	: 
