unit,direct,na_item,sector,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
CP_MNAC,PAID,B9,S1,SI	-205 	-167 	-183 	-316 	-805 	-769 	-266 	-141 	-525 	-906 	-710 	-673 	-1545 	-1820 	-87 	13 	-8 	804 	1319 	2257 	2163 	1875 	2706 
CP_MNAC,PAID,B9,S1,SK	412 	-2163 	-2284 	-2509 	-1166 	-870 	-2434 	-3524 	-2780 	-3002 	-4488 	-4403 	-3270 	-3888 	-1646 	-2073 	-2725 	1386 	2268 	1467 	-148 	-1117 	-681 
CP_MNAC,PAID,B9,S1,UK	-5557 	-4326 	71 	-5695 	-26155 	-25936 	-25304 	-27486 	-24202 	-30214 	-29124 	-46234 	-55422 	-66547 	-54385 	-54343 	-32966 	-64434 	-91874 	-92824 	-95143 	-104483 	-78220 
CP_MNAC,PAID,B9,S11,AT	-6523 	-6730 	-7494 	-6341 	-7619 	-7261 	-8603 	-1251 	-2437 	4933 	-3222 	-1880 	-6488 	-5320 	1381 	6767 	2443 	-3120 	-437 	-1763 	-1876 	4864 	841 
CP_MNAC,PAID,B9,S11,BE	3236 	2548 	4224 	-450 	-348 	-1105 	-1885 	-252 	5062 	-2697 	4391 	-7303 	-4178 	-8050 	12062 	4063 	-6424 	984 	4250 	230 	-386 	1478 	: 
CP_MNAC,PAID,B9,S11,BG	-543 b	-57 b	1107 b	720 b	-949 b	-1366 	-404 	1301 	-213 	-404 	-1537 	-5150 	-10030 	-12742 	-1034 	2247 	2685 	4476 	4872 	6627 	5371 	3723 	: 
CP_MNAC,PAID,B9,S11,CY	63 	60 	-386 	684 	-308 	-857 	-587 	145 	487 	-169 	-808 	-1143 	-1709 	-2152 	-1384 	-2031 	-1238 	-1465 	-750 	-1099 	-1401 	-2104 p	: 
CP_MNAC,PAID,B9,S11,CZ	-114709 	-155416 	-151041 	-91242 	-92392 	-77773 	-118967 	-65571 	-77194 	-112874 	-70326 	-124302 	-209725 	-137050 	9748 	-61682 	-104570 	-49120 	-14412 	-47304 	-47641 	-120478 	-93483 
CP_MNAC,PAID,B9,S11,DE	87964 	-16222 	-27357 	-32952 	-72773 	-130483 	-34148 	10427 	848 	38470 	21678 	9839 	5431 	-27275 	49032 	60920 	41476 	71569 	77836 	84820 	116171 	110912 	85907 
CP_MNAC,PAID,B9,S11,DK	26371 	45513 	45560 	20012 	66711 	68701 	28243 	81716 	88682 	61815 	53886 	33850 	-16501 	-1374 	26698 	60120 	82935 	95490 	86412 	116169 	114436 	91768 	50510 
CP_MNAC,PAID,B9,S11,EE	-448 	-437 	-733 	-574 	-216 	-506 	-642 	-710 	-976 	-943 	-501 	-1140 	-1589 	-583 	650 	877 	724 	-433 	516 	-92 	296 	-268 	115 
CP_MNAC,PAID,B9,S11,EL	-1371 p	448 p	558 p	-402 p	3418 p	2329 p	3163 p	3146 p	3136 p	9932 p	7866 p	6566 p	7453 p	8593 p	15383 p	8224 p	9404 p	11351 p	12436 p	11018 p	10538 p	6200 p	: 
CP_MNAC,PAID,B9,S11,ES	: 	: 	: 	: 	-14518 	-24370 	-28464 	-26839 	-32848 	-38658 	-57254 	-75857 	-85554 	-44372 	25360 	39950 	22338 	14881 	29334 	18515 	30226 	33895 	38542 
CP_MNAC,PAID,B9,S11,FI	4910 	5114 	5448 	4076 	7111 	3338 	6001 	7254 	6344 	8447 	5771 	6443 	4750 	1263 	8015 	9772 	3367 	4565 	4671 	8019 	8799 	9603 	11423 
CP_MNAC,PAID,B9,S11,FR	3743 	15949 	23788 	20145 	24890 	-7272 	-310 	5001 	14004 	13948 	667 	-17707 	-23428 	-39048 	13655 	8015 	-21679 	-25018 	-3702 	-19911 	-11959 	-12113 p	-8297 p
CP_MNAC,PAID,B9,S11,HR	: 	: 	: 	: 	: 	: 	: 	-13853 	-15529 	-8255 	-13164 	-17445 	-17045 	-32779 	-24715 	-10808 	-2069 	-6090 	: 	: 	: 	: 	: 
CP_MNAC,PAID,B9,S11,HU	-250223 	-489285 	-537993 	-815528 	-837374 	-1038554 	-676339 	207091 	-335347 	-949865 	-773051 	-379550 	-635709 	-759438 	806014 	696747 	897188 	556821 	1336970 	570447 	1705949 	949488 	763958 
CP_MNAC,PAID,B9,S11,IE	1862 	1495 	2173 	157 	-607 	453 	884 	387 	-5 	-28 	-2244 	-2271 	-5170 	-3686 	-3152 	4046 	3603 	5240 	13861 	6149 	29302 	6619 	: 
CP_MNAC,PAID,B9,S11,IT	-6958 	-1833 	-16888 	3340 	-15518 	-8462 	-14620 	-24027 	-16462 	-14453 	-10835 	-23012 	-50841 	-60814 	581 	-22122 	-27219 	302 	4052 	9479 	-115 	16826 	19389 
CP_MNAC,PAID,B9,S11,LT	-450 	-215 	-1011 	-1230 	-1046 	-741 	-272 	-468 	-457 	-1385 	-1378 	-2511 	-2565 	-1622 	3050 	2114 	1654 	2289 	2993 	3990 	1778 	1583 	2631 
CP_MNAC,PAID,B9,S11,LU	-330 	-436 	-474 	-288 	-810 	-490 	-326 	-581 	-135 	1900 	2219 	-767 	1881 	-462 	-3539 	-1095 	-2948 	-3140 	-2353 	-2868 	-1376 	-612 	: 
CP_MNAC,PAID,B9,S11,LV	176 	-150 	-470 	-520 	-230 	-16 	-279 	-275 	-530 	-840 	-1070 	-2441 	-3152 	-2644 	2177 	1800 	1615 	1299 	1159 	1683 	1420 	728 	907 
CP_MNAC,PAID,B9,S11,NL	29448 	9908 	9065 	11745 	13915 	17265 	18848 	30821 	39438 	44092 	33959 	43360 	35580 	40071 	51790 	46498 	48676 	50757 	36043 	22513 	17828 	22429 	39074 p
CP_MNAC,PAID,B9,S11,PL	-13459 	-19756 	-29331 	-44932 	-48538 	-50702 	-31465 	-12581 	10052 	9118 	31241 	36237 	-8885 	20520 	84967 	73383 	80760 	94150 	123182 	102680 	127807 	85094 	: 
CP_MNAC,PAID,B9,S11,PT	-510 	-681 	-2219 	-4825 	-6818 	-9612 	-9107 	-8331 	-5058 	-7192 	-9305 	-11901 	-15019 	-18775 	-9208 	-7418 	-6184 	-549 	2393 	2074 	-1315 	-206 	-1499 p
CP_MNAC,PAID,B9,S11,RO	-206 	56 	-892 	-7598 	2250 	1505 	-23275 	3515 	-8968 	-11893 	-5024 	-8133 	-19432 	-54346 b	-9298 	982 	5356 	23903 	31401 b	30867 	52879 	62652 p	: 
CP_MNAC,PAID,B9,S11,SE	81551 	58081 	68022 	49587 	48527 	15591 	-74159 	67836 	71992 	58384 	82482 	49316 	-5699 	-28815 	8492 	101430 	-28765 	-80157 	-60794 	-91898 	-93453 	-172537 	-180951 
CP_MNAC,PAID,B9,S11,SI	-331 	-545 	-516 	-516 	-522 	-848 	-653 	-797 	-854 	-1349 	-1867 	-2408 	-2929 	-3070 	-366 	-69 	63 	405 	586 	1669 	1361 	1048 	867 
CP_MNAC,PAID,B9,S11,SK	194 	-1774 	-2168 	-2054 	174 	2497 	-666 	-767 	-1468 	-1379 	-2741 	-1514 	-1354 	-1219 	2574 	1300 	-469 	3561 	3991 	2339 	-186 	-429 	-900 
CP_MNAC,PAID,B9,S11,UK	8342 	7306 	-6265 	-15719 	-16480 	-22103 	-28054 	-2109 	10654 	5889 	7468 	-1970 	-16923 	4984 	23958 	36319 	35002 	-3251 	-31756 	-23725 	-47666 	-32720 	-6147 
CP_MNAC,PAID,B9,S12,AT	2453 	1585 	909 	13 	-2409 	-2401 	24 	-773 	-701 	965 	1670 	669 	2795 	5310 	5804 	5008 	4523 	5931 	6218 	10172 	2945 	278 	2896 
CP_MNAC,PAID,B9,S12,BE	1886 	2150 	1387 	2749 	2625 	773 	-2191 	2523 	2941 	7219 	7443 	10975 	8530 	5026 	-7089 	14132 	14820 	17881 	7039 	6586 	6847 	9290 	: 
CP_MNAC,PAID,B9,S12,BG	276 b	120 b	887 b	915 b	382 b	864 	966 	-228 	431 	406 	811 	300 	1287 	642 	2283 	3452 	3143 	2552 	903 	1280 	938 	2228 	: 
CP_MNAC,PAID,B9,S12,CY	419 	641 	719 	785 	645 	818 	1018 	626 	544 	-468 	-391 	-828 	-2094 	980 	1836 	1711 	2198 	2094 	2163 	3568 	2961 	2469 p	: 
CP_MNAC,PAID,B9,S12,CZ	35957 	27642 	53066 	92676 	90449 	41727 	101991 	77265 	75916 	32037 	14313 	9354 	21186 	7450 	26394 	25212 	24100 	14834 	33663 	50138 	41176 	36259 	38970 
CP_MNAC,PAID,B9,S12,DE	9072 	7663 	12195 	1380 	9142 	5780 	-5176 	13222 	4324 	14284 	16863 	31870 	24505 	35258 	21856 	49408 	21083 	-11265 	-19722 	-21669 	-29438 	-28567 	-23348 
CP_MNAC,PAID,B9,S12,DK	28510 	21483 	22991 	16306 	12371 	-6306 	27814 	-24317 	-20532 	2836 	20139 	23099 	51457 	76677 	92813 	102665 	95384 	79332 	73095 	61932 	54487 	39874 	63584 
CP_MNAC,PAID,B9,S12,EE	-42 	-32 	-25 	-10 	43 	69 	91 	152 	137 	176 	168 	201 	-22 	-133 	-169 	-286 	-338 	388 	-88 	-39 	38 	411 	207 
CP_MNAC,PAID,B9,S12,EL	7347 p	6203 p	6831 p	7092 p	3966 p	3394 p	3110 p	2551 p	3136 p	4511 p	3607 p	3409 p	-1278 p	799 p	1695 p	7686 p	6814 p	10470 p	20894 p	4106 p	12301 p	5723 p	: 
CP_MNAC,PAID,B9,S12,ES	4531 	5309 	4628 	5674 	1365 	2908 	5551 	8602 	8916 	6684 	9179 	8581 	22153 	23395 	19468 	11175 	22293 	71505 	22845 	23955 	19636 	23269 	27216 
CP_MNAC,PAID,B9,S12,FI	3061 	2354 	1394 	1417 	698 	-503 	-140 	203 	-538 	-71 	266 	189 	92 	1768 	849 	-133 	234 	840 	61 	46 	-394 	-345 	64 
CP_MNAC,PAID,B9,S12,FR	28774 	16759 	18664 	12218 	-3051 	8507 	5260 	15476 	17895 	20181 	26908 	22979 	18677 	41273 	34382 	29539 	27002 	20977 	9586 	8587 	16860 	14916 p	-3196 p
CP_MNAC,PAID,B9,S12,HR	: 	: 	: 	: 	: 	: 	: 	2963 	2602 	2683 	5170 	5595 	6714 	14788 	14757 	11411 	9565 	8349 	: 	: 	: 	: 	: 
CP_MNAC,PAID,B9,S12,HU	126392 	101634 	170597 	294447 	24902 	105170 	109080 	124283 	246844 	98426 	86790 	39476 	-39113 	85003 	157383 	261432 	97684 	64159 	238691 	23725 	-439843 	225426 	366240 
CP_MNAC,PAID,B9,S12,IE	2008 	1114 	843 	3607 	3537 	3619 	2710 	4205 	5875 	5214 	5528 	5755 	9942 	10178 	9847 	43182 	13125 	-1680 	-428 	-85 	3560 	582 	: 
CP_MNAC,PAID,B9,S12,IT	9254 	8305 	11803 	5858 	7517 	12421 	20324 	13630 	21797 	15796 	19148 	20672 	23032 	24239 	20113 	27058 	28620 	43073 	31695 	37204 	38349 	39796 	52016 
CP_MNAC,PAID,B9,S12,LT	38 	65 	46 	69 	23 	106 	67 	69 	35 	93 	181 	217 	362 	261 	1040 	166 	-135 	42 	266 	-340 	26 	52 	110 
CP_MNAC,PAID,B9,S12,LU	901 	1091 	664 	410 	444 	-273 	251 	519 	-153 	-739 	-660 	-408 	-934 	625 	726 	89 	1232 	339 	299 	449 	-672 	-2066 	: 
CP_MNAC,PAID,B9,S12,LV	76 	60 	101 	130 	89 	10 	57 	41 	55 	14 	150 	283 	620 	674 	189 	83 	303 	58 	190 	37 	102 	-115 	7 
CP_MNAC,PAID,B9,S12,NL	11252 	10718 	13285 	9622 	12888 	12907 	8207 	7063 	11957 	6639 	10031 	15678 	22158 	-2267 	5958 	18767 	20939 	7581 	20443 	25224 	11145 	12683 	11660 p
CP_MNAC,PAID,B9,S12,PL	4828 	5498 	3987 	5225 	-3865 	-3627 	-1115 	3127 	3426 	-5797 	-3998 	-9986 	-4600 	-4904 	-4149 	11879 	10944 	13225 	13474 	15770 	16833 	20004 	: 
CP_MNAC,PAID,B9,S12,PT	1078 	701 	977 	1201 	1200 	1087 	917 	-397 	1491 	2239 	1669 	741 	3510 	2204 	2944 	5248 	7500 	5143 	3599 	8275 	6408 	3427 	7428 p
CP_MNAC,PAID,B9,S12,RO	-123 	-160 	-663 	-98 	-443 	-1424 	-1727 	-2013 	2936 	3355 	184 	950 	2667 	13248 	9919 	13675 	14153 	15541 	12347 b	15193 	11468 	11237 p	: 
CP_MNAC,PAID,B9,S12,SE	43146 	13202 	25610 	16356 	1596 	-20984 	69433 	19015 	66589 	66860 	22960 	63520 	68372 	81377 	68045 	-45908 	19559 	57001 	20471 	15676 	2369 	16835 	5488 
CP_MNAC,PAID,B9,S12,SI	288 	357 	268 	296 	329 	318 	350 	254 	295 	263 	232 	352 	-23 	203 	607 	549 	776 	673 	4068 	900 	219 	-127 	-241 
CP_MNAC,PAID,B9,S12,SK	417 	-239 	116 	41 	167 	217 	391 	627 	281 	46 	430 	264 	22 	73 	744 	1425 	1397 	1301 	964 	1208 	1423 	557 	585 
CP_MNAC,PAID,B9,S12,UK	-25962 	-28365 	-24957 	-27902 	-38352 	-54726 	-39685 	-36959 	-17783 	-16642 	-12641 	-15069 	-25881 	-18883 	-646 	-26231 	-3190 	13803 	-11382 	-15009 	-26146 	-30533 	-12498 
CP_MNAC,PAID,B9,S13,AT	-10833 	-8221 	-4861 	-5294 	-5292 	-5137 	-1459 	-3132 	-4142 	-11645 	-6373 	-6791 	-3847 	-4393 	-15352 	-13142 	-7919 	-6976 	-6317 	-9092 	-3602 	-5623 	-2949 
CP_MNAC,PAID,B9,S13,BE	-9408 	-8489 	-4802 	-2223 	-1345 	-186 	457 	125 	-4977 	-472 	-8590 	729 	238 	-3895 	-18764 	-14594 	-15641 	-16378 	-12310 	-12234 	-10145 	-10532 	: 
CP_MNAC,PAID,B9,S13,BG	-70 b	-171 b	169 b	251 b	7 b	-125 	348 	-372 	-119 	768 	497 	993 	722 	1180 	-2937 	-2324 	-1579 	-279 	-357 	-4557 	-1419 	-36 	: 
CP_MNAC,PAID,B9,S13,CY	-56 	-238 	-401 	-346 	-390 	-232 	-236 	-482 	-758 	-510 	-321 	-164 	564 	161 	-1017 	-912 	-1122 	-1082 	-931 	-1578 	-236 	59 p	: 
CP_MNAC,PAID,B9,S13,CZ	-197238 	-54773 	-62372 	-89754 	-70233 	-85052 	-140871 	-170453 	-193482 	-72925 	-97665 	-76281 	-25096 	-79665 	-214211 	-166017 	-109896 	-159552 	-51129 	-90561 	-27929 	34642 	80621 
CP_MNAC,PAID,B9,S13,DE	-179001 	-68237 	-57933 	-51098 	-35066 	18179 	-67828 	-87139 	-92702 	-84939 	-78619 	-41200 	4706 	-4531 	-79590 	-108904 	-25863 	-929 	-3967 	16693 	23856 	28746 	34008 
CP_MNAC,PAID,B9,S13,DK	-37521 	-27011 	-13755 	-4609 	10787 	25044 	15642 	-217 	-1913 	31222 	78587 	83896 	87298 	57177 	-48188 	-49080 	-37967 	-66144 	-23844 	22673 	-29819 	-8445 	23656 
CP_MNAC,PAID,B9,S13,EE	27 	9 	125 	-13 	-179 	-4 	12 	32 	158 	219 	113 	361 	442 	-442 	-309 	32 	196 	-49 	-32 	139 	15 	-71 	-84 
CP_MNAC,PAID,B9,S13,EL	-8908 p	-8236 p	-6947 p	-7852 p	-7752 p	-5739 p	-8319 p	-9847 p	-14009 p	-17101 p	-12330 p	-12961 p	-15607 p	-24605 p	-36091 p	-25309 p	-21474 p	-17143 p	-23503 p	-6407 p	-10082 p	950 p	: 
CP_MNAC,PAID,B9,S13,ES	-32327 	-26216 	-20272 	-16338 	-7861 	-7106 	-3813 	-3080 	-2887 	-338 	11256 	22175 	20792 	-49343 	-118194 	-101404 	-103214 	-108847 	-71687 	-61942 	-57004 	-49996 	-35903 
CP_MNAC,PAID,B9,S13,FI	-5843 	-3314 	-1339 	1969 	2137 	9341 	7197 	6037 	3701 	3502 	4263 	6786 	9577 	8098 	-4577 	-4883 	-2056 	-4362 	-5315 	-6597 	-5782 	-3727 	-1477 
CP_MNAC,PAID,B9,S13,FR	-62235 	-48913 	-47224 	-32154 	-22454 	-19495 	-21217 	-50180 	-65479 	-61185 	-59254 	-45162 	-51178 	-65027 	-138934 	-137410 	-106103 	-104043 	-86468 	-83941 	-79697 	-79089 p	-61355 p
CP_MNAC,PAID,B9,S13,HR	: 	: 	: 	: 	: 	: 	: 	-7435 	-10383 	-12499 	-9772 	-9408 	-7672 	-9478 	-19145 	-19371 	-24830 	-17243 	: 	: 	: 	: 	: 
CP_MNAC,PAID,B9,S13,HU	-502148 	-311152 	-490126 	-778906 	-598123 	-404103 	-624606 	-1541313 	-1361989 	-1379099 	-1753121 	-2249283 	-1290310 	-1001053 	-1199283 	-1218415 	-1532467 	-690593 	-790583 	-849258 	-653829 	-584421 	-849189 
CP_MNAC,PAID,B9,S13,IE	-1174 	-154 	920 	1628 	2238 	5275 	1183 	-698 	525 	2052 	2707 	5171 	570 	-13142 	-23468 	-53710 	-21891 	-14116 	-11020 	-7099 	-4967 	-1907 	: 
CP_MNAC,PAID,B9,S13,IT	-71444 	-69377 	-32825 	-34306 	-21146 	-30219 	-44074 	-40309 	-46437 	-50641 	-61156 	-54555 	-23577 	-42942 	-82548 	-67573 	-60231 	-47078 	-46893 	-49340 	-43153 	-42937 	-41060 
CP_MNAC,PAID,B9,S13,LT	-120 	-316 	-1378 	-395 	-359 	-426 	-501 	-282 	-211 	-254 	-72 	-66 	-237 	-1008 	-2453 	-1934 	-2796 	-1049 	-912 	-226 	-92 	102 	206 
CP_MNAC,PAID,B9,S13,LU	417 	270 	643 	654 	759 	1378 	1437 	641 	163 	-360 	-13 	675 	1558 	1284 	-177 	-212 	244 	189 	452 	713 	752 	1010 	: 
CP_MNAC,PAID,B9,S13,LV	-58 	-20 	76 	2 	-234 	-187 	-145 	-192 	-139 	-102 	-50 	-83 	-116 	-1024 	-1718 	-1558 	-874 	-264 	-264 	-352 	-331 	16 	-156 
CP_MNAC,PAID,B9,S13,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-139 	-140 	-126 	-259 	-204 	-215 	-162 	-245 	-177 	-142 	-95 	97 	394 
CP_MNAC,PAID,B9,S13,NL	-28775 	-6282 	-5841 	-5338 	1063 	5268 	-2292 	-10670 	-16114 	-9661 	-2184 	581 	-569 	1303 	-31781 	-33533 	-28791 	-25586 	-19343 	-14452 	-13970 	148 	8959 p
CP_MNAC,PAID,B9,S13,PL	-14408 	-19562 	-23751 	-25247 	-15119 	-22197 	-37310 	-39278 	-51408 	-47061 	-39243 	-38057 	-22004 	-46301 	-99522 	-106117 	-75635 	-60480 	-68148 	-61818 	-47491 	-45868 	: 
CP_MNAC,PAID,B9,S13,PT	-4611 	-4470 	-3792 	-4886 	-3626 	-4130 	-6504 	-4764 	-6463 	-9439 	-9827 	-7195 	-5279 	-6736 	-17204 	-20100 	-13006 	-9529 	-8245 	-12402 	-7918 	-3674 	-5762 p
CP_MNAC,PAID,B9,S13,SE	-132384 	-60108 	-31794 	17792 	16973 	76766 	35281 	-37334 	-33986 	9981 	53333 	68546 	110715 	64582 	-23551 	-1130 	-7412 	-35589 	-51593 	-61176 	6698 	48752 	71079 
CP_MNAC,PAID,B9,S13,SI	-860 	-133 	-320 	-357 	-512 	-688 	-821 	-568 	-672 	-544 	-390 	-380 	-29 	-536 	-2112 	-2043 	-2462 	-1459 	-5319 	-2072 	-1104 	-781 	28 
CP_MNAC,PAID,B9,S13,SK	-658 	-2134 	-1505 	-1388 	-2077 	-3800 	-2196 	-3015 	-1119 	-1064 	-1454 	-2021 	-1229 	-1663 	-4996 	-5058 	-3021 	-3159 	-2017 	-2056 	-2027 	-1805 	-659 
CP_MNAC,PAID,B9,S13,UK	-42866 	-32520 	-19838 	-3234 	6553 	14936 	2494 	-22623 	-39705 	-40407 	-41130 	-41832 	-40701 	-81869 	-159309 	-147786 	-122515 	-137560 	-93650 	-99011 	-80498 	-58071 	-38826 
CP_MNAC,PAID,B9,S14_S15,AT	10191 	8256 	6768 	7524 	10308 	12883 	7672 	9406 	10704 	10133 	13087 	14602 	17044 	16646 	14825 	11400 	7318 	9811 	6227 	8555 	7112 	9403 	6589 
CP_MNAC,PAID,B9,S14_S15,BE	13610 	11831 	9852 	10040 	10800 	10455 	14137 	13684 	12773 	9367 	7003 	7615 	8168 	10419 	16345 	9607 	7749 	6058 	5338 	3478 	2002 	641 	: 
CP_MNAC,PAID,B9,S14_S15,BG	443 b	128 b	-209 b	-427 b	-344 b	-902 	-2625 	-1531 	-2043 	-3052 	-4647 	-4961 	-8215 	-4652 	-3340 	-2907 	-2777 	-5798 	-2252 	-1305 	-1416 	998 	: 
CP_MNAC,PAID,B9,S14_S15,CY	-509 	-503 	-368 	-529 	-252 	-321 	-384 	-662 	-661 	-598 	-601 	-810 	-1593 	-1896 	-791 	-888 	-563 	-666 	-1111 	-1516 	-1525 	-1274 p	: 
CP_MNAC,PAID,B9,S14_S15,CZ	222461 	71542 	61792 	53199 	23262 	33661 	57927 	66735 	64811 	35584 	52357 	76299 	58042 	48129 	105720 	79318 	74274 	144849 	77026 	109977 	92622 	75894 	16297 
CP_MNAC,PAID,B9,S14_S15,DE	56790 	61730 	62820 	68040 	69440 	75370 	97300 	101250 	125100 	133400 	144700 	136800 	136200 	137000 	151400 	148600 	126000 	135800 	132900 	143300 	159300 	160700 	165900 
CP_MNAC,PAID,B9,S14_S15,DK	-9647 	-25931 	-46646 	-39660 	-54335 	-65073 	-27388 	-13664 	-15299 	-48107 	-83903 	-84864 	-96829 	-79501 	-11923 	5612 	-12957 	10809 	13469 	-28102 	32425 	28194 	31192 
