unit,material,indic_env,geo\time	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
T_HAB,TOTAL,DMC,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	25.58 	23.619 	25.115 	25.483 	26.417 	25.775 	27.638 	26.475 	22.741 	21.759 	21.551 	20.999 	20.32 	20.804 	21.416 	23.857 	25.801 	25.001 ps
T_HAB,TOTAL,DMC,LV	: 	: 	: 	: 	: 	12.777 	13.257 	13.64 	14.921 	14.991 	14.734 	14.332 	15.515 	15.765 	16.921 	19.059 	20.647 	22.437 	19.112 	14.942 	17.607 	19.831 	19.327 	20.778 	20.772 	21.464 	20.153 	22.727 ps
T_HAB,TOTAL,DMC,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.988 	9.872 	9.456 	9.209 	9.282 	9.291 	8.999 p	: 
T_HAB,TOTAL,DMC,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.358 s	8.952 s	8.533 s	10.085 s	10.147 	8.796 	10.675 	8.763 	7.732 	8.161 	6.974 	9.113 	10.348 	9.043 	12.072 	14.046 	13.975 	13.302 ps
T_HAB,TOTAL,DMC,NL	: 	: 	: 	: 	: 	: 	12.374 	12.386 	12.02 	12.392 	12.522 	12.282 	11.009 	10.756 	11.315 	11.078 	11.226 	11.816 	12.333 	11.57 	11.397 	11.058 	10.57 	10.05 e	10.34 	11.007 e	9.694 ep	9.711 ps
T_HAB,TOTAL,DMC,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	25.544 	25.331 	28.981 	26.96 	28.086 	28.314 	29.666 	29.394 	28.536 	36.544 	30.022 	: 
T_HAB,TOTAL,DMC,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.094 	13.555 	12.942 	13.343 	14.225 	14.451 	14.762 	16.491 	16.879 	16.197 	16.95 	20.962 	18.268 s	17.272 s	17.215 	16.931 	17.696 	18.923 ps
T_HAB,TOTAL,DMC,PT	: 	: 	: 	: 	: 	14.412 	14.273 	15.753 	16.794 	19.215 	19.493 	20.346 	19.625 	17.286 	18.776 	18.66 	20.448 	21.194 	22.209 	19.961 	18.571 	17.257 	15.906 	13.952 	14.848 	15.018 	14.806 	15.317 ps
T_HAB,TOTAL,DMC,RO	: 	: 	: 	: 	13.702 	14.492 	11.264 	9.976 	10.838 	8.716 	7.701 	12.404 	12.108 	13.273 	14.268 	15.713 	17.01 	20.528 	26.828 	21.249 s	19.748 s	22.288 s	21.798 s	22.056 s	22.646 s	27.202 s	26.524 ps	25.098 ps
T_HAB,TOTAL,DMC,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12.975 	13.83 	12.972 	14.583 	14.788 	15.213 	14.514 	15.571 b	14.257 	15.193 	15.432 	14.022 	15.267 	14.474 	15.46 	16.936 	: 
T_HAB,TOTAL,DMC,SE	: 	: 	: 	: 	: 	: 	: 	: 	20.196 	19.568 	19.853 	19.476 	19.731 	19.788 	20.405 	22.058 	20.379 	22.447 	22.149 	18.986 	21.34 	22.254 	22.163 	22.622 	22.865 	22.557 	22.663 	22.953 ps
T_HAB,TOTAL,DMC,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17.185 	16.866 	17.478 	18.896 	19.095 	18.51 	21.489 	23.658 	20.79 	17.024 	16.022 	14.4 	12.451 	12.194 	13.089 	13.278 	12.807 	13.537 ps
T_HAB,TOTAL,DMC,SK	: 	: 	: 	: 	: 	: 	: 	: 	12.364 	11.07 	10.072 	10.769 	11.245 	10.977 	12.793 	13.957 	13.829 	14.023 	15.428 	13.58 	13.332 	13.455 	11.912 	11.368 	12.562 	12.651 	13.34 	13.203 ps
T_HAB,TOTAL,DMC,TR	: 	: 	: 	: 	: 	: 	9.663 	9.65 	10.032 	9.101 	9.537 	8.029 	8.184 	8.406 	8.7 	10.154 	11.464 	11.558 	11.336 	10.901 	12.867 	13.416 	11.847 	11.896 	12.068 	12.862 	: 	: 
T_HAB,TOTAL,DMC,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12.544 	12.572 	12.16 	12.119 	12.533 	12.127 	11.896 	11.72 	10.92 	9.5 	9.166 	9.186 	8.826 	8.875 	9.124 	8.965 	8.648 ps	8.865 ps
