sectperf,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
TOTAL,PC_GDP,EE	: 	: 	: 	0.57 	0.68 	0.6 	0.7 	0.72 	0.77 	0.85 	0.92 	1.12 	1.07 	1.26 	1.4 	1.58 	2.31 	2.12 	1.72 	1.45 	1.49 	1.28 
TOTAL,PC_GDP,EL	0.42 b	: 	0.43 	: 	0.57 	: 	0.56 	: 	0.55 	0.53 e	0.58 	0.56 e	0.58 e	0.66 be	0.63 e	0.6 e	0.67 	0.7 	0.81 	0.83 	0.97 	1.01 
TOTAL,PC_GDP,ES	0.77 	0.79 e	0.78 	0.85 	0.84 	0.89 	0.89 	0.96 	1.02 	1.04 	1.1 	1.17 	1.23 	1.32 	1.35 	1.35 	1.33 	1.29 	1.27 	1.24 	1.22 	1.19 
TOTAL,PC_GDP,FI	2.2 	2.45 e	2.62 	2.79 	3.06 	3.25 	3.2 	3.26 	3.3 	3.31 	3.33 	3.34 	3.35 	3.55 	3.75 	3.73 	3.64 	3.42 	3.29 	3.17 	2.9 	2.75 
TOTAL,PC_GDP,FR	2.23 	2.21 	2.14 b	2.08 	2.1 	2.08 b	2.13 	2.17 	2.11 	2.09 b	2.04 	2.05 	2.02 	2.06 	2.21 	2.18 b	2.19 	2.23 	2.24 	2.23 	2.27 p	2.25 p
TOTAL,PC_GDP,HR	: 	: 	: 	: 	: 	: 	: 	0.95 	0.95 	1.03 	0.86 	0.74 	0.79 	0.88 	0.84 	0.74 	0.75 	0.75 	0.81 	0.78 	0.84 	0.85 b
TOTAL,PC_GDP,HU	0.71 d	0.63 d	0.7 d	0.66 d	0.67 d	0.79 d	0.91 d	0.98 d	0.92 d	0.86 b	0.92 	0.98 	0.96 	0.98 	1.13 	1.14 	1.19 	1.26 	1.39 	1.35 	1.36 	1.21 
TOTAL,PC_GDP,IE	1.22 e	1.27 e	1.24 e	1.21 	1.15 e	1.09 	1.05 	1.06 	1.12 	1.18 	1.19 	1.2 	1.23 	1.39 	1.61 e	1.59 e	1.55 e	1.56 e	1.56 e	1.5 e	1.2 	1.18 e
TOTAL,PC_GDP,IT	0.94 	0.95 	0.99 b	1.01 	0.98 	1.01 	1.04 	1.08 	1.06 	1.05 	1.05 	1.09 	1.13 	1.16 	1.22 	1.22 	1.21 	1.27 	1.31 	1.34 e	1.34 	1.29 p
TOTAL,PC_GDP,LT	0.43 	0.49 b	0.54 	0.54 	0.5 	0.58 	0.67 	0.66 	0.66 	0.75 	0.75 	0.79 	0.8 	0.79 	0.83 	0.78 	0.9 	0.89 	0.95 	1.03 	1.04 	0.85 
TOTAL,PC_GDP,LU	: 	: 	: 	: 	: 	1.58 	: 	: 	1.63 	1.6 	1.57 	1.67 	1.59 e	1.62 	1.68 	1.5 	1.46 	1.27 b	1.3 	1.26 	1.27 	1.24 p
