unit,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,Y_GE65,T,EU28	: 	: 	: 	: 	20.1 	20.4 	19.2 	18.2 	17.8 	17.4 	18.2 	18.1 e
PC,Y_GE65,T,FI	23.0 	23.1 	23.9 	23.1 	19.5 	19.8 	19.5 	16.8 	17.0 	14.5 	13.6 	13.2 
PC,Y_GE65,T,FR	17.5 	15.2 	14.1 b	13.4 	11.8 	11.5 	11.1 	10.8 	10.1 	9.3 	10.0 	9.5 
PC,Y_GE65,T,HR	: 	: 	: 	: 	37.5 	36.4 	33.1 	31.9 	29.7 	31.8 	32.8 	: 
PC,Y_GE65,T,HU	23.9 	21.1 	17.5 	17.5 	16.8 	19.0 	22.0 	20.2 	19.0 	17.1 	15.1 	16.8 
PC,Y_GE65,T,IE	27.7 	28.7 	22.5 	17.9 	11.3 	13.8 	15.2 	13.7 	13.9 	16.5 	17.4 	: 
PC,Y_GE65,T,IS	12.4 	15.4 	15.2 	12.4 	5.3 	4.5 	5.0 	4.2 	7.3 	6.2 	6.3 p	: 
PC,Y_GE65,T,IT	24.8 	25.5 	24.4 	22.9 	20.4 	24.0 	24.7 	22.0 	20.2 	19.9 	23.2 	22.0 
PC,Y_GE65,T,LT	41.3 	39.1 	39.9 	35.3 	29.8 	30.9 	35.7 	31.7 	31.9 	36.0 	37.4 	40.3 
PC,Y_GE65,T,LU	8.3 	7.2 	5.4 	6.2 	6.1 	4.7 	6.1 	7.0 	6.4 	8.2 	9.1 b	11.8 
PC,Y_GE65,T,LV	51.9 	51.4 	58.8 b	55.5 	36.8 	33.0 	33.7 	36.1 	39.3 	42.1 	43.1 	43.9 
PC,Y_GE65,T,MK	: 	: 	: 	: 	40.9 	48.3 	50.0 	44.0 	38.5 	35.2 	34.6 	: 
PC,Y_GE65,T,MT	25.7 	22.8 	26.0 	22.2 	21.7 	21.0 	22.3 	20.8 	23.3 	23.7 	26.1 	26.4 
PC,Y_GE65,T,NL	6.4 	9.8 	9.7 	8.1 	6.2 	6.9 	6.2 	6.1 	6.9 	6.1 	10.0 b	10.6 
PC,Y_GE65,T,NO	17.4 	14.2 	14.9 	12.3 	12.3 	11.4 	9.6 	9.8 	9.9 	9.2 	9.5 	8.8 
PC,Y_GE65,T,PL	32.5 	27.3 	26.9 b	25.8 	24.4 	24.7 	23.4 	19.7 	18.2 	17.0 	16.1 	17.4 
PC,Y_GE65,T,PT	32.2 	30.0 	27.7 	26.0 	26.1 	24.5 	22.2 	20.3 	21.1 	21.7 	21.8 	20.7 
PC,Y_GE65,T,RO	: 	57.9 	49.4 	43.3 	40.1 	36.2 	35.4 	35.8 	35.0 	33.3 	34.0 	33.2 
PC,Y_GE65,T,RS	: 	: 	: 	: 	: 	: 	: 	35.7 	36.6 	35.2 	31.2 	: 
PC,Y_GE65,T,SE	11.9 	10.4 	15.9 b	16.5 	14.8 	16.4 	16.2 	15.2 	13.7 	16.2 	17.0 	16.1 
PC,Y_GE65,T,SI	22.5 	22.4 	24.4 	23.3 	22.8 	24.2 	22.8 	23.0 	20.1 	20.2 	19.9 	18.3 
PC,Y_GE65,T,SK	25.6 	22.1 	21.9 	19.7 	16.7 	14.5 	16.3 	13.6 	13.4 	12.8 	12.3 	12.1 
PC,Y_GE65,T,TR	55.7 	54.9 	55.0 	52.0 	55.8 	54.8 	52.4 	46.7 b	34.1 	37.8 	: 	: 
PC,Y_GE65,T,UK	27.5 	27.9 	28.5 	23.1 	22.3 	22.7 	17.3 b	18.1 	19.0 	17.9 	18.0 	: 
