unit,na_item,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
PPS_KGOE,B1GQ,LU	5.8 	5.6 	5.6 	5.4 	5.3 	5.6 	6.5 	7.2 	7.2 	7.1 	7.2 	7.9 	8.2 	8.8 	9.8 	10.4 	10.5 
PPS_KGOE,B1GQ,LV	4.3 	4.4 	4.9 	4.9 	5.2 	5.7 	6.1 	6.7 	7.1 	6.1 	6.1 	7.0 	7.2 	7.5 	7.9 	8.4 	8.5 
PPS_KGOE,B1GQ,ME	: 	: 	: 	: 	: 	: 	4.6 	5.6 	5.5 	6.4 	5.7 	6.0 	6.1 	6.8 	7.2 	7.4 	8.2 
PPS_KGOE,B1GQ,MK	4.1 	4.2 	4.4 	4.1 	4.5 	4.7 	5.1 	5.2 	5.7 	6.2 	6.3 	5.9 	6.2 	6.9 	7.6 	8.1 	8.4 p
PPS_KGOE,B1GQ,MT	7.8 	7.1 	8.1 	7.7 	7.8 	8.2 	8.3 	8.7 	8.7 	9.2 	9.4 	9.6 	9.5 	11.1 	12.0 	15.9 	17.2 
PPS_KGOE,B1GQ,NL	5.7 	5.8 	5.9 	5.6 	5.8 	6.2 	6.7 	7.1 	7.3 	6.9 	6.6 	7.2 	7.4 	7.6 	8.0 	8.3 	8.1 
PPS_KGOE,B1GQ,NO	5.5 	5.5 	5.8 	5.5 	6.2 	6.9 	7.6 	7.8 	7.1 	6.4 	7.3 	8.6 	8.8 	8.6 	8.6 	8.3 	8.2 
PPS_KGOE,B1GQ,PL	4.0 	4.1 	4.4 	4.4 	4.7 	4.9 	4.9 	5.4 	5.6 	5.9 	6.1 	6.5 	7.0 	7.0 	7.6 	8.0 	7.7 
PPS_KGOE,B1GQ,PT	6.7 	6.9 	6.9 	7.1 	7.1 	7.4 	8.2 	8.5 	8.7 	8.5 	9.1 	9.0 	9.4 	9.6 	10.0 	10.0 	10.1 
PPS_KGOE,B1GQ,RO	3.2 	3.4 	3.5 	3.6 	4.2 	4.5 	5.1 	5.9 	6.7 	7.2 	7.3 	7.4 	8.1 	9.0 	9.4 	9.9 	10.4 
PPS_KGOE,B1GQ,RS	2.8 	2.7 	2.8 	2.8 	2.9 	3.5 	3.5 	3.9 	4.1 	4.3 	4.3 	4.4 	4.9 	4.8 	5.4 	5.1 	4.9 
PPS_KGOE,B1GQ,SE	4.7 	4.5 	4.6 	4.8 	4.9 	5.1 	5.7 	6.2 	6.2 	6.2 	5.9 	6.3 	6.5 	6.6 	6.9 	7.8 	7.2 
PPS_KGOE,B1GQ,SI	4.9 	4.8 	5.1 	5.1 	5.4 	5.6 	5.8 	6.3 	6.1 	6.0 	5.9 	6.1 	6.4 	6.6 	7.0 	7.5 	7.3 
PPS_KGOE,B1GQ,SK	2.9 	3.1 	3.3 	3.4 	3.7 	4.0 	4.4 	5.3 	5.5 	5.6 	5.8 	6.0 	6.5 	6.5 	7.1 	7.4 	7.4 
PPS_KGOE,B1GQ,TR	6.9 	7.2 	6.9 	6.7 	7.5 	8.0 	8.2 	8.4 	8.9 	8.4 	9.1 	9.6 	9.7 	10.7 	11.2 	11.2 	10.6 
PPS_KGOE,B1GQ,UK	5.9 	6.1 	6.4 	6.5 	6.9 	7.1 	7.5 	8.0 	8.1 	8.0 	8.1 	8.8 	9.0 	9.2 	10.3 	10.7 	10.9 
