unit,na_item,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
EUR,D1_SAL_HW,LT	3.8 	4.6 	5.2 	5.9 	5.6 	5.5 	5.9 	6.2 	6.6 	6.9 	7.2 	7.6 	8.4 
EUR,D1_SAL_HW,LU	32.7 	34.1 	35.2 	36.2 	38.0 	38.7 	39.5 	40.4 	41.5 	43.0 	43.4 	43.9 	45.6 
EUR,D1_SAL_HW,LV	3.4 	4.2 	5.7 	6.3 	5.7 	5.3 	5.4 	6.0 	6.3 	6.7 	7.4 	8.0 	8.7 
EUR,D1_SAL_HW,MT	8.3 	8.6 	8.9 	9.2 	9.4 	10.0 	10.6 	11.0 	11.4 	11.9 	12.6 	12.5 	13.0 
EUR,D1_SAL_HW,NL	27.3 	27.9 	28.7 	29.8 	30.8 	31.1 	31.6 	32.5 	32.9 	33.3 	33.3 	33.6 p	34.0 p
EUR,D1_SAL_HW,NO	33.4 	35.1 	37.2 	38.4 	38.0 	42.5 	45.5 	49.7 	50.0 	48.1 	46.1 	44.9 	46.0 
EUR,D1_SAL_HW,PL	4.2 	4.5 	4.9 	5.7 	4.8 	5.7 b	5.8 	6.0 	6.1 	6.2 	6.3 	6.3 p	6.9 p
EUR,D1_SAL_HW,PT	9.8 	10.0 	10.3 	10.7 	10.9 	11.1 	11.0 	10.7 	11.0 	10.8 	10.8 	11.0 	11.2 p
EUR,D1_SAL_HW,RO	2.6 	3.0 	3.5 	4.2 	3.6 	3.9 	3.6 	3.9 b	4.1 	4.4 	4.5 	5.1 	5.6 p
EUR,D1_SAL_HW,SE	21.7 	22.5 	23.5 	23.3 	21.8 	24.4 	26.6 	28.7 	29.5 	28.7 	28.7 	28.8 	29.1 
EUR,D1_SAL_HW,SI	11.7 	12.5 	13.3 	14.2 	14.3 	14.7 	15.1 	15.1 	15.0 	15.1 	15.2 	16.1 	16.9 
EUR,D1_SAL_HW,SK	4.7 	5.3 	6.3 	7.2 	7.8 	8.1 	8.3 	8.5 	8.8 	9.0 	9.3 	9.6 	10.3 
EUR,D1_SAL_HW,UK	24.4 	25.9 	27.2 	23.8 	21.8 	23.5 	23.2 	25.1 	24.4 	25.8 	29.2 	26.4 	25.4 
