unit,sex,age,incgrp,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,T,TOTAL,TOTAL,BE	9.8 	10.1 	12.5 	8.7 	8.9 	10.6 	11.0 	9.6 	10.4 	9.4 	9.5 	9.1 
PC,T,TOTAL,TOTAL,BG	15.4 	21.2 	13.3 	7.0 	5.9 	8.7 	14.5 	14.3 	12.9 	14.8 	20.7 b	18.9 
PC,T,TOTAL,TOTAL,CH	: 	: 	: 	13.2 	14.1 	13.1 	12.1 	10.6 	11.7 b	11.7 	12.0 	: 
PC,T,TOTAL,TOTAL,CY	3.0 	1.7 	1.8 b	2.4 	3.1 	3.1 	3.3 	3.3 	4.0 	3.9 	3.1 	2.8 
PC,T,TOTAL,TOTAL,CZ	10.8 	10.3 	12.8 	8.9 	9.7 	9.5 	10.0 	11.7 	10.5 	10.4 	9.5 	8.7 
PC,T,TOTAL,TOTAL,DE	: 	: 	: 	: 	14.5 	16.1 	16.6 	16.4 	15.9 	15.6 	15.8 	14.5 
PC,T,TOTAL,TOTAL,DK	16.1 	13.4 	17.1 	24.2 	21.9 	18.5 b	16.7 	17.9 	15.6 	15.1 	15.1 	15.7 
PC,T,TOTAL,TOTAL,EA18	9.7 e	8.4 e	8.2 e	8.0 e	9.6 	10.7 	11.1 	11.3 	11.5 	11.3 	11.0 	10.3 e
PC,T,TOTAL,TOTAL,EA19	9.7 e	8.3 e	8.2 e	8.0 e	9.6 	10.7 	11.1 	11.3 	11.4 	11.3 	11.0 	10.2 e
PC,T,TOTAL,TOTAL,EE	6.8 	5.2 	3.6 	4.4 	6.0 	7.4 	7.9 	7.2 	8.3 b	6.8 	4.9 	4.8 
PC,T,TOTAL,TOTAL,EL	24.6 	15.8 	22.2 	21.8 	18.1 	24.2 	33.1 	36.9 	44.9 	45.5 	40.5 	39.6 
PC,T,TOTAL,TOTAL,ES	7.4 	8.3 	9.4 b	10.4 	9.7 	10.0 	10.7 	10.3 	10.9 	10.3 	10.2 	9.8 
PC,T,TOTAL,TOTAL,EU27	11.6 e	10.7 e	10.5 e	9.9 e	10.7 	11.4 	11.0 	11.1 	11.7 	11.4 	11.1 	10.2 e
