currency,partner,sector10,sectpart,s_adj,stk_flow,bop_item,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,SI	-222.7 	-656.6 	-290.7 	-374.7 	-297.6 	99.3 	-179.2 	75.9 	-100.7 	-210.5 	-125.2 	-160.1 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,SK	-51.8 	-357.6 	-200.8 	1103.8 	-735.5 	-809.3 	-864.8 	-148.9 	-696.8 	0.4 	-238.3 	544.2 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,TR	-4200.3 	-2378.5 	-1880.0 	-1714.1 	-2854.8 	-2783.6 	-2028.7 	-1096.6 	-2165.7 	-1933.8 	-856.7 	-1502.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,UK	-6204.8 	-7800.2 	-52589.0 	-19457.8 	-24281.8 	-98528.3 	14610.1 	1127.6 	36929.6 	18860.4 	-21702.1 	-12885.8 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,XK	-98.3 	-24.2 	-52.4 	-30.4 	-74.2 	-20.3 	-63.2 	-76.0 	-51.2 	-58.8 	-21.9 	-40.1 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,AL	-180.1 	-118.8 	-74.3 	-10.3 	261.4 	-127.9 	41.3 	118.3 	48.0 	-227.1 	142.9 	-169.2 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,AT	-3650.0 	-2630.0 	1399.0 	-6587.0 	-9445.0 	-334.0 	-7225.0 	-1274.0 	6670.0 	-4021.0 	3772.0 	-1062.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,BE	-1546.0 	-9443.0 	6975.0 	7353.0 	-3587.0 	4716.0 	9163.0 	-14409.0 	-7986.0 	-28716.0 	-4713.0 	-2051.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,BG	339.4 	48.6 	1388.4 	430.1 	847.2 	-735.8 	-473.5 	224.8 	854.1 	141.9 	909.1 	-617.1 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,CH	-40769.0 	2675.6 	-25836.8 	-21099.3 	2899.5 	-4026.5 	-27620.0 	38047.4 	-10159.8 	8307.6 	-38237.5 	-5388.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,CY	0.0 	-5059.0 	-2340.0 	2480.0 	1731.0 	1981.0 	-761.0 	-82.0 	4240.0 	-177.0 	-973.0 	1845.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,CZ	-4562.1 	3345.5 	693.3 	2615.6 	-5960.8 	-1118.5 	-22495.6 	-602.6 	-5744.8 	2424.4 	4260.1 	-2955.8 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,DE	12013.0 	-30300.0 	-16053.0 	14327.0 	-4549.0 	-8130.0 	655.0 	36401.0 	-4968.0 	-2241.0 	10676.0 	5444.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,DK	10433.1 	10050.3 	-4517.9 	10227.3 	6253.6 	5663.7 	5918.5 	-3066.5 	9256.7 	2907.3 	-8692.4 	-11357.5 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,EA19	-59790.0 	-47720.0 	-158695.0 	-731.0 	-154105.0 	-31400.0 	-60741.0 	23641.0 	-8007.0 	57229.0 	-22850.0 	-66989.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,EE	-45.6 	-211.1 	-516.4 	-683.2 	-227.5 	-155.4 	-134.2 	-449.2 	-203.7 	-8.2 	-365.4 	915.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,EL	-5583.0 	1417.0 	-4728.0 	3958.0 	-3736.0 	-2433.0 	-3154.0 	2048.0 	11004.0 	12001.0 	3997.0 	403.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,ES	858.0 	5184.0 	-30909.0 	-13842.0 	-1359.0 	445.0 	-31523.0 	1073.0 	-4021.0 	12533.0 	-8321.0 	9048.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,EU28	-41046.3 	-6008.0 	-101964.1 	123472.4 	-74695.6 	36220.9 	-94778.3 	-20485.7 	-2648.4 	106425.7 	-62615.1 	37182.3 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,FI	1902.0 	3333.0 	-10436.0 	-8274.0 	-9497.0 	4499.0 	2895.0 	393.0 	-7047.0 	4595.0 	396.0 	-761.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,FR	-32395.0 	16708.0 	-36077.0 	11190.0 	-5441.0 	-15845.0 	-21761.0 	-44807.0 	-14552.0 	26256.0 	-60422.0 	-12175.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,HR	2376.1 	-198.0 	-396.6 	1336.1 	2452.9 	-1056.5 	-2695.3 	1460.4 	1735.2 	-46.1 	-1608.4 	1406.7 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,HU	3830.4 	5242.7 	576.9 	4043.8 	3192.6 	-145.6 	-324.6 	-86.0 	1749.4 	304.1 	2277.6 	-1648.7 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,IE	9047.0 	56274.0 	-10231.0 	14357.0 	-29470.0 	-8452.0 	-18535.0 	30945.0 	-5987.0 	43704.0 	-27775.0 	9545.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,IS	770.4 	-4527.1 	-1074.0 	-571.2 	376.5 	-218.6 	-334.0 	-634.3 	219.3 	-181.4 	609.3 	-4.9 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,IT	-30729.0 	-16580.0 	-26570.0 	-21774.0 	-46828.0 	9330.0 	-43171.0 	10815.0 	-15046.0 	12683.0 	-2866.0 	-71357.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,LT	150.0 	2221.5 	-3457.8 	-835.0 	311.6 	-130.2 	-968.3 	1670.0 	-894.6 	-873.4 	-1882.5 	-880.9 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,LU	23174.0 	20274.0 	10303.0 	44735.0 	15629.0 	50054.0 	88803.0 	-8571.0 	-5222.0 	38723.0 	17652.0 	-241.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,LV	559.0 	-888.0 	-1038.0 	252.0 	396.0 	-323.0 	126.0 	502.0 	-1018.0 	-1368.0 	1272.0 	1309.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,ME	425.0 	-123.0 	-54.0 	-80.0 	95.0 	-283.0 	-99.0 	-4.0 	140.0 	-301.0 	18.0 	-323.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,MK	113.7 	-62.9 	55.2 	-28.4 	-4.3 	113.0 	61.8 	-66.1 	188.1 	29.2 	186.8 	58.4 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,MT	1362.2 	431.5 	1303.3 	204.4 	1876.3 	1423.3 	907.3 	796.5 	666.6 	1386.9 	2053.2 	1512.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,NL	-9977.0 	-29962.0 	-21179.0 	14469.0 	2530.0 	3708.0 	25971.0 	-29703.0 	24989.0 	-3345.0 	13347.0 	21667.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,NO	-10467.4 	-5879.0 	8141.3 	-5474.1 	7837.2 	-7798.2 	9697.2 	-14003.5 	4062.8 	-5912.4 	-1746.1 	2323.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,PL	2741.6 	6353.3 	-4452.9 	-2493.0 	-1732.7 	-3395.8 	7828.3 	2398.2 	4216.6 	2501.5 	-290.5 	7107.2 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,PT	3621.0 	-1758.0 	-2633.0 	-1703.0 	703.0 	-10844.0 	-1142.0 	-783.0 	3621.0 	1676.0 	-4705.0 	-1923.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,RO	1575.5 	: c	2539.0 	499.5 	1408.4 	289.8 	689.1 	-685.5 	2817.2 	823.4 	1096.0 	1160.1 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,RS	-131.0 	10.0 	775.0 	189.0 	38.0 	-544.0 	313.0 	104.0 	-566.0 	-160.0 	63.0 	-422.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,SE	-6552.7 	12149.5 	-3386.8 	-16590.4 	-543.9 	3536.6 	3538.7 	3530.2 	301.1 	4939.4 	-5437.2 	3607.3 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,SI	1739.0 	-663.1 	64.4 	-351.3 	106.1 	-2582.8 	989.1 	72.6 	44.5 	-1736.5 	1998.5 	-609.3 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,SK	-1304.5 	-1650.3 	-125.5 	-867.6 	-1482.5 	-2773.1 	400.3 	-1420.6 	-203.2 	-757.8 	-1865.0 	-928.1 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,TR	-2068.6 	-4016.8 	-2544.2 	-9439.5 	2594.0 	4089.7 	-1331.6 	-2106.3 	-504.5 	-1155.4 	-6950.4 	-3165.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,UK	-16227.8 	-28415.7 	-18849.4 	115689.3 	42107.5 	66929.4 	-64853.7 	-56217.5 	-22136.6 	44905.4 	43117.8 	136531.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__O__F,XK	6.5 	-37.8 	-52.1 	-46.3 	-62.7 	-78.8 	11.6 	123.9 	-89.5 	-14.8 	-110.2 	-85.5 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__P__F,AL	4.3 	-124.4 	111.2 	-5.7 	5.7 	113.2 	-137.4 	-20.6 	31.3 	28.0 	3.4 	109.7 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__P__F,AT	5128.0 	2764.0 	313.0 	10128.0 	11056.0 	2202.0 	9432.0 	4534.0 	179.0 	4673.0 	1526.0 	-340.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__P__F,BE	-1532.0 	10292.0 	29771.0 	-8964.0 	4618.0 	-14673.0 	-1104.0 	-2466.0 	-5052.0 	18240.0 	-3730.0 	-3490.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__P__F,BG	571.9 	458.3 	-1035.5 	-27.9 	-206.9 	639.9 	430.3 	268.8 	623.7 	1292.7 	431.7 	239.8 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__P__F,CH	6553.9 	4571.7 	8812.9 	-477.4 	2527.1 	9366.3 	4608.3 	24424.5 	33.9 	-9350.6 	18966.2 	-10531.8 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__P__F,CY	1400.0 	-347.0 	1451.0 	-2474.0 	-2479.0 	265.0 	1761.0 	-1803.0 	1219.0 	-1147.0 	783.0 	-648.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__P__F,CZ	-2980.6 	-4878.1 	-1651.3 	-2222.5 	1877.5 	-4274.4 	-13095.1 	-1728.1 	5850.4 	-825.5 	-1962.7 	3774.9 
