unit,sector,na_item,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_GDP,S13,GD,CZ	17.0 	22.8 	25.9 	28.3 	28.5 	27.9 	27.7 	27.5 	28.3 	33.6 	37.4 	39.8 	44.5 	44.9 	42.2 	40.0 	36.8 	34.7 
PC_GDP,S13,GD,DE	58.9 	57.7 	59.4 	63.1 	64.8 	67.0 	66.5 	63.7 	65.2 	72.6 	81.0 	78.6 	79.9 	77.4 	74.5 	70.8 	67.9 	63.9 
PC_GDP,S13,GD,DK	52.4 	48.5 	49.1 	46.2 	44.2 	37.4 	31.5 	27.3 	33.3 	40.2 	42.6 	46.1 	44.9 	44.0 	44.3 	39.9 	37.9 	36.1 
PC_GDP,S13,GD,EA18	68.2 	67.2 	67.1 	68.3 	68.6 	69.4 	67.5 	65.2 	68.9 	79.4 	84.7 	86.8 	89.8 	91.7 	92.0 	90.0 	89.2 	87.0 
PC_GDP,S13,GD,EA19	68.2 	67.1 	67.0 	68.2 	68.5 	69.3 	67.4 	65.0 	68.7 	79.2 	84.6 	86.6 	89.7 	91.6 	91.8 	89.9 	89.1 	86.8 
PC_GDP,S13,GD,EE	5.1 	4.8 	5.7 	5.6 	5.1 	4.5 	4.4 	3.7 	4.5 	7.0 	6.6 	6.1 	9.7 	10.2 	10.5 	9.9 	9.2 	8.7 
PC_GDP,S13,GD,EL	104.9 	107.1 	104.9 	101.5 	102.9 	107.4 	103.6 	103.1 	109.4 	126.7 	146.2 	172.1 	159.6 	177.4 	178.9 	175.9 	178.5 	176.1 
PC_GDP,S13,GD,ES	58.0 	54.2 	51.3 	47.6 	45.3 	42.3 	38.9 	35.6 	39.5 	52.8 	60.1 	69.5 	85.7 	95.5 	100.4 	99.3 	99.0 	98.1 
PC_GDP,S13,GD,EU27	60.1 	59.4 	58.9 	60.4 	61.0 	61.6 	60.2 	57.6 	60.8 	73.4 	78.9 	81.5 	83.8 	85.7 	86.4 	84.4 	83.3 	81.7 
PC_GDP,S13,GD,EU28	60.1 	59.3 	58.8 	60.3 	60.9 	61.5 	60.1 	57.5 	60.7 	73.3 	78.8 	81.4 	83.8 	85.7 	86.4 	84.4 	83.3 	81.6 
PC_GDP,S13,GD,FI	42.5 	41.0 	40.2 	42.8 	42.7 	40.0 	38.2 	34.0 	32.7 	41.7 	47.1 	48.5 	53.9 	56.5 	60.2 	63.6 	63.0 	61.3 
PC_GDP,S13,GD,FR	58.9 	58.3 	60.3 	64.4 	65.9 	67.4 	64.6 	64.5 	68.8 	83.0 	85.3 	87.8 	90.6 	93.4 	94.9 	95.6 	98.2 	98.5 
PC_GDP,S13,GD,HR	35.5 	36.5 	36.6 	38.1 	40.3 	41.2 	38.6 	37.2 	39.0 	48.3 	57.3 	63.8 	69.4 	80.4 	84.0 	83.7 	80.2 	77.5 
