currency,bop_item,sector10,sectpart,stk_flow,partner,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,FA__F__F7,S1,S1,L_LE,WRL_REST,FI	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	27563.6 	28837.0 	27064.3 	34709.5 	92972.4 	78908.1 	103281.7 	176730.7 	127159.0 	80274.5 	117810.0 	94056.0 	86419.0 	19619.0 
MIO_NAC,FA__F__F7,S1,S1,L_LE,WRL_REST,FR	: 	: 	: 	: 	312997.0 	315782.0 	355648.0 	320451.0 	350009.0 	408531.0 	440886.0 	565160.0 	667944.0 	1111635.0 	998273.0 	873563.0 	1136634.0 	1125418.0 	871775.0 	1103347.0 	837956.0 	841127.0 	677374.0 
MIO_NAC,FA__F__F7,S1,S1,L_LE,WRL_REST,HR	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	381.0 	1437.0 	1139.0 	2465.0 	3298.0 	0.0 	0.0 	0.0 	0.0 
MIO_NAC,FA__F__F7,S1,S1,L_LE,WRL_REST,HU	: 	: 	: 	: 	41385.4 	78485.2 	134712.9 	140574.5 	415925.5 	469714.3 	352857.8 	460534.7 	550968.2 	1194337.2 	806998.6 	1218194.7 	1438542.0 	1100155.1 	1175945.5 	1090102.0 	662951.3 	558785.9 	492980.5 
MIO_NAC,FA__F__F7,S1,S1,L_LE,WRL_REST,IE	: 	: 	: 	: 	: 	: 	: 	3254.0 	5679.0 	8156.0 	2454.0 	1670.0 	28625.0 	47141.0 	53074.0 	56436.0 	71396.0 	58437.0 	36967.0 	256104.0 	188915.0 	165184.0 	84889.0 
MIO_NAC,FA__F__F7,S1,S1,L_LE,WRL_REST,IT	: 	: 	: 	: 	1323.0 	930.0 	3255.0 	3428.0 	4342.0 	27817.0 	38814.0 	38201.0 	32067.0 	148606.0 	128452.0 	142175.0 	191069.0 	208273.0 	146480.0 	188064.0 	150060.0 	147587.0 	119238.0 
MIO_NAC,FA__F__F7,S1,S1,L_LE,WRL_REST,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.1 	3.4 	22.9 	28.0 	93.4 	108.7 	114.1 	89.9 	86.3 	69.1 	61.1 	83.1 	44.3 	75.4 
MIO_NAC,FA__F__F7,S1,S1,L_LE,WRL_REST,LU	: 	: 	: 	: 	: 	: 	: 	14617.0 	22106.0 	22679.0 	22120.0 	21702.0 	28007.0 	51784.0 	29317.0 	54686.0 	170776.0 	162750.0 	165689.0 	122686.0 	179235.0 	213943.0 	200929.0 
MIO_NAC,FA__F__F7,S1,S1,L_LE,WRL_REST,LV	: 	: 	: 	: 	: 	0.0 	7.0 	25.0 	33.0 	20.0 	26.0 	46.0 	76.0 	126.0 	108.0 	70.0 	109.0 	123.0 	196.0 	223.0 	238.0 	249.0 	201.0 
MIO_NAC,FA__F__F7,S1,S1,L_LE,WRL_REST,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	47.1 	64.1 	81.8 	129.8 	324.8 	258.3 	542.4 	607.8 	587.1 	468.1 	549.9 	543.0 	657.5 	860.6 
MIO_NAC,FA__F__F7,S1,S1,L_LE,WRL_REST,NL	: 	: 	: 	: 	: 	: 	: 	: 	75254.0 	80580.0 	87122.0 	87893.0 	134464.0 	197129.0 	169284.0 	194900.0 	250432.0 	299494.0 	210498.0 	345514.0 	301742.0 	299646.0 	237823.0 
MIO_NAC,FA__F__F7,S1,S1,L_LE,WRL_REST,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	1245.0 	1708.0 	1800.0 	3873.0 	13272.0 	3945.0 	18033.0 	24531.0 	21951.0 	18316.0 	29931.0 	25713.0 	20618.0 	12128.0 
MIO_NAC,FA__F__F7,S1,S1,L_LE,WRL_REST,PT	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	0.0 	0.0 	0.0 	: c	9260.0 	6775.0 	5415.0 	4214.0 	3980.0 	3294.0 
MIO_NAC,FA__F__F7,S1,S1,L_LE,WRL_REST,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	-2.0 	4.0 	6.0 	7.0 	24.0 	13.0 	16.0 	372.0 
MIO_NAC,FA__F__F7,S1,S1,L_LE,WRL_REST,SE	: 	: 	: 	128454.0 	120148.0 	165787.0 	151847.0 	224619.0 	219596.0 	239028.0 	225098.0 	182012.0 	228387.0 	488174.0 	297050.0 	271472.0 	369272.0 	382718.0 	283370.0 	484227.0 	392984.0 	363480.0 	658059.0 
MIO_NAC,FA__F__F7,S1,S1,L_LE,WRL_REST,SI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	76.0 	228.0 	204.0 	313.0 	276.0 	382.6 	689.5 	246.6 	162.8 	139.4 	80.8 
