na_item,sector,unit,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
P51G,S13,MIO_EUR,ES	43599.0 	50201.0 	51496.0 	55142.0 	50693.0 	39638.0 	25876.0 	23052.0 	22299.0 	27096.0 	21686.0 	23019.0 
P51G,S13,MIO_EUR,EU27	387322.2 	415886.5 	443386.5 	454039.5 	449337.8 	429984.8 	410507.1 	398880.1 	408285.6 	429778.7 	403401.3 	419871.9 
P51G,S13,MIO_EUR,EU28	389607.8 	418572.9 	446202.9 	456633.4 	450963.1 	431552.0 	412062.5 	400506.6 	409834.2 	431220.7 	404901.7 	421202.7 
P51G,S13,MIO_EUR,FI	5837.0 	6476.0 	6958.0 	7158.0 	6864.0 	7478.0 	8073.0 	8440.0 	8592.0 	8151.0 	8850.0 	9141.0 
P51G,S13,MIO_EUR,FR	72654.1 	76616.7 	78640.9 	82439.0 	82936.0 	81591.0 	84537.0 	84295.0 	79638.0 	74879.0 	75116.0 	77460.0 
P51G,S13,MIO_EUR,HR	2285.5 	2686.5 	2816.4 	2593.8 	1625.3 	1567.2 	1555.4 	1626.5 	1548.7 	1442.0 	1500.4 	1330.7 
P51G,S13,MIO_EUR,HU	4708.1 	4328.1 	3454.9 	3229.3 	3614.3 	3385.7 	3704.8 	4448.9 	5635.2 	7280.2 	3521.9 	5606.9 
P51G,S13,MIO_EUR,IE	7027.6 	9206.0 	9877.1 	6407.7 	5692.0 	4238.9 	3568.3 	3612.9 	4270.5 	4720.4 	5272.7 	5360.0 
P51G,S13,MIO_EUR,IT	45473.0 	46794.0 	48599.0 	54229.0 	46791.0 	45288.0 	41422.0 	38555.0 	37008.0 	36643.0 	35660.0 	33787.0 
P51G,S13,MIO_EUR,LT	1029.3 	1572.4 	1759.2 	1189.2 	1390.9 	1479.2 	1326.3 	1309.5 	1283.0 	1375.3 	1170.8 	1343.6 
P51G,S13,MIO_EUR,LU	1128.3 	1322.6 	1401.1 	1634.3 	1894.2 	1780.3 	1753.7 	1628.1 	1820.4 	2007.2 	2097.6 	2240.3 
P51G,S13,MIO_EUR,LV	851.2 	1340.2 	1255.9 	913.1 	840.6 	1008.9 	1072.3 	1012.1 	1059.3 	1157.2 	895.6 	1184.3 
P51G,S13,MIO_EUR,MT	214.5 	217.6 	153.7 	148.4 	146.6 	192.9 	232.9 	219.8 	300.8 	402.2 	254.5 	252.1 
P51G,S13,MIO_EUR,NL	22890.0 	23731.0 	25586.0 	26976.0 	26684.0 	26595.0 	24707.0 	24313.0 	23530.0 	24580.0 	24696.0 	25300.0 
P51G,S13,MIO_EUR,PL	10984.6 	14021.7 	17524.6 	15915.8 	20242.1 	22266.2 	18476.8 	16322.6 	19144.4 	19479.7 	14021.8 	17658.2 
P51G,S13,MIO_EUR,PT	5579.7 	5644.7 	6650.7 	7205.5 	9478.7 	6139.5 	4158.3 	3701.1 	3446.3 	4045.4 	2887.4 	3563.5 
P51G,S13,MIO_EUR,RO	5110.3 	7867.5 	9492.0 	7209.9 	7172.3 	7235.1 	6409.0 	6514.7 	6547.0 	8433.0 	6159.8 	4802.2 
P51G,S13,MIO_EUR,SE	13826.1 	14603.2 	15025.9 	13919.2 	16660.0 	17963.2 	19286.1 	19440.8 	19031.4 	18791.8 	20362.1 	21768.0 
P51G,S13,MIO_EUR,SI	1353.5 	1595.7 	1789.4 	1824.9 	1797.8 	1499.3 	1463.8 	1575.9 	1914.6 	1823.9 	1253.8 	1331.6 
P51G,S13,MIO_EUR,SK	1732.5 	1779.4 	2223.8 	2487.0 	2441.1 	2691.8 	2435.8 	2466.1 	3023.4 	4950.6 	2599.6 	2699.0 
P51G,S13,MIO_EUR,UK	53474.3 	56280.5 	58843.6 	56942.1 	58910.8 	55637.9 	56920.3 	53763.3 	63040.2 	70260.7 	63574.5 	61630.9 
P51G,S13,PC_GDP,AT	2.9 	3.0 	3.2 	3.4 	3.2 	3.0 	2.9 	3.0 	3.0 	3.0 	3.0 	3.1 
P51G,S13,PC_GDP,BE	2.0 	2.0 	2.1 	2.3 	2.3 	2.4 	2.5 	2.4 	2.3 	2.3 	2.2 	2.2 
P51G,S13,PC_GDP,BG	4.2 	5.2 	5.6 	5.0 	4.6 	3.4 	3.4 	4.1 	5.2 	6.6 	2.6 	2.2 
P51G,S13,PC_GDP,CY	3.4 	3.1 	3.2 	4.2 	4.2 	4.0 	2.9 	2.3 	2.1 	2.2 	2.5 	2.7 
P51G,S13,PC_GDP,CZ	5.2 	4.8 	5.3 	6.0 	5.1 	4.5 	4.2 	3.7 	4.1 	5.1 	3.3 	3.4 
P51G,S13,PC_GDP,DE	2.0 	1.9 	2.1 	2.4 	2.3 	2.3 	2.2 	2.1 	2.1 	2.1 	2.2 	2.2 
P51G,S13,PC_GDP,DK	2.9 	3.0 	3.0 	3.1 	3.3 	3.3 	3.8 	3.7 	3.9 	3.6 	3.8 	3.5 
P51G,S13,PC_GDP,EA18	3.2 	3.2 	3.3 	3.6 	3.4 	3.1 	2.9 	2.8 	2.7 	2.7 	2.6 	2.6 
P51G,S13,PC_GDP,EA19	3.2 	3.2 	3.3 	3.6 	3.4 	3.1 	2.9 	2.8 	2.7 	2.7 	2.6 	2.6 
P51G,S13,PC_GDP,EE	5.4 	6.0 	6.2 	6.2 	4.8 	4.9 	6.3 	5.6 	5.0 	5.2 	4.5 	5.4 
P51G,S13,PC_GDP,EL	5.7 	4.9 	5.6 	5.7 	3.7 	2.5 	2.5 	3.4 	3.7 	3.8 	3.5 	4.4 
P51G,S13,PC_GDP,ES	4.3 	4.6 	4.6 	5.1 	4.7 	3.7 	2.5 	2.2 	2.1 	2.5 	1.9 	2.0 
P51G,S13,PC_GDP,EU27	3.2 	3.2 	3.4 	3.7 	3.5 	3.3 	3.1 	2.9 	2.9 	2.9 	2.7 	2.7 
P51G,S13,PC_GDP,EU28	3.2 	3.2 	3.4 	3.7 	3.5 	3.3 	3.1 	2.9 	2.9 	2.9 	2.7 	2.7 
P51G,S13,PC_GDP,FI	3.4 	3.5 	3.6 	4.0 	3.7 	3.8 	4.0 	4.2 	4.2 	3.9 	4.1 	4.1 
P51G,S13,PC_GDP,FR	3.9 	3.9 	3.9 	4.3 	4.2 	4.0 	4.0 	4.0 	3.7 	3.4 	3.4 	3.4 
P51G,S13,PC_GDP,HR	5.7 	6.1 	5.9 	5.7 	3.6 	3.5 	3.5 	3.7 	3.6 	3.2 	3.2 	2.7 
P51G,S13,PC_GDP,HU	5.1 	4.2 	3.2 	3.4 	3.7 	3.3 	3.7 	4.4 	5.3 	6.6 	3.1 	4.5 
P51G,S13,PC_GDP,IE	3.8 	4.7 	5.3 	3.8 	3.4 	2.5 	2.0 	2.0 	2.2 	1.8 	1.9 	1.8 
P51G,S13,PC_GDP,IT	2.9 	2.9 	3.0 	3.4 	2.9 	2.8 	2.6 	2.4 	2.3 	2.2 	2.1 	2.0 
P51G,S13,PC_GDP,LT	4.3 	5.4 	5.4 	4.4 	5.0 	4.7 	4.0 	3.7 	3.5 	3.7 	3.0 	3.2 
P51G,S13,PC_GDP,LU	3.3 	3.6 	3.7 	4.4 	4.7 	4.1 	4.0 	3.5 	3.7 	3.9 	3.9 	4.1 
P51G,S13,PC_GDP,LV	4.9 	5.9 	5.2 	4.9 	4.7 	5.0 	4.9 	4.4 	4.5 	4.8 	3.6 	4.4 
P51G,S13,PC_GDP,MT	4.0 	3.8 	2.5 	2.4 	2.2 	2.8 	3.2 	2.9 	3.6 	4.2 	2.5 	2.3 
P51G,S13,PC_GDP,NL	3.9 	3.8 	4.0 	4.3 	4.2 	4.1 	3.8 	3.7 	3.5 	3.6 	3.5 	3.4 
P51G,S13,PC_GDP,PL	4.0 	4.5 	4.8 	5.0 	5.6 	5.9 	4.7 	4.1 	4.7 	4.5 	3.3 	3.8 
P51G,S13,PC_GDP,PT	3.4 	3.2 	3.7 	4.1 	5.3 	3.5 	2.5 	2.2 	2.0 	2.2 	1.5 	1.8 
P51G,S13,PC_GDP,RO	5.2 	6.1 	6.5 	5.8 	5.7 	5.5 	4.8 	4.5 	4.4 	5.3 	3.6 	2.6 
P51G,S13,PC_GDP,SE	4.1 	4.1 	4.3 	4.5 	4.5 	4.4 	4.6 	4.5 	4.4 	4.2 	4.4 	4.6 
P51G,S13,PC_GDP,SI	4.3 	4.5 	4.7 	5.0 	5.0 	4.1 	4.1 	4.3 	5.1 	4.7 	3.1 	3.1 
P51G,S13,PC_GDP,SK	3.8 	3.2 	3.4 	3.9 	3.6 	3.8 	3.4 	3.3 	4.0 	6.3 	3.2 	3.2 
P51G,S13,PC_GDP,UK	2.5 	2.5 	3.0 	3.3 	3.2 	2.9 	2.7 	2.6 	2.8 	2.7 	2.6 	2.6 
