s_adj,bop_item,sector10,sectpart,stk_flow,partner,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
NSA,FA,S1,S1,N_LE,WRL_REST,PC_GDP,IT	: 	: 	: 	-9.1 	-4.6 	-6.4 	-4.9 	-11.1 	-12.0 	-15.1 	-15.4 	-20.1 	-21.2 	-21.7 	-22.3 	-20.2 	-18.3 	-22.2 	-22.7 	-21.0 	-19.5 	-9.9 	-5.3 
NSA,FA,S1,S1,N_LE,WRL_REST,PC_GDP,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	-35.5 	-42.2 	-47.8 	-54.3 	-51.9 	-58.7 	-56.2 	-52.7 	-53.6 	-47.1 	-45.1 	-43.4 	-42.7 	-35.9 
NSA,FA,S1,S1,N_LE,WRL_REST,PC_GDP,LU	: 	: 	: 	: 	: 	: 	: 	64.3 	73.3 	17.9 	19.7 	21.3 	-18.2 	16.3 	-28.9 	-20.4 	28.9 	50.9 	53.9 	48.6 	30.8 	47.2 	47.0 
NSA,FA,S1,S1,N_LE,WRL_REST,PC_GDP,LV	: 	: 	: 	: 	: 	-23.6 	-29.5 	-33.0 	-37.9 	-47.3 	-55.6 	-64.1 	-69.0 	-74.2 	-82.7 	-82.9 	-74.4 	-67.2 	-66.4 	-66.1 	-63.5 	-58.4 	-56.3 
NSA,FA,S1,S1,N_LE,WRL_REST,PC_GDP,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	37.7 	35.9 	27.8 	21.4 	4.2 	12.6 	12.1 	6.3 	19.6 	27.0 	43.2 	50.8 	45.2 	62.6 
NSA,FA,S1,S1,N_LE,WRL_REST,PC_GDP,NL	: 	: 	: 	: 	: 	: 	: 	: 	-3.9 	-0.2 	-5.0 	-1.9 	-14.9 	-8.0 	1.4 	11.0 	20.1 	26.7 	30.7 	48.0 	50.1 	62.7 	59.7 
NSA,FA,S1,S1,N_LE,WRL_REST,PC_GDP,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	-40.9 	-41.8 	-44.9 	-49.2 	-55.6 	-57.3 	-65.1 	-62.4 	-65.3 	-68.9 	-69.1 	-62.1 	-61.7 	-61.2 
NSA,FA,S1,S1,N_LE,WRL_REST,PC_GDP,PT	: 	-12.9 	-14.8 	-24.4 	-34.0 	-41.5 	-49.0 	-58.4 	-62.4 	-66.7 	-69.9 	-79.3 	-88.8 	-95.1 	-107.9 	-104.3 	-100.7 	-116.5 	-116.3 	-118.6 	-113.2 	-105.5 	-104.9 
NSA,FA,S1,S1,N_LE,WRL_REST,PC_GDP,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-29.4 	-36.0 	-45.7 	-51.2 	-60.1 	-63.9 	-65.8 	-67.4 	-62.8 	-57.3 	-54.6 	-48.9 	-47.7 
NSA,FA,S1,S1,N_LE,WRL_REST,PC_GDP,SE	: 	: 	: 	-35.1 	-32.7 	-33.2 	-23.2 	-20.9 	-17.4 	-21.6 	-17.3 	-9.8 	1.2 	-7.9 	-7.2 	-5.6 	-8.5 	-15.7 	-16.0 	-2.3 	-1.2 	5.0 	1.8 
NSA,FA,S1,S1,N_LE,WRL_REST,PC_GDP,SI	2.0 	-2.6 	-2.1 	-4.4 	-9.5 	-11.8 	-2.1 	0.1 	-5.6 	-7.7 	-10.8 	-16.8 	-25.5 	-39.4 	-43.6 	-47.2 	-45.2 	-50.1 	-47.2 	-45.8 	-39.6 	-36.8 	-32.3 
NSA,FA,S1,S1,N_LE,WRL_REST,PC_GDP,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	-51.7 	-60.8 	-64.8 	-56.4 	-58.1 	-66.5 	-61.9 	-64.4 	-61.4 	-62.3 	-63.6 	-64.4 	-66.6 	-65.6 
NSA,FA,S1,S1,N_LE,WRL_REST,PC_GDP,UK	: 	: 	: 	: 	-6.0 	2.4 	-1.8 	3.8 	2.9 	-3.4 	-2.3 	-7.9 	-7.8 	9.7 	-15.7 	-7.6 	-11.3 	-28.4 	-18.0 	-22.1 	-20.1 	-2.4 	-8.6 
